Sample.Name,Pop,Pop_Type,Variety
TMA-ZAIN-G-85,MBC,Garden,Garden
TMA-ZAIN-G-86,MBC,Garden,Garden
TMA-ZAIN-G-87,MBC,Garden,Garden
TMA-ZAIN-G-88,MBC,Garden,Garden
TMA-ZAIN-G-89,MBC,Garden,Garden
TMA-ZAIN-G-90,MBC,Garden,Garden
TMA-ZAIN-G-91,MBC,Garden,Garden
TMA-ZAIN-G-92,MBC,Garden,Garden
TMA-ZAIN-G-93,MBC,Garden,Garden
TMA-ZAIN-G-94,MBC,Garden,Garden
TMA-ZAIN-G-95,MBC,Garden,Garden
TMA-ZAIN-G-96,MBC,Garden,Garden
TMA-ZAIN-G-97,MBC,Garden,Garden
TMA-ZAIN-G-98,MBC,Garden,Garden
TMA-ZAIN-G-99,MBC,Garden,Garden
TMA-ZAIN-G-101,MBC,Garden,Garden
TMA-ZAIN-G-102,MBC,Garden,Garden
TMA-ZAIN-G-103,MBC,Garden,Garden
TMA-ZAIN-G-104,MBC,Garden,Garden
TMA-ZAIN-G-105,MBC,Garden,Garden
TMA-ZAIN-G-106,MBC,Garden,Garden
TMA-ZAIN-G-107,MBC,Garden,Garden
TMA-ZAIN-G-108,MBC,Garden,Garden
TMA-ZAIN-G-109,MBC,Garden,Garden
TMA-ZAIN-G-110,MBC,Garden,Garden
TMA-ZAIN-G-111,MBC,Garden,Garden
TMA-ZAIN-G-112,MBC,Garden,Garden
TMA-ZAIN-G-113,MBC,Garden,Garden
TMA-ZAIN-G-114,MBC,Garden,Garden
TMA-ZAIN-G-115,MBC,Garden,Garden
TMA-ZAIN-G-116,MBC,Garden,Garden
TMA-ZAIN-G-117,MBC,Garden,Garden
TMA-ZAIN-G-118,MBC,Garden,Garden
TMA-ZAIN-G-119,MBC,Garden,Garden
TMA-ZAIN-G-120,MBC,Garden,Garden
TMA-ZAIN-G-121,MBC,Garden,Garden
TMA-ZAIN-G-122,MBC,Garden,Garden
TMA-ZAIN-G-123,MBC,Garden,Garden
TMA-ZAIN-G-124,MBC,Garden,Garden
TMA-ZAIN-G-125,MBC,Garden,Garden
TMA-ZAIN-G-126,MBC,Garden,Garden
TMA-ZAIN-G-127,MBC,Garden,Garden
TMA-ZAIN-G-128,MBC,Garden,Garden
TMA-ZAIN-G-129,MBC,Garden,Garden
TMA-ZAIN-G-130,MBC,Garden,Garden
TMA-ZAIN-G-131,MBC,Garden,Garden
TMA-ZAIN-G-132,MBC,Garden,Garden
TMA-ZAIN-G-133,MBC,Garden,Garden
TMA-ZAIN-G-134,MBC,Garden,Garden
TMA-ZAIN-G-135,MBC,Garden,Garden
TMA-ZAIN-G-136,MBC,Garden,Garden
TMA-ZAIN-G-137,MBC,Garden,Garden
TMA-ZAIN-G-138,MBC,Garden,Garden
TMA-ZAIN-G-139,MBC,Garden,Garden
TMA-ZAIN-G-140,MBC,Garden,Garden
