Sample.Name,Pop,Cluster,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
TMA-ZAIN-G-277,MBC,,0.004,0.923,0.002,0.005,0.005,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.004,0.002,0.002,0.003,0.004,0.005,0.006,0.003,0.003,0.003,0.003,
TMA-ZAIN-G-278,MBC,,0.005,0.888,0.006,0.003,0.003,0.002,0.003,0.006,0.004,0.006,0.003,0.003,0.005,0.003,0.004,0.002,0.006,0.007,0.005,0.006,0.004,0.005,0.005,0.012,
TMA-ZAIN-G-279,MBC,,0.019,0.848,0.008,0.007,0.006,0.003,0.004,0.007,0.005,0.009,0.005,0.005,0.005,0.003,0.005,0.005,0.006,0.007,0.006,0.007,0.005,0.005,0.005,0.012,
TMA-ZAIN-G-280,MBC,,0.011,0.907,0.003,0.004,0.006,0.003,0.004,0.002,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0.004,0.003,0.004,0.004,0.007,0.002,0.003,0.002,0.004,
TMA-ZAIN-G-281,MBC,,0.005,0.894,0.003,0.011,0.008,0.004,0.006,0.003,0.004,0.003,0.004,0.004,0.003,0.004,0.002,0.003,0.003,0.004,0.006,0.01,0.003,0.004,0.003,0.004,
TMA-ZAIN-G-282,MBC,,0.006,0.781,0.003,0.036,0.019,0.009,0.007,0.004,0.004,0.003,0.004,0.007,0.004,0.005,0.002,0.003,0.004,0.02,0.008,0.033,0.006,0.007,0.005,0.018,
TMA-ZAIN-G-283,MBC,,0.008,0.843,0.003,0.015,0.008,0.006,0.005,0.003,0.003,0.003,0.003,0.005,0.004,0.003,0.002,0.004,0.003,0.021,0.005,0.012,0.004,0.005,0.004,0.019,
TMA-ZAIN-G-284,MBC,,0.008,0.906,0.003,0.007,0.004,0.002,0.005,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.004,0.003,0.006,0.005,0.006,0.003,0.003,0.002,0.006,
TMA-ZAIN-G-285,MBC,,0.011,0.558,0.007,0.031,0.016,0.008,0.025,0.005,0.004,0.013,0.052,0.004,0.005,0.005,0.004,0.05,0.009,0.01,0.056,0.059,0.004,0.007,0.008,0.012,
TMA-ZAIN-G-286,MBC,,0.009,0.469,0.006,0.069,0.02,0.01,0.021,0.007,0.006,0.01,0.083,0.005,0.005,0.008,0.003,0.044,0.011,0.013,0.051,0.054,0.006,0.009,0.011,0.014,
TMA-ZAIN-G-287,MBC,,0.022,0.677,0.031,0.013,0.013,0.004,0.007,0.003,0.004,0.007,0.022,0.009,0.003,0.019,0.011,0.02,0.005,0.006,0.052,0.025,0.009,0.007,0.011,0.011,
TMA-ZAIN-G-288,MBC,,0.007,0.883,0.003,0.016,0.005,0.003,0.006,0.003,0.003,0.003,0.006,0.003,0.003,0.002,0.002,0.005,0.003,0.01,0.005,0.006,0.003,0.003,0.002,0.006,
TMA-ZAIN-G-289,MBC,,0.008,0.849,0.013,0.015,0.005,0.002,0.006,0.003,0.004,0.003,0.005,0.009,0.003,0.011,0.007,0.004,0.003,0.007,0.006,0.006,0.01,0.006,0.005,0.005,
TMA-ZAIN-G-290,MBC,,0.004,0.573,0.014,0.122,0.014,0.006,0.033,0.006,0.008,0.005,0.009,0.026,0.004,0.044,0.007,0.007,0.007,0.016,0.017,0.023,0.023,0.011,0.009,0.005,
TMA-ZAIN-G-291,MBC,,0.005,0.77,0.015,0.023,0.006,0.003,0.011,0.004,0.006,0.004,0.006,0.014,0.004,0.018,0.008,0.007,0.005,0.009,0.024,0.019,0.013,0.007,0.006,0.005,
TMA-ZAIN-G-292,MBC,,0.004,0.453,0.003,0.368,0.008,0.009,0.018,0.005,0.004,0.004,0.007,0.006,0.005,0.005,0.002,0.005,0.005,0.035,0.01,0.011,0.006,0.008,0.005,0.009,
TMA-ZAIN-G-293,MBC,,0.005,0.009,0.005,0.015,0.802,0.006,0.027,0.004,0.004,0.01,0.015,0.005,0.003,0.008,0.004,0.009,0.006,0.008,0.013,0.009,0.004,0.004,0.008,0.011,
TMA-ZAIN-G-294,MBC,,0.012,0.01,0.03,0.008,0.023,0.027,0.008,0.41,0.052,0.008,0.005,0.014,0.018,0.016,0.005,0.004,0.027,0.011,0.008,0.019,0.044,0.186,0.036,0.01,
TMA-ZAIN-G-295,MBC,,0.02,0.004,0.01,0.004,0.017,0.023,0.014,0.014,0.389,0.046,0.016,0.02,0.019,0.057,0.025,0.018,0.012,0.003,0.005,0.006,0.023,0.185,0.027,0.006,
TMA-ZAIN-G-296,MBC,,0.005,0.003,0.012,0.003,0.004,0.005,0.007,0.327,0.378,0.006,0.004,0.004,0.01,0.005,0.009,0.006,0.158,0.003,0.003,0.004,0.01,0.013,0.007,0.003,
TMA-ZAIN-G-297,MBC,,0.007,0.006,0.025,0.003,0.006,0.007,0.017,0.158,0.185,0.008,0.004,0.005,0.011,0.01,0.013,0.006,0.452,0.003,0.006,0.007,0.011,0.029,0.006,0.003,
TMA-ZAIN-G-298,MBC,,0.004,0.005,0.012,0.01,0.007,0.048,0.013,0.056,0.387,0.013,0.005,0.029,0.03,0.01,0.006,0.008,0.018,0.011,0.004,0.008,0.026,0.245,0.012,0.005,
TMA-ZAIN-G-299,MBC,,0.006,0.006,0.021,0.005,0.008,0.041,0.018,0.048,0.02,0.125,0.011,0.062,0.03,0.015,0.016,0.017,0.083,0.006,0.004,0.008,0.02,0.281,0.13,0.004,
TMA-ZAIN-G-301,MBC,,0.007,0.007,0.1,0.004,0.007,0.007,0.008,0.319,0.039,0.02,0.015,0.004,0.012,0.005,0.009,0.012,0.089,0.008,0.006,0.007,0.01,0.148,0.008,0.006,
TMA-ZAIN-G-302,MBC,,0.004,0.004,0.751,0.004,0.006,0.007,0.003,0.067,0.013,0.005,0.004,0.006,0.005,0.013,0.006,0.003,0.019,0.003,0.005,0.005,0.008,0.027,0.028,0.003,
TMA-ZAIN-G-303,MBC,,0.007,0.005,0.236,0.003,0.007,0.007,0.015,0.024,0.261,0.007,0.004,0.007,0.01,0.086,0.044,0.006,0.139,0.003,0.004,0.006,0.066,0.034,0.008,0.002,
TMA-ZAIN-G-304,MBC,,0.009,0.004,0.434,0.004,0.008,0.006,0.007,0.082,0.047,0.083,0.004,0.021,0.008,0.059,0.018,0.004,0.013,0.006,0.003,0.004,0.009,0.137,0.01,0.004,
TMA-ZAIN-G-305,MBC,,0.003,0.003,0.008,0.003,0.003,0.01,0.004,0.81,0.047,0.005,0.004,0.007,0.005,0.008,0.005,0.004,0.019,0.003,0.003,0.004,0.009,0.014,0.01,0.002,
TMA-ZAIN-G-306,MBC,,0.003,0.008,0.003,0.008,0.654,0.011,0.015,0.003,0.003,0.004,0.038,0.023,0.057,0.016,0.002,0.009,0.003,0.019,0.005,0.072,0.013,0.007,0.003,0.01,
TMA-ZAIN-G-307,MSBG,,0.006,0.006,0.006,0.009,0.006,0.018,0.015,0.014,0.034,0.121,0.009,0.023,0.049,0.031,0.049,0.456,0.018,0.008,0.006,0.004,0.02,0.035,0.03,0.016,
TMA-ZAIN-G-308,MSBG,,0.004,0.003,0.005,0.003,0.003,0.019,0.007,0.063,0.674,0.008,0.004,0.009,0.038,0.011,0.01,0.005,0.022,0.003,0.003,0.003,0.039,0.035,0.016,0.003,
TMA-ZAIN-G-309,MSBG,,0.008,0.015,0.007,0.029,0.005,0.023,0.007,0.04,0.263,0.016,0.292,0.011,0.022,0.007,0.009,0.063,0.01,0.014,0.016,0.005,0.024,0.048,0.013,0.045,
TMA-ZAIN-G-310,MSBG,,0.01,0.006,0.005,0.007,0.005,0.016,0.016,0.015,0.102,0.057,0.006,0.014,0.089,0.037,0.096,0.348,0.026,0.006,0.004,0.003,0.044,0.048,0.02,0.012,
TMA-ZAIN-G-311,MSBG,,0.008,0.014,0.004,0.049,0.027,0.005,0.072,0.005,0.005,0.005,0.261,0.014,0.004,0.006,0.007,0.366,0.006,0.01,0.012,0.083,0.006,0.007,0.003,0.006,
TMA-ZAIN-G-312,MSBG,,0.003,0.003,0.031,0.005,0.004,0.091,0.005,0.017,0.016,0.006,0.003,0.023,0.012,0.392,0.009,0.003,0.012,0.005,0.003,0.005,0.183,0.139,0.022,0.003,
TMA-ZAIN-G-313,MSBG,,0.008,0.009,0.049,0.002,0.006,0.004,0.009,0.051,0.028,0.005,0.007,0.003,0.009,0.041,0.01,0.005,0.137,0.005,0.007,0.008,0.025,0.517,0.016,0.005,
TMA-ZAIN-G-314,MSBG,,0.002,0.008,0.03,0.012,0.008,0.044,0.017,0.095,0.023,0.109,0.031,0.014,0.023,0.011,0.007,0.016,0.097,0.028,0.016,0.017,0.019,0.19,0.109,0.015,
TMA-ZAIN-G-315,MSBG,,0.004,0.004,0.022,0.006,0.006,0.065,0.04,0.05,0.011,0.043,0.014,0.023,0.012,0.358,0.009,0.009,0.146,0.007,0.008,0.017,0.051,0.071,0.011,0.004,
TMA-ZAIN-G-316,MSBG,,0.003,0.006,0.048,0.007,0.004,0.048,0.008,0.029,0.076,0.112,0.303,0.02,0.015,0.011,0.021,0.156,0.015,0.01,0.006,0.004,0.014,0.045,0.013,0.006,
TMA-ZAIN-G-317,MSBG,,0.003,0.33,0.004,0.074,0.008,0.009,0.143,0.005,0.009,0.005,0.008,0.007,0.088,0.008,0.004,0.007,0.006,0.088,0.091,0.027,0.013,0.012,0.005,0.036,
TMA-ZAIN-G-318,MSBG,,0.013,0.251,0.047,0.007,0.013,0.01,0.022,0.148,0.049,0.015,0.018,0.005,0.038,0.016,0.014,0.013,0.05,0.006,0.037,0.038,0.029,0.112,0.011,0.005,
TMA-ZAIN-G-319,MSBG,,0.01,0.269,0.047,0.006,0.018,0.009,0.016,0.122,0.047,0.014,0.018,0.005,0.034,0.016,0.015,0.012,0.059,0.008,0.06,0.052,0.023,0.099,0.012,0.005,
TMA-ZAIN-G-320,MSBG,,0.011,0.044,0.022,0.053,0.352,0.007,0.015,0.009,0.005,0.004,0.009,0.011,0.079,0.005,0.004,0.02,0.004,0.05,0.2,0.051,0.005,0.006,0.004,0.019,
TMA-ZAIN-G-321,MSBG,,0.043,0.324,0.014,0.035,0.058,0.005,0.038,0.016,0.016,0.005,0.014,0.01,0.005,0.005,0.009,0.034,0.007,0.024,0.051,0.024,0.007,0.007,0.003,0.227,
TMA-ZAIN-G-322,AA,,0.011,0.061,0.004,0.008,0.087,0.006,0.009,0.008,0.006,0.003,0.005,0.363,0.004,0.01,0.003,0.007,0.004,0.019,0.027,0.288,0.026,0.005,0.004,0.007,
TMA-ZAIN-G-323,AA,,0.01,0.004,0.085,0.006,0.156,0.012,0.006,0.083,0.034,0.008,0.005,0.008,0.013,0.01,0.013,0.004,0.021,0.004,0.005,0.197,0.023,0.257,0.018,0.004,
TMA-ZAIN-G-324,HBG,,0.006,0.037,0.01,0.023,0.012,0.023,0.246,0.008,0.16,0.011,0.005,0.005,0.025,0.12,0.011,0.006,0.024,0.026,0.015,0.009,0.071,0.099,0.026,0.009,
TMA-ZAIN-G-325,HBG,,0.004,0.006,0.009,0.035,0.016,0.027,0.065,0.039,0.069,0.022,0.085,0.005,0.022,0.025,0.017,0.021,0.057,0.009,0.139,0.133,0.088,0.029,0.054,0.009,
TMA-ZAIN-G-326,FTBG,,0.008,0.006,0.005,0.007,0.72,0.044,0.009,0.006,0.008,0.007,0.007,0.034,0.014,0.008,0.014,0.007,0.004,0.01,0.004,0.013,0.022,0.024,0.008,0.005,
TMA-ZAIN-G-327,FTBG,,0.005,0.004,0.005,0.007,0.005,0.015,0.013,0.011,0.018,0.232,0.009,0.033,0.02,0.016,0.009,0.014,0.429,0.006,0.006,0.007,0.058,0.01,0.051,0.003,
TMA-ZAIN-G-328,FTBG,,0.035,0.005,0.004,0.003,0.798,0.007,0.015,0.008,0.008,0.005,0.005,0.005,0.007,0.012,0.004,0.004,0.009,0.004,0.005,0.014,0.013,0.008,0.007,0.004,
TMA-ZAIN-G-329,FTBG,,0.004,0.003,0.003,0.003,0.558,0.013,0.008,0.004,0.006,0.004,0.014,0.282,0.004,0.01,0.006,0.012,0.005,0.003,0.003,0.008,0.024,0.01,0.007,0.002,
TMA-ZAIN-G-330,FTBG,,0.003,0.003,0.006,0.004,0.004,0.223,0.008,0.006,0.011,0.007,0.007,0.577,0.012,0.02,0.035,0.013,0.006,0.004,0.003,0.004,0.021,0.011,0.005,0.002,
TMA-ZAIN-G-331,FTBG,,0.01,0.064,0.008,0.151,0.014,0.014,0.013,0.005,0.006,0.058,0.008,0.053,0.008,0.14,0.089,0.015,0.016,0.016,0.073,0.175,0.015,0.007,0.011,0.014,
TMA-ZAIN-G-332,FTBG,,0.008,0.004,0.101,0.004,0.009,0.032,0.016,0.02,0.055,0.029,0.012,0.023,0.085,0.022,0.053,0.012,0.009,0.004,0.004,0.005,0.308,0.118,0.015,0.004,
TMA-ZAIN-G-333,UCBBG,,0.002,0.003,0.021,0.004,0.004,0.546,0.012,0.036,0.035,0.038,0.03,0.01,0.022,0.026,0.047,0.012,0.015,0.003,0.005,0.005,0.079,0.019,0.012,0.003,
TMA-ZAIN-G-334,UCBBG,,0.014,0.008,0.026,0.003,0.02,0.011,0.008,0.009,0.092,0.009,0.019,0.009,0.091,0.19,0.005,0.009,0.011,0.013,0.006,0.016,0.04,0.194,0.006,0.008,
TMA-ZAIN-G-335,UCBBG,,0.002,0.002,0.005,0.002,0.003,0.005,0.003,0.004,0.005,0.004,0.005,0.063,0.125,0.123,0.005,0.003,0.004,0.003,0.002,0.003,0.612,0.005,0.005,0.002,
TMA-ZAIN-G-336,UCBBG,,0.002,0.002,0.003,0.003,0.004,0.004,0.003,0.004,0.003,0.005,0.004,0.848,0.054,0.02,0.003,0.004,0.003,0.003,0.002,0.003,0.012,0.003,0.003,0.002,
TMA-ZAIN-G-337,UCBBG,,0.007,0.894,0.003,0.005,0.005,0.003,0.005,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.004,0.003,0.007,0.006,0.011,0.003,0.003,0.002,0.006,
TMA-ZAIN-G-338,UCBBG,,0.005,0.913,0.004,0.003,0.004,0.003,0.005,0.003,0.004,0.003,0.002,0.003,0.003,0.004,0.004,0.003,0.004,0.003,0.003,0.004,0.003,0.004,0.003,0.003,
TMA-ZAIN-G-339,UCBBG,,0.008,0.804,0.006,0.008,0.009,0.005,0.011,0.005,0.005,0.006,0.005,0.004,0.005,0.004,0.004,0.005,0.006,0.006,0.006,0.008,0.004,0.007,0.004,0.005,
TMA-ZAIN-G-340,UCBBG,,0.005,0.852,0.004,0.015,0.005,0.004,0.012,0.006,0.004,0.004,0.004,0.003,0.004,0.004,0.003,0.003,0.005,0.017,0.006,0.01,0.003,0.004,0.004,0.01,
TMA-ZAIN-G-341,UCBBG,,0.003,0.898,0.003,0.009,0.004,0.003,0.005,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.013,0.004,0.007,0.003,0.003,0.003,0.006,
TMA-ZAIN-G-342,UCBBG,,0.005,0.923,0.002,0.005,0.004,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.007,0.006,0.005,0.002,0.002,0.002,0.007,
TMA-ZAIN-G-343,UCBBG,,0.005,0.924,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.003,0.004,0.004,0.005,0.002,0.003,0.002,0.004,
TMA-ZAIN-G-344,UCBBG,,0.005,0.907,0.003,0.005,0.004,0.005,0.004,0.003,0.004,0.003,0.002,0.003,0.005,0.003,0.003,0.002,0.003,0.008,0.003,0.003,0.003,0.005,0.004,0.007,
TMA-ZAIN-G-345,UCBBG,,0.008,0.87,0.004,0.004,0.006,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.005,0.005,0.006,0.003,0.004,0.003,0.005,
TMA-ZAIN-G-347,GWL,,0.004,0.893,0.002,0.007,0.005,0.004,0.003,0.003,0.003,0.002,0.002,0.003,0.004,0.003,0.002,0.002,0.003,0.017,0.004,0.006,0.003,0.004,0.003,0.012,
TMA-ZAIN-G-348,GWL,,0.008,0.894,0.003,0.007,0.008,0.004,0.006,0.003,0.003,0.003,0.003,0.004,0.002,0.004,0.002,0.004,0.004,0.004,0.005,0.009,0.003,0.004,0.003,0.003,
TMA-ZAIN-G-349,GWL,,0.006,0.923,0.002,0.003,0.004,0.002,0.004,0.002,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.004,0.003,0.004,0.003,0.004,0.002,0.003,0.002,0.004,
TMA-ZAIN-G-350,GWL,,0.006,0.852,0.003,0.005,0.008,0.002,0.004,0.003,0.003,0.004,0.003,0.003,0.055,0.007,0.002,0.004,0.003,0.006,0.004,0.006,0.004,0.003,0.002,0.004,
TMA-ZAIN-G-351,GWL,,0.005,0.921,0.003,0.004,0.004,0.002,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.003,0.005,0.004,0.005,0.002,0.003,0.002,0.004,
TMA-ZAIN-G-352,GWL,,0.007,0.871,0.004,0.015,0.006,0.004,0.009,0.004,0.004,0.005,0.005,0.004,0.003,0.003,0.003,0.005,0.004,0.009,0.005,0.008,0.003,0.004,0.003,0.006,
TMA-ZAIN-G-353,GWL,,0.011,0.856,0.007,0.007,0.006,0.003,0.004,0.006,0.004,0.008,0.006,0.004,0.004,0.003,0.004,0.004,0.005,0.01,0.005,0.011,0.004,0.005,0.005,0.014,
TMA-ZAIN-G-354,GWL,,0.017,0.736,0.006,0.011,0.029,0.01,0.008,0.005,0.012,0.006,0.003,0.005,0.008,0.004,0.003,0.004,0.004,0.018,0.01,0.035,0.008,0.011,0.006,0.02,
TMA-ZAIN-G-355,GWL,,0.007,0.91,0.003,0.006,0.005,0.003,0.006,0.003,0.003,0.003,0.004,0.003,0.002,0.003,0.002,0.004,0.003,0.005,0.004,0.006,0.002,0.003,0.002,0.004,
TMA-ZAIN-G-356,GWL,,0.004,0.879,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.005,0.003,0.003,0.004,0.004,0.004,0.004,0.006,0.005,0.005,0.005,0.004,0.005,0.004,0.004,
TMA-ZAIN-G-357,GWL,,0.012,0.795,0.003,0.041,0.013,0.01,0.007,0.004,0.006,0.004,0.004,0.008,0.005,0.006,0.002,0.004,0.004,0.013,0.008,0.014,0.006,0.008,0.006,0.012,
TMA-ZAIN-G-358,GWL,,0.005,0.903,0.002,0.007,0.007,0.004,0.004,0.004,0.004,0.002,0.003,0.004,0.002,0.007,0.002,0.002,0.004,0.003,0.005,0.007,0.004,0.005,0.005,0.003,
TMA-ZAIN-G-359,GWL,,0.005,0.87,0.003,0.008,0.005,0.01,0.006,0.004,0.006,0.003,0.002,0.005,0.005,0.006,0.003,0.002,0.005,0.007,0.005,0.005,0.006,0.01,0.007,0.006,
TMA-ZAIN-G-360,HPLG,,0.002,0.002,0.006,0.003,0.011,0.004,0.005,0.003,0.005,0.157,0.006,0.002,0.007,0.003,0.026,0.01,0.01,0.003,0.003,0.007,0.003,0.007,0.71,0.002,
TMA-ZAIN-G-361,HPLG,,0.003,0.004,0.017,0.01,0.006,0.013,0.012,0.02,0.015,0.354,0.005,0.173,0.01,0.115,0.028,0.005,0.038,0.005,0.004,0.006,0.046,0.024,0.073,0.003,
TMA-ZAIN-G-362,HPLG,,0.005,0.014,0.023,0.026,0.015,0.09,0.04,0.088,0.152,0.075,0.007,0.013,0.039,0.117,0.075,0.009,0.061,0.024,0.007,0.006,0.025,0.046,0.013,0.017,
TMA-ZAIN-G-363,HPLG,,0.033,0.003,0.037,0.014,0.035,0.006,0.019,0.006,0.007,0.245,0.012,0.003,0.011,0.005,0.16,0.013,0.029,0.003,0.007,0.019,0.008,0.061,0.182,0.004,
TMA-ZAIN-G-364,HPLG,,0.007,0.002,0.098,0.003,0.007,0.006,0.004,0.005,0.005,0.043,0.005,0.002,0.017,0.011,0.008,0.004,0.007,0.003,0.004,0.003,0.026,0.034,0.685,0.003,
TMA-ZAIN-G-365,HPLG,,0.002,0.003,0.013,0.006,0.004,0.55,0.006,0.024,0.018,0.108,0.007,0.01,0.067,0.013,0.009,0.005,0.024,0.007,0.006,0.005,0.029,0.031,0.042,0.006,
TMA-ZAIN-G-366,HPLG,,0.077,0.007,0.011,0.004,0.021,0.005,0.005,0.006,0.008,0.041,0.004,0.002,0.009,0.006,0.006,0.004,0.029,0.003,0.005,0.006,0.008,0.023,0.697,0.006,
TMA-ZAIN-G-367,NBG,,0.008,0.007,0.031,0.005,0.014,0.019,0.026,0.059,0.105,0.009,0.008,0.028,0.017,0.245,0.011,0.009,0.048,0.004,0.009,0.021,0.174,0.062,0.02,0.004,
TMA-ZAIN-G-368,NBG,,0.008,0.024,0.022,0.006,0.021,0.009,0.071,0.045,0.017,0.006,0.012,0.011,0.01,0.014,0.012,0.007,0.013,0.015,0.133,0.043,0.016,0.016,0.007,0.408,
TMA-ZAIN-G-369,NBG,,0.009,0.079,0.006,0.012,0.011,0.013,0.054,0.022,0.324,0.019,0.003,0.003,0.057,0.019,0.012,0.003,0.085,0.004,0.023,0.03,0.026,0.145,0.032,0.004,
TMA-ZAIN-G-370,NBG,,0.004,0.003,0.007,0.003,0.003,0.005,0.005,0.012,0.827,0.008,0.003,0.003,0.013,0.004,0.01,0.005,0.048,0.003,0.003,0.003,0.012,0.006,0.004,0.002,
TMA-ZAIN-G-371,NBG,,0.002,0.004,0.009,0.008,0.006,0.346,0.008,0.013,0.009,0.111,0.039,0.031,0.015,0.051,0.006,0.012,0.017,0.125,0.024,0.022,0.031,0.024,0.051,0.018,
TMA-ZAIN-G-372,NBG,,0.003,0.003,0.084,0.004,0.004,0.007,0.007,0.014,0.689,0.017,0.004,0.007,0.016,0.011,0.031,0.007,0.031,0.004,0.003,0.003,0.023,0.011,0.006,0.003,
TMA-ZAIN-G-373,NBG,,0.003,0.002,0.009,0.003,0.004,0.035,0.007,0.019,0.024,0.01,0.006,0.011,0.013,0.627,0.036,0.005,0.011,0.003,0.003,0.004,0.129,0.018,0.009,0.002,
TMA-ZAIN-G-374,NBG,,0.003,0.003,0.007,0.003,0.004,0.05,0.005,0.019,0.107,0.008,0.004,0.02,0.156,0.296,0.009,0.004,0.012,0.008,0.005,0.004,0.178,0.077,0.01,0.003,
TMA-ZAIN-G-376,NBG,,0.003,0.003,0.112,0.008,0.003,0.005,0.006,0.026,0.021,0.166,0.003,0.009,0.008,0.018,0.024,0.005,0.462,0.004,0.003,0.004,0.02,0.048,0.032,0.003,
TMA-ZAIN-G-377,NBG,,0.003,0.002,0.016,0.003,0.003,0.016,0.005,0.009,0.553,0.031,0.006,0.004,0.029,0.025,0.021,0.006,0.036,0.004,0.005,0.003,0.048,0.079,0.085,0.004,
TMA-ZAIN-G-378,NBG,,0.004,0.003,0.003,0.003,0.005,0.045,0.006,0.003,0.005,0.004,0.006,0.366,0.003,0.479,0.005,0.008,0.005,0.005,0.004,0.006,0.01,0.012,0.003,0.002,
TMA-ZAIN-G-379,KWTFBG,,0.003,0.009,0.008,0.097,0.01,0.301,0.019,0.014,0.023,0.02,0.14,0.035,0.009,0.018,0.005,0.03,0.009,0.114,0.02,0.021,0.022,0.031,0.015,0.015,
TMA-ZAIN-G-380,KWTFBG,,0.006,0.005,0.008,0.039,0.07,0.115,0.01,0.025,0.016,0.01,0.006,0.022,0.017,0.056,0.006,0.005,0.011,0.008,0.012,0.428,0.04,0.044,0.024,0.009,
TMA-ZAIN-G-381,KWTFBG,,0.003,0.003,0.025,0.006,0.004,0.006,0.005,0.012,0.012,0.193,0.003,0.004,0.043,0.042,0.004,0.003,0.059,0.005,0.003,0.004,0.113,0.014,0.427,0.003,
TMA-ZAIN-G-382,KWTFBG,,0.003,0.002,0.11,0.003,0.003,0.007,0.004,0.019,0.022,0.066,0.005,0.006,0.013,0.024,0.02,0.005,0.063,0.002,0.003,0.003,0.118,0.011,0.482,0.002,
TMA-ZAIN-G-383,KWTFBG,,0.002,0.002,0.007,0.003,0.002,0.004,0.002,0.004,0.004,0.011,0.003,0.004,0.003,0.01,0.006,0.003,0.006,0.002,0.003,0.002,0.006,0.006,0.899,0.002,
TMA-ZAIN-G-384,KWTFBG,,0.002,0.002,0.007,0.004,0.003,0.01,0.003,0.004,0.004,0.044,0.018,0.02,0.003,0.011,0.007,0.013,0.005,0.003,0.003,0.002,0.012,0.016,0.8,0.002,
TMA-ZAIN-G-385,KWTFBG,,0.003,0.003,0.104,0.002,0.003,0.005,0.004,0.039,0.203,0.006,0.004,0.005,0.453,0.013,0.069,0.005,0.022,0.002,0.003,0.003,0.028,0.007,0.007,0.002,
TMA-ZAIN-G-386,KWTFBG,,0.008,0.005,0.02,0.01,0.022,0.014,0.474,0.101,0.148,0.01,0.009,0.008,0.018,0.006,0.019,0.015,0.018,0.005,0.008,0.018,0.019,0.01,0.005,0.004,
TMA-ZAIN-G-387,KWTFBG,,0.063,0.045,0.004,0.241,0.141,0.005,0.016,0.004,0.006,0.005,0.005,0.005,0.214,0.005,0.003,0.006,0.004,0.058,0.019,0.046,0.007,0.009,0.003,0.063,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFB01,ZFB,C25,0.004,0.007,0.003,0.009,0.003,0.003,0.004,0.003,0.003,0.004,0.004,0.003,0.003,0.002,0.003,0.004,0.003,0.007,0.004,0.003,0.003,0.003,0.003,0.911,
ZFB02,ZFB,C25,0.008,0.052,0.003,0.014,0.005,0.003,0.005,0.004,0.004,0.005,0.007,0.003,0.004,0.003,0.003,0.012,0.005,0.019,0.03,0.008,0.003,0.003,0.004,0.786,
ZFB03,ZFB,C25,0.003,0.007,0.003,0.02,0.012,0.008,0.008,0.008,0.005,0.004,0.008,0.028,0.004,0.011,0.002,0.004,0.008,0.035,0.014,0.028,0.015,0.009,0.008,0.739,
ZFB04,ZFB,C25,0.008,0.021,0.003,0.009,0.004,0.003,0.004,0.006,0.005,0.004,0.004,0.002,0.005,0.003,0.003,0.005,0.006,0.022,0.015,0.008,0.003,0.003,0.004,0.841,
ZFB05,ZFB,C25,0.013,0.018,0.003,0.009,0.014,0.003,0.014,0.003,0.004,0.006,0.004,0.009,0.004,0.006,0.006,0.008,0.004,0.008,0.005,0.01,0.003,0.003,0.002,0.809,
ZFB06,ZFB,C25,0.011,0.011,0.003,0.008,0.012,0.003,0.01,0.003,0.004,0.007,0.004,0.007,0.004,0.005,0.006,0.007,0.003,0.008,0.006,0.008,0.003,0.003,0.002,0.851,
ZFB07,ZFB,C25,0.006,0.006,0.005,0.05,0.02,0.004,0.01,0.009,0.007,0.005,0.004,0.005,0.008,0.005,0.004,0.004,0.007,0.068,0.008,0.069,0.007,0.008,0.007,0.668,
ZFB08,ZFB,C25,0.003,0.015,0.009,0.053,0.007,0.013,0.03,0.007,0.009,0.016,0.006,0.005,0.009,0.005,0.006,0.007,0.007,0.037,0.014,0.009,0.006,0.009,0.008,0.703,
ZFB09,ZFB,C25,0.003,0.005,0.003,0.008,0.003,0.003,0.004,0.003,0.003,0.004,0.004,0.003,0.003,0.002,0.002,0.004,0.003,0.009,0.005,0.004,0.003,0.003,0.003,0.91,
ZFB10,ZFB,C25,0.003,0.006,0.007,0.004,0.003,0.006,0.004,0.009,0.007,0.009,0.004,0.002,0.007,0.005,0.004,0.003,0.011,0.005,0.007,0.004,0.004,0.008,0.015,0.853,
ZFB11,ZFB,C25,0.007,0.004,0.004,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.003,0.002,0.003,0.002,0.002,0.003,0.004,0.006,0.004,0.003,0.003,0.004,0.005,0.912,
