Sample.Name,Pop,Cluster,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
TMA-ZAIN-G-15,MBC,,0.003,0.002,0.002,0.003,0.003,0.003,0.009,0.004,0.003,0.004,0.006,0.006,0.583,0.313,0.013,0.006,0.004,0.003,0.003,0.004,0.003,0.008,0.005,0.004,0.002
TMA-ZAIN-G-16,MBC,,0.005,0.004,0.003,0.007,0.004,0.004,0.007,0.006,0.149,0.021,0.019,0.003,0.005,0.006,0.019,0.004,0.003,0.604,0.003,0.003,0.005,0.01,0.04,0.064,0.002
TMA-ZAIN-G-17,MBC,,0.078,0.004,0.011,0.005,0.004,0.011,0.183,0.013,0.009,0.006,0.006,0.018,0.014,0.118,0.313,0.007,0.015,0.008,0.008,0.01,0.027,0.096,0.025,0.008,0.005
TMA-ZAIN-G-18,MBC,,0.009,0.003,0.008,0.003,0.2,0.012,0.006,0.007,0.003,0.003,0.014,0.045,0.004,0.003,0.004,0.004,0.018,0.006,0.015,0.243,0.354,0.004,0.003,0.013,0.018
TMA-ZAIN-G-19,MBC,,0.026,0.006,0.008,0.005,0.017,0.038,0.056,0.078,0.016,0.013,0.01,0.004,0.01,0.017,0.019,0.004,0.003,0.012,0.021,0.007,0.562,0.017,0.027,0.017,0.006
TMA-ZAIN-G-20,MBC,,0.007,0.022,0.076,0.005,0.03,0.082,0.003,0.006,0.004,0.004,0.004,0.028,0.004,0.003,0.002,0.005,0.031,0.003,0.011,0.033,0.59,0.003,0.003,0.003,0.039
TMA-ZAIN-G-21,MBC,,0.003,0.936,0.005,0.002,0.003,0.003,0.002,0.003,0.002,0.003,0.002,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.002,0.002,0.003
TMA-ZAIN-G-22,MBC,,0.005,0.004,0.89,0.002,0.016,0.004,0.003,0.005,0.003,0.002,0.003,0.005,0.003,0.002,0.002,0.002,0.004,0.003,0.012,0.005,0.009,0.002,0.002,0.002,0.008
TMA-ZAIN-G-23,MBC,,0.006,0.005,0.865,0.004,0.011,0.009,0.006,0.008,0.005,0.004,0.004,0.004,0.005,0.003,0.005,0.003,0.003,0.004,0.007,0.008,0.015,0.004,0.005,0.004,0.004
TMA-ZAIN-G-24,MBC,,0.003,0.006,0.602,0.19,0.006,0.003,0.002,0.003,0.009,0.011,0.004,0.005,0.011,0.004,0.009,0.064,0.005,0.004,0.004,0.005,0.003,0.027,0.006,0.006,0.006
TMA-ZAIN-G-25,MBC,,0.003,0.01,0.021,0.005,0.011,0.159,0.002,0.007,0.003,0.003,0.003,0.004,0.002,0.387,0.003,0.003,0.004,0.003,0.01,0.028,0.131,0.003,0.003,0.003,0.19
TMA-ZAIN-G-26,MBC,,0.01,0.052,0.006,0.01,0.004,0.006,0.013,0.003,0.014,0.015,0.004,0.356,0.011,0.354,0.009,0.007,0.068,0.007,0.003,0.005,0.004,0.014,0.014,0.005,0.005
TMA-ZAIN-G-27,MBC,,0.017,0.021,0.018,0.004,0.014,0.016,0.009,0.18,0.007,0.015,0.005,0.013,0.07,0.01,0.009,0.009,0.011,0.009,0.027,0.289,0.099,0.08,0.006,0.003,0.059
TMA-ZAIN-G-28,MBC,,0.004,0.003,0.004,0.003,0.013,0.007,0.007,0.874,0.004,0.005,0.005,0.003,0.007,0.006,0.004,0.003,0.004,0.004,0.01,0.004,0.008,0.005,0.005,0.004,0.004
TMA-ZAIN-G-29,MBC,,0.004,0.005,0.004,0.005,0.004,0.217,0.004,0.006,0.004,0.004,0.004,0.015,0.005,0.004,0.005,0.658,0.019,0.004,0.003,0.004,0.006,0.006,0.004,0.004,0.003
TMA-ZAIN-G-30,MBC,,0.006,0.004,0.004,0.053,0.004,0.024,0.01,0.41,0.023,0.022,0.025,0.006,0.032,0.013,0.08,0.019,0.004,0.024,0.004,0.006,0.015,0.138,0.04,0.031,0.003
TMA-ZAIN-G-31,MBC,,0.018,0.008,0.013,0.008,0.024,0.01,0.007,0.006,0.007,0.007,0.006,0.037,0.006,0.005,0.003,0.005,0.057,0.004,0.018,0.035,0.012,0.005,0.004,0.004,0.691
TMA-ZAIN-G-32,MBC,,0.004,0.008,0.017,0.006,0.532,0.013,0.004,0.004,0.009,0.004,0.036,0.005,0.005,0.226,0.009,0.003,0.004,0.016,0.009,0.02,0.01,0.013,0.007,0.023,0.014
TMA-ZAIN-G-33,MBC,,0.003,0.002,0.003,0.005,0.005,0.004,0.016,0.007,0.012,0.018,0.016,0.004,0.005,0.769,0.011,0.009,0.003,0.017,0.004,0.004,0.004,0.02,0.024,0.032,0.003
TMA-ZAIN-G-34,MBC,,0.004,0.013,0.013,0.007,0.026,0.006,0.005,0.004,0.011,0.011,0.663,0.006,0.004,0.108,0.009,0.004,0.003,0.019,0.021,0.011,0.007,0.006,0.008,0.019,0.013
TMA-ZAIN-G-35,MBC,,0.005,0.002,0.003,0.007,0.008,0.004,0.005,0.008,0.006,0.006,0.579,0.004,0.006,0.289,0.006,0.014,0.005,0.01,0.005,0.004,0.004,0.006,0.005,0.007,0.003
TMA-ZAIN-G-36,MBC,,0.008,0.002,0.003,0.155,0.004,0.005,0.027,0.007,0.027,0.017,0.01,0.017,0.076,0.383,0.037,0.013,0.011,0.011,0.005,0.004,0.004,0.091,0.073,0.008,0.003
TMA-ZAIN-G-37,MBC,,0.014,0.004,0.003,0.004,0.004,0.003,0.007,0.009,0.004,0.015,0.007,0.004,0.003,0.863,0.004,0.005,0.007,0.007,0.004,0.004,0.003,0.006,0.006,0.005,0.003
TMA-ZAIN-G-38,MBC,,0.008,0.006,0.017,0.006,0.008,0.009,0.004,0.004,0.007,0.005,0.012,0.007,0.009,0.342,0.006,0.004,0.005,0.006,0.4,0.013,0.038,0.008,0.006,0.007,0.063
TMA-ZAIN-G-39,MBC,,0.009,0.011,0.003,0.394,0.003,0.005,0.015,0.009,0.04,0.058,0.083,0.011,0.003,0.048,0.027,0.012,0.007,0.047,0.003,0.004,0.004,0.07,0.08,0.05,0.003
