Sample.Name,Pop,C1,C2,C3,C4
TMA-ZAIN-G-62,MBC,0.01,0.041,0.054,0.895
TMA-ZAIN-G-63,MBC,0.005,0.027,0.017,0.951
TMA-ZAIN-G-64,MBC,0.012,0.003,0.982,0.003
TMA-ZAIN-G-65,MBC,0.005,0.003,0.989,0.004
TMA-ZAIN-G-66,MBC,0.008,0.003,0.986,0.003
TMA-ZAIN-G-67,MBC,0.007,0.006,0.977,0.01
TMA-ZAIN-G-68,MBC,0.006,0.003,0.988,0.003
TMA-ZAIN-G-69,MBC,0.013,0.011,0.959,0.017
TMA-ZAIN-G-70,MBC,0.011,0.004,0.979,0.006
TMA-ZAIN-G-71,MBC,0.025,0.004,0.966,0.005
TMA-ZAIN-G-72,MBC,0.006,0.003,0.985,0.005
TMA-ZAIN-G-73,MBC,0.013,0.004,0.936,0.047
TMA-ZAIN-G-74,MBC,0.014,0.008,0.958,0.021
TMA-ZAIN-G-75,MBC,0.026,0.005,0.963,0.006
TMA-ZAIN-G-76,MBC,0.022,0.023,0.903,0.052
TMA-ZAIN-G-77,MBC,0.006,0.004,0.983,0.007
TMA-ZAIN-G-78,MBC,0.004,0.011,0.946,0.038
TMA-ZAIN-G-79,MBC,0.004,0.006,0.974,0.015
TMA-ZAIN-G-80,MBC,0.004,0.004,0.987,0.005
TMA-ZAIN-G-81,MBC,0.008,0.006,0.977,0.008
TMA-ZAIN-G-82,MBC,0.011,0.004,0.982,0.004
TMA-ZAIN-G-83,MBC,0.007,0.004,0.942,0.047
TMA-ZAIN-G-84,MBC,0.004,0.007,0.964,0.025
TMA-ZAIN-G-85,MBC,0.003,0.007,0.029,0.961
TMA-ZAIN-G-86,MBC,0.004,0.011,0.156,0.829
TMA-ZAIN-G-87,MBC,0.003,0.007,0.013,0.977
TMA-ZAIN-G-88,MBC,0.005,0.006,0.586,0.403
TMA-ZAIN-G-89,MBC,0.008,0.011,0.619,0.362
TMA-ZAIN-G-90,MBC,0.004,0.02,0.254,0.723
TMA-ZAIN-G-91,MBC,0.006,0.008,0.41,0.576
TMA-ZAIN-G-92,MBC,0.004,0.007,0.118,0.871
TMA-ZAIN-G-93,MBC,0.008,0.007,0.337,0.648
TMA-ZAIN-G-94,MBC,0.004,0.007,0.017,0.972
TMA-ZAIN-G-95,MBC,0.127,0.061,0.028,0.784
TMA-ZAIN-G-96,MBC,0.007,0.315,0.497,0.18
TMA-ZAIN-G-97,MBC,0.007,0.012,0.007,0.974
TMA-ZAIN-G-98,MBC,0.03,0.012,0.008,0.95
TMA-ZAIN-G-99,MBC,0.059,0.009,0.174,0.759
TMA-ZAIN-G-101,MBC,0.005,0.012,0.005,0.978
TMA-ZAIN-G-102,MBC,0.012,0.009,0.04,0.939
TMA-ZAIN-G-103,MBC,0.007,0.006,0.025,0.962
TMA-ZAIN-G-104,MBC,0.004,0.01,0.021,0.965
TMA-ZAIN-G-105,MBC,0.008,0.024,0.007,0.96
TMA-ZAIN-G-106,MBC,0.004,0.01,0.034,0.952
TMA-ZAIN-G-107,MBC,0.006,0.003,0.988,0.004
TMA-ZAIN-G-108,MBC,0.008,0.004,0.984,0.004
TMA-ZAIN-G-109,MBC,0.006,0.014,0.465,0.515
TMA-ZAIN-G-110,MBC,0.005,0.044,0.747,0.204
TMA-ZAIN-G-111,MBC,0.005,0.012,0.775,0.208
TMA-ZAIN-G-112,MBC,0.008,0.009,0.113,0.87
TMA-ZAIN-G-113,MBC,0.008,0.006,0.564,0.422
TMA-ZAIN-G-114,MBC,0.023,0.01,0.072,0.895
TMA-ZAIN-G-115,MBC,0.005,0.009,0.007,0.979
TMA-ZAIN-G-116,MBC,0.008,0.032,0.016,0.944
TMA-ZAIN-G-117,MBC,0.005,0.003,0.988,0.004
TMA-ZAIN-G-118,MBC,0.005,0.004,0.987,0.004
TMA-ZAIN-G-119,MBC,0.004,0.003,0.989,0.004
TMA-ZAIN-G-120,MBC,0.005,0.006,0.981,0.009
TMA-ZAIN-G-121,MBC,0.004,0.004,0.986,0.005
TMA-ZAIN-G-122,MBC,0.005,0.004,0.987,0.004
TMA-ZAIN-G-123,MBC,0.005,0.006,0.98,0.009
TMA-ZAIN-G-124,MBC,0.004,0.03,0.014,0.952
TMA-ZAIN-G-125,MBC,0.005,0.004,0.987,0.005
TMA-ZAIN-G-126,MBC,0.005,0.003,0.989,0.004
TMA-ZAIN-G-127,MBC,0.004,0.003,0.988,0.004
TMA-ZAIN-G-128,MBC,0.004,0.003,0.989,0.004
TMA-ZAIN-G-129,MBC,0.005,0.004,0.988,0.004
TMA-ZAIN-G-130,MBC,0.006,0.004,0.986,0.005
TMA-ZAIN-G-131,MBC,0.005,0.004,0.987,0.004
TMA-ZAIN-G-132,MBC,0.004,0.004,0.987,0.005
TMA-ZAIN-G-133,MBC,0.005,0.003,0.989,0.003
TMA-ZAIN-G-134,MBC,0.005,0.004,0.986,0.006
TMA-ZAIN-G-135,MBC,0.004,0.003,0.988,0.004
TMA-ZAIN-G-136,MBC,0.005,0.003,0.987,0.004
TMA-ZAIN-G-137,MBC,0.006,0.004,0.985,0.005
TMA-ZAIN-G-138,MBC,0.005,0.004,0.987,0.004
TMA-ZAIN-G-139,MBC,0.006,0.003,0.988,0.003
TMA-ZAIN-G-140,MBC,0.006,0.003,0.987,0.004
TMA-ZAIN-G-141,MBC,0.005,0.003,0.987,0.005
TMA-ZAIN-G-142,MBC,0.005,0.004,0.987,0.004
TMA-ZAIN-G-143,MBC,0.005,0.003,0.988,0.004
TMA-ZAIN-G-144,MBC,0.005,0.004,0.988,0.004
TMA-ZAIN-G-145,MBC,0.005,0.005,0.984,0.006
TMA-ZAIN-G-146,MBC,0.004,0.003,0.99,0.003
TMA-ZAIN-G-147,MBC,0.009,0.004,0.984,0.004
TMA-ZAIN-G-148,MBC,0.006,0.003,0.988,0.004
TMA-ZAIN-G-149,MBC,0.012,0.004,0.981,0.004
TMA-ZAIN-G-150,MBC,0.007,0.004,0.98,0.01
TMA-ZAIN-G-151,MBC,0.012,0.004,0.976,0.008
TMA-ZAIN-G-152,MBC,0.004,0.004,0.989,0.003
TMA-ZAIN-G-153,MBC,0.004,0.004,0.988,0.003
TMA-ZAIN-G-154,MBC,0.005,0.003,0.988,0.003
TMA-ZAIN-G-155,MBC,0.004,0.003,0.99,0.003
TMA-ZAIN-G-156,MBC,0.005,0.003,0.988,0.004
TMA-ZAIN-G-157,MBC,0.006,0.005,0.984,0.004
TMA-ZAIN-G-158,MBC,0.005,0.005,0.986,0.004
TMA-ZAIN-G-159,MBC,0.007,0.004,0.984,0.004
TMA-ZAIN-G-160,MBC,0.011,0.004,0.982,0.003
TMA-ZAIN-G-161,MBC,0.006,0.003,0.988,0.003
TMA-ZAIN-G-162,MBC,0.005,0.003,0.988,0.003
TMA-ZAIN-G-163,MBC,0.007,0.003,0.984,0.006
TMA-ZAIN-G-164,MBC,0.005,0.003,0.989,0.003
TMA-ZAIN-G-165,MBC,0.004,0.004,0.987,0.005
TMA-ZAIN-G-166,MBC,0.005,0.003,0.989,0.003
TMA-ZAIN-G-167,MBC,0.005,0.003,0.989,0.003
TMA-ZAIN-G-168,MBC,0.005,0.004,0.984,0.006
TMA-ZAIN-G-169,MBC,0.007,0.005,0.984,0.004
TMA-ZAIN-G-170,MBC,0.006,0.003,0.987,0.004
TMA-ZAIN-G-171,MBC,0.006,0.009,0.972,0.013
TMA-ZAIN-G-172,MBC,0.006,0.003,0.987,0.004
TMA-ZAIN-G-173,MBC,0.005,0.005,0.985,0.006
TMA-ZAIN-G-174,MBC,0.004,0.005,0.985,0.005
TMA-ZAIN-G-175,MBC,0.005,0.002,0.989,0.003
TMA-ZAIN-G-176,MBC,0.012,0.004,0.98,0.004
TMA-ZAIN-G-177,MBC,0.011,0.004,0.982,0.004
TMA-ZAIN-G-178,MBC,0.032,0.007,0.957,0.004
TMA-ZAIN-G-179,MBC,0.006,0.009,0.978,0.006
TMA-ZAIN-G-180,MBC,0.011,0.004,0.981,0.004
TMA-ZAIN-G-181,MBC,0.005,0.004,0.986,0.006
TMA-ZAIN-G-182,MBC,0.006,0.004,0.986,0.004
TMA-ZAIN-G-183,MBC,0.006,0.005,0.984,0.005
TMA-ZAIN-G-184,MBC,0.005,0.004,0.986,0.004
TMA-ZAIN-G-185,MBC,0.008,0.003,0.979,0.01
TMA-ZAIN-G-186,MBC,0.007,0.004,0.975,0.014
TMA-ZAIN-G-187,MBC,0.005,0.004,0.982,0.008
TMA-ZAIN-G-188,MBC,0.006,0.005,0.984,0.005
TMA-ZAIN-G-189,MBC,0.006,0.003,0.988,0.004
TMA-ZAIN-G-190,MBC,0.006,0.003,0.988,0.003
TMA-ZAIN-G-191,MBC,0.009,0.008,0.979,0.005
TMA-ZAIN-G-192,MBC,0.01,0.003,0.977,0.01
TMA-ZAIN-G-193,MBC,0.006,0.004,0.985,0.005
TMA-ZAIN-G-194,MBC,0.007,0.008,0.981,0.005
TMA-ZAIN-G-195,MBC,0.005,0.008,0.981,0.006
TMA-ZAIN-G-196,MBC,0.015,0.01,0.97,0.005
TMA-ZAIN-G-197,MBC,0.006,0.007,0.982,0.004
TMA-ZAIN-G-198,MBC,0.006,0.005,0.985,0.005
TMA-ZAIN-G-199,MBC,0.006,0.007,0.982,0.005
TMA-ZAIN-G-200,MBC,0.005,0.003,0.985,0.006
TMA-ZAIN-G-201,MBC,0.003,0.018,0.004,0.975
TMA-ZAIN-G-202,MBC,0.003,0.004,0.005,0.988
TMA-ZAIN-G-203,MBC,0.004,0.018,0.008,0.97
TMA-ZAIN-G-204,MBC,0.006,0.01,0.977,0.006
TMA-ZAIN-G-205,MBC,0.094,0.022,0.009,0.875
TMA-ZAIN-G-206,MBC,0.005,0.005,0.085,0.904
TMA-ZAIN-G-207,MBC,0.006,0.014,0.02,0.96
TMA-ZAIN-G-208,MBC,0.005,0.008,0.979,0.009
TMA-ZAIN-G-209,MBC,0.004,0.003,0.99,0.003
TMA-ZAIN-G-210,MBC,0.005,0.003,0.989,0.004
TMA-ZAIN-G-211,MBC,0.005,0.004,0.986,0.004
TMA-ZAIN-G-212,MBC,0.005,0.006,0.978,0.011
TMA-ZAIN-G-213,MBC,0.005,0.006,0.985,0.005
TMA-ZAIN-G-214,MBC,0.006,0.003,0.986,0.005
TMA-ZAIN-G-215,MBC,0.005,0.003,0.988,0.004
TMA-ZAIN-G-216,MBC,0.004,0.017,0.881,0.098
TMA-ZAIN-G-217,MBC,0.004,0.003,0.987,0.006
TMA-ZAIN-G-218,MBC,0.005,0.003,0.988,0.004
TMA-ZAIN-G-219,MBC,0.031,0.017,0.036,0.917
TMA-ZAIN-G-220,MBC,0.011,0.014,0.01,0.965
TMA-ZAIN-G-221,MBC,0.009,0.25,0.083,0.658
TMA-ZAIN-G-222,MBC,0.037,0.018,0.022,0.923
TMA-ZAIN-G-223,MBC,0.004,0.006,0.023,0.967
TMA-ZAIN-G-224,MBC,0.003,0.01,0.007,0.98
TMA-ZAIN-G-225,MBC,0.004,0.009,0.058,0.93
TMA-ZAIN-G-226,MBC,0.003,0.016,0.007,0.974
TMA-ZAIN-G-227,MBC,0.003,0.011,0.016,0.97
TMA-ZAIN-G-228,MBC,0.004,0.014,0.013,0.969
TMA-ZAIN-G-229,MBC,0.018,0.029,0.075,0.878
TMA-ZAIN-G-230,MBC,0.005,0.007,0.007,0.982
TMA-ZAIN-G-231,MBC,0.022,0.031,0.349,0.598
TMA-ZAIN-G-232,MBC,0.004,0.006,0.017,0.973
TMA-ZAIN-G-233,MBC,0.004,0.004,0.01,0.981
TMA-ZAIN-G-234,MBC,0.009,0.012,0.127,0.852
TMA-ZAIN-G-235,MBC,0.005,0.011,0.009,0.975
TMA-ZAIN-G-236,MBC,0.009,0.056,0.038,0.897
TMA-ZAIN-G-237,MBC,0.003,0.015,0.015,0.966
TMA-ZAIN-G-238,MBC,0.006,0.01,0.135,0.849
TMA-ZAIN-G-239,MBC,0.004,0.006,0.014,0.976
TMA-ZAIN-G-240,MBC,0.05,0.004,0.143,0.803
TMA-ZAIN-G-241,MBC,0.003,0.004,0.004,0.989
TMA-ZAIN-G-242,MBC,0.006,0.004,0.009,0.982
TMA-ZAIN-G-243,MBC,0.006,0.004,0.01,0.98
TMA-ZAIN-G-244,MBC,0.009,0.004,0.014,0.973
TMA-ZAIN-G-245,MBC,0.009,0.004,0.021,0.966
TMA-ZAIN-G-246,MBC,0.003,0.004,0.005,0.988
TMA-ZAIN-G-248,MBC,0.004,0.004,0.005,0.987
TMA-ZAIN-G-249,MBC,0.007,0.005,0.009,0.98
TMA-ZAIN-G-250,MBC,0.005,0.007,0.008,0.979
TMA-ZAIN-G-251,MBC,0.004,0.007,0.006,0.983
TMA-ZAIN-G-252,MBC,0.006,0.005,0.008,0.981
TMA-ZAIN-G-253,MBC,0.005,0.015,0.905,0.075
TMA-ZAIN-G-254,MBC,0.013,0.005,0.969,0.014
TMA-ZAIN-G-255,MBC,0.006,0.005,0.952,0.037
TMA-ZAIN-G-256,MBC,0.005,0.005,0.973,0.018
TMA-ZAIN-G-257,MBC,0.008,0.016,0.734,0.241
TMA-ZAIN-G-258,MBC,0.008,0.005,0.896,0.091
TMA-ZAIN-G-259,MBC,0.005,0.008,0.941,0.046
TMA-ZAIN-G-260,MBC,0.005,0.006,0.96,0.029
TMA-ZAIN-G-261,MBC,0.009,0.01,0.758,0.224
TMA-ZAIN-G-262,MBC,0.01,0.008,0.815,0.167
TMA-ZAIN-G-263,MBC,0.005,0.016,0.962,0.016
TMA-ZAIN-G-264,MBC,0.004,0.008,0.944,0.044
TMA-ZAIN-G-265,MBC,0.007,0.01,0.833,0.15
TMA-ZAIN-G-266,MBC,0.007,0.008,0.84,0.144
TMA-ZAIN-G-267,MBC,0.012,0.006,0.476,0.506
TMA-ZAIN-G-268,MBC,0.005,0.006,0.966,0.023
TMA-ZAIN-G-269,MBC,0.007,0.007,0.029,0.957
TMA-ZAIN-G-270,MBC,0.003,0.006,0.004,0.987
TMA-ZAIN-G-271,MBC,0.003,0.005,0.005,0.987
TMA-ZAIN-G-272,MBC,0.003,0.005,0.006,0.987
TMA-ZAIN-G-273,MBC,0.003,0.005,0.004,0.988
TMA-ZAIN-G-274,MBC,0.002,0.004,0.005,0.989
TMA-ZAIN-G-275,MBC,0.002,0.004,0.003,0.991
TMA-ZAIN-G-276,MBC,0.005,0.005,0.007,0.983
TMA-ZAIN-G-277,MBC,0.002,0.004,0.003,0.991
TMA-ZAIN-G-278,MBC,0.003,0.004,0.004,0.989
TMA-ZAIN-G-279,MBC,0.004,0.004,0.005,0.987
TMA-ZAIN-G-280,MBC,0.002,0.004,0.003,0.99
TMA-ZAIN-G-281,MBC,0.003,0.004,0.005,0.988
TMA-ZAIN-G-282,MBC,0.003,0.004,0.005,0.988
TMA-ZAIN-G-283,MBC,0.003,0.005,0.004,0.988
TMA-ZAIN-G-284,MBC,0.003,0.004,0.003,0.99
TMA-ZAIN-G-285,MBC,0.003,0.006,0.006,0.985
TMA-ZAIN-G-286,MBC,0.003,0.008,0.009,0.98
TMA-ZAIN-G-287,MBC,0.004,0.004,0.006,0.987
TMA-ZAIN-G-288,MBC,0.003,0.005,0.003,0.989
TMA-ZAIN-G-289,MBC,0.004,0.005,0.004,0.987
TMA-ZAIN-G-290,MBC,0.006,0.006,0.012,0.977
TMA-ZAIN-G-291,MBC,0.004,0.004,0.007,0.985
TMA-ZAIN-G-292,MBC,0.004,0.007,0.007,0.983
TMA-ZAIN-G-293,MBC,0.061,0.079,0.016,0.844
TMA-ZAIN-G-294,MBC,0.005,0.006,0.975,0.014
TMA-ZAIN-G-295,MBC,0.004,0.004,0.985,0.007
TMA-ZAIN-G-296,MBC,0.013,0.005,0.977,0.005
TMA-ZAIN-G-297,MBC,0.012,0.007,0.972,0.009
TMA-ZAIN-G-298,MBC,0.004,0.006,0.981,0.009
TMA-ZAIN-G-299,MBC,0.004,0.004,0.986,0.006
TMA-ZAIN-G-301,MBC,0.004,0.007,0.981,0.008
TMA-ZAIN-G-302,MBC,0.005,0.005,0.983,0.007
TMA-ZAIN-G-303,MBC,0.014,0.005,0.975,0.006
