Sample.Name,Pop,C1,C2,C3,C4
ZFB26,ZFB,0.014,0.845,0.107,0.035
ZFB27,ZFB,0.006,0.595,0.21,0.188
ZFB28,ZFB,0.068,0.35,0.016,0.566
ZFB29,ZFB,0.004,0.847,0.114,0.036
ZFB30,ZFB,0.008,0.859,0.082,0.052
ZFB31,ZFB,0.021,0.936,0.014,0.029
ZFB32,ZFB,0.018,0.858,0.041,0.083
ZFB33,ZFB,0.004,0.864,0.074,0.058
ZFB34,ZFB,0.006,0.97,0.015,0.009
ZFB35,ZFB,0.007,0.958,0.023,0.012
NA,NA,0,0,0,0
ZFBP101,ZFBP1,0.974,0.012,0.006,0.008
ZFBP102,ZFBP1,0.969,0.013,0.008,0.01
ZFBP103,ZFBP1,0.98,0.01,0.006,0.005
ZFBP104,ZFBP1,0.897,0.058,0.005,0.04
ZFBP105,ZFBP1,0.974,0.008,0.006,0.013
ZFBP106,ZFBP1,0.987,0.004,0.005,0.003
ZFBP107,ZFBP1,0.967,0.014,0.006,0.014
ZFBP108,ZFBP1,0.987,0.004,0.006,0.003
ZFBP109,ZFBP1,0.957,0.005,0.034,0.005
ZFBP110,ZFBP1,0.956,0.023,0.01,0.012
ZFBP111,ZFBP1,0.988,0.004,0.005,0.002
ZFBP112,ZFBP1,0.981,0.007,0.006,0.006
ZFBP113,ZFBP1,0.983,0.006,0.006,0.005
ZFBP114,ZFBP1,0.983,0.006,0.007,0.004
ZFBP115,ZFBP1,0.987,0.005,0.005,0.003
ZFBP116,ZFBP1,0.986,0.005,0.005,0.004
ZFBP117,ZFBP1,0.989,0.004,0.005,0.002
ZFBP118,ZFBP1,0.983,0.006,0.007,0.004
ZFBP119,ZFBP1,0.988,0.005,0.005,0.003
ZFBP120,ZFBP1,0.979,0.007,0.007,0.008
ZFBP121,ZFBP1,0.984,0.005,0.006,0.005
ZFBP122,ZFBP1,0.986,0.005,0.007,0.003
ZFBP123,ZFBP1,0.983,0.008,0.005,0.004
ZFBP124,ZFBP1,0.981,0.008,0.006,0.005
ZFBP125,ZFBP1,0.99,0.003,0.005,0.002
ZFBP126,ZFBP1,0.968,0.016,0.01,0.006
ZFBP127,ZFBP1,0.981,0.004,0.012,0.003
ZFBP128,ZFBP1,0.987,0.004,0.006,0.003
ZFBP129,ZFBP1,0.987,0.005,0.006,0.003
ZFBP130,ZFBP1,0.988,0.004,0.005,0.003
ZFBP131,ZFBP1,0.982,0.006,0.009,0.004
ZFBP132,ZFBP1,0.985,0.004,0.009,0.003
ZFBP133,ZFBP1,0.987,0.004,0.006,0.003
ZFBP134,ZFBP1,0.986,0.005,0.005,0.004
ZFBP135,ZFBP1,0.965,0.018,0.007,0.009
ZFBP136,ZFBP1,0.983,0.007,0.004,0.006
NA,NA,0,0,0,0
ZFBP201,ZFBP2,0.977,0.009,0.009,0.005
ZFBP202,ZFBP2,0.983,0.005,0.007,0.004
ZFBP203,ZFBP2,0.948,0.028,0.007,0.017
ZFBP204,ZFBP2,0.984,0.006,0.005,0.005
ZFBP205,ZFBP2,0.985,0.006,0.006,0.004
ZFBP206,ZFBP2,0.978,0.011,0.006,0.005
ZFBP207,ZFBP2,0.99,0.004,0.003,0.003
ZFBP208,ZFBP2,0.974,0.013,0.007,0.006
ZFBP209,ZFBP2,0.982,0.003,0.012,0.002
ZFBP210,ZFBP2,0.978,0.008,0.009,0.005
ZFBP211,ZFBP2,0.985,0.005,0.006,0.003
ZFBP212,ZFBP2,0.986,0.005,0.007,0.003
ZFBP213,ZFBP2,0.979,0.011,0.006,0.004
ZFBP214,ZFBP2,0.98,0.01,0.006,0.003
ZFBP215,ZFBP2,0.985,0.005,0.007,0.003
ZFBP216,ZFBP2,0.971,0.011,0.009,0.009
ZFBP217,ZFBP2,0.986,0.004,0.008,0.003
ZFBP218,ZFBP2,0.987,0.005,0.006,0.003
ZFBP219,ZFBP2,0.985,0.005,0.006,0.003
ZFBP220,ZFBP2,0.986,0.005,0.006,0.003
ZFBP221,ZFBP2,0.987,0.004,0.005,0.004
ZFBP222,ZFBP2,0.978,0.009,0.007,0.005
ZFBP223,ZFBP2,0.983,0.007,0.007,0.004
ZFBP224,ZFBP2,0.982,0.007,0.007,0.004
ZFBP225,ZFBP2,0.987,0.005,0.005,0.003
ZFBP226,ZFBP2,0.984,0.006,0.007,0.004
ZFBP227,ZFBP2,0.865,0.093,0.005,0.037
ZFBP228,ZFBP2,0.987,0.005,0.005,0.003
ZFBP229,ZFBP2,0.986,0.004,0.007,0.003
ZFBP230,ZFBP2,0.985,0.005,0.006,0.005
ZFBP231,ZFBP2,0.983,0.006,0.005,0.006
ZFBP232,ZFBP2,0.986,0.004,0.005,0.004
ZFBP233,ZFBP2,0.979,0.006,0.01,0.005
NA,NA,0,0,0,0
ZFCC01,ZFCC,0.294,0.64,0.029,0.037
ZFCC03,ZFCC,0.921,0.067,0.007,0.004
ZFCC04,ZFCC,0.554,0.433,0.008,0.004
ZFCC05,ZFCC,0.581,0.4,0.007,0.012
ZFCC08,ZFCC,0.977,0.015,0.005,0.003
ZFCC09,ZFCC,0.634,0.357,0.006,0.004
ZFCC10,ZFCC,0.156,0.785,0.011,0.048
ZFCC11,ZFCC,0.803,0.116,0.01,0.072
ZFCC12,ZFCC,0.127,0.859,0.01,0.004
ZFCC13,ZFCC,0.915,0.071,0.008,0.005
ZFCC14,ZFCC,0.196,0.785,0.015,0.004
ZFCC15,ZFCC,0.494,0.491,0.011,0.004
ZFCC16,ZFCC,0.164,0.822,0.01,0.004
ZFCC17,ZFCC,0.3,0.675,0.021,0.004
ZFCC18,ZFCC,0.632,0.357,0.007,0.003
ZFCC19,ZFCC,0.212,0.73,0.018,0.041
ZFCC20,ZFCC,0.71,0.275,0.008,0.006
ZFCC21,ZFCC,0.544,0.447,0.005,0.004
ZFCC22,ZFCC,0.979,0.013,0.004,0.003
ZFCC26,ZFCC,0.448,0.538,0.01,0.004
ZFCC27,ZFCC,0.842,0.084,0.01,0.063
ZFCC29,ZFCC,0.246,0.74,0.011,0.004
ZFCC30,ZFCC,0.894,0.039,0.009,0.058
ZFCC32,ZFCC,0.468,0.521,0.008,0.003
ZFCC33,ZFCC,0.22,0.764,0.008,0.008
ZFCC34,ZFCC,0.643,0.346,0.008,0.003
ZFCC35,ZFCC,0.838,0.089,0.008,0.065
ZFCC36,ZFCC,0.421,0.564,0.011,0.004
ZFCC37,ZFCC,0.096,0.892,0.008,0.004
ZFCC40,ZFCC,0.182,0.746,0.018,0.054
ZFCC42,ZFCC,0.064,0.923,0.007,0.006
ZFCC44,ZFCC,0.874,0.108,0.01,0.007
ZFCC45,ZFCC,0.119,0.864,0.012,0.005
ZFCC46,ZFCC,0.893,0.099,0.005,0.003
ZFCC47,ZFCC,0.539,0.45,0.007,0.004
ZFCC48,ZFCC,0.733,0.258,0.006,0.004
ZFCC50,ZFCC,0.43,0.552,0.015,0.003
ZFCC51,ZFCC,0.731,0.259,0.007,0.003
ZFCC52,ZFCC,0.651,0.299,0.007,0.043
ZFCC53,ZFCC,0.595,0.353,0.015,0.037
NA,NA,0,0,0,0
ZFCNS01,ZFCNS,0.982,0.008,0.005,0.006
ZFCNS02,ZFCNS,0.988,0.005,0.004,0.003
ZFCNS05,ZFCNS,0.985,0.006,0.005,0.004
ZFCNS06,ZFCNS,0.987,0.006,0.004,0.003
ZFCNS07,ZFCNS,0.987,0.005,0.004,0.003
ZFCNS10,ZFCNS,0.989,0.004,0.004,0.003
ZFCNS11,ZFCNS,0.985,0.006,0.004,0.004
ZFCNS15,ZFCNS,0.986,0.006,0.005,0.003
ZFCNS17,ZFCNS,0.988,0.005,0.004,0.003
ZFCNS18,ZFCNS,0.988,0.005,0.004,0.003
ZFCNS19,ZFCNS,0.987,0.005,0.005,0.003
ZFCNS20,ZFCNS,0.987,0.005,0.005,0.003
ZFCNS21,ZFCNS,0.987,0.004,0.005,0.003
ZFCNS22,ZFCNS,0.986,0.006,0.005,0.004
ZFCNS23,ZFCNS,0.984,0.009,0.004,0.004
ZFCNS24,ZFCNS,0.988,0.005,0.004,0.003
ZFCNS25,ZFCNS,0.988,0.005,0.004,0.003
ZFCNS26,ZFCNS,0.987,0.006,0.004,0.003
ZFCNS27,ZFCNS,0.987,0.006,0.004,0.003
ZFCNS28,ZFCNS,0.987,0.006,0.004,0.003
ZFCNS29,ZFCNS,0.987,0.005,0.004,0.004
ZFCNS30,ZFCNS,0.986,0.006,0.004,0.003
ZFCNS31,ZFCNS,0.987,0.005,0.005,0.003
ZFCNS32,ZFCNS,0.987,0.005,0.004,0.003
ZFCNS33,ZFCNS,0.988,0.005,0.004,0.003
ZFCNS34,ZFCNS,0.987,0.006,0.004,0.003
ZFCNS35,ZFCNS,0.986,0.006,0.004,0.005
ZFCNS36,ZFCNS,0.988,0.005,0.004,0.003
ZFCNS37,ZFCNS,0.986,0.006,0.005,0.004
ZFCNS39,ZFCNS,0.989,0.004,0.004,0.003
ZFCNS40,ZFCNS,0.988,0.004,0.005,0.003
ZFCNS41,ZFCNS,0.979,0.008,0.005,0.008
ZFCNS42,ZFCNS,0.988,0.005,0.004,0.003
ZFCNS43,ZFCNS,0.987,0.006,0.004,0.003
ZFCNS44,ZFCNS,0.988,0.004,0.004,0.003
ZFCNS45,ZFCNS,0.989,0.005,0.004,0.003
ZFCNS46,ZFCNS,0.987,0.005,0.005,0.003
ZFCNS47,ZFCNS,0.987,0.005,0.004,0.003
ZFCNS48,ZFCNS,0.988,0.004,0.004,0.003
ZFCNS49,ZFCNS,0.987,0.005,0.005,0.003
NA,NA,0,0,0,0
ZFCR01,ZFCR,0.017,0.954,0.024,0.004
ZFCR02,ZFCR,0.047,0.867,0.06,0.027
ZFCR03,ZFCR,0.016,0.974,0.005,0.004
ZFCR04,ZFCR,0.019,0.966,0.011,0.004
ZFCR05,ZFCR,0.006,0.983,0.006,0.005
ZFCR06,ZFCR,0.335,0.631,0.026,0.007
ZFCR07,ZFCR,0.06,0.93,0.005,0.005
ZFCR08,ZFCR,0.041,0.938,0.016,0.005
ZFCR09,ZFCR,0.048,0.932,0.008,0.012
ZFCR11,ZFCR,0.104,0.872,0.016,0.008
ZFCR12,ZFCR,0.277,0.713,0.006,0.003
ZFCR13,ZFCR,0.132,0.824,0.022,0.023
ZFCR14,ZFCR,0.019,0.959,0.014,0.007
ZFCR15,ZFCR,0.016,0.976,0.004,0.004
ZFCR16,ZFCR,0.024,0.782,0.188,0.006
ZFCR18,ZFCR,0.007,0.882,0.024,0.086
ZFCR19,ZFCR,0.062,0.923,0.01,0.005
ZFCR20,ZFCR,0.028,0.949,0.012,0.011
ZFCR21,ZFCR,0.016,0.976,0.003,0.005
ZFCR22,ZFCR,0.021,0.966,0.007,0.007
ZFCR23,ZFCR,0.035,0.899,0.039,0.027
ZFCR24,ZFCR,0.319,0.654,0.019,0.008
ZFCR25,ZFCR,0.008,0.986,0.003,0.003
ZFCR26,ZFCR,0.041,0.95,0.004,0.005
ZFCR27,ZFCR,0.004,0.962,0.006,0.028
ZFCR28,ZFCR,0.448,0.532,0.013,0.007
ZFCR29,ZFCR,0.01,0.98,0.004,0.006
ZFCR30,ZFCR,0.022,0.969,0.005,0.004
ZFCR31,ZFCR,0.119,0.863,0.013,0.005
ZFCR33,ZFCR,0.028,0.96,0.007,0.005
ZFCR34,ZFCR,0.065,0.914,0.014,0.007
ZFCR35,ZFCR,0.006,0.984,0.004,0.007
ZFCR36,ZFCR,0.013,0.965,0.013,0.009
ZFCR37,ZFCR,0.009,0.973,0.005,0.012
ZFCR38,ZFCR,0.017,0.972,0.006,0.005
ZFCR39,ZFCR,0.078,0.783,0.039,0.1
ZFCR40,ZFCR,0.014,0.974,0.007,0.004
ZFCR41,ZFCR,0.212,0.773,0.012,0.003
ZFCR42,ZFCR,0.122,0.864,0.008,0.006
ZFCR43,ZFCR,0.061,0.827,0.095,0.016
NA,NA,0,0,0,0
ZFENP25,ZFENP,0.011,0.96,0.014,0.015
ZFENP26,ZFENP,0.008,0.879,0.008,0.105
ZFENP27,ZFENP,0.201,0.773,0.02,0.006
ZFENP28,ZFENP,0.009,0.98,0.005,0.006
ZFENP29,ZFENP,0.006,0.98,0.004,0.01
ZFENP30,ZFENP,0.011,0.973,0.004,0.012
ZFENP31,ZFENP,0.011,0.973,0.005,0.011
ZFENP32,ZFENP,0.019,0.952,0.004,0.026
ZFENP33,ZFENP,0.007,0.984,0.003,0.006
ZFENP34,ZFENP,0.006,0.983,0.005,0.006
ZFENP35,ZFENP,0.015,0.951,0.008,0.026
ZFENP36,ZFENP,0.005,0.974,0.003,0.018
ZFENP37,ZFENP,0.008,0.982,0.004,0.006
ZFENP38,ZFENP,0.023,0.959,0.004,0.014
ZFENP39,ZFENP,0.006,0.984,0.004,0.006
ZFENP40,ZFENP,0.007,0.981,0.006,0.006
ZFENP41,ZFENP,0.014,0.92,0.005,0.06
ZFENP42,ZFENP,0.007,0.959,0.006,0.028
ZFENP43,ZFENP,0.109,0.868,0.015,0.008
ZFENP44,ZFENP,0.01,0.976,0.005,0.009
ZFENP45,ZFENP,0.407,0.571,0.009,0.013
ZFENP46,ZFENP,0.025,0.896,0.005,0.075
ZFENP47,ZFENP,0.056,0.775,0.015,0.154
ZFENP48,ZFENP,0.012,0.978,0.004,0.006
ZFENP49,ZFENP,0.018,0.974,0.003,0.005
ZFENP50,ZFENP,0.04,0.635,0.122,0.204
ZFENP51,ZFENP,0.02,0.938,0.011,0.031
ZFENP52,ZFENP,0.031,0.839,0.095,0.034
ZFENP53,ZFENP,0.052,0.743,0.143,0.062
ZFENP54,ZFENP,0.137,0.782,0.057,0.024
ZFENP55,ZFENP,0.007,0.964,0.006,0.023
ZFENP56,ZFENP,0.063,0.729,0.014,0.194
ZFENP57,ZFENP,0.007,0.965,0.004,0.024
ZFENP58,ZFENP,0.035,0.868,0.075,0.022
ZFENP59,ZFENP,0.008,0.981,0.003,0.007
ZFENP60,ZFENP,0.007,0.982,0.005,0.005
ZFENP61,ZFENP,0.005,0.931,0.004,0.06
NA,NA,0,0,0,0
ZFFDSP01,ZFFDSP,0.987,0.005,0.005,0.003
ZFFDSP02,ZFFDSP,0.987,0.004,0.006,0.003
ZFFDSP04,ZFFDSP,0.985,0.005,0.006,0.005
ZFFDSP05,ZFFDSP,0.984,0.005,0.006,0.004
ZFFDSP06,ZFFDSP,0.988,0.004,0.005,0.003
ZFFDSP07,ZFFDSP,0.985,0.007,0.004,0.004
ZFFDSP08,ZFFDSP,0.987,0.005,0.005,0.003
ZFFDSP10,ZFFDSP,0.985,0.005,0.006,0.003
ZFFDSP11,ZFFDSP,0.982,0.006,0.006,0.005
ZFFDSP12,ZFFDSP,0.986,0.004,0.007,0.003
ZFFDSP13,ZFFDSP,0.983,0.007,0.005,0.005
ZFFDSP14,ZFFDSP,0.986,0.006,0.005,0.003
ZFFDSP16,ZFFDSP,0.98,0.007,0.009,0.004
ZFFDSP17,ZFFDSP,0.986,0.004,0.007,0.003
ZFFDSP18,ZFFDSP,0.985,0.006,0.005,0.004
ZFFDSP19,ZFFDSP,0.986,0.005,0.006,0.003
ZFFDSP21,ZFFDSP,0.988,0.004,0.006,0.002
ZFFDSP22,ZFFDSP,0.988,0.004,0.006,0.002
ZFFDSP23,ZFFDSP,0.99,0.003,0.004,0.002
ZFFDSP24,ZFFDSP,0.987,0.006,0.005,0.003
ZFFDSP26,ZFFDSP,0.987,0.004,0.005,0.004
ZFFDSP27,ZFFDSP,0.985,0.005,0.006,0.004
ZFFDSP28,ZFFDSP,0.876,0.113,0.006,0.004
ZFFDSP30,ZFFDSP,0.975,0.011,0.005,0.009
ZFFDSP31,ZFFDSP,0.989,0.005,0.004,0.003
ZFFDSP32,ZFFDSP,0.987,0.004,0.006,0.003
ZFFDSP33,ZFFDSP,0.986,0.004,0.008,0.003
ZFFDSP34,ZFFDSP,0.989,0.004,0.004,0.002
ZFFDSP35,ZFFDSP,0.985,0.005,0.005,0.004
ZFFDSP37,ZFFDSP,0.985,0.005,0.007,0.003
ZFFDSP38,ZFFDSP,0.987,0.005,0.005,0.003
ZFFDSP39,ZFFDSP,0.987,0.004,0.005,0.003
ZFFDSP40,ZFFDSP,0.985,0.005,0.006,0.004
ZFFDSP42,ZFFDSP,0.989,0.004,0.005,0.002
ZFFDSP43,ZFFDSP,0.989,0.004,0.004,0.002
ZFFDSP44,ZFFDSP,0.986,0.005,0.005,0.003
ZFFDSP45,ZFFDSP,0.986,0.005,0.006,0.003
ZFFDSP46,ZFFDSP,0.986,0.005,0.006,0.003
ZFFDSP47,ZFFDSP,0.988,0.004,0.005,0.003
ZFFDSP48,ZFFDSP,0.988,0.005,0.005,0.003
NA,NA,0,0,0,0
ZFI01,ZFI,0.008,0.982,0.003,0.007
ZFI02,ZFI,0.011,0.982,0.004,0.004
ZFI03,ZFI,0.007,0.982,0.004,0.007
ZFI04,ZFI,0.006,0.987,0.003,0.004
ZFI05,ZFI,0.013,0.976,0.003,0.008
ZFI06,ZFI,0.052,0.911,0.004,0.032
ZFI07,ZFI,0.005,0.981,0.004,0.009
ZFI08,ZFI,0.004,0.989,0.003,0.004
ZFI09,ZFI,0.007,0.973,0.003,0.017
ZFI10,ZFI,0.025,0.964,0.006,0.005
ZFI11,ZFI,0.005,0.987,0.003,0.005
ZFI12,ZFI,0.009,0.983,0.003,0.004
ZFI13,ZFI,0.007,0.971,0.004,0.019
ZFI14,ZFI,0.02,0.954,0.008,0.018
ZFI15,ZFI,0.007,0.982,0.004,0.007
ZFI16,ZFI,0.007,0.977,0.004,0.012
ZFI17,ZFI,0.006,0.978,0.004,0.012
ZFI18,ZFI,0.006,0.926,0.004,0.064
ZFI19,ZFI,0.005,0.976,0.004,0.015
ZFI20,ZFI,0.007,0.984,0.003,0.005
ZFI21,ZFI,0.047,0.893,0.011,0.049
ZFI22,ZFI,0.009,0.959,0.011,0.021
ZFI23,ZFI,0.006,0.983,0.004,0.007
ZFI24,ZFI,0.01,0.981,0.003,0.006
ZFI25,ZFI,0.009,0.983,0.005,0.004
ZFI26,ZFI,0.005,0.986,0.003,0.006
ZFI27,ZFI,0.014,0.974,0.003,0.008
ZFK01,ZFI,0.446,0.508,0.005,0.041
NA,NA,0,0,0,0
ZFK02,ZFK,0.395,0.55,0.004,0.051
ZFK03,ZFK,0.173,0.815,0.005,0.007
ZFK04,ZFK,0.03,0.96,0.004,0.005
ZFK05,ZFK,0.017,0.973,0.005,0.005
ZFK06,ZFK,0.022,0.969,0.004,0.006
ZFK07,ZFK,0.361,0.61,0.004,0.024
ZFK08,ZFK,0.014,0.978,0.003,0.005
ZFK10,ZFK,0.062,0.927,0.005,0.006
ZFK11,ZFK,0.024,0.966,0.004,0.006
ZFK12,ZFK,0.428,0.533,0.004,0.034
ZFK13,ZFK,0.69,0.278,0.005,0.027
ZFK14,ZFK,0.722,0.255,0.007,0.016
ZFK15,ZFK,0.122,0.867,0.005,0.006
ZFK16,ZFK,0.899,0.077,0.005,0.018
NA,NA,0,0,0,0
ZFLB01,ZFLB,0.011,0.961,0.006,0.023
ZFLB02,ZFLB,0.005,0.976,0.009,0.01
ZFLB03,ZFLB,0.018,0.963,0.005,0.015
ZFLB04,ZFLB,0.082,0.904,0.006,0.009
ZFLB05,ZFLB,0.008,0.971,0.006,0.015
ZFLB06,ZFLB,0.01,0.97,0.005,0.016
ZFLB07,ZFLB,0.071,0.899,0.004,0.026
ZFLB08,ZFLB,0.005,0.979,0.004,0.012
ZFLB09,ZFLB,0.008,0.973,0.005,0.015
ZFLB10,ZFLB,0.009,0.976,0.005,0.01
ZFLB11,ZFLB,0.009,0.966,0.007,0.018
ZFLB12,ZFLB,0.004,0.977,0.004,0.015
ZFLB13,ZFLB,0.007,0.979,0.004,0.009
NA,NA,0,0,0,0
ZFLTI01,ZFLTI,0.987,0.005,0.005,0.003
ZFLTI02,ZFLTI,0.988,0.005,0.004,0.003
ZFLTI03,ZFLTI,0.989,0.004,0.004,0.002
ZFLTI04,ZFLTI,0.983,0.007,0.005,0.005
ZFLTI05,ZFLTI,0.989,0.004,0.004,0.003
ZFLTI06,ZFLTI,0.986,0.004,0.006,0.004
ZFLTI07,ZFLTI,0.985,0.005,0.006,0.004
ZFLTI08,ZFLTI,0.985,0.007,0.005,0.003
ZFLTI09,ZFLTI,0.986,0.006,0.004,0.004
ZFLTI10,ZFLTI,0.987,0.005,0.005,0.004
ZFLTI11,ZFLTI,0.989,0.004,0.004,0.003
ZFLTI12,ZFLTI,0.988,0.004,0.005,0.003
ZFLTI13,ZFLTI,0.986,0.006,0.005,0.003
ZFLTI14,ZFLTI,0.988,0.005,0.004,0.003
NA,NA,0,0,0,0
ZFONF101,ZFONF1,0.987,0.004,0.005,0.004
ZFONF102,ZFONF1,0.983,0.007,0.004,0.006
ZFONF103,ZFONF1,0.987,0.004,0.005,0.003
ZFONF104,ZFONF1,0.99,0.003,0.005,0.002
ZFONF105,ZFONF1,0.989,0.003,0.005,0.002
ZFONF106,ZFONF1,0.988,0.004,0.004,0.004
ZFONF107,ZFONF1,0.92,0.039,0.007,0.035
ZFONF108,ZFONF1,0.982,0.007,0.006,0.005
ZFONF109,ZFONF1,0.985,0.006,0.004,0.005
ZFONF110,ZFONF1,0.99,0.003,0.005,0.002
ZFONF111,ZFONF1,0.959,0.017,0.005,0.019
ZFONF112,ZFONF1,0.99,0.003,0.004,0.003
ZFONF113,ZFONF1,0.985,0.005,0.006,0.005
ZFONF115,ZFONF1,0.988,0.004,0.005,0.003
ZFONF116,ZFONF1,0.985,0.005,0.007,0.003
ZFONF117,ZFONF1,0.987,0.004,0.005,0.003
ZFONF118,ZFONF1,0.989,0.005,0.004,0.002
ZFONF119,ZFONF1,0.983,0.007,0.005,0.006
ZFONF120,ZFONF1,0.985,0.007,0.004,0.005
ZFONF121,ZFONF1,0.986,0.004,0.006,0.003
ZFONF122,ZFONF1,0.985,0.006,0.005,0.004
ZFONF123,ZFONF1,0.964,0.015,0.009,0.012
ZFONF124,ZFONF1,0.987,0.004,0.006,0.003
ZFONF125,ZFONF1,0.962,0.018,0.008,0.012
ZFONF126,ZFONF1,0.987,0.005,0.005,0.003
NA,NA,0,0,0,0
ZFONF201,ZFONF2,0.941,0.043,0.008,0.008
ZFONF202,ZFONF2,0.989,0.004,0.005,0.002
ZFONF203,ZFONF2,0.985,0.009,0.004,0.003
ZFONF204,ZFONF2,0.969,0.023,0.005,0.003
ZFONF206,ZFONF2,0.865,0.125,0.005,0.005
ZFONF207,ZFONF2,0.981,0.012,0.005,0.003
ZFONF208,ZFONF2,0.983,0.009,0.005,0.003
ZFONF209,ZFONF2,0.983,0.01,0.004,0.003
ZFONF210,ZFONF2,0.896,0.003,0.095,0.007
ZFONF211,ZFONF2,0.988,0.005,0.004,0.003
ZFONF212,ZFONF2,0.904,0.003,0.085,0.008
ZFONF214,ZFONF2,0.987,0.005,0.004,0.003
ZFONF215,ZFONF2,0.991,0.003,0.004,0.002
ZFONF216,ZFONF2,0.99,0.004,0.003,0.003
ZFONF217,ZFONF2,0.988,0.004,0.005,0.003
ZFONF218,ZFONF2,0.972,0.018,0.004,0.006
ZFONF219,ZFONF2,0.991,0.003,0.004,0.002
ZFONF220,ZFONF2,0.986,0.005,0.006,0.003
ZFONF222,ZFONF2,0.979,0.01,0.004,0.007
ZFONF223,ZFONF2,0.973,0.014,0.005,0.008
ZFONF224,ZFONF2,0.989,0.005,0.004,0.002
ZFONF225,ZFONF2,0.991,0.003,0.004,0.002
ZFONF226,ZFONF2,0.989,0.004,0.004,0.003
ZFONF227,ZFONF2,0.992,0.003,0.004,0.002
ZFONF228,ZFONF2,0.991,0.003,0.004,0.002
ZFONF230,ZFONF2,0.99,0.003,0.005,0.002
ZFONF231,ZFONF2,0.989,0.004,0.004,0.003
ZFONF232,ZFONF2,0.99,0.004,0.003,0.002
ZFONF233,ZFONF2,0.989,0.005,0.003,0.002
ZFONF234,ZFONF2,0.964,0.007,0.004,0.025
ZFONF235,ZFONF2,0.99,0.004,0.005,0.002
ZFONF236,ZFONF2,0.981,0.01,0.006,0.003
ZFONF238,ZFONF2,0.986,0.007,0.005,0.002
ZFONF239,ZFONF2,0.978,0.014,0.005,0.002
ZFONF240,ZFONF2,0.991,0.003,0.004,0.002
ZFONF241,ZFONF2,0.982,0.012,0.004,0.002
ZFONF242,ZFONF2,0.989,0.005,0.004,0.002
ZFONF243,ZFONF2,0.99,0.004,0.004,0.003
ZFONF244,ZFONF2,0.991,0.003,0.003,0.003
ZFONF245,ZFONF2,0.99,0.004,0.004,0.002
NA,NA,0,0,0,0
ZFOS01,ZFO,0.853,0.139,0.006,0.003
ZFOS02,ZFO,0.623,0.356,0.017,0.004
ZFOS03,ZFO,0.438,0.297,0.043,0.222
ZFOS04,ZFO,0.709,0.257,0.01,0.024
ZFOS05,ZFO,0.793,0.198,0.006,0.003
ZFOS06,ZFO,0.925,0.06,0.009,0.005
ZFOS07,ZFO,0.328,0.654,0.009,0.008
ZFOS08,ZFO,0.554,0.414,0.007,0.025
ZFOS09,ZFO,0.688,0.194,0.102,0.016
ZFOS10,ZFO,0.285,0.562,0.148,0.005
ZFOS11,ZFO,0.765,0.226,0.005,0.004
ZFOS12,ZFO,0.26,0.725,0.01,0.005
ZFOS13,ZFO,0.779,0.196,0.008,0.017
ZFOS14,ZFO,0.486,0.376,0.124,0.014
ZFOS15,ZFO,0.427,0.557,0.008,0.008
ZFOS16,ZFO,0.758,0.16,0.064,0.018
ZFOS17,ZFO,0.554,0.414,0.028,0.004
ZFOS18,ZFO,0.599,0.331,0.059,0.011
ZFOS19,ZFO,0.572,0.416,0.007,0.004
ZFOS20,ZFO,0.605,0.355,0.024,0.016
ZFOS21,ZFO,0.666,0.323,0.008,0.003
ZFOS22,ZFO,0.958,0.029,0.007,0.006
ZFOS23,ZFO,0.059,0.605,0.324,0.012
ZFOS24,ZFO,0.655,0.329,0.009,0.007
ZFOS25,ZFO,0.975,0.014,0.006,0.005
ZFOS26,ZFO,0.971,0.017,0.007,0.005
ZFOS27,ZFO,0.893,0.09,0.011,0.005
ZFOS28,ZFO,0.44,0.516,0.04,0.004
ZFOS29,ZFO,0.577,0.379,0.029,0.015
ZFOS30,ZFO,0.595,0.394,0.008,0.003
ZFOS31,ZFO,0.651,0.305,0.026,0.018
ZFOS32,ZFO,0.752,0.126,0.109,0.013
NA,NA,0,0,0,0
ZFPB01,ZFBP,0.005,0.973,0.007,0.016
ZFPB02,ZFBP,0.014,0.913,0.018,0.055
ZFPB03,ZFBP,0.018,0.947,0.016,0.018
ZFPB04,ZFBP,0.01,0.905,0.011,0.074
ZFPB05,ZFBP,0.011,0.906,0.014,0.07
ZFPB06,ZFBP,0.005,0.966,0.007,0.022
ZFPB07,ZFBP,0.019,0.872,0.02,0.089
ZFPB08,ZFBP,0.01,0.935,0.017,0.037
ZFPB10,ZFBP,0.007,0.952,0.006,0.036
ZFPB11,ZFBP,0.005,0.956,0.007,0.031
ZFPB12,ZFBP,0.006,0.956,0.008,0.03
ZFPB13,ZFBP,0.01,0.934,0.02,0.035
ZFPB14,ZFBP,0.011,0.934,0.022,0.033
ZFPB15,ZFBP,0.015,0.922,0.026,0.037
ZFPB17,ZFBP,0.004,0.95,0.006,0.04
ZFPB18,ZFBP,0.007,0.948,0.011,0.033
ZFPB19,ZFBP,0.008,0.96,0.011,0.021
ZFPB20,ZFBP,0.006,0.865,0.008,0.121
ZFPB21,ZFBP,0.015,0.851,0.018,0.115
ZFPB22,ZFBP,0.005,0.875,0.005,0.115
ZFPB23,ZFBP,0.007,0.941,0.01,0.042
NA,NA,0,0,0,0
ZFSF01,ZFSF,0.005,0.934,0.02,0.042
ZFSF02,ZFSF,0.03,0.866,0.038,0.066
