Sample.Name,Pop,C1,C2,C3
ZFBP220,ZFBP2,0.005,0.008,0.987
ZFBP221,ZFBP2,0.008,0.007,0.986
ZFBP222,ZFBP2,0.01,0.01,0.981
ZFBP223,ZFBP2,0.008,0.01,0.982
ZFBP224,ZFBP2,0.008,0.01,0.983
ZFBP225,ZFBP2,0.006,0.007,0.987
ZFBP226,ZFBP2,0.008,0.01,0.982
ZFBP227,ZFBP2,0.118,0.008,0.874
ZFBP228,ZFBP2,0.006,0.008,0.986
ZFBP229,ZFBP2,0.005,0.008,0.987
ZFBP230,ZFBP2,0.007,0.008,0.985
ZFBP231,ZFBP2,0.008,0.009,0.983
ZFBP232,ZFBP2,0.005,0.009,0.986
ZFBP233,ZFBP2,0.008,0.015,0.977
NA,NA,0,0,0
ZFCC01,ZFCC,0.53,0.021,0.449
ZFCC03,ZFCC,0.025,0.009,0.967
ZFCC04,ZFCC,0.285,0.008,0.706
ZFCC05,ZFCC,0.243,0.009,0.748
ZFCC08,ZFCC,0.009,0.006,0.985
ZFCC09,ZFCC,0.122,0.008,0.87
ZFCC10,ZFCC,0.576,0.013,0.412
ZFCC11,ZFCC,0.257,0.014,0.729
ZFCC12,ZFCC,0.53,0.011,0.459
ZFCC13,ZFCC,0.029,0.009,0.962
ZFCC14,ZFCC,0.451,0.012,0.537
ZFCC15,ZFCC,0.19,0.008,0.802
ZFCC16,ZFCC,0.368,0.01,0.622
ZFCC17,ZFCC,0.466,0.012,0.522
ZFCC18,ZFCC,0.112,0.008,0.88
ZFCC19,ZFCC,0.592,0.015,0.393
ZFCC20,ZFCC,0.086,0.009,0.904
ZFCC21,ZFCC,0.071,0.007,0.922
ZFCC22,ZFCC,0.009,0.006,0.985
ZFCC26,ZFCC,0.244,0.009,0.747
ZFCC27,ZFCC,0.204,0.015,0.78
ZFCC29,ZFCC,0.408,0.008,0.585
ZFCC30,ZFCC,0.157,0.014,0.829
ZFCC32,ZFCC,0.267,0.008,0.726
ZFCC33,ZFCC,0.462,0.008,0.53
ZFCC34,ZFCC,0.17,0.008,0.822
ZFCC35,ZFCC,0.211,0.011,0.778
ZFCC36,ZFCC,0.199,0.008,0.793
ZFCC37,ZFCC,0.535,0.009,0.456
ZFCC40,ZFCC,0.556,0.018,0.425
ZFCC42,ZFCC,0.702,0.013,0.285
ZFCC44,ZFCC,0.041,0.012,0.947
ZFCC45,ZFCC,0.572,0.014,0.414
ZFCC46,ZFCC,0.022,0.006,0.972
ZFCC47,ZFCC,0.296,0.007,0.698
ZFCC48,ZFCC,0.043,0.007,0.95
ZFCC50,ZFCC,0.359,0.012,0.629
ZFCC51,ZFCC,0.079,0.008,0.913
ZFCC52,ZFCC,0.283,0.009,0.708
ZFCC53,ZFCC,0.321,0.012,0.667
NA,NA,0,0,0
ZFCNS01,ZFCNS,0.01,0.006,0.983
ZFCNS02,ZFCNS,0.006,0.005,0.989
ZFCNS05,ZFCNS,0.007,0.006,0.987
ZFCNS06,ZFCNS,0.006,0.006,0.988
ZFCNS07,ZFCNS,0.006,0.006,0.988
ZFCNS10,ZFCNS,0.005,0.006,0.989
ZFCNS11,ZFCNS,0.007,0.006,0.987
ZFCNS15,ZFCNS,0.006,0.007,0.987
ZFCNS17,ZFCNS,0.006,0.006,0.988
ZFCNS18,ZFCNS,0.005,0.006,0.989
ZFCNS19,ZFCNS,0.006,0.006,0.988
ZFCNS20,ZFCNS,0.006,0.007,0.987
ZFCNS21,ZFCNS,0.006,0.006,0.988
ZFCNS22,ZFCNS,0.007,0.007,0.986
ZFCNS23,ZFCNS,0.008,0.006,0.986
ZFCNS24,ZFCNS,0.006,0.006,0.988
ZFCNS25,ZFCNS,0.005,0.006,0.988
ZFCNS26,ZFCNS,0.007,0.006,0.988
ZFCNS27,ZFCNS,0.006,0.006,0.987
ZFCNS28,ZFCNS,0.007,0.007,0.987
ZFCNS29,ZFCNS,0.006,0.007,0.987
ZFCNS30,ZFCNS,0.007,0.007,0.987
ZFCNS31,ZFCNS,0.006,0.006,0.987
ZFCNS32,ZFCNS,0.007,0.005,0.988
ZFCNS33,ZFCNS,0.006,0.006,0.988
ZFCNS34,ZFCNS,0.007,0.006,0.988
ZFCNS35,ZFCNS,0.008,0.007,0.985
ZFCNS36,ZFCNS,0.006,0.006,0.989
ZFCNS37,ZFCNS,0.007,0.007,0.986
ZFCNS39,ZFCNS,0.005,0.006,0.989
ZFCNS40,ZFCNS,0.005,0.006,0.989
ZFCNS41,ZFCNS,0.011,0.008,0.981
ZFCNS42,ZFCNS,0.006,0.006,0.988
ZFCNS43,ZFCNS,0.006,0.006,0.988
ZFCNS44,ZFCNS,0.005,0.006,0.989
ZFCNS45,ZFCNS,0.006,0.006,0.988
ZFCNS46,ZFCNS,0.006,0.007,0.987
ZFCNS47,ZFCNS,0.006,0.006,0.988
ZFCNS48,ZFCNS,0.006,0.006,0.988
ZFCNS49,ZFCNS,0.006,0.006,0.988
NA,NA,0,0,0
ZFCR01,ZFCR,0.898,0.048,0.053
ZFCR02,ZFCR,0.894,0.028,0.077
ZFCR03,ZFCR,0.933,0.008,0.059
ZFCR04,ZFCR,0.946,0.014,0.04
ZFCR05,ZFCR,0.976,0.009,0.014
ZFCR06,ZFCR,0.545,0.02,0.435
ZFCR07,ZFCR,0.684,0.008,0.308
ZFCR08,ZFCR,0.843,0.026,0.131
ZFCR09,ZFCR,0.845,0.013,0.142
ZFCR11,ZFCR,0.79,0.014,0.196
ZFCR12,ZFCR,0.514,0.007,0.479
ZFCR13,ZFCR,0.651,0.022,0.327
ZFCR14,ZFCR,0.896,0.015,0.089
ZFCR15,ZFCR,0.931,0.006,0.063
ZFCR16,ZFCR,0.733,0.192,0.075
ZFCR18,ZFCR,0.971,0.016,0.013
ZFCR19,ZFCR,0.761,0.012,0.227
ZFCR20,ZFCR,0.883,0.011,0.106
ZFCR21,ZFCR,0.927,0.005,0.068
ZFCR22,ZFCR,0.892,0.007,0.102
ZFCR23,ZFCR,0.891,0.046,0.062
ZFCR24,ZFCR,0.478,0.015,0.507
ZFCR25,ZFCR,0.971,0.005,0.024
ZFCR26,ZFCR,0.812,0.006,0.182
ZFCR27,ZFCR,0.984,0.01,0.007
ZFCR28,ZFCR,0.41,0.012,0.577
ZFCR29,ZFCR,0.971,0.006,0.023
ZFCR30,ZFCR,0.887,0.008,0.105
ZFCR31,ZFCR,0.673,0.016,0.311
ZFCR33,ZFCR,0.857,0.013,0.13
ZFCR34,ZFCR,0.715,0.018,0.267
ZFCR35,ZFCR,0.982,0.005,0.013
ZFCR36,ZFCR,0.948,0.014,0.038
ZFCR37,ZFCR,0.963,0.008,0.029
ZFCR38,ZFCR,0.919,0.011,0.071
ZFCR39,ZFCR,0.866,0.038,0.096
ZFCR40,ZFCR,0.936,0.012,0.053
ZFCR41,ZFCR,0.498,0.008,0.494
ZFCR42,ZFCR,0.562,0.013,0.426
ZFCR43,ZFCR,0.743,0.074,0.183
NA,NA,0,0,0
ZFENP25,ZFENP,0.95,0.023,0.026
ZFENP26,ZFENP,0.972,0.014,0.014
ZFENP27,ZFENP,0.609,0.015,0.376
ZFENP28,ZFENP,0.968,0.007,0.025
ZFENP29,ZFENP,0.977,0.005,0.018
ZFENP30,ZFENP,0.957,0.006,0.038
ZFENP31,ZFENP,0.961,0.009,0.03
ZFENP32,ZFENP,0.957,0.007,0.036
ZFENP33,ZFENP,0.976,0.005,0.019
ZFENP34,ZFENP,0.979,0.008,0.013
ZFENP35,ZFENP,0.962,0.01,0.028
ZFENP36,ZFENP,0.986,0.005,0.008
ZFENP37,ZFENP,0.976,0.006,0.017
ZFENP38,ZFENP,0.879,0.006,0.115
ZFENP39,ZFENP,0.979,0.006,0.015
ZFENP40,ZFENP,0.977,0.01,0.013
ZFENP41,ZFENP,0.963,0.009,0.029
ZFENP42,ZFENP,0.97,0.013,0.017
ZFENP43,ZFENP,0.71,0.015,0.275
ZFENP44,ZFENP,0.957,0.01,0.033
ZFENP45,ZFENP,0.397,0.009,0.594
ZFENP46,ZFENP,0.955,0.007,0.039
ZFENP47,ZFENP,0.901,0.024,0.075
ZFENP48,ZFENP,0.955,0.006,0.04
ZFENP49,ZFENP,0.911,0.005,0.085
ZFENP50,ZFENP,0.811,0.143,0.046
ZFENP51,ZFENP,0.97,0.008,0.022
ZFENP52,ZFENP,0.82,0.039,0.141
ZFENP53,ZFENP,0.83,0.072,0.097
ZFENP54,ZFENP,0.754,0.025,0.221
ZFENP55,ZFENP,0.981,0.006,0.013
ZFENP56,ZFENP,0.927,0.025,0.049
ZFENP57,ZFENP,0.978,0.007,0.015
ZFENP58,ZFENP,0.746,0.094,0.159
ZFENP59,ZFENP,0.966,0.005,0.029
ZFENP60,ZFENP,0.976,0.009,0.015
ZFENP61,ZFENP,0.984,0.005,0.011
NA,NA,0,0,0
ZFFDSP01,ZFFDSP,0.007,0.007,0.985
ZFFDSP02,ZFFDSP,0.005,0.008,0.987
ZFFDSP04,ZFFDSP,0.008,0.008,0.985
ZFFDSP05,ZFFDSP,0.008,0.008,0.984
ZFFDSP06,ZFFDSP,0.005,0.006,0.988
ZFFDSP07,ZFFDSP,0.007,0.006,0.987
ZFFDSP08,ZFFDSP,0.006,0.006,0.988
ZFFDSP10,ZFFDSP,0.006,0.007,0.987
ZFFDSP11,ZFFDSP,0.009,0.009,0.982
ZFFDSP12,ZFFDSP,0.005,0.01,0.985
ZFFDSP13,ZFFDSP,0.01,0.008,0.983
ZFFDSP14,ZFFDSP,0.006,0.007,0.987
ZFFDSP16,ZFFDSP,0.008,0.014,0.979
ZFFDSP17,ZFFDSP,0.006,0.009,0.985
ZFFDSP18,ZFFDSP,0.007,0.009,0.984
ZFFDSP19,ZFFDSP,0.006,0.008,0.986
ZFFDSP21,ZFFDSP,0.005,0.007,0.988
ZFFDSP22,ZFFDSP,0.004,0.008,0.988
ZFFDSP23,ZFFDSP,0.004,0.006,0.99
ZFFDSP24,ZFFDSP,0.006,0.007,0.987
ZFFDSP26,ZFFDSP,0.006,0.007,0.986
ZFFDSP27,ZFFDSP,0.007,0.008,0.986
ZFFDSP28,ZFFDSP,0.037,0.008,0.955
ZFFDSP30,ZFFDSP,0.014,0.008,0.978
ZFFDSP31,ZFFDSP,0.005,0.005,0.989
ZFFDSP32,ZFFDSP,0.006,0.009,0.986
ZFFDSP33,ZFFDSP,0.005,0.01,0.985
ZFFDSP34,ZFFDSP,0.005,0.006,0.989
ZFFDSP35,ZFFDSP,0.006,0.007,0.987
ZFFDSP37,ZFFDSP,0.006,0.009,0.986
ZFFDSP38,ZFFDSP,0.005,0.007,0.988
ZFFDSP39,ZFFDSP,0.005,0.007,0.988
ZFFDSP40,ZFFDSP,0.007,0.008,0.985
ZFFDSP42,ZFFDSP,0.005,0.007,0.989
ZFFDSP43,ZFFDSP,0.005,0.006,0.989
ZFFDSP44,ZFFDSP,0.007,0.008,0.985
ZFFDSP45,ZFFDSP,0.006,0.009,0.986
ZFFDSP46,ZFFDSP,0.005,0.007,0.987
ZFFDSP47,ZFFDSP,0.005,0.006,0.988
ZFFDSP48,ZFFDSP,0.006,0.007,0.988
NA,NA,0,0,0
ZFI01,ZFI,0.98,0.004,0.016
ZFI02,ZFI,0.969,0.005,0.025
ZFI03,ZFI,0.98,0.006,0.014
ZFI04,ZFI,0.985,0.005,0.011
ZFI05,ZFI,0.965,0.005,0.031
ZFI06,ZFI,0.926,0.006,0.068
ZFI07,ZFI,0.985,0.006,0.009
ZFI08,ZFI,0.987,0.004,0.009
ZFI09,ZFI,0.985,0.004,0.012
ZFI10,ZFI,0.914,0.009,0.076
ZFI11,ZFI,0.986,0.005,0.009
ZFI12,ZFI,0.968,0.005,0.027
ZFI13,ZFI,0.983,0.005,0.011
ZFI14,ZFI,0.952,0.011,0.038
ZFI15,ZFI,0.982,0.007,0.012
ZFI16,ZFI,0.983,0.005,0.011
ZFI17,ZFI,0.983,0.006,0.012
ZFI18,ZFI,0.986,0.007,0.007
ZFI19,ZFI,0.987,0.006,0.007
ZFI20,ZFI,0.979,0.004,0.017
ZFI21,ZFI,0.925,0.008,0.066
ZFI22,ZFI,0.973,0.01,0.016
ZFI23,ZFI,0.983,0.006,0.011
ZFI24,ZFI,0.972,0.005,0.023
ZFI25,ZFI,0.971,0.007,0.022
ZFI26,ZFI,0.986,0.004,0.009
ZFI27,ZFI,0.957,0.004,0.038
ZFK01,ZFI,0.34,0.007,0.653
NA,NA,0,0,0
ZFK02,ZFK,0.401,0.005,0.594
ZFK03,ZFK,0.511,0.006,0.483
ZFK04,ZFK,0.778,0.01,0.212
ZFK05,ZFK,0.852,0.017,0.131
ZFK06,ZFK,0.895,0.006,0.099
ZFK07,ZFK,0.255,0.007,0.737
ZFK08,ZFK,0.951,0.005,0.045
ZFK10,ZFK,0.689,0.008,0.303
ZFK11,ZFK,0.862,0.006,0.132
ZFK12,ZFK,0.3,0.007,0.694
ZFK13,ZFK,0.093,0.009,0.898
ZFK14,ZFK,0.082,0.008,0.909
ZFK15,ZFK,0.522,0.007,0.471
ZFK16,ZFK,0.037,0.008,0.954
NA,NA,0,0,0
ZFLB01,ZFLB,0.972,0.008,0.019
ZFLB02,ZFLB,0.982,0.01,0.008
ZFLB03,ZFLB,0.957,0.007,0.036
ZFLB04,ZFLB,0.785,0.007,0.208
ZFLB05,ZFLB,0.979,0.008,0.014
ZFLB06,ZFLB,0.972,0.007,0.02
ZFLB07,ZFLB,0.813,0.005,0.182
ZFLB08,ZFLB,0.987,0.006,0.007
ZFLB09,ZFLB,0.982,0.007,0.011
ZFLB10,ZFLB,0.979,0.007,0.014
ZFLB11,ZFLB,0.965,0.011,0.024
ZFLB12,ZFLB,0.988,0.005,0.006
ZFLB13,ZFLB,0.975,0.006,0.019
NA,NA,0,0,0
ZFLTI01,ZFLTI,0.005,0.007,0.988
ZFLTI02,ZFLTI,0.005,0.006,0.989
ZFLTI03,ZFLTI,0.005,0.006,0.989
ZFLTI04,ZFLTI,0.009,0.007,0.984
ZFLTI05,ZFLTI,0.005,0.006,0.989
ZFLTI06,ZFLTI,0.006,0.008,0.986
ZFLTI07,ZFLTI,0.007,0.008,0.985
ZFLTI08,ZFLTI,0.007,0.007,0.985
ZFLTI09,ZFLTI,0.007,0.007,0.985
ZFLTI10,ZFLTI,0.006,0.007,0.987
ZFLTI11,ZFLTI,0.005,0.007,0.988
ZFLTI12,ZFLTI,0.005,0.007,0.988
ZFLTI13,ZFLTI,0.006,0.007,0.988
ZFLTI14,ZFLTI,0.006,0.006,0.989
NA,NA,0,0,0
ZFONF101,ZFONF1,0.005,0.008,0.987
ZFONF102,ZFONF1,0.009,0.007,0.984
ZFONF103,ZFONF1,0.006,0.007,0.987
ZFONF104,ZFONF1,0.004,0.007,0.99
ZFONF105,ZFONF1,0.004,0.007,0.989
ZFONF106,ZFONF1,0.005,0.006,0.988
ZFONF107,ZFONF1,0.06,0.01,0.93
ZFONF108,ZFONF1,0.008,0.009,0.983
ZFONF109,ZFONF1,0.008,0.005,0.987
ZFONF110,ZFONF1,0.003,0.007,0.989
ZFONF111,ZFONF1,0.025,0.007,0.968
ZFONF112,ZFONF1,0.005,0.006,0.989
ZFONF113,ZFONF1,0.006,0.007,0.986
ZFONF115,ZFONF1,0.005,0.007,0.987
ZFONF116,ZFONF1,0.006,0.009,0.985
ZFONF117,ZFONF1,0.006,0.007,0.987
ZFONF118,ZFONF1,0.006,0.005,0.99
ZFONF119,ZFONF1,0.008,0.006,0.985
ZFONF120,ZFONF1,0.007,0.006,0.987
ZFONF121,ZFONF1,0.005,0.008,0.986
ZFONF122,ZFONF1,0.008,0.006,0.985
ZFONF123,ZFONF1,0.02,0.012,0.968
ZFONF124,ZFONF1,0.005,0.007,0.987
ZFONF125,ZFONF1,0.021,0.011,0.968
ZFONF126,ZFONF1,0.005,0.007,0.988
NA,NA,0,0,0
ZFONF201,ZFONF2,0.028,0.009,0.962
ZFONF202,ZFONF2,0.004,0.006,0.989
ZFONF203,ZFONF2,0.009,0.005,0.986
ZFONF204,ZFONF2,0.012,0.007,0.981
ZFONF206,ZFONF2,0.06,0.007,0.933
ZFONF207,ZFONF2,0.009,0.006,0.985
ZFONF208,ZFONF2,0.008,0.006,0.986
ZFONF209,ZFONF2,0.007,0.006,0.987
ZFONF210,ZFONF2,0.004,0.108,0.888
ZFONF211,ZFONF2,0.006,0.006,0.989
ZFONF212,ZFONF2,0.004,0.099,0.897
ZFONF214,ZFONF2,0.005,0.007,0.987
ZFONF215,ZFONF2,0.004,0.006,0.99
ZFONF216,ZFONF2,0.004,0.005,0.991
ZFONF217,ZFONF2,0.005,0.007,0.989
ZFONF218,ZFONF2,0.019,0.007,0.974
ZFONF219,ZFONF2,0.004,0.005,0.991
ZFONF220,ZFONF2,0.005,0.008,0.987
ZFONF222,ZFONF2,0.013,0.006,0.981
ZFONF223,ZFONF2,0.016,0.007,0.977
ZFONF224,ZFONF2,0.005,0.005,0.99
ZFONF225,ZFONF2,0.004,0.006,0.991
ZFONF226,ZFONF2,0.005,0.005,0.99
ZFONF227,ZFONF2,0.003,0.005,0.992
ZFONF228,ZFONF2,0.004,0.005,0.991
ZFONF230,ZFONF2,0.004,0.007,0.989
ZFONF231,ZFONF2,0.005,0.006,0.989
ZFONF232,ZFONF2,0.004,0.005,0.991
ZFONF233,ZFONF2,0.006,0.005,0.989
ZFONF234,ZFONF2,0.025,0.013,0.963
ZFONF235,ZFONF2,0.004,0.006,0.99
ZFONF236,ZFONF2,0.009,0.007,0.984
ZFONF238,ZFONF2,0.006,0.007,0.987
ZFONF239,ZFONF2,0.01,0.006,0.983
ZFONF240,ZFONF2,0.004,0.006,0.991
ZFONF241,ZFONF2,0.01,0.005,0.985
ZFONF242,ZFONF2,0.005,0.006,0.989
ZFONF243,ZFONF2,0.005,0.005,0.99
ZFONF244,ZFONF2,0.004,0.005,0.991
ZFONF245,ZFONF2,0.004,0.005,0.991
NA,NA,0,0,0
ZFOS01,ZFO,0.033,0.007,0.96
ZFOS02,ZFO,0.191,0.039,0.769
ZFOS03,ZFO,0.528,0.052,0.42
ZFOS04,ZFO,0.205,0.013,0.782
ZFOS05,ZFO,0.049,0.008,0.943
ZFOS06,ZFO,0.023,0.01,0.967
ZFOS07,ZFO,0.468,0.009,0.523
ZFOS08,ZFO,0.355,0.007,0.637
ZFOS09,ZFO,0.119,0.121,0.76
ZFOS10,ZFO,0.446,0.105,0.449
ZFOS11,ZFO,0.117,0.007,0.876
ZFOS12,ZFO,0.535,0.008,0.457
ZFOS13,ZFO,0.088,0.01,0.902
ZFOS14,ZFO,0.26,0.115,0.625
ZFOS15,ZFO,0.371,0.01,0.62
ZFOS16,ZFO,0.085,0.099,0.815
ZFOS17,ZFO,0.24,0.042,0.718
ZFOS18,ZFO,0.159,0.096,0.745
ZFOS19,ZFO,0.284,0.008,0.708
ZFOS20,ZFO,0.248,0.046,0.707
ZFOS21,ZFO,0.164,0.008,0.828
ZFOS22,ZFO,0.017,0.009,0.974
ZFOS23,ZFO,0.556,0.28,0.165
ZFOS24,ZFO,0.123,0.011,0.866
ZFOS25,ZFO,0.012,0.008,0.98
ZFOS26,ZFO,0.013,0.009,0.978
ZFOS27,ZFO,0.039,0.011,0.951
ZFOS28,ZFO,0.352,0.035,0.614
ZFOS29,ZFO,0.284,0.036,0.68
ZFOS30,ZFO,0.193,0.007,0.8
ZFOS31,ZFO,0.19,0.039,0.771
ZFOS32,ZFO,0.075,0.121,0.804
NA,NA,0,0,0
ZFPB01,ZFBP,0.983,0.01,0.007
ZFPB02,ZFBP,0.947,0.033,0.02
ZFPB03,ZFBP,0.942,0.022,0.036
ZFPB04,ZFBP,0.971,0.017,0.012
ZFPB05,ZFBP,0.971,0.017,0.013
ZFPB06,ZFBP,0.982,0.01,0.008
ZFPB07,ZFBP,0.95,0.032,0.018
ZFPB08,ZFBP,0.957,0.026,0.017
ZFPB10,ZFBP,0.981,0.009,0.01
ZFPB11,ZFBP,0.979,0.012,0.009
ZFPB12,ZFBP,0.978,0.013,0.009
ZFPB13,ZFBP,0.961,0.026,0.014
ZFPB14,ZFBP,0.948,0.031,0.02
ZFPB15,ZFBP,0.932,0.043,0.025
ZFPB17,ZFBP,0.985,0.008,0.007
ZFPB18,ZFBP,0.971,0.017,0.013
ZFPB19,ZFBP,0.97,0.019,0.011
ZFPB20,ZFBP,0.985,0.009,0.006
ZFPB21,ZFBP,0.958,0.026,0.016
ZFPB22,ZFBP,0.988,0.007,0.005
ZFPB23,ZFBP,0.975,0.015,0.01
NA,NA,0,0,0
ZFSF01,ZFSF,0.981,0.011,0.008
ZFSF02,ZFSF,0.903,0.022,0.075
ZFSF03,ZFSF,0.984,0.007,0.009
ZFSF04,ZFSF,0.974,0.007,0.019
NA,NA,0,0,0
ZFSW101,ZFSW1,0.856,0.013,0.132
ZFSW102,ZFSW1,0.976,0.005,0.019
ZFSW103,ZFSW1,0.916,0.015,0.069
ZFSW104,ZFSW1,0.975,0.009,0.016
ZFSW105,ZFSW1,0.856,0.023,0.121
ZFSW106,ZFSW1,0.928,0.01,0.062
ZFSW107,ZFSW1,0.98,0.006,0.014
ZFSW108,ZFSW1,0.987,0.006,0.007
ZFSW109,ZFSW1,0.959,0.02,0.02
ZFSW110,ZFSW1,0.93,0.013,0.057
ZFSW111,ZFSW1,0.673,0.018,0.309
ZFSW112,ZFSW1,0.822,0.011,0.166
ZFSW113,ZFSW1,0.897,0.009,0.094
ZFSW114,ZFSW1,0.961,0.009,0.03
ZFSW115,ZFSW1,0.974,0.004,0.022
ZFSW116,ZFSW1,0.949,0.006,0.045
ZFSW117,ZFSW1,0.919,0.007,0.073
ZFSW119,ZFSW1,0.986,0.006,0.008
ZFSW120,ZFSW1,0.988,0.008,0.004
ZFSW121,ZFSW1,0.969,0.008,0.023
ZFSW122,ZFSW1,0.963,0.013,0.024
ZFSW123,ZFSW1,0.985,0.006,0.009
ZFSW124,ZFSW1,0.981,0.008,0.011
NA,NA,0,0,0
ZFSW201,ZFSW2,0.987,0.006,0.007
ZFSW202,ZFSW2,0.983,0.006,0.011
ZFSW203,ZFSW2,0.985,0.007,0.009
ZFSW204,ZFSW2,0.982,0.007,0.012
ZFSW205,ZFSW2,0.978,0.008,0.014
ZFSW206,ZFSW2,0.98,0.007,0.013
ZFSW207,ZFSW2,0.963,0.009,0.028
ZFSW208,ZFSW2,0.98,0.005,0.015
ZFSW209,ZFSW2,0.98,0.007,0.012
ZFSW210,ZFSW2,0.92,0.011,0.069
ZFSW211,ZFSW2,0.969,0.007,0.024
ZFSW212,ZFSW2,0.973,0.006,0.021
ZFSW213,ZFSW2,0.975,0.006,0.019
ZFSW214,ZFSW2,0.967,0.006,0.026
ZFSW215,ZFSW2,0.981,0.007,0.013
ZFSW216,ZFSW2,0.971,0.006,0.023
ZFSW217,ZFSW2,0.978,0.009,0.013
ZFSW218,ZFSW2,0.975,0.005,0.02
ZFSW219,ZFSW2,0.972,0.006,0.022
ZFSW220,ZFSW2,0.98,0.008,0.012
ZFSW221,ZFSW2,0.974,0.007,0.019
ZFSW222,ZFSW2,0.985,0.008,0.007
ZFSW223,ZFSW2,0.982,0.006,0.011
ZFSW224,ZFSW2,0.973,0.007,0.02
ZFSW225,ZFSW2,0.98,0.005,0.015
ZFSW226,ZFSW2,0.973,0.009,0.018
ZFSW227,ZFSW2,0.98,0.007,0.013
ZFSW229,ZFSW2,0.98,0.007,0.013
ZFSW230,ZFSW2,0.953,0.007,0.041
ZFSW231,ZFSW2,0.979,0.009,0.012
ZFSW232,ZFSW2,0.982,0.007,0.011
ZFSW233,ZFSW2,0.974,0.012,0.015
ZFSW234,ZFSW2,0.985,0.005,0.01
ZFSW235,ZFSW2,0.976,0.005,0.018
ZFSW236,ZFSW2,0.975,0.005,0.02
ZFSW237,ZFSW2,0.978,0.006,0.016
ZFSW238,ZFSW2,0.975,0.005,0.02
ZFSW239,ZFSW2,0.977,0.007,0.016
ZFSW240,ZFSW2,0.985,0.008,0.007
NA,NA,0,0,0
ZFTS01,ZFTS,0.988,0.006,0.006
ZFTS02,ZFTS,0.982,0.004,0.014
ZFTS03,ZFTS,0.987,0.004,0.009
ZFTS04,ZFTS,0.989,0.005,0.006
ZFTS05,ZFTS,0.987,0.003,0.009
ZFTS07,ZFTS,0.989,0.005,0.006
ZFTS08,ZFTS,0.991,0.004,0.005
ZFTS09,ZFTS,0.991,0.005,0.004
ZFTS10,ZFTS,0.99,0.004,0.007
ZFTS11,ZFTS,0.989,0.005,0.006
ZFTS12,ZFTS,0.989,0.004,0.007
ZFTS14,ZFTS,0.989,0.004,0.007
ZFTS15,ZFTS,0.987,0.005,0.008
ZFTS16,ZFTS,0.982,0.006,0.012
ZFTS17,ZFTS,0.982,0.01,0.008
ZFTS18,ZFTS,0.99,0.004,0.006
ZFTS19,ZFTS,0.986,0.009,0.005
ZFTS20,ZFTS,0.988,0.005,0.007
ZFTS21,ZFTS,0.99,0.005,0.006
ZFTS22,ZFTS,0.991,0.004,0.005
ZFTS23,ZFTS,0.987,0.004,0.009
ZFTS24,ZFTS,0.99,0.004,0.006
ZFTS25,ZFTS,0.986,0.005,0.009
ZFTS26,ZFTS,0.989,0.006,0.005
ZFTS27,ZFTS,0.984,0.008,0.009
ZFTS28,ZFTS,0.971,0.008,0.021
ZFTS29,ZFTS,0.991,0.005,0.004
ZFTS30,ZFTS,0.99,0.004,0.005
ZFTS31,ZFTS,0.987,0.004,0.009
ZFTS32,ZFTS,0.989,0.004,0.007
ZFTS33,ZFTS,0.984,0.005,0.011
ZFTS34,ZFTS,0.983,0.007,0.01
ZFTS35,ZFTS,0.988,0.003,0.009
ZFTS36,ZFTS,0.989,0.004,0.008
ZFTS37,ZFTS,0.987,0.005,0.009
ZFTS38,ZFTS,0.987,0.006,0.007
ZFTS39,ZFTS,0.986,0.006,0.008
ZFTS40,ZFTS,0.968,0.004,0.027
NA,NA,0,0,0
ZFTSP101,ZFTSP1,0.005,0.007,0.988
ZFTSP102,ZFTSP1,0.008,0.007,0.986
ZFTSP103,ZFTSP1,0.006,0.006,0.988
ZFTSP104,ZFTSP1,0.005,0.008,0.988
ZFTSP105,ZFTSP1,0.005,0.006,0.989
ZFTSP106,ZFTSP1,0.006,0.009,0.984
ZFTSP107,ZFTSP1,0.006,0.006,0.988
ZFTSP108,ZFTSP1,0.006,0.007,0.987
ZFTSP109,ZFTSP1,0.007,0.009,0.985
ZFTSP110,ZFTSP1,0.006,0.009,0.985
ZFTSP111,ZFTSP1,0.005,0.006,0.989
ZFTSP112,ZFTSP1,0.008,0.007,0.986
ZFTSP113,ZFTSP1,0.008,0.008,0.985
ZFTSP114,ZFTSP1,0.005,0.006,0.989
ZFTSP115,ZFTSP1,0.005,0.006,0.989
ZFTSP116,ZFTSP1,0.006,0.007,0.988
ZFTSP117,ZFTSP1,0.006,0.007,0.986
ZFTSP118,ZFTSP1,0.006,0.007,0.987
ZFTSP119,ZFTSP1,0.071,0.007,0.922
ZFTSP120,ZFTSP1,0.007,0.007,0.986
ZFTSP121,ZFTSP1,0.024,0.008,0.968
ZFTSP122,ZFTSP1,0.004,0.006,0.99
ZFTSP123,ZFTSP1,0.006,0.007,0.988
ZFTSP124,ZFTSP1,0.005,0.006,0.989
ZFTSP125,ZFTSP1,0.005,0.007,0.989
ZFTSP126,ZFTSP1,0.007,0.007,0.986
ZFTSP127,ZFTSP1,0.005,0.007,0.989
ZFTSP128,ZFTSP1,0.005,0.006,0.989
ZFTSP129,ZFTSP1,0.005,0.006,0.989
ZFTSP130,ZFTSP1,0.005,0.006,0.989
ZFTSP131,ZFTSP1,0.004,0.006,0.99
ZFTSP132,ZFTSP1,0.007,0.009,0.985
