Sample.Name,Pop,C1,C2,C3
TMA-ZAIN-G-108,MBC,0.005,0.984,0.011
TMA-ZAIN-G-109,MBC,0.138,0.856,0.006
TMA-ZAIN-G-110,MBC,0.147,0.846,0.007
TMA-ZAIN-G-111,MBC,0.032,0.962,0.006
TMA-ZAIN-G-112,MBC,0.579,0.414,0.007
TMA-ZAIN-G-113,MBC,0.169,0.824,0.007
TMA-ZAIN-G-114,MBC,0.652,0.326,0.022
TMA-ZAIN-G-115,MBC,0.955,0.033,0.012
TMA-ZAIN-G-116,MBC,0.922,0.063,0.015
TMA-ZAIN-G-117,MBC,0.004,0.989,0.007
TMA-ZAIN-G-118,MBC,0.005,0.989,0.007
TMA-ZAIN-G-119,MBC,0.005,0.988,0.007
TMA-ZAIN-G-120,MBC,0.009,0.984,0.007
TMA-ZAIN-G-121,MBC,0.006,0.988,0.006
TMA-ZAIN-G-122,MBC,0.005,0.987,0.008
TMA-ZAIN-G-123,MBC,0.008,0.986,0.007
TMA-ZAIN-G-124,MBC,0.965,0.029,0.005
TMA-ZAIN-G-125,MBC,0.006,0.988,0.007
TMA-ZAIN-G-126,MBC,0.004,0.99,0.006
TMA-ZAIN-G-127,MBC,0.005,0.989,0.007
TMA-ZAIN-G-128,MBC,0.004,0.99,0.006
TMA-ZAIN-G-129,MBC,0.005,0.988,0.006
TMA-ZAIN-G-130,MBC,0.005,0.987,0.008
TMA-ZAIN-G-131,MBC,0.005,0.989,0.006
TMA-ZAIN-G-132,MBC,0.005,0.989,0.006
TMA-ZAIN-G-133,MBC,0.004,0.988,0.007
TMA-ZAIN-G-134,MBC,0.006,0.988,0.006
TMA-ZAIN-G-135,MBC,0.005,0.988,0.007
TMA-ZAIN-G-136,MBC,0.005,0.987,0.008
TMA-ZAIN-G-137,MBC,0.005,0.985,0.01
TMA-ZAIN-G-138,MBC,0.006,0.988,0.007
TMA-ZAIN-G-139,MBC,0.004,0.987,0.009
TMA-ZAIN-G-140,MBC,0.005,0.987,0.008
TMA-ZAIN-G-141,MBC,0.006,0.987,0.007
TMA-ZAIN-G-142,MBC,0.006,0.988,0.006
TMA-ZAIN-G-143,MBC,0.005,0.988,0.007
TMA-ZAIN-G-144,MBC,0.005,0.988,0.007
TMA-ZAIN-G-145,MBC,0.006,0.987,0.007
TMA-ZAIN-G-146,MBC,0.004,0.99,0.007
TMA-ZAIN-G-147,MBC,0.005,0.981,0.014
TMA-ZAIN-G-148,MBC,0.004,0.988,0.008
TMA-ZAIN-G-149,MBC,0.005,0.978,0.018
TMA-ZAIN-G-150,MBC,0.006,0.986,0.008
TMA-ZAIN-G-151,MBC,0.006,0.976,0.018
TMA-ZAIN-G-152,MBC,0.005,0.989,0.007
TMA-ZAIN-G-153,MBC,0.006,0.987,0.007
TMA-ZAIN-G-154,MBC,0.004,0.988,0.008
TMA-ZAIN-G-155,MBC,0.005,0.99,0.006
TMA-ZAIN-G-156,MBC,0.005,0.988,0.007
TMA-ZAIN-G-157,MBC,0.008,0.983,0.009
TMA-ZAIN-G-158,MBC,0.007,0.986,0.008
TMA-ZAIN-G-159,MBC,0.006,0.983,0.011
TMA-ZAIN-G-160,MBC,0.005,0.979,0.016
TMA-ZAIN-G-161,MBC,0.004,0.988,0.008
TMA-ZAIN-G-162,MBC,0.004,0.988,0.008
TMA-ZAIN-G-163,MBC,0.005,0.988,0.007
TMA-ZAIN-G-164,MBC,0.004,0.99,0.006
TMA-ZAIN-G-165,MBC,0.006,0.988,0.007
TMA-ZAIN-G-166,MBC,0.005,0.988,0.007
TMA-ZAIN-G-167,MBC,0.004,0.989,0.007
TMA-ZAIN-G-168,MBC,0.006,0.986,0.007
TMA-ZAIN-G-169,MBC,0.007,0.983,0.01
TMA-ZAIN-G-170,MBC,0.004,0.986,0.01
TMA-ZAIN-G-171,MBC,0.014,0.978,0.008
TMA-ZAIN-G-172,MBC,0.004,0.987,0.009
TMA-ZAIN-G-173,MBC,0.008,0.986,0.007
TMA-ZAIN-G-174,MBC,0.008,0.985,0.007
TMA-ZAIN-G-175,MBC,0.004,0.988,0.008
TMA-ZAIN-G-176,MBC,0.006,0.977,0.018
TMA-ZAIN-G-177,MBC,0.005,0.979,0.016
TMA-ZAIN-G-178,MBC,0.008,0.941,0.051
TMA-ZAIN-G-179,MBC,0.014,0.977,0.009
TMA-ZAIN-G-180,MBC,0.007,0.976,0.017
TMA-ZAIN-G-181,MBC,0.005,0.988,0.007
TMA-ZAIN-G-182,MBC,0.006,0.983,0.011
TMA-ZAIN-G-183,MBC,0.008,0.984,0.009
TMA-ZAIN-G-184,MBC,0.006,0.986,0.008
TMA-ZAIN-G-185,MBC,0.006,0.985,0.009
TMA-ZAIN-G-186,MBC,0.006,0.984,0.01
TMA-ZAIN-G-187,MBC,0.007,0.985,0.008
TMA-ZAIN-G-188,MBC,0.007,0.984,0.009
TMA-ZAIN-G-189,MBC,0.004,0.988,0.008
TMA-ZAIN-G-190,MBC,0.004,0.988,0.008
TMA-ZAIN-G-191,MBC,0.011,0.972,0.018
TMA-ZAIN-G-192,MBC,0.005,0.984,0.011
TMA-ZAIN-G-193,MBC,0.007,0.984,0.008
TMA-ZAIN-G-194,MBC,0.01,0.98,0.01
TMA-ZAIN-G-195,MBC,0.011,0.98,0.009
TMA-ZAIN-G-196,MBC,0.012,0.959,0.029
TMA-ZAIN-G-197,MBC,0.01,0.98,0.009
TMA-ZAIN-G-198,MBC,0.007,0.985,0.008
TMA-ZAIN-G-199,MBC,0.009,0.981,0.01
TMA-ZAIN-G-200,MBC,0.006,0.987,0.007
TMA-ZAIN-G-201,MBC,0.989,0.007,0.004
TMA-ZAIN-G-202,MBC,0.961,0.035,0.005
TMA-ZAIN-G-203,MBC,0.981,0.013,0.005
TMA-ZAIN-G-204,MBC,0.016,0.974,0.011
TMA-ZAIN-G-205,MBC,0.926,0.048,0.026
TMA-ZAIN-G-206,MBC,0.665,0.329,0.006
TMA-ZAIN-G-207,MBC,0.941,0.05,0.008
TMA-ZAIN-G-208,MBC,0.008,0.985,0.007
TMA-ZAIN-G-209,MBC,0.004,0.99,0.006
TMA-ZAIN-G-210,MBC,0.004,0.988,0.008
TMA-ZAIN-G-211,MBC,0.006,0.986,0.008
TMA-ZAIN-G-212,MBC,0.009,0.984,0.007
TMA-ZAIN-G-213,MBC,0.007,0.985,0.007
TMA-ZAIN-G-214,MBC,0.005,0.988,0.007
TMA-ZAIN-G-215,MBC,0.005,0.988,0.007
TMA-ZAIN-G-216,MBC,0.032,0.963,0.005
TMA-ZAIN-G-217,MBC,0.006,0.988,0.006
TMA-ZAIN-G-218,MBC,0.004,0.988,0.008
TMA-ZAIN-G-219,MBC,0.808,0.172,0.02
TMA-ZAIN-G-220,MBC,0.772,0.221,0.008
TMA-ZAIN-G-221,MBC,0.75,0.244,0.006
TMA-ZAIN-G-222,MBC,0.603,0.383,0.014
TMA-ZAIN-G-223,MBC,0.746,0.248,0.006
TMA-ZAIN-G-224,MBC,0.958,0.038,0.004
TMA-ZAIN-G-225,MBC,0.483,0.512,0.004
TMA-ZAIN-G-226,MBC,0.978,0.018,0.004
TMA-ZAIN-G-227,MBC,0.769,0.227,0.004
TMA-ZAIN-G-228,MBC,0.955,0.04,0.005
TMA-ZAIN-G-229,MBC,0.631,0.363,0.006
TMA-ZAIN-G-230,MBC,0.971,0.022,0.007
TMA-ZAIN-G-231,MBC,0.324,0.667,0.009
TMA-ZAIN-G-232,MBC,0.726,0.269,0.005
TMA-ZAIN-G-233,MBC,0.867,0.126,0.008
TMA-ZAIN-G-234,MBC,0.497,0.496,0.006
TMA-ZAIN-G-235,MBC,0.973,0.02,0.007
TMA-ZAIN-G-236,MBC,0.848,0.136,0.016
TMA-ZAIN-G-237,MBC,0.907,0.088,0.005
TMA-ZAIN-G-238,MBC,0.41,0.583,0.006
TMA-ZAIN-G-239,MBC,0.636,0.358,0.005
TMA-ZAIN-G-240,MBC,0.599,0.387,0.014
TMA-ZAIN-G-241,MBC,0.98,0.014,0.006
TMA-ZAIN-G-242,MBC,0.943,0.047,0.01
TMA-ZAIN-G-243,MBC,0.957,0.035,0.008
TMA-ZAIN-G-244,MBC,0.93,0.056,0.013
TMA-ZAIN-G-245,MBC,0.914,0.075,0.011
TMA-ZAIN-G-246,MBC,0.978,0.017,0.005
TMA-ZAIN-G-248,MBC,0.986,0.009,0.005
TMA-ZAIN-G-249,MBC,0.971,0.021,0.008
TMA-ZAIN-G-250,MBC,0.972,0.022,0.007
TMA-ZAIN-G-251,MBC,0.984,0.01,0.005
TMA-ZAIN-G-252,MBC,0.979,0.014,0.007
