Ind,Pop,C1,C2,C3
QAc-W-0001,Porter,0.009,0.982,0.008
QAc-W-0002,Porter,0.204,0.558,0.238
QAc-W-0003,Porter,0.011,0.983,0.005
QAc-W-0004,Porter,0.006,0.985,0.009
QAc-W-0005,Porter,0.011,0.974,0.016
QAc-W-0006,Porter,0.008,0.982,0.01
QAc-W-0007,Porter,0.006,0.981,0.012
QAc-W-0008,Porter,0.013,0.963,0.023
QAc-W-0009,Porter,0.266,0.458,0.276
QAc-W-0010,Porter,0.095,0.823,0.082
QAc-W-0011,Porter,0.091,0.898,0.011
QAc-W-0012,Porter,0.012,0.964,0.024
QAc-W-0013,Porter,0.345,0.643,0.013
QAc-W-0014,Porter,0.012,0.914,0.074
QAc-W-0015,Porter,0.695,0.224,0.081
QAc-W-0016,Porter,0.009,0.925,0.066
QAc-W-0017,Porter,0.423,0.389,0.189
QAc-W-0018,Porter,0.024,0.957,0.019
QAc-W-0019,Porter,0.007,0.974,0.018
QAc-W-0020,Porter,0.032,0.958,0.01
QAc-W-0021,Porter,0.007,0.978,0.014
QAc-W-0022,Porter,0.237,0.502,0.261
QAc-W-0023,Porter,0.039,0.811,0.15
QAc-W-0024,Porter,0.014,0.975,0.011
QAc-W-0025,Porter,0.007,0.981,0.012
QAc-W-0026,Porter,0.029,0.938,0.033
QAc-W-0027,Porter,0.016,0.961,0.023
QAc-W-0028,Porter,0.029,0.955,0.016
QAc-W-0029,Porter,0.014,0.977,0.009
QAc-W-0030,Porter,0.401,0.587,0.012
QAc-W-0031,Porter,0.007,0.986,0.007
QAc-W-0032,Porter,0.006,0.968,0.027
QAc-W-0033,Porter,0.083,0.817,0.101
QAc-W-0034,Porter,0.009,0.973,0.017
QAc-W-0035,Porter,0.067,0.864,0.069
QAc-W-0036,Porter,0.017,0.956,0.028
QAc-W-0037,Porter,0.06,0.889,0.051
QAc-W-0038,Porter,0.184,0.788,0.028
QAc-W-0039,Porter,0.062,0.928,0.011
QAc-W-0040,Porter,0.01,0.901,0.089
QAc-W-0041,Porter,0.019,0.966,0.015
NA,NA,0,0,0
QAc-W-0042,Magazine,0.982,0.009,0.009
QAc-W-0043,Magazine,0.985,0.008,0.007
QAc-W-0044,Magazine,0.968,0.012,0.02
QAc-W-0045,Magazine,0.984,0.007,0.009
QAc-W-0046,Magazine,0.985,0.007,0.007
QAc-W-0047,Magazine,0.981,0.006,0.012
QAc-W-0048,Magazine,0.977,0.015,0.008
QAc-W-0049,Magazine,0.969,0.021,0.011
QAc-W-0050,Magazine,0.926,0.011,0.062
QAc-W-0051,Magazine,0.93,0.062,0.008
QAc-W-0052,Magazine,0.849,0.13,0.021
QAc-W-0053,Magazine,0.957,0.016,0.027
QAc-W-0054,Magazine,0.974,0.01,0.016
QAc-W-0055,Magazine,0.98,0.007,0.012
QAc-W-0056,Magazine,0.741,0.237,0.022
QAc-W-0057,Magazine,0.962,0.029,0.009
QAc-W-0058,Magazine,0.969,0.025,0.006
QAc-W-0059,Magazine,0.982,0.008,0.01
QAc-W-0060,Magazine,0.986,0.006,0.008
QAc-W-0061,Magazine,0.964,0.013,0.023
QAc-W-0062,Magazine,0.969,0.01,0.021
QAc-W-0063,Magazine,0.788,0.177,0.035
QAc-W-0064,Magazine,0.969,0.016,0.015
QAc-W-0065,Magazine,0.97,0.011,0.019
QAc-W-0066,Magazine,0.975,0.02,0.005
QAc-W-0067,Magazine,0.955,0.016,0.029
QAc-W-0068,Magazine,0.983,0.011,0.006
QAc-W-0069,Magazine,0.976,0.019,0.005
QAc-W-0070,Magazine,0.99,0.006,0.005
QAc-W-0071,Magazine,0.985,0.008,0.007
QAc-W-0072,Magazine,0.871,0.014,0.115
QAc-W-0073,Magazine,0.959,0.022,0.019
QAc-W-0074,Magazine,0.972,0.01,0.018
QAc-W-0075,Magazine,0.987,0.007,0.006
QAc-W-0076,Magazine,0.952,0.006,0.042
QAc-W-0077,Magazine,0.986,0.006,0.008
NA,NA,0,0,0
QAc-W-0078,Pryor,0.009,0.968,0.023
QAc-W-0079,Pryor,0.009,0.983,0.008
QAc-W-0080,Pryor,0.009,0.983,0.008
QAc-W-0081,Pryor,0.009,0.983,0.008
QAc-W-0082,Pryor,0.242,0.751,0.007
QAc-W-0083,Pryor,0.014,0.974,0.012
QAc-W-0084,Pryor,0.005,0.99,0.005
QAc-W-0085,Pryor,0.008,0.975,0.016
QAc-W-0086,Pryor,0.005,0.987,0.008
QAc-W-0087,Pryor,0.005,0.987,0.008
QAc-W-0088,Pryor,0.009,0.983,0.008
QAc-W-0089,Pryor,0.011,0.984,0.005
QAc-W-0090,Pryor,0.007,0.989,0.004
QAc-W-0091,Pryor,0.006,0.981,0.013
QAc-W-0092,Pryor,0.009,0.985,0.006
QAc-W-0093,Pryor,0.01,0.965,0.025
QAc-W-0094,Pryor,0.014,0.976,0.01
QAc-W-0095,Pryor,0.01,0.984,0.005
QAc-W-0096,Pryor,0.022,0.971,0.007
QAc-W-0097,Pryor,0.013,0.981,0.006
QAc-W-0098,Pryor,0.008,0.986,0.006
QAc-W-0099,Pryor,0.011,0.93,0.059
QAc-W-0100,Pryor,0.006,0.987,0.007
QAc-W-0101,Pryor,0.009,0.984,0.007
QAc-W-0104,Pryor,0.009,0.979,0.012
QAc-W-0105,Pryor,0.008,0.986,0.005
QAc-W-0106,Pryor,0.009,0.985,0.006
QAc-W-0107,Pryor,0.045,0.945,0.01
QAc-W-0108,Pryor,0.072,0.914,0.013
QAc-W-0109,Pryor,0.026,0.969,0.004
QAc-W-0110,Pryor,0.005,0.986,0.008
QAc-W-0111,Pryor,0.03,0.961,0.009
QAc-W-0112,Pryor,0.007,0.975,0.018
NA,NA,0,0,0
QAc-W-0113,Sugar_Loaf,0.008,0.009,0.983
QAc-W-0114,Sugar_Loaf,0.012,0.017,0.971
QAc-W-0115,Sugar_Loaf,0.006,0.012,0.983
QAc-W-0116,Sugar_Loaf,0.009,0.012,0.979
QAc-W-0117,Sugar_Loaf,0.005,0.005,0.99
QAc-W-0118,Sugar_Loaf,0.018,0.012,0.97
QAc-W-0119,Sugar_Loaf,0.013,0.009,0.978
QAc-W-0120,Sugar_Loaf,0.012,0.012,0.977
QAc-W-0121,Sugar_Loaf,0.025,0.005,0.97
QAc-W-0122,Sugar_Loaf,0.01,0.014,0.977
QAc-W-0123,Sugar_Loaf,0.022,0.013,0.964
QAc-W-0124,Sugar_Loaf,0.024,0.126,0.85
QAc-W-0125,Sugar_Loaf,0.009,0.014,0.977
QAc-W-0126,Sugar_Loaf,0.02,0.024,0.956
QAc-W-0127,Sugar_Loaf,0.009,0.009,0.982
QAc-W-0128,Sugar_Loaf,0.008,0.049,0.943
QAc-W-0129,Sugar_Loaf,0.013,0.043,0.944
QAc-W-0130,Sugar_Loaf,0.006,0.016,0.978
QAc-W-0131,Sugar_Loaf,0.011,0.011,0.978
QAc-W-0132,Sugar_Loaf,0.03,0.021,0.949
QAc-W-0133,Sugar_Loaf,0.144,0.152,0.704
QAc-W-0134,Sugar_Loaf,0.007,0.005,0.988
QAc-W-0135,Sugar_Loaf,0.011,0.023,0.966
QAc-W-0136,Sugar_Loaf,0.004,0.005,0.991
QAc-W-0137,Sugar_Loaf,0.005,0.004,0.991
QAc-W-0138,Sugar_Loaf,0.005,0.005,0.99
QAc-W-0139,Sugar_Loaf,0.052,0.232,0.717
QAc-W-0140,Sugar_Loaf,0.026,0.024,0.95
QAc-W-0141,Sugar_Loaf,0.057,0.05,0.893
QAc-W-0142,Sugar_Loaf,0.009,0.006,0.986
QAc-W-0143,Sugar_Loaf,0.011,0.01,0.979
QAc-W-0144,Sugar_Loaf,0.028,0.01,0.961
QAc-W-0145,Sugar_Loaf,0.007,0.004,0.989
QAc-W-0146,Sugar_Loaf,0.007,0.009,0.985
QAc-W-0147,Sugar_Loaf,0.005,0.006,0.989
QAc-W-0148,Sugar_Loaf,0.007,0.006,0.987
QAc-W-0149,Sugar_Loaf,0.022,0.023,0.955
QAc-W-0150,Sugar_Loaf,0.011,0.04,0.949
QAc-W-0151,Sugar_Loaf,0.008,0.013,0.979
QAc-W-0152,Sugar_Loaf,0.009,0.005,0.985
QAc-W-0153,Sugar_Loaf,0.235,0.558,0.207
QAc-W-0154,Sugar_Loaf,0.007,0.042,0.951
QAc-W-0155,Sugar_Loaf,0.007,0.005,0.988
QAc-W-0156,Sugar_Loaf,0.006,0.158,0.836
QAc-W-0157,Sugar_Loaf,0.019,0.006,0.975
QAc-W-0158,Sugar_Loaf,0.01,0.075,0.915
QAc-W-0159,Sugar_Loaf,0.006,0.01,0.984
QAc-W-0160,Sugar_Loaf,0.006,0.012,0.982
QAc-W-0161,Sugar_Loaf,0.009,0.023,0.968
QAc-W-0162,Sugar_Loaf,0.149,0.007,0.844
QAc-W-0163,Sugar_Loaf,0.021,0.006,0.973
QAc-W-0164,Sugar_Loaf,0.012,0.007,0.982
QAc-W-0165,Sugar_Loaf,0.019,0.006,0.975
QAc-W-0166,Sugar_Loaf,0.01,0.021,0.969
