,,,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFCC16,ZFCC,C24,0.006,0.004,0.004,0.003,0.004,0.017,0.003,0.003,0.003,0.005,0.004,0.005,0.003,0.004,0.003,0.004,0.003,0.004,0.005,0.003,0.004,0.005,0.003,0.894,0.003
ZFCC17,ZFCC,C24,0.007,0.005,0.004,0.004,0.008,0.032,0.003,0.004,0.002,0.004,0.003,0.004,0.003,0.003,0.003,0.004,0.003,0.006,0.004,0.003,0.005,0.005,0.006,0.87,0.007
ZFCC18,ZFCC,C24,0.009,0.004,0.006,0.004,0.004,0.008,0.004,0.003,0.004,0.004,0.007,0.004,0.004,0.005,0.003,0.004,0.003,0.009,0.005,0.003,0.004,0.004,0.004,0.888,0.004
ZFCC19,ZFCC,C24,0.003,0.003,0.003,0.003,0.006,0.008,0.003,0.004,0.002,0.01,0.003,0.004,0.003,0.004,0.003,0.003,0.004,0.003,0.007,0.002,0.004,0.008,0.005,0.893,0.006
ZFCC20,ZFCC,C24,0.004,0.003,0.006,0.004,0.004,0.011,0.005,0.004,0.003,0.004,0.005,0.005,0.006,0.004,0.003,0.007,0.004,0.007,0.008,0.003,0.004,0.005,0.003,0.885,0.003
ZFCC21,ZFCC,C24,0.007,0.004,0.021,0.01,0.005,0.013,0.018,0.011,0.017,0.076,0.077,0.079,0.011,0.158,0.005,0.011,0.009,0.003,0.039,0.006,0.007,0.014,0.005,0.387,0.008
ZFCC22,ZFCC,C24,0.054,0.003,0.022,0.014,0.004,0.01,0.031,0.014,0.015,0.005,0.034,0.242,0.052,0.081,0.013,0.061,0.009,0.007,0.006,0.015,0.004,0.003,0.003,0.292,0.005
ZFCC26,ZFCC,C24,0.005,0.004,0.004,0.003,0.004,0.008,0.004,0.003,0.003,0.005,0.004,0.004,0.003,0.004,0.003,0.004,0.003,0.004,0.004,0.003,0.003,0.005,0.003,0.907,0.002
ZFCC27,ZFCC,C24,0.004,0.003,0.003,0.003,0.003,0.006,0.004,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.005,0.003,0.006,0.003,0.004,0.003,0.003,0.003,0.912,0.003
ZFCC29,ZFCC,C24,0.007,0.005,0.005,0.005,0.006,0.02,0.006,0.004,0.003,0.013,0.006,0.011,0.007,0.006,0.004,0.006,0.004,0.006,0.012,0.004,0.005,0.02,0.004,0.829,0.003
ZFCC30,ZFCC,C24,0.004,0.002,0.005,0.004,0.003,0.007,0.004,0.003,0.003,0.003,0.003,0.005,0.004,0.003,0.003,0.005,0.003,0.01,0.004,0.004,0.003,0.003,0.003,0.903,0.004
ZFCC32,ZFCC,C24,0.011,0.003,0.006,0.005,0.009,0.009,0.004,0.004,0.002,0.004,0.003,0.005,0.004,0.004,0.007,0.007,0.005,0.006,0.013,0.003,0.007,0.003,0.005,0.863,0.007
ZFCC33,ZFCC,C24,0.007,0.011,0.005,0.004,0.004,0.524,0.007,0.006,0.005,0.009,0.006,0.004,0.004,0.004,0.004,0.007,0.004,0.007,0.005,0.004,0.018,0.008,0.005,0.334,0.004
ZFCC34,ZFCC,C24,0.026,0.016,0.011,0.023,0.019,0.04,0.037,0.034,0.012,0.007,0.014,0.021,0.017,0.021,0.024,0.014,0.008,0.041,0.006,0.171,0.004,0.015,0.006,0.406,0.006
ZFCC35,ZFCC,C24,0.006,0.002,0.004,0.003,0.002,0.006,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.006,0.006,0.003,0.004,0.004,0.003,0.003,0.002,0.003,0.914,0.004
ZFCC36,ZFCC,C24,0.005,0.004,0.009,0.009,0.009,0.014,0.013,0.009,0.006,0.005,0.006,0.038,0.009,0.019,0.004,0.007,0.009,0.004,0.02,0.008,0.006,0.004,0.005,0.755,0.021
ZFCC37,ZFCC,C24,0.037,0.005,0.007,0.008,0.068,0.053,0.026,0.01,0.009,0.052,0.007,0.033,0.013,0.015,0.006,0.016,0.009,0.009,0.013,0.015,0.011,0.021,0.01,0.543,0.005
ZFCC40,ZFCC,C24,0.007,0.006,0.003,0.005,0.004,0.014,0.005,0.007,0.008,0.005,0.009,0.008,0.004,0.012,0.003,0.004,0.005,0.003,0.003,0.007,0.003,0.004,0.004,0.855,0.014
ZFCC42,ZFCC,C24,0.006,0.008,0.007,0.005,0.176,0.438,0.007,0.006,0.003,0.014,0.003,0.009,0.015,0.005,0.005,0.005,0.007,0.049,0.005,0.005,0.014,0.059,0.028,0.07,0.05
ZFCC44,ZFCC,C24,0.003,0.003,0.003,0.003,0.002,0.009,0.003,0.004,0.003,0.003,0.003,0.002,0.003,0.003,0.004,0.004,0.003,0.008,0.002,0.003,0.003,0.003,0.004,0.912,0.005
ZFCC45,ZFCC,C24,0.016,0.009,0.004,0.006,0.019,0.055,0.005,0.006,0.005,0.007,0.006,0.003,0.004,0.007,0.004,0.004,0.006,0.009,0.007,0.004,0.029,0.011,0.02,0.743,0.012
ZFCC46,ZFCC,C24,0.003,0.003,0.034,0.014,0.003,0.012,0.02,0.013,0.007,0.007,0.009,0.076,0.019,0.012,0.008,0.021,0.011,0.009,0.007,0.017,0.003,0.007,0.003,0.676,0.004
ZFCC47,ZFCC,C24,0.025,0.004,0.007,0.004,0.041,0.009,0.006,0.004,0.003,0.008,0.004,0.01,0.006,0.004,0.009,0.01,0.003,0.006,0.007,0.004,0.003,0.013,0.005,0.804,0.004
ZFCC48,ZFCC,C24,0.007,0.003,0.026,0.008,0.003,0.016,0.016,0.01,0.017,0.031,0.075,0.13,0.01,0.071,0.005,0.012,0.005,0.004,0.01,0.009,0.004,0.012,0.003,0.508,0.004
ZFCC50,ZFCC,C24,0.004,0.004,0.003,0.003,0.004,0.007,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.002,0.003,0.004,0.003,0.917,0.003
ZFCC51,ZFCC,C24,0.005,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.01,0.003,0.003,0.003,0.003,0.003,0.918,0.002
ZFCC52,ZFCC,C24,0.005,0.004,0.014,0.011,0.006,0.037,0.018,0.014,0.009,0.006,0.011,0.074,0.01,0.02,0.008,0.012,0.008,0.005,0.008,0.025,0.004,0.004,0.004,0.679,0.007
ZFCC53,ZFCC,C24,0.005,0.003,0.003,0.002,0.003,0.005,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.006,0.003,0.003,0.003,0.003,0.003,0.924,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFCNS01,ZFCNS,C18,0.003,0.002,0.003,0.007,0.011,0.003,0.011,0.009,0.003,0.005,0.003,0.002,0.014,0.008,0.004,0.004,0.087,0.732,0.025,0.003,0.023,0.003,0.017,0.005,0.014
ZFCNS02,ZFCNS,C18,0.003,0.002,0.004,0.003,0.002,0.004,0.004,0.003,0.002,0.002,0.003,0.004,0.008,0.003,0.006,0.003,0.004,0.915,0.003,0.004,0.003,0.003,0.003,0.006,0.002
ZFCNS05,ZFCNS,C18,0.006,0.005,0.005,0.008,0.003,0.007,0.009,0.007,0.007,0.004,0.011,0.008,0.015,0.007,0.007,0.01,0.004,0.83,0.007,0.013,0.004,0.008,0.003,0.009,0.002
ZFCNS06,ZFCNS,C18,0.003,0.003,0.004,0.005,0.002,0.004,0.004,0.004,0.004,0.002,0.004,0.004,0.006,0.004,0.004,0.004,0.003,0.911,0.003,0.005,0.003,0.004,0.003,0.005,0.002
ZFCNS07,ZFCNS,C18,0.003,0.003,0.01,0.004,0.002,0.003,0.007,0.007,0.005,0.003,0.008,0.004,0.011,0.004,0.017,0.003,0.007,0.872,0.003,0.008,0.003,0.004,0.003,0.003,0.002
ZFCNS10,ZFCNS,C18,0.003,0.003,0.005,0.006,0.002,0.003,0.009,0.007,0.009,0.002,0.004,0.008,0.031,0.007,0.006,0.007,0.029,0.826,0.003,0.012,0.003,0.003,0.003,0.004,0.005
ZFCNS11,ZFCNS,C18,0.003,0.002,0.004,0.006,0.007,0.003,0.007,0.007,0.003,0.004,0.003,0.003,0.006,0.006,0.005,0.003,0.024,0.853,0.015,0.003,0.01,0.003,0.008,0.005,0.008
ZFCNS15,ZFCNS,C18,0.004,0.003,0.008,0.034,0.003,0.006,0.022,0.012,0.031,0.003,0.009,0.006,0.099,0.008,0.013,0.018,0.018,0.667,0.004,0.013,0.004,0.004,0.004,0.004,0.002
ZFCNS17,ZFCNS,C18,0.003,0.002,0.004,0.004,0.002,0.004,0.006,0.005,0.003,0.003,0.004,0.003,0.006,0.003,0.005,0.004,0.003,0.912,0.003,0.006,0.003,0.003,0.003,0.005,0.002
ZFCNS18,ZFCNS,C18,0.003,0.003,0.004,0.009,0.002,0.004,0.009,0.008,0.009,0.002,0.004,0.009,0.029,0.009,0.005,0.012,0.012,0.833,0.003,0.013,0.003,0.003,0.003,0.005,0.005
ZFCNS19,ZFCNS,C18,0.003,0.002,0.004,0.004,0.002,0.003,0.003,0.002,0.002,0.002,0.004,0.003,0.005,0.002,0.003,0.004,0.003,0.926,0.004,0.003,0.003,0.004,0.003,0.004,0.002
ZFCNS20,ZFCNS,C18,0.003,0.002,0.018,0.014,0.003,0.007,0.019,0.016,0.012,0.003,0.018,0.006,0.01,0.009,0.015,0.009,0.009,0.782,0.005,0.023,0.004,0.003,0.003,0.004,0.002
ZFCNS21,ZFCNS,C18,0.003,0.002,0.002,0.004,0.002,0.003,0.004,0.003,0.003,0.002,0.003,0.003,0.006,0.003,0.003,0.006,0.004,0.923,0.003,0.004,0.003,0.003,0.003,0.004,0.002
ZFCNS22,ZFCNS,C18,0.005,0.004,0.006,0.011,0.003,0.006,0.017,0.011,0.012,0.003,0.014,0.008,0.033,0.01,0.008,0.01,0.006,0.78,0.005,0.023,0.005,0.007,0.003,0.006,0.002
ZFCNS23,ZFCNS,C18,0.005,0.004,0.009,0.007,0.006,0.019,0.003,0.003,0.003,0.005,0.005,0.012,0.008,0.007,0.004,0.005,0.005,0.841,0.009,0.003,0.006,0.005,0.006,0.013,0.01
ZFCNS24,ZFCNS,C18,0.003,0.002,0.008,0.009,0.003,0.011,0.01,0.008,0.005,0.003,0.006,0.007,0.009,0.006,0.01,0.014,0.008,0.843,0.005,0.012,0.004,0.003,0.003,0.007,0.002
ZFCNS25,ZFCNS,C18,0.003,0.002,0.013,0.008,0.003,0.009,0.017,0.015,0.009,0.003,0.008,0.008,0.018,0.007,0.023,0.01,0.01,0.794,0.004,0.019,0.004,0.003,0.004,0.005,0.002
ZFCNS26,ZFCNS,C18,0.003,0.003,0.004,0.006,0.002,0.003,0.005,0.004,0.006,0.003,0.004,0.004,0.068,0.004,0.005,0.005,0.009,0.841,0.003,0.004,0.003,0.005,0.003,0.003,0.002
ZFCNS27,ZFCNS,C18,0.004,0.003,0.008,0.014,0.003,0.007,0.027,0.018,0.02,0.003,0.008,0.006,0.309,0.007,0.025,0.01,0.031,0.455,0.004,0.018,0.005,0.004,0.004,0.004,0.003
ZFCNS28,ZFCNS,C18,0.003,0.003,0.004,0.006,0.003,0.003,0.004,0.003,0.004,0.002,0.004,0.004,0.007,0.003,0.004,0.006,0.004,0.908,0.003,0.004,0.003,0.005,0.003,0.004,0.002
ZFCNS29,ZFCNS,C18,0.005,0.003,0.005,0.006,0.003,0.007,0.016,0.01,0.007,0.004,0.009,0.007,0.016,0.008,0.007,0.008,0.005,0.827,0.005,0.019,0.005,0.006,0.004,0.008,0.002
ZFCNS30,ZFCNS,C18,0.007,0.004,0.003,0.007,0.003,0.007,0.008,0.005,0.005,0.004,0.005,0.006,0.014,0.006,0.004,0.013,0.005,0.856,0.006,0.008,0.005,0.006,0.003,0.007,0.002
ZFCNS31,ZFCNS,C18,0.003,0.002,0.004,0.004,0.002,0.003,0.004,0.004,0.004,0.003,0.004,0.003,0.009,0.003,0.004,0.004,0.006,0.911,0.003,0.004,0.003,0.004,0.003,0.003,0.002
ZFCNS32,ZFCNS,C18,0.004,0.003,0.008,0.013,0.003,0.007,0.007,0.006,0.007,0.003,0.008,0.008,0.017,0.006,0.009,0.022,0.01,0.829,0.006,0.007,0.003,0.004,0.003,0.005,0.002
ZFCNS33,ZFCNS,C18,0.003,0.002,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.004,0.003,0.012,0.003,0.004,0.004,0.005,0.916,0.004,0.003,0.003,0.003,0.003,0.004,0.002
ZFCNS34,ZFCNS,C18,0.006,0.003,0.004,0.005,0.003,0.008,0.007,0.006,0.004,0.003,0.007,0.007,0.008,0.006,0.005,0.008,0.004,0.858,0.006,0.009,0.005,0.006,0.003,0.015,0.002
ZFCNS35,ZFCNS,C18,0.004,0.005,0.004,0.011,0.002,0.003,0.008,0.004,0.006,0.004,0.015,0.011,0.008,0.003,0.008,0.011,0.015,0.837,0.003,0.003,0.003,0.021,0.003,0.004,0.002
ZFCNS36,ZFCNS,C18,0.003,0.002,0.011,0.007,0.003,0.01,0.008,0.008,0.005,0.003,0.008,0.008,0.009,0.006,0.011,0.013,0.007,0.839,0.005,0.012,0.003,0.003,0.003,0.01,0.002
ZFCNS37,ZFCNS,C18,0.005,0.003,0.004,0.007,0.003,0.006,0.009,0.005,0.005,0.003,0.004,0.005,0.025,0.005,0.003,0.1,0.023,0.749,0.005,0.008,0.007,0.005,0.005,0.005,0.002
ZFCNS39,ZFCNS,C18,0.002,0.002,0.015,0.007,0.002,0.005,0.008,0.005,0.004,0.003,0.006,0.008,0.022,0.005,0.004,0.01,0.015,0.841,0.008,0.004,0.003,0.003,0.004,0.01,0.003
ZFCNS40,ZFCNS,C18,0.003,0.002,0.052,0.009,0.003,0.009,0.014,0.01,0.004,0.003,0.008,0.015,0.022,0.006,0.008,0.142,0.022,0.616,0.009,0.008,0.004,0.003,0.004,0.021,0.003
ZFCNS41,ZFCNS,C18,0.005,0.003,0.006,0.026,0.006,0.009,0.063,0.015,0.005,0.005,0.013,0.011,0.02,0.012,0.01,0.167,0.192,0.36,0.013,0.011,0.013,0.009,0.008,0.015,0.005
ZFCNS42,ZFCNS,C18,0.003,0.002,0.003,0.005,0.002,0.003,0.006,0.004,0.005,0.002,0.003,0.003,0.013,0.003,0.004,0.006,0.006,0.902,0.003,0.005,0.003,0.003,0.003,0.003,0.002
ZFCNS43,ZFCNS,C18,0.003,0.002,0.003,0.004,0.002,0.004,0.003,0.003,0.003,0.002,0.003,0.003,0.005,0.003,0.003,0.005,0.003,0.924,0.003,0.003,0.003,0.003,0.003,0.004,0.002
ZFCNS44,ZFCNS,C18,0.003,0.003,0.003,0.01,0.002,0.003,0.011,0.007,0.01,0.002,0.004,0.008,0.025,0.009,0.004,0.012,0.015,0.835,0.003,0.014,0.003,0.003,0.003,0.005,0.005
ZFCNS46,ZFCNS,C18,0.005,0.003,0.004,0.007,0.003,0.007,0.014,0.008,0.008,0.004,0.008,0.005,0.015,0.008,0.005,0.008,0.009,0.839,0.006,0.013,0.005,0.005,0.004,0.005,0.002
ZFCNS47,ZFCNS,C18,0.003,0.002,0.003,0.004,0.002,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.007,0.003,0.003,0.005,0.004,0.922,0.003,0.004,0.003,0.003,0.003,0.004,0.002
ZFCNS48,ZFCNS,C18,0.004,0.004,0.005,0.01,0.003,0.005,0.016,0.013,0.012,0.003,0.009,0.013,0.043,0.014,0.006,0.012,0.033,0.745,0.005,0.024,0.003,0.004,0.003,0.005,0.004
ZFCNS49,ZFCNS,C18,0.004,0.003,0.003,0.012,0.002,0.003,0.01,0.007,0.016,0.003,0.004,0.006,0.383,0.007,0.006,0.008,0.035,0.458,0.003,0.01,0.003,0.004,0.003,0.003,0.004
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFCR01,ZFCR,C10,0.028,0.008,0.008,0.004,0.02,0.003,0.005,0.015,0.01,0.725,0.014,0.005,0.004,0.031,0.009,0.003,0.004,0.003,0.004,0.009,0.027,0.028,0.022,0.007,0.006
ZFCR02,ZFCR,C10,0.004,0.044,0.007,0.007,0.005,0.01,0.008,0.014,0.003,0.767,0.004,0.008,0.004,0.01,0.018,0.003,0.003,0.005,0.005,0.03,0.01,0.006,0.005,0.012,0.007
ZFCR03,ZFCR,C10,0.013,0.019,0.009,0.015,0.034,0.045,0.011,0.021,0.014,0.536,0.068,0.009,0.004,0.047,0.012,0.005,0.004,0.003,0.015,0.006,0.008,0.042,0.014,0.014,0.031
ZFCR04,ZFCR,C10,0.041,0.024,0.01,0.01,0.013,0.005,0.008,0.007,0.014,0.573,0.004,0.018,0.032,0.008,0.008,0.007,0.022,0.008,0.008,0.005,0.019,0.112,0.012,0.009,0.022
ZFCR05,ZFCR,C10,0.011,0.014,0.004,0.003,0.009,0.004,0.005,0.005,0.004,0.843,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.009,0.004,0.023,0.015,0.009,0.008,0.006
ZFCR06,ZFCR,C10,0.01,0.011,0.009,0.013,0.006,0.006,0.016,0.029,0.017,0.614,0.01,0.003,0.029,0.017,0.043,0.005,0.021,0.051,0.005,0.012,0.017,0.031,0.009,0.014,0.003
ZFCR07,ZFCR,C10,0.011,0.006,0.004,0.011,0.021,0.052,0.031,0.008,0.009,0.296,0.006,0.007,0.033,0.017,0.004,0.02,0.041,0.038,0.077,0.01,0.148,0.117,0.017,0.009,0.008
ZFCR08,ZFCR,C10,0.109,0.053,0.056,0.009,0.023,0.05,0.026,0.012,0.015,0.262,0.005,0.019,0.009,0.023,0.004,0.008,0.009,0.004,0.007,0.03,0.088,0.012,0.105,0.031,0.032
ZFCR09,ZFCR,C10,0.009,0.018,0.012,0.02,0.224,0.012,0.085,0.075,0.012,0.077,0.041,0.021,0.021,0.019,0.032,0.01,0.014,0.013,0.013,0.012,0.013,0.153,0.023,0.015,0.054
ZFCR11,ZFCR,C10,0.012,0.016,0.002,0.004,0.013,0.004,0.012,0.005,0.006,0.719,0.004,0.003,0.035,0.005,0.017,0.005,0.041,0.009,0.012,0.003,0.025,0.025,0.012,0.006,0.005
ZFCR12,ZFCR,C10,0.004,0.004,0.011,0.008,0.003,0.007,0.01,0.007,0.013,0.647,0.005,0.011,0.098,0.005,0.009,0.015,0.032,0.069,0.011,0.005,0.005,0.008,0.005,0.006,0.003
ZFCR13,ZFCR,C10,0.006,0.008,0.005,0.013,0.003,0.007,0.012,0.05,0.015,0.144,0.01,0.057,0.014,0.009,0.017,0.009,0.007,0.006,0.308,0.006,0.06,0.093,0.134,0.006,0.003
ZFCR14,ZFCR,C10,0.008,0.025,0.009,0.006,0.004,0.005,0.007,0.005,0.008,0.807,0.005,0.014,0.009,0.005,0.004,0.014,0.005,0.006,0.016,0.006,0.007,0.006,0.008,0.007,0.004
ZFCR15,ZFCR,C10,0.013,0.014,0.013,0.013,0.005,0.009,0.01,0.009,0.013,0.682,0.007,0.052,0.013,0.011,0.006,0.014,0.006,0.004,0.012,0.016,0.023,0.024,0.016,0.007,0.008
ZFCR16,ZFCR,C10,0.007,0.03,0.015,0.007,0.004,0.004,0.013,0.017,0.007,0.743,0.013,0.014,0.007,0.03,0.016,0.004,0.004,0.003,0.007,0.02,0.008,0.006,0.014,0.007,0.003
ZFCR18,ZFCR,C10,0.007,0.391,0.005,0.004,0.006,0.019,0.017,0.011,0.003,0.388,0.004,0.013,0.004,0.004,0.013,0.007,0.004,0.005,0.006,0.022,0.025,0.024,0.006,0.006,0.003
ZFCR19,ZFCR,C10,0.006,0.058,0.049,0.012,0.078,0.006,0.017,0.017,0.023,0.59,0.018,0.018,0.015,0.008,0.012,0.009,0.004,0.006,0.007,0.012,0.004,0.011,0.007,0.008,0.004
ZFCR20,ZFCR,C10,0.043,0.073,0.007,0.013,0.064,0.029,0.019,0.014,0.046,0.281,0.054,0.007,0.006,0.1,0.007,0.007,0.009,0.004,0.069,0.014,0.054,0.045,0.025,0.005,0.004
ZFCR21,ZFCR,C10,0.004,0.005,0.01,0.006,0.004,0.008,0.008,0.006,0.005,0.827,0.01,0.014,0.005,0.006,0.005,0.007,0.007,0.003,0.02,0.003,0.006,0.007,0.01,0.01,0.003
ZFCR22,ZFCR,C10,0.002,0.012,0.018,0.009,0.006,0.007,0.011,0.009,0.006,0.781,0.008,0.011,0.007,0.011,0.008,0.005,0.006,0.003,0.044,0.005,0.006,0.005,0.011,0.004,0.004
ZFCR23,ZFCR,C10,0.004,0.019,0.005,0.045,0.014,0.003,0.088,0.025,0.024,0.415,0.011,0.011,0.015,0.03,0.008,0.005,0.032,0.004,0.045,0.027,0.011,0.009,0.122,0.002,0.025
ZFCR24,ZFCR,C10,0.06,0.042,0.006,0.015,0.024,0.009,0.013,0.064,0.079,0.048,0.051,0.213,0.01,0.068,0.01,0.009,0.006,0.004,0.075,0.013,0.017,0.054,0.099,0.008,0.004
ZFCR25,ZFCR,C10,0.009,0.004,0.004,0.005,0.006,0.006,0.006,0.004,0.004,0.873,0.004,0.004,0.005,0.005,0.003,0.006,0.005,0.003,0.012,0.004,0.007,0.009,0.008,0.004,0.002
ZFCR26,ZFCR,C10,0.009,0.005,0.013,0.006,0.091,0.006,0.022,0.018,0.009,0.516,0.01,0.01,0.006,0.009,0.009,0.011,0.006,0.004,0.186,0.009,0.014,0.006,0.01,0.012,0.003
ZFCR27,ZFCR,C10,0.012,0.007,0.003,0.003,0.048,0.003,0.003,0.003,0.004,0.624,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.055,0.003,0.021,0.028,0.149,0.004,0.004
ZFCR28,ZFCR,C10,0.008,0.004,0.029,0.013,0.005,0.007,0.023,0.021,0.015,0.476,0.029,0.01,0.023,0.099,0.024,0.007,0.008,0.022,0.005,0.021,0.008,0.006,0.121,0.009,0.007
ZFCR29,ZFCR,C10,0.005,0.011,0.006,0.006,0.011,0.004,0.007,0.006,0.007,0.82,0.013,0.007,0.003,0.006,0.005,0.006,0.005,0.002,0.014,0.004,0.006,0.035,0.004,0.004,0.003
ZFCR30,ZFCR,C10,0.008,0.005,0.009,0.008,0.012,0.009,0.01,0.006,0.007,0.776,0.009,0.009,0.011,0.007,0.005,0.018,0.01,0.008,0.034,0.008,0.008,0.009,0.007,0.005,0.005
ZFCR31,ZFCR,C10,0.014,0.113,0.012,0.016,0.055,0.016,0.089,0.032,0.011,0.227,0.013,0.015,0.06,0.023,0.022,0.01,0.011,0.025,0.023,0.059,0.011,0.114,0.011,0.008,0.011
ZFCR33,ZFCR,C10,0.08,0.007,0.019,0.01,0.031,0.011,0.025,0.013,0.009,0.116,0.015,0.01,0.01,0.012,0.004,0.012,0.024,0.009,0.033,0.009,0.282,0.023,0.165,0.031,0.04
ZFCR34,ZFCR,C10,0.005,0.018,0.007,0.01,0.012,0.004,0.03,0.014,0.017,0.432,0.015,0.01,0.038,0.028,0.005,0.008,0.017,0.008,0.158,0.009,0.019,0.081,0.034,0.009,0.012
ZFCR35,ZFCR,C10,0.008,0.04,0.003,0.005,0.01,0.004,0.007,0.006,0.008,0.756,0.008,0.008,0.005,0.006,0.003,0.005,0.007,0.004,0.004,0.006,0.011,0.062,0.005,0.008,0.011
ZFCR36,ZFCR,C10,0.006,0.069,0.004,0.006,0.012,0.007,0.011,0.008,0.007,0.717,0.007,0.005,0.015,0.013,0.004,0.005,0.009,0.02,0.015,0.009,0.013,0.012,0.008,0.006,0.013
ZFCR37,ZFCR,C10,0.029,0.057,0.004,0.004,0.074,0.018,0.005,0.004,0.004,0.049,0.008,0.005,0.004,0.006,0.003,0.006,0.004,0.004,0.485,0.003,0.094,0.039,0.037,0.04,0.015
ZFCR38,ZFCR,C10,0.043,0.005,0.012,0.006,0.066,0.015,0.015,0.008,0.004,0.501,0.006,0.014,0.011,0.01,0.005,0.009,0.007,0.008,0.04,0.009,0.08,0.016,0.073,0.026,0.01
ZFCR39,ZFCR,C10,0.007,0.027,0.011,0.026,0.337,0.028,0.038,0.069,0.009,0.055,0.009,0.018,0.007,0.058,0.016,0.006,0.008,0.003,0.007,0.024,0.079,0.01,0.014,0.058,0.077
ZFCR40,ZFCR,C10,0.012,0.01,0.003,0.008,0.012,0.006,0.015,0.008,0.011,0.753,0.006,0.008,0.011,0.012,0.003,0.009,0.013,0.003,0.01,0.007,0.021,0.007,0.017,0.011,0.024
ZFCR41,ZFCR,C10,0.006,0.004,0.012,0.005,0.003,0.006,0.022,0.007,0.005,0.676,0.006,0.007,0.029,0.006,0.003,0.087,0.042,0.012,0.011,0.006,0.01,0.008,0.005,0.02,0.003
ZFCR42,ZFCR,C10,0.009,0.008,0.015,0.016,0.019,0.02,0.038,0.021,0.015,0.526,0.031,0.013,0.024,0.023,0.009,0.02,0.015,0.012,0.052,0.01,0.034,0.006,0.023,0.022,0.02
ZFCR43,ZFCR,C10,0.01,0.044,0.004,0.008,0.005,0.005,0.009,0.063,0.02,0.704,0.014,0.017,0.006,0.005,0.02,0.012,0.004,0.004,0.007,0.005,0.011,0.01,0.007,0.004,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFENP25,ZFENP,C21,0.016,0.005,0.008,0.004,0.005,0.006,0.004,0.004,0.013,0.019,0.015,0.004,0.004,0.013,0.002,0.008,0.005,0.003,0.011,0.003,0.792,0.005,0.03,0.015,0.007
ZFENP26,ZFENP,C21,0.005,0.005,0.004,0.003,0.005,0.004,0.004,0.003,0.003,0.012,0.003,0.003,0.004,0.003,0.002,0.007,0.006,0.003,0.005,0.002,0.885,0.006,0.012,0.004,0.007
ZFENP27,ZFENP,C21,0.019,0.016,0.01,0.032,0.017,0.032,0.011,0.007,0.02,0.081,0.013,0.008,0.012,0.027,0.004,0.038,0.019,0.05,0.004,0.008,0.413,0.011,0.033,0.099,0.016
ZFENP28,ZFENP,C21,0.034,0.008,0.006,0.004,0.025,0.005,0.006,0.006,0.003,0.049,0.004,0.006,0.006,0.004,0.007,0.006,0.004,0.013,0.011,0.008,0.615,0.012,0.133,0.015,0.01
ZFENP29,ZFENP,C21,0.005,0.005,0.004,0.004,0.005,0.008,0.005,0.005,0.005,0.139,0.004,0.003,0.004,0.005,0.003,0.005,0.006,0.005,0.009,0.003,0.295,0.005,0.454,0.01,0.005
ZFENP30,ZFENP,C21,0.009,0.008,0.009,0.004,0.01,0.176,0.005,0.006,0.003,0.022,0.006,0.011,0.005,0.005,0.005,0.005,0.003,0.008,0.015,0.007,0.182,0.013,0.429,0.037,0.014
ZFENP31,ZFENP,C21,0.026,0.018,0.004,0.005,0.06,0.3,0.009,0.01,0.003,0.016,0.004,0.008,0.004,0.004,0.011,0.005,0.003,0.005,0.009,0.013,0.153,0.033,0.097,0.011,0.191
ZFENP32,ZFENP,C21,0.009,0.02,0.007,0.008,0.025,0.068,0.015,0.01,0.005,0.017,0.012,0.027,0.008,0.008,0.016,0.01,0.006,0.012,0.009,0.013,0.264,0.294,0.031,0.007,0.098
ZFENP33,ZFENP,C21,0.012,0.004,0.003,0.006,0.008,0.014,0.007,0.006,0.005,0.007,0.005,0.004,0.004,0.006,0.004,0.007,0.005,0.004,0.013,0.007,0.844,0.01,0.009,0.003,0.003
ZFENP34,ZFENP,C21,0.346,0.025,0.004,0.004,0.029,0.073,0.009,0.006,0.003,0.035,0.003,0.005,0.005,0.004,0.005,0.005,0.004,0.007,0.007,0.01,0.322,0.052,0.022,0.012,0.005
ZFENP35,ZFENP,C21,0.009,0.014,0.005,0.013,0.008,0.007,0.006,0.005,0.009,0.006,0.006,0.009,0.013,0.007,0.003,0.01,0.025,0.015,0.015,0.008,0.355,0.009,0.368,0.004,0.07
