,,,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFB33,ZFB,C2,0.006,0.917,0.002,0.003,0.008,0.003,0.003,0.003,0.003,0.005,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.004,0.007,0.003,0.003,0.004
ZFB34,ZFB,C2,0.033,0.789,0.003,0.004,0.007,0.006,0.005,0.005,0.005,0.01,0.008,0.004,0.004,0.004,0.004,0.006,0.003,0.005,0.006,0.004,0.009,0.06,0.005,0.008,0.003
ZFB35,ZFB,C2,0.026,0.772,0.004,0.007,0.015,0.011,0.007,0.007,0.006,0.007,0.007,0.007,0.006,0.008,0.005,0.005,0.004,0.005,0.008,0.01,0.009,0.05,0.006,0.006,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFBP101,ZFBP1,C20,0.004,0.005,0.033,0.082,0.006,0.053,0.414,0.073,0.013,0.007,0.03,0.066,0.025,0.02,0.01,0.042,0.015,0.016,0.01,0.021,0.007,0.009,0.004,0.034,0.002
ZFBP102,ZFBP1,C20,0.004,0.007,0.01,0.054,0.007,0.021,0.3,0.066,0.012,0.009,0.018,0.034,0.012,0.058,0.011,0.065,0.045,0.004,0.007,0.218,0.01,0.015,0.005,0.007,0.003
ZFBP103,ZFBP1,C20,0.003,0.005,0.012,0.049,0.005,0.031,0.326,0.084,0.043,0.009,0.009,0.012,0.044,0.023,0.005,0.13,0.05,0.026,0.005,0.038,0.006,0.005,0.004,0.073,0.003
ZFBP104,ZFBP1,C20,0.016,0.008,0.009,0.054,0.008,0.005,0.207,0.031,0.103,0.012,0.009,0.078,0.166,0.017,0.014,0.024,0.109,0.008,0.022,0.046,0.011,0.023,0.01,0.003,0.003
ZFBP105,ZFBP1,C20,0.005,0.004,0.007,0.068,0.005,0.006,0.367,0.101,0.022,0.005,0.032,0.028,0.02,0.027,0.114,0.01,0.078,0.014,0.006,0.053,0.006,0.009,0.005,0.004,0.004
ZFBP106,ZFBP1,C20,0.003,0.002,0.007,0.008,0.003,0.007,0.107,0.028,0.015,0.003,0.011,0.017,0.017,0.019,0.007,0.01,0.008,0.01,0.005,0.696,0.003,0.003,0.003,0.005,0.002
ZFBP107,ZFBP1,C20,0.004,0.005,0.005,0.246,0.004,0.018,0.169,0.118,0.071,0.004,0.017,0.013,0.051,0.018,0.038,0.018,0.124,0.013,0.007,0.016,0.007,0.007,0.011,0.004,0.014
ZFBP108,ZFBP1,C20,0.004,0.003,0.007,0.018,0.003,0.005,0.074,0.049,0.44,0.003,0.014,0.008,0.014,0.085,0.029,0.005,0.013,0.007,0.003,0.205,0.003,0.003,0.003,0.003,0.003
ZFBP109,ZFBP1,C20,0.014,0.003,0.005,0.248,0.002,0.003,0.098,0.02,0.048,0.004,0.009,0.252,0.014,0.01,0.061,0.061,0.008,0.005,0.003,0.117,0.003,0.003,0.003,0.004,0.002
ZFBP110,ZFBP1,C20,0.005,0.01,0.005,0.015,0.005,0.018,0.291,0.081,0.018,0.025,0.031,0.02,0.094,0.086,0.022,0.013,0.028,0.05,0.007,0.053,0.02,0.076,0.011,0.013,0.003
ZFBP111,ZFBP1,C20,0.003,0.002,0.099,0.074,0.002,0.004,0.198,0.05,0.016,0.003,0.054,0.047,0.034,0.112,0.011,0.01,0.038,0.008,0.015,0.203,0.003,0.002,0.004,0.003,0.004
ZFBP112,ZFBP1,C20,0.007,0.003,0.038,0.529,0.004,0.008,0.026,0.01,0.041,0.005,0.033,0.017,0.006,0.197,0.012,0.007,0.01,0.006,0.008,0.01,0.004,0.004,0.004,0.006,0.005
ZFBP113,ZFBP1,C20,0.004,0.003,0.004,0.042,0.004,0.004,0.179,0.018,0.399,0.004,0.038,0.012,0.009,0.187,0.005,0.006,0.027,0.003,0.01,0.018,0.006,0.004,0.005,0.003,0.006
ZFBP114,ZFBP1,C20,0.013,0.003,0.004,0.028,0.003,0.012,0.074,0.159,0.007,0.003,0.005,0.007,0.007,0.014,0.12,0.08,0.017,0.003,0.003,0.41,0.005,0.003,0.006,0.006,0.009
ZFBP115,ZFBP1,C20,0.003,0.002,0.019,0.045,0.003,0.011,0.323,0.088,0.012,0.003,0.008,0.01,0.145,0.019,0.032,0.029,0.172,0.022,0.009,0.022,0.004,0.003,0.004,0.009,0.003
ZFBP116,ZFBP1,C20,0.003,0.002,0.005,0.03,0.003,0.006,0.382,0.064,0.176,0.004,0.019,0.014,0.021,0.109,0.008,0.008,0.022,0.005,0.009,0.086,0.005,0.003,0.007,0.003,0.005
ZFBP117,ZFBP1,C20,0.003,0.003,0.009,0.016,0.002,0.006,0.198,0.145,0.345,0.005,0.024,0.008,0.016,0.028,0.089,0.01,0.012,0.008,0.004,0.047,0.004,0.003,0.004,0.008,0.003
ZFBP118,ZFBP1,C20,0.003,0.003,0.007,0.07,0.003,0.008,0.095,0.39,0.116,0.003,0.015,0.039,0.016,0.025,0.034,0.062,0.022,0.004,0.004,0.057,0.004,0.004,0.008,0.003,0.006
ZFBP119,ZFBP1,C20,0.004,0.003,0.012,0.01,0.003,0.011,0.367,0.12,0.022,0.005,0.044,0.019,0.083,0.017,0.145,0.04,0.024,0.011,0.015,0.018,0.004,0.003,0.004,0.013,0.002
ZFBP120,ZFBP1,C20,0.006,0.005,0.006,0.291,0.005,0.005,0.221,0.07,0.043,0.004,0.017,0.015,0.029,0.065,0.062,0.011,0.054,0.012,0.008,0.043,0.006,0.009,0.005,0.003,0.004
ZFBP121,ZFBP1,C20,0.005,0.005,0.005,0.039,0.003,0.005,0.239,0.132,0.028,0.006,0.086,0.015,0.007,0.038,0.038,0.02,0.009,0.007,0.005,0.281,0.005,0.009,0.004,0.007,0.002
ZFBP122,ZFBP1,C20,0.003,0.003,0.011,0.02,0.003,0.006,0.08,0.039,0.03,0.004,0.02,0.043,0.022,0.303,0.01,0.013,0.012,0.006,0.007,0.349,0.003,0.003,0.004,0.004,0.003
ZFBP123,ZFBP1,C20,0.004,0.002,0.013,0.018,0.003,0.025,0.025,0.013,0.016,0.004,0.012,0.107,0.012,0.622,0.008,0.009,0.006,0.006,0.008,0.062,0.004,0.003,0.004,0.008,0.005
ZFBP124,ZFBP1,C20,0.029,0.007,0.005,0.044,0.004,0.009,0.055,0.028,0.031,0.005,0.013,0.271,0.013,0.089,0.085,0.069,0.008,0.005,0.004,0.201,0.004,0.007,0.004,0.005,0.005
ZFBP125,ZFBP1,C20,0.003,0.002,0.013,0.011,0.002,0.005,0.16,0.417,0.084,0.004,0.01,0.063,0.04,0.018,0.05,0.013,0.023,0.008,0.005,0.051,0.003,0.003,0.003,0.005,0.003
ZFBP126,ZFBP1,C20,0.003,0.006,0.006,0.014,0.007,0.014,0.174,0.146,0.113,0.018,0.018,0.009,0.009,0.345,0.007,0.009,0.021,0.003,0.008,0.031,0.011,0.007,0.007,0.011,0.003
ZFBP127,ZFBP1,C20,0.003,0.002,0.004,0.025,0.002,0.004,0.03,0.011,0.007,0.003,0.004,0.006,0.024,0.007,0.004,0.018,0.02,0.029,0.003,0.772,0.003,0.002,0.004,0.009,0.003
ZFBP128,ZFBP1,C20,0.004,0.003,0.038,0.101,0.002,0.008,0.033,0.088,0.278,0.003,0.149,0.123,0.009,0.042,0.014,0.039,0.009,0.016,0.004,0.01,0.002,0.005,0.003,0.014,0.003
ZFBP129,ZFBP1,C20,0.008,0.003,0.049,0.007,0.002,0.006,0.022,0.315,0.046,0.005,0.183,0.014,0.006,0.044,0.049,0.007,0.004,0.006,0.005,0.194,0.006,0.005,0.003,0.009,0.002
ZFBP130,ZFBP1,C20,0.002,0.002,0.078,0.034,0.003,0.009,0.103,0.48,0.017,0.003,0.013,0.105,0.015,0.013,0.019,0.026,0.013,0.013,0.008,0.009,0.003,0.002,0.003,0.023,0.004
ZFBP131,ZFBP1,C20,0.006,0.003,0.005,0.008,0.003,0.003,0.016,0.47,0.037,0.004,0.043,0.011,0.004,0.296,0.031,0.004,0.004,0.003,0.004,0.029,0.004,0.003,0.003,0.004,0.003
ZFBP132,ZFBP1,C20,0.003,0.003,0.003,0.007,0.002,0.003,0.04,0.449,0.017,0.005,0.007,0.012,0.02,0.06,0.027,0.005,0.011,0.015,0.003,0.287,0.004,0.006,0.003,0.004,0.003
ZFBP133,ZFBP1,C20,0.003,0.002,0.018,0.012,0.002,0.003,0.017,0.015,0.127,0.003,0.364,0.01,0.006,0.368,0.007,0.005,0.004,0.003,0.005,0.012,0.002,0.002,0.002,0.005,0.002
ZFBP134,ZFBP1,C20,0.003,0.003,0.009,0.534,0.003,0.003,0.079,0.025,0.014,0.004,0.027,0.033,0.03,0.074,0.007,0.059,0.039,0.007,0.01,0.01,0.003,0.004,0.003,0.015,0.003
ZFBP135,ZFBP1,C20,0.005,0.008,0.013,0.046,0.005,0.044,0.253,0.08,0.114,0.013,0.124,0.011,0.009,0.018,0.016,0.055,0.011,0.021,0.005,0.028,0.007,0.013,0.004,0.094,0.002
ZFBP136,ZFBP1,C20,0.004,0.003,0.019,0.06,0.003,0.045,0.066,0.02,0.011,0.004,0.007,0.542,0.013,0.022,0.006,0.053,0.015,0.033,0.005,0.034,0.004,0.003,0.004,0.019,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFBP201,ZFBP2,C14,0.004,0.003,0.003,0.007,0.003,0.004,0.008,0.013,0.01,0.004,0.01,0.006,0.007,0.856,0.005,0.004,0.007,0.007,0.004,0.015,0.004,0.004,0.003,0.004,0.005
ZFBP202,ZFBP2,C14,0.009,0.004,0.013,0.081,0.003,0.005,0.085,0.038,0.14,0.004,0.093,0.051,0.059,0.225,0.063,0.016,0.037,0.01,0.006,0.032,0.004,0.009,0.005,0.004,0.003
ZFBP203,ZFBP2,C14,0.005,0.005,0.01,0.014,0.015,0.007,0.016,0.034,0.015,0.008,0.013,0.018,0.009,0.697,0.007,0.007,0.009,0.005,0.014,0.024,0.014,0.005,0.016,0.004,0.029
ZFBP204,ZFBP2,C14,0.004,0.003,0.021,0.038,0.004,0.021,0.214,0.048,0.016,0.005,0.016,0.286,0.071,0.029,0.062,0.02,0.038,0.023,0.009,0.042,0.006,0.005,0.006,0.008,0.005
ZFBP205,ZFBP2,C14,0.003,0.002,0.008,0.008,0.003,0.008,0.025,0.017,0.014,0.004,0.01,0.057,0.023,0.669,0.085,0.005,0.015,0.003,0.005,0.019,0.003,0.002,0.003,0.006,0.004
