Ind,Population,C1,C2,C3,C4
QAc-G-0029,AP,0.014,0.017,0.965,0.004
QAc-G-0030,AP,0.004,0.003,0.99,0.003
QAc-G-0031,AP,0.005,0.003,0.988,0.003
QAc-G-0061,Arnold,0.004,0.006,0.986,0.004
QAc-G-0062,Arnold,0.108,0.006,0.009,0.878
QAc-G-0063,Arnold,0.854,0.118,0.007,0.021
QAc-G-0064,Arnold,0.007,0.042,0.004,0.947
QAc-G-0065,Arnold,0.004,0.015,0.01,0.971
QAc-G-0066,Arnold,0.987,0.004,0.005,0.003
QAc-G-0067,Arnold,0.006,0.01,0.02,0.964
QAc-G-0068,Arnold,0.539,0.004,0.006,0.45
QAc-G-0070,Arnold,0.876,0.038,0.009,0.078
QAc-G-0071,Arnold,0.987,0.004,0.006,0.003
QAc-G-0072,Arnold,0.986,0.005,0.004,0.004
QAc-G-0073,Arnold,0.004,0.986,0.005,0.005
QAc-G-0074,Arnold,0.191,0.785,0.005,0.02
QAc-G-0075,Arnold,0.01,0.972,0.009,0.009
QAc-G-0076,Arnold,0.009,0.972,0.01,0.009
QAc-G-0077,Arnold,0.01,0.007,0.979,0.004
QAc-G-0078,Arnold,0.004,0.003,0.99,0.003
QAc-G-0079,Arnold,0.005,0.004,0.986,0.004
QAc-G-0080,Arnold,0.016,0.165,0.75,0.069
QAc-G-0081,Arnold,0.013,0.067,0.01,0.91
QAc-G-0082,Arnold,0.004,0.118,0.01,0.868
QAc-G-0083,Arnold,0.538,0.187,0.098,0.177
QAc-G-0001,Bartlett,0.006,0.004,0.987,0.003
QAc-G-0002,Bartlett,0.004,0.004,0.99,0.003
QAc-G-0285,CBG,0.96,0.013,0.012,0.015
QAc-G-0286,CBG,0.989,0.004,0.004,0.003
QAc-G-0287,CBG,0.99,0.003,0.004,0.003
QAc-G-0288,CBG,0.969,0.009,0.014,0.007
QAc-G-0289,CBG,0.988,0.004,0.005,0.004
QAc-G-0290,CBG,0.987,0.004,0.004,0.005
QAc-G-0291,CBG,0.987,0.003,0.007,0.003
QAc-G-0292,CBG,0.877,0.011,0.004,0.109
