Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per,Fifth_Pop,Fifth_Per
TMA-ZAIN-G-1,/MBC,SF,4.679,NWS_North,ZFSW2,4.338,ZFW,4.305,B,4.256,CR,4.22
TMA-ZAIN-G-2,/MBC,SW,4.537,NWS_North,B,4.42,CR,4.344,BP,4.3,ZFW,4.249
TMA-ZAIN-G-3,/MBC,B,4.51,ONF,ONF,4.366,FDSP,4.301,ONF,4.294,BP,4.224
TMA-ZAIN-G-4,/MBC,BP,4.545,NWS_South,LB,4.409,B,4.371,ONF,4.236,TS,4.224
TMA-ZAIN-G-5,/MBC,CR,4.422,NWS_North,ZFW,4.308,WB,4.299,SF,4.257,ONF,4.22
TMA-ZAIN-G-6,/MBC,B,4.26,ONF,CC,4.203,ONF,4.197,BP,4.16,ONF,4.151
TMA-ZAIN-G-7,/MBC,BP,4.679,LTI,LB,4.495,ONF,4.426,TS,4.373,BP,4.285
TMA-ZAIN-G-8,/MBC,ONF,4.239,LTI,SF,4.238,ONF,4.232,B,4.168,CR,4.154
TMA-ZAIN-G-9,/MBC,ONF,4.478,FDSP,ONF,4.272,BP,4.25,TS,4.158,LB,4.155
TMA-ZAIN-G-10,/MBC,BP,4.484,FDSP,B,4.469,TS,4.449,LB,4.352,BP,4.124
TMA-ZAIN-G-11,/MBC,LB,4.42,FDSP,ONF,4.343,BP,4.332,BP,4.217,TSP2,4.191
TMA-ZAIN-G-12,/MBC,B,4.695,FDSP,BP,4.323,LB,4.205,CR,4.158,ONF,4.151
TMA-ZAIN-G-13,/MBC,ONF,4.506,FDSP,BP,4.467,BP,4.434,TSP2,4.379,CNS,4.294
TMA-ZAIN-G-14,/MBC,B,4.596,CNS,TS,4.506,CC,4.158,BP,4.14,ZFSW2,4.114
TMA-ZAIN-G-15,/MBC,B,4.379,CNS,ZFO,4.277,CC,4.265,ZFW,4.196,ONF,4.114
TMA-ZAIN-G-16,/MBC,BP,4.562,FDSP,B,4.472,LB,4.399,BP,4.31,ONF,4.308
TMA-ZAIN-G-17,/MBC,B,4.237,NWS_North,ZFENP,4.193,CF,4.166,SF,4.162,CR,4.107
TMA-ZAIN-G-18,/MBC,SF,4.844,ENP,CR,4.268,B,4.267,SW,4.265,ZFW,4.231
TMA-ZAIN-G-19,/MBC,TS,4.534,ENP,LB,4.455,BP,4.409,SF,4.347,B,4.315
TMA-ZAIN-G-20,/MBC,TS,4.576,ENP,WB,4.456,SF,4.438,B,4.424,ZFENP,4.33
TMA-ZAIN-G-21,/MBC,K,4.521,PB,LB,4.384,B,4.327,BP,4.292,SF,4.153
TMA-ZAIN-G-22,/MBC,SF,4.573,TS,TS,4.43,WB,4.369,SW,4.324,B,4.317
TMA-ZAIN-G-23,/MBC,SF,4.496,TS,SW,4.473,TS,4.361,ZFI,4.349,B,4.295
TMA-ZAIN-G-24,/MBC,WB,4.804,TS,B,4.346,BP,4.307,ONF,4.284,BP,4.268
TMA-ZAIN-G-25,/MBC,B,4.511,NWS_South,ZFW,4.352,SW,4.318,SF,4.316,ZFI,4.306
TMA-ZAIN-G-26,/MBC,BP,4.38,OS,B,4.373,CF,4.35,LB,4.334,ZFENP,4.271
TMA-ZAIN-G-27,/MBC,BP,4.866,CR,TS,4.833,LB,4.744,ZFENP,4.374,ZFSW2,4.321
TMA-ZAIN-G-28,/MBC,TS,4.605,NWS_North,SF,4.545,WB,4.192,ONF,4.186,LB,4.172
TMA-ZAIN-G-29,/MBC,WB,4.436,ONF,B,4.367,ONF,4.358,SF,4.25,ZFENP,4.179
TMA-ZAIN-G-30,/MBC,TS,4.671,WB,B,4.556,SF,4.283,ONF,4.259,BP,4.166
TMA-ZAIN-G-31,/MBC,SF,4.34,W,CR,4.314,TS,4.28,WB,4.277,ZFW,4.276
TMA-ZAIN-G-32,/MBC,B,4.419,SW,ONF,4.336,ZFW,4.208,BP,4.189,SW,4.188
TMA-ZAIN-G-33,/MBC,ONF,4.587,NWS_North,B,4.338,ONF,4.179,BP,4.162,BP,4.157
TMA-ZAIN-G-34,/MBC,ONF,4.452,ONF,B,4.39,BP,4.31,ONF,4.205,BP,4.158
TMA-ZAIN-G-35,/MBC,B,4.501,ONF,TS,4.285,SF,4.241,ZFW,4.233,ONF,4.227
TMA-ZAIN-G-36,/MBC,B,4.484,NWS_North,TS,4.369,CF,4.21,ZFO,4.189,ZFENP,4.174
TMA-ZAIN-G-37,/MBC,LB,4.516,SF,B,4.402,BP,4.352,CC,4.27,TS,4.162
TMA-ZAIN-G-38,/MBC,ONF,4.502,I,B,4.451,CC,4.269,ZFW,4.202,CR,4.148
TMA-ZAIN-G-39,/MBC,B,4.555,BP,BP,4.317,BP,4.305,FDSP,4.29,BP,4.265
TMA-ZAIN-G-40,/MBC,BP,4.559,BP,LB,4.416,BP,4.401,BP,4.347,B,4.257
TMA-ZAIN-G-41,/MBC,ZFO,4.645,TS,B,4.606,CC,4.281,BP,4.212,K,4.186
TMA-ZAIN-G-42,/MBC,ZFO,4.462,TS,CC,4.301,B,4.198,ZFLTI,4.168,CR,4.147
TMA-ZAIN-G-43,/MBC,B,4.517,CNS,TS,4.403,ONF,4.121,ZFSW2,4.084,ZFI,4.076
TMA-ZAIN-G-44,/MBC,LB,4.626,LB,BP,4.499,K,4.4,BP,4.213,BP,4.195
TMA-ZAIN-G-45,/MBC,BP,4.718,FDSP,B,4.628,LB,4.41,BP,4.335,BP,4.225
TMA-ZAIN-G-46,/MBC,LB,4.407,PB,K,4.356,BP,4.321,TS,4.304,B,4.258
TMA-ZAIN-G-47,/MBC,SF,4.462,CC,B,4.208,CR,4.199,ZFO,4.197,SW,4.196
