Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per,Fifth_Pop,Fifth_Per
TMA-ZAIN-G-166,/MBC,ONF,5.289,FDSP,BP,4.934,BP,4.731,B,4.517,TSP,4.506
TMA-ZAIN-G-167,/MBC,BP,4.64,BP2,B,4.615,ONF,4.569,BP,4.531,CR,4.443
TMA-ZAIN-G-168,/MBC,ONF,4.825,BP2,B,4.71,BP,4.682,BP,4.475,TS,4.45
TMA-ZAIN-G-169,/MBC,B,4.841,BP2,ONF,4.508,TS,4.477,BP,4.471,BP,4.38
TMA-ZAIN-G-170,/MBC,ONF,4.664,BP2,B,4.556,BP,4.537,ONF,4.378,BP,4.304
TMA-ZAIN-G-171,/MBC,ONF,4.664,BP2,BP,4.585,B,4.553,BP,4.526,BP,4.498
TMA-ZAIN-G-172,/MBC,ONF,4.792,BP2,BP,4.711,B,4.608,BP,4.386,BP,4.382
TMA-ZAIN-G-173,/MBC,B,4.938,BP2,BP,4.761,CF,4.425,LB,4.398,ONF,4.335
TMA-ZAIN-G-174,/MBC,B,4.897,BP2,BP,4.617,CF,4.595,TS,4.545,ENP,4.362
TMA-ZAIN-G-175,/MBC,B,4.599,BP2,BP,4.557,BP,4.436,ONF,4.387,BP,4.298
TMA-ZAIN-G-176,/MBC,ONF,4.777,BP2,BP,4.697,TSP,4.494,B,4.467,TSP,4.418
TMA-ZAIN-G-177,/MBC,ONF,4.855,BP2,BP,4.729,TSP,4.567,BP,4.542,B,4.434
TMA-ZAIN-G-178,/MBC,BP,4.838,BP2,B,4.64,LB,4.476,ONF,4.366,BP,4.359
TMA-ZAIN-G-179,/MBC,B,5.099,BP2,BP,4.727,TS,4.588,CR,4.455,CF,4.372
TMA-ZAIN-G-180,/MBC,BP,4.931,BP2,B,4.73,LB,4.523,ENP,4.337,BP,4.3
TMA-ZAIN-G-181,/MBC,LB,4.471,TS,B,4.47,ONF,4.398,TSP,4.295,BP,4.26
TMA-ZAIN-G-182,/MBC,B,4.72,TS,BP,4.692,BP,4.58,O,4.528,ZFFDSP,4.516
TMA-ZAIN-G-183,/MBC,BP,4.424,TS,ONF,4.385,CC,4.343,B,4.341,LB,4.338
TMA-ZAIN-G-184,/MBC,B,5.058,TS,TSP,4.387,BP,4.311,BP,4.259,ZFFDSP,4.253
TMA-ZAIN-G-185,/MBC,B,4.933,TS,ZFFDSP,4.659,BP,4.606,BP,4.595,TSP,4.582
TMA-ZAIN-G-186,/MBC,B,4.669,TS,SF,4.545,BP,4.416,O,4.271,CR,4.25
TMA-ZAIN-G-187,/MBC,B,4.806,TS,SF,4.686,CR,4.352,BP,4.262,ENP,4.208
TMA-ZAIN-G-188,/MBC,B,4.653,TS,ONF,4.559,CR,4.347,TS,4.334,ENP,4.301
TMA-ZAIN-G-189,/MBC,SF,4.433,TS,ONF,4.281,CC,4.242,O,4.242,CR,4.209
TMA-ZAIN-G-190,/MBC,TSP,4.588,TS,BP,4.579,B,4.564,BP,4.513,TSP,4.5
TMA-ZAIN-G-191,/MBC,B,4.949,TS,TS,4.473,CR,4.439,ENP,4.355,CF,4.274
TMA-ZAIN-G-192,/MBC,BP,4.742,TS,BP,4.522,B,4.472,TSP,4.335,TSP,4.305
TMA-ZAIN-G-193,/MBC,B,4.566,TS,BP,4.536,TSP,4.444,BP,4.411,TSP,4.389
TMA-ZAIN-G-194,/MBC,B,4.656,CNS,TS,4.511,CC,4.385,O,4.328,ZFI,4.251
TMA-ZAIN-G-195,/MBC,TS,4.767,CNS,B,4.512,CC,4.466,O,4.323,ENP,4.292
TMA-ZAIN-G-196,/MBC,CC,4.831,CNS,O,4.716,TSP,4.219,ENP,4.218,CR,4.217
TMA-ZAIN-G-197,/MBC,B,4.748,CNS,O,4.414,CC,4.398,ZFI,4.314,TS,4.221
TMA-ZAIN-G-198,/MBC,B,4.663,CNS,TS,4.433,ZFI,4.136,CC,4.128,TSP,4.126
TMA-ZAIN-G-199,/MBC,B,5.027,CNS,O,4.272,BP,4.255,TSP,4.209,TSP,4.206
TMA-ZAIN-G-200,/MBC,B,4.571,CNS,SF,4.473,BP,4.364,CR,4.265,ENP,4.223
TMA-ZAIN-G-201,/MBC,TS,4.891,LB,B,4.761,SW,4.595,ZFI,4.425,ENP,4.352
