Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0227,/TMA,Porter,98.949,Porter,Magazine,0.754,Pryor,0.297,Sugar_Loaf,0
QAc-G-0228,/TMA,Magazine,99.98,Porter,Pryor,0.018,Porter,0.001,Sugar_Loaf,0.001
QAc-G-0229,/TMA,Porter,42.495,Porter,Magazine,36.774,Pryor,20.704,Sugar_Loaf,0.027
QAc-G-0230,/TMA,Magazine,97.761,Porter,Pryor,2.142,Porter,0.097,Sugar_Loaf,0
QAc-G-0231,/TMA,Pryor,55.792,Porter,Magazine,42.936,Porter,1.273,Sugar_Loaf,0
QAc-G-0232,/TMA,Porter,99.864,Porter,Sugar_Loaf,0.09,Pryor,0.041,Magazine,0.005
QAc-G-0233,/TMA,Pryor,93.329,Porter,Magazine,6.661,Porter,0.01,Sugar_Loaf,0
QAc-G-0234,/TMA,Pryor,98.616,Porter,Porter,0.89,Magazine,0.494,Sugar_Loaf,0
QAc-G-0235,/TMA,Magazine,50.278,Porter,Pryor,49.487,Sugar_Loaf,0.226,Porter,0.009
QAc-G-0236,/TMA,Magazine,99.622,Porter,Pryor,0.346,Porter,0.029,Sugar_Loaf,0.002
QAc-G-0237,/TMA,Porter,92.749,Porter,Magazine,5.712,Pryor,1.535,Sugar_Loaf,0.004
QAc-G-0238,/TMA,Magazine,99.893,Porter,Pryor,0.096,Sugar_Loaf,0.011,Porter,0
QAc-G-0239,/TMA,Magazine,99.595,Porter,Pryor,0.361,Porter,0.034,Sugar_Loaf,0.01
QAc-G-0240,/TMA,Magazine,99.387,Porter,Sugar_Loaf,0.316,Porter,0.297,Pryor,0
QAc-G-0241,/TMA,Magazine,72.884,Porter,Porter,25.789,Sugar_Loaf,0.948,Pryor,0.378
QAc-G-0242,/TMA,Pryor,99.584,Porter,Porter,0.285,Magazine,0.131,Sugar_Loaf,0
QAc-G-0243,/TMA,Porter,93.34,Porter,Magazine,5.618,Pryor,1.04,Sugar_Loaf,0.001
QAc-G-0244,/TMA,Magazine,87.88,Porter,Porter,12.066,Pryor,0.054,Sugar_Loaf,0
QAc-G-0245,/TMA,Magazine,99.944,Porter,Pryor,0.045,Porter,0.009,Sugar_Loaf,0.002
QAc-G-0246,/TMA,Magazine,99.622,Porter,Pryor,0.37,Porter,0.008,Sugar_Loaf,0
QAc-G-0247,/TMA,Magazine,99.714,Porter,Pryor,0.178,Porter,0.104,Sugar_Loaf,0.005
