Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per,Fifth_Pop,Fifth_Per
TMA-ZAIN-G-1,/MBC,SF,99.297,NWS_North,W,0.703,CR,0,ENP,0,ONF,0
TMA-ZAIN-G-2,/MBC,CR,43.63,NWS_North,W,26.58,ZFSW1,20.467,SF,9.303,ZFB,0.02
TMA-ZAIN-G-3,/MBC,SF,99.78,ONF,W,0.208,ZFB,0.007,ONF,0.005,CR,0.001
TMA-ZAIN-G-4,/MBC,SF,97.96,NWS_South,W,1.652,ONF,0.268,LB,0.091,ZFB,0.018
TMA-ZAIN-G-5,/MBC,SF,43.001,NWS_North,W,32.905,CR,24.094,ONF,0,WB,0
TMA-ZAIN-G-6,/MBC,SF,76.577,ONF,W,23.421,CR,0.002,ONF,0,ENP,0
TMA-ZAIN-G-7,/MBC,ONF,78.268,LTI,CR,13.378,SF,8.081,W,0.105,LB,0.058
TMA-ZAIN-G-8,/MBC,SF,99.999,LTI,W,0.001,CR,0,ONF,0,ENP,0
TMA-ZAIN-G-9,/MBC,ONF,72.138,FDSP,SF,19.584,ENP,4.145,CF,3.721,CR,0.18
TMA-ZAIN-G-10,/MBC,SF,99.911,FDSP,ZFB,0.082,ENP,0.003,CF,0.002,CR,0.001
TMA-ZAIN-G-11,/MBC,ONF,75.395,FDSP,SF,18.641,CF,4.411,CR,0.75,LB,0.474
TMA-ZAIN-G-12,/MBC,SF,99.487,FDSP,CR,0.38,W,0.117,ZFB,0.01,CF,0.005
TMA-ZAIN-G-13,/MBC,ONF,37.411,FDSP,ZFBP,34.655,ZFBP,22.724,TSP,5.047,SF,0.083
TMA-ZAIN-G-14,/MBC,SF,99.943,CNS,ZFB,0.039,CR,0.016,W,0.001,ZFCC,0
TMA-ZAIN-G-15,/MBC,SF,93.416,CNS,W,6.584,CR,0,CF,0,ZFSW1,0
TMA-ZAIN-G-16,/MBC,SF,96.595,FDSP,ONF,3.388,ZFB,0.009,TSP,0.003,W,0.002
TMA-ZAIN-G-17,/MBC,SF,99.999,NWS_North,W,0.001,ENP,0,CR,0,TSP,0
TMA-ZAIN-G-18,/MBC,SF,99.997,ENP,W,0.003,CR,0,ENP,0,ZFSW1,0
TMA-ZAIN-G-19,/MBC,SF,99.999,ENP,W,0,CF,0,CR,0,LB,0
TMA-ZAIN-G-20,/MBC,SF,99.987,ENP,W,0.008,CR,0.005,CF,0,ENP,0
TMA-ZAIN-G-21,/MBC,SF,99.999,PB,W,0.001,ZFK,0,CR,0,ENP,0
TMA-ZAIN-G-22,/MBC,SF,99.99,TS,CR,0.009,ZFSW1,0.001,W,0.001,ZFB,0
TMA-ZAIN-G-23,/MBC,SF,99.985,TS,W,0.012,ZFSW1,0.003,ZFI,0,CR,0
TMA-ZAIN-G-24,/MBC,WB,70.504,TS,CR,15.27,SF,13.072,ZFB,0.842,ZFO,0.113
TMA-ZAIN-G-25,/MBC,SF,50.326,NWS_South,W,49.673,CR,0.001,ENP,0,CF,0
TMA-ZAIN-G-26,/MBC,SF,91.466,OS,CF,7.516,ENP,0.987,LB,0.027,W,0.002
TMA-ZAIN-G-27,/MBC,SF,42.673,CR,LB,33.596,ENP,12.919,CR,3.74,ZFSW1,2.786
TMA-ZAIN-G-28,/MBC,SF,99.998,NWS_North,CR,0.001,ENP,0.001,CF,0,ZFTS,0
TMA-ZAIN-G-29,/MBC,SF,99.998,ONF,ENP,0.001,W,0.001,CF,0,WB,0
TMA-ZAIN-G-30,/MBC,SF,99.999,WB,ZFB,0,ZFSW1,0,CR,0,ZFTS,0
TMA-ZAIN-G-31,/MBC,SF,98.654,W,W,1.339,CR,0.007,ZFSW1,0,ONF,0
TMA-ZAIN-G-32,/MBC,SF,78.487,SW,W,21.513,ONF,0,ZFSW1,0,CR,0
TMA-ZAIN-G-33,/MBC,SF,89.871,NWS_North,W,10.11,ONF,0.017,CF,0.002,CR,0
TMA-ZAIN-G-34,/MBC,SF,99.754,ONF,ONF,0.209,W,0.036,ZFB,0,CR,0
TMA-ZAIN-G-35,/MBC,SF,97.832,ONF,W,2.168,ZFB,0,ZFI,0,CF,0
TMA-ZAIN-G-36,/MBC,CF,76.467,NWS_North,SF,23.33,W,0.182,ENP,0.01,CR,0.01
TMA-ZAIN-G-37,/MBC,SF,97.081,SF,W,1.782,CF,1.109,LB,0.025,ENP,0.001
TMA-ZAIN-G-38,/MBC,W,85.437,I,SF,14.549,CR,0.008,ONF,0.006,ENP,0
TMA-ZAIN-G-39,/MBC,SF,99.474,BP,ENP,0.377,ZFB,0.097,CR,0.049,W,0.003
TMA-ZAIN-G-40,/MBC,SF,82.399,BP,ENP,15.858,CR,0.852,LB,0.543,TSP,0.096
TMA-ZAIN-G-41,/MBC,SF,88.441,TS,ZFO,10.512,ENP,0.999,ZFB,0.015,ZFCC,0.014
TMA-ZAIN-G-42,/MBC,SF,99.552,TS,W,0.447,ZFO,0,ZFLTI,0,ENP,0
TMA-ZAIN-G-43,/MBC,SF,91.404,CNS,W,8.545,ZFB,0.025,ZFSW1,0.02,CR,0.004
TMA-ZAIN-G-44,/MBC,SF,51.525,LB,LB,46.065,CR,1.607,ZFBP,0.293,ENP,0.208
TMA-ZAIN-G-45,/MBC,SF,59.296,FDSP,CR,38.23,ZFB,1.701,ONF,0.527,ENP,0.113
TMA-ZAIN-G-46,/MBC,SF,99.983,PB,CR,0.013,W,0.004,LB,0,ZFSW1,0
TMA-ZAIN-G-47,/MBC,SF,100,CC,W,0,ENP,0,CR,0,ZFSW1,0
TMA-ZAIN-G-48,/MBC,SF,99.997,NWS_South,ENP,0.001,W,0.001,ZFB,0.001,CR,0
TMA-ZAIN-G-49,/MBC,SF,99.026,NWS_South,W,0.952,CF,0.015,ENP,0.004,LB,0.003
TMA-ZAIN-G-50,/MBC,SF,99.999,NWS_South,W,0.001,LB,0,ZFK,0,CF,0
TMA-ZAIN-G-51,/MBC,CF,73.604,NWS_South,SF,17.877,LB,4.402,ENP,3.506,CR,0.606
TMA-ZAIN-G-52,/MBC,SF,96.237,NWS_South,CR,3.091,ZFTS,0.421,ZFB,0.092,ZFSW1,0.077
TMA-ZAIN-G-53,/MBC,SF,99.862,NWS_South,CF,0.122,W,0.008,ENP,0.005,LB,0.002
TMA-ZAIN-G-54,/MBC,SF,100,OS,W,0,CR,0,ZFSW1,0,ENP,0
TMA-ZAIN-G-55,/MBC,SF,100,OS,W,0,CR,0,ZFSW1,0,ZFO,0
TMA-ZAIN-G-56,/MBC,SF,65.904,OS,CF,33.835,ENP,0.201,LB,0.023,ZFTS,0.014
TMA-ZAIN-G-57,/MBC,SF,99.998,OS,W,0.002,CR,0,ZFSW1,0,ENP,0
TMA-ZAIN-G-58,/MBC,SF,99.08,CR,CR,0.905,W,0.009,ENP,0.005,CF,0.001
TMA-ZAIN-G-59,/MBC,CR,79.145,NWS_North,ONF,11.943,SF,8.707,ENP,0.104,CF,0.051
TMA-ZAIN-G-60,/MBC,SF,51.041,NWS_North,CR,32.487,LB,12.21,CF,3.216,ENP,1.021
TMA-ZAIN-G-61,/MBC,SF,94.075,NWS_North,CR,3.463,W,2.199,ONF,0.262,ZFBP,0.001
TMA-ZAIN-G-62,/MBC,SF,99.998,NWS_North,W,0.002,CR,0,ENP,0,ZFB,0
TMA-ZAIN-G-63,/MBC,SF,97.093,NWS_North,W,1.543,CR,1.364,ZFSW1,0,ZFB,0
TMA-ZAIN-G-64,/MBC,SF,87.656,ONF,W,10.905,ZFONF,1.101,CF,0.318,ENP,0.008
TMA-ZAIN-G-65,/MBC,SF,75.835,ONF,W,24.163,ZFB,0.001,ENP,0,ZFSW1,0
TMA-ZAIN-G-66,/MBC,SF,96.731,ONF,W,1.524,CF,1.224,ZFONF,0.23,ZFB,0.188
TMA-ZAIN-G-67,/MBC,SF,99.886,ONF,W,0.107,ZFB,0.003,CF,0.002,ENP,0.002
TMA-ZAIN-G-68,/MBC,SF,99.27,ONF,W,0.67,ZFONF,0.041,ENP,0.019,CF,0
TMA-ZAIN-G-69,/MBC,W,76.114,ONF,SF,23.754,ONF,0.122,ZFONF,0.009,ZFBP,0.001
TMA-ZAIN-G-70,/MBC,ONF,99.547,ONF,ZFBP,0.246,ZFBP,0.128,TSP,0.045,SF,0.033
TMA-ZAIN-G-71,/MBC,SF,82.369,ONF,CR,9.532,ZFB,6.566,ZFO,0.828,ENP,0.616
TMA-ZAIN-G-72,/MBC,SF,99.982,ONF,ZFSW1,0.007,CR,0.007,W,0.003,ONF,0.001
TMA-ZAIN-G-73,/MBC,SF,99.792,ONF,CR,0.117,W,0.088,CF,0.001,ZFSW1,0.001
TMA-ZAIN-G-74,/MBC,SF,99.598,ONF,CR,0.357,W,0.038,ZFBP,0.004,ZFBP,0.001
TMA-ZAIN-G-75,/MBC,SF,99.894,ONF,CR,0.062,W,0.044,ZFSW1,0,ZFB,0
TMA-ZAIN-G-76,/MBC,SF,97.013,ONF,W,1.331,ZFO,1.114,ZFBP,0.419,CR,0.066
TMA-ZAIN-G-77,/MBC,SF,91.189,ONF,CR,3.778,ZFSW1,2.691,CF,2.239,ZFB,0.073
TMA-ZAIN-G-78,/MBC,SF,99.911,ONF,CR,0.044,W,0.042,ZFSW1,0.002,ONF,0
TMA-ZAIN-G-79,/MBC,SF,98.722,ONF,CR,1.247,ZFSW1,0.016,CF,0.01,ONF,0.002
TMA-ZAIN-G-80,/MBC,SF,99.992,ONF,CR,0.004,W,0.003,ZFB,0,ONF,0
TMA-ZAIN-G-81,/MBC,SF,81.848,ONF,CR,13.817,ENP,3.847,ZFB,0.419,CF,0.063
TMA-ZAIN-G-82,/MBC,SF,99.963,ONF,W,0.036,ENP,0,CR,0,ONF,0
TMA-ZAIN-G-83,/MBC,SF,99.903,ONF,W,0.074,ZFB,0.019,CR,0.002,ONF,0.001
TMA-ZAIN-G-84,/MBC,SF,90.378,ONF,ZFB,6.982,CR,1.665,W,0.47,ENP,0.319
TMA-ZAIN-G-85,/MBC,SF,84.389,K,W,10.809,LB,4.728,ZFSW1,0.038,ZFBP,0.011
TMA-ZAIN-G-86,/MBC,SF,90.858,K,LB,7.058,W,1.171,ENP,0.59,CR,0.282
TMA-ZAIN-G-87,/MBC,SF,78.804,K,W,12.978,ZFSW1,7.536,CR,0.569,LB,0.104
TMA-ZAIN-G-88,/MBC,SF,99.981,NWS_South,ONF,0.008,CR,0.005,W,0.005,ZFSW1,0
TMA-ZAIN-G-89,/MBC,SF,99.99,NWS_South,CR,0.008,W,0.001,ONF,0.001,ZFSW1,0.001
TMA-ZAIN-G-90,/MBC,SF,98.703,NWS_South,ENP,1.073,LB,0.124,W,0.082,CR,0.01
TMA-ZAIN-G-91,/MBC,SF,58.872,NWS_South,LB,40.869,ENP,0.149,CR,0.037,CF,0.028
TMA-ZAIN-G-92,/MBC,SF,99.873,NWS_South,CR,0.119,ENP,0.006,CF,0.001,ZFTS,0
TMA-ZAIN-G-93,/MBC,SF,99.998,NWS_South,CR,0.001,ZFTS,0.001,CF,0,WB,0
TMA-ZAIN-G-94,/MBC,SF,92.539,NWS_South,CR,7.22,ZFSW1,0.171,ENP,0.05,W,0.017
TMA-ZAIN-G-95,/MBC,SF,99.999,WB,CR,0.001,ZFSW1,0,ZFI,0,ZFB,0
TMA-ZAIN-G-96,/MBC,SF,99.999,WB,ZFSW1,0.001,W,0,CR,0,ENP,0
TMA-ZAIN-G-97,/MBC,SF,99.62,W,W,0.379,CR,0.001,CF,0,ONF,0
TMA-ZAIN-G-98,/MBC,SF,99.948,W,W,0.039,CR,0.013,ONF,0,CF,0
TMA-ZAIN-G-99,/MBC,ONF,98.811,W,SF,1.156,W,0.022,ZFBP,0.008,TSP,0.002
TMA-ZAIN-G-101,/MBC,W,58.073,W,SF,38.895,LB,2.725,CR,0.26,ZFBP,0.044
TMA-ZAIN-G-102,/MBC,SF,97.693,W,W,2.177,CR,0.13,ZFSW1,0,ONF,0
TMA-ZAIN-G-103,/MBC,SF,99.772,SW,W,0.225,ZFSW1,0.002,CR,0,ZFBP,0
TMA-ZAIN-G-104,/MBC,SF,99.908,SW,W,0.092,CR,0,ZFI,0,ZFB,0
TMA-ZAIN-G-105,/MBC,SF,99.996,SW,W,0.004,CR,0,ZFI,0,ZFSW1,0
TMA-ZAIN-G-106,/MBC,SF,99.994,SW,W,0.006,CR,0,ZFI,0,ZFB,0
TMA-ZAIN-G-107,/MBC,SF,84.376,NWS_North,ONF,13.768,ZFBP,0.983,ZFBP,0.434,CR,0.239
TMA-ZAIN-G-108,/MBC,SF,89.224,NWS_North,CR,10.026,ONF,0.462,W,0.217,CF,0.067
TMA-ZAIN-G-109,/MBC,SF,45.36,NWS_North,LB,24.267,W,18.139,CF,7.389,CR,2.264
TMA-ZAIN-G-110,/MBC,SF,73.249,NWS_North,W,26.719,CR,0.03,ONF,0.002,ZFB,0.001
TMA-ZAIN-G-111,/MBC,SF,97.539,NWS_North,CR,1.954,ONF,0.492,ZFBP,0.007,ENP,0.003
TMA-ZAIN-G-112,/MBC,SF,99.998,NWS_North,W,0.002,CR,0,ZFB,0,ENP,0
TMA-ZAIN-G-113,/MBC,SF,99.966,NWS_North,CR,0.028,W,0.006,ZFB,0,ONF,0
TMA-ZAIN-G-114,/MBC,SF,53.987,NWS_North,CR,28.299,W,17.491,ONF,0.223,ZFB,0
TMA-ZAIN-G-115,/MBC,W,83.357,NWS_North,CR,15.63,ONF,0.725,SF,0.288,TSP,0.001
TMA-ZAIN-G-116,/MBC,W,98.785,NWS_North,CR,0.65,SF,0.564,ZFB,0,ZFSW1,0
TMA-ZAIN-G-117,/MBC,SF,99.964,ONF,W,0.036,ONF,0,ZFB,0,CR,0
TMA-ZAIN-G-118,/MBC,SF,98.908,ONF,W,1.084,ZFB,0.007,ZFSW1,0,CR,0
TMA-ZAIN-G-119,/MBC,SF,99.86,ONF,W,0.14,ZFB,0,CR,0,ZFSW1,0
TMA-ZAIN-G-120,/MBC,SF,99.478,ONF,W,0.522,ONF,0,ZFBP,0,ZFB,0
TMA-ZAIN-G-121,/MBC,SF,99.266,ONF,W,0.731,ZFB,0.003,ZFSW1,0,CR,0
TMA-ZAIN-G-122,/MBC,SF,98.916,ONF,W,1.084,ZFB,0,ENP,0,ZFSW1,0
TMA-ZAIN-G-123,/MBC,SF,66.467,SF,LB,14.42,CF,11.774,ENP,6.639,W,0.603
TMA-ZAIN-G-124,/MBC,SF,82.129,I,W,17.738,CR,0.129,ZFSW1,0.004,ZFI,0
TMA-ZAIN-G-125,/MBC,SF,99.892,LTI,ONF,0.098,CR,0.004,CF,0.003,W,0.002
TMA-ZAIN-G-126,/MBC,SF,99.999,LTI,W,0.001,ZFLTI,0,CR,0,ZFSW1,0
TMA-ZAIN-G-127,/MBC,SF,99.995,LTI,ONF,0.004,ZFLTI,0.001,W,0,TSP,0
TMA-ZAIN-G-128,/MBC,SF,98.985,LTI,ONF,0.731,LB,0.218,ZFLTI,0.032,TSP,0.032
TMA-ZAIN-G-129,/MBC,SF,99.968,LTI,CF,0.026,ENP,0.002,LB,0.002,ZFLTI,0.001
TMA-ZAIN-G-130,/MBC,SF,99.162,LTI,ONF,0.829,TSP,0.003,CR,0.003,W,0.002
TMA-ZAIN-G-131,/MBC,SF,99.998,LTI,W,0.002,ZFLTI,0,ONF,0,CR,0
TMA-ZAIN-G-132,/MBC,SF,99.994,LTI,CF,0.003,W,0.002,LB,0.001,ONF,0.001
TMA-ZAIN-G-133,/MBC,SF,99.971,LTI,CF,0.015,ENP,0.012,W,0.001,ZFLTI,0
TMA-ZAIN-G-134,/MBC,SF,99.994,NWS_North,W,0.006,ENP,0,ZFB,0,CR,0
TMA-ZAIN-G-135,/MBC,SF,99.863,NWS_North,ONF,0.098,W,0.037,TSP,0.002,ENP,0
TMA-ZAIN-G-136,/MBC,ONF,99.986,NWS_North,TSP,0.007,ZFBP,0.006,SF,0,ZFBP,0
TMA-ZAIN-G-137,/MBC,SF,94.824,NWS_North,ONF,5.031,ZFBP,0.074,W,0.033,ZFBP,0.029
TMA-ZAIN-G-138,/MBC,ONF,99.966,NWS_North,SF,0.032,CR,0.001,ZFBP,0.001,TSP,0
TMA-ZAIN-G-139,/MBC,ONF,94.7,NWS_North,TSP,3.681,ZFBP,1.093,SF,0.428,ZFBP,0.097
TMA-ZAIN-G-140,/MBC,SF,97.579,NWS_North,ONF,2.207,TSP,0.106,ZFBP,0.058,W,0.038
TMA-ZAIN-G-141,/MBC,ONF,50.261,FDSP,SF,49.511,CR,0.083,TSP,0.073,ZFB,0.021
TMA-ZAIN-G-142,/MBC,ONF,99.319,FDSP,SF,0.498,CR,0.116,TSP,0.039,ZFBP,0.025
TMA-ZAIN-G-143,/MBC,ONF,81.122,FDSP,SF,18.208,TSP,0.347,ZFBP,0.13,ZFB,0.126
TMA-ZAIN-G-144,/MBC,SF,78.079,FDSP,ONF,21.109,CF,0.598,CR,0.134,TSP,0.046
TMA-ZAIN-G-145,/MBC,SF,99.947,FDSP,CF,0.051,CR,0.002,W,0,LB,0
TMA-ZAIN-G-146,/MBC,SF,99.725,FDSP,W,0.274,ONF,0.001,ZFB,0,ENP,0
TMA-ZAIN-G-147,/MBC,ONF,96.845,FDSP,ZFBP,1.913,TSP,1.115,SF,0.096,ZFBP,0.018
TMA-ZAIN-G-148,/MBC,SF,51.002,FDSP,ONF,31.062,ZFBP,12.466,ZFBP,2.337,TSP,1.686
TMA-ZAIN-G-149,/MBC,TSP,72.185,FDSP,SF,23.89,ONF,1.781,CF,1.268,ZFBP,0.547
TMA-ZAIN-G-150,/MBC,ONF,46.084,FDSP,SF,31.427,TSP,16.581,CF,4.807,ZFBP,0.851
TMA-ZAIN-G-151,/MBC,SF,99.715,FDSP,W,0.251,ENP,0.023,ZFO,0.004,ZFLTI,0.003
TMA-ZAIN-G-152,/MBC,SF,99.45,FDSP,W,0.55,ZFB,0,CR,0,ENP,0
TMA-ZAIN-G-153,/MBC,SF,99.14,FDSP,W,0.856,ZFB,0.004,CR,0,ENP,0
TMA-ZAIN-G-154,/MBC,SF,87.557,FDSP,ONF,9.586,TSP,2.41,ZFBP,0.37,W,0.04
TMA-ZAIN-G-155,/MBC,SF,99.896,FDSP,W,0.104,ONF,0,ZFB,0,CR,0
TMA-ZAIN-G-156,/MBC,ONF,99.987,FDSP,SF,0.013,W,0,TSP,0,ZFBP,0
TMA-ZAIN-G-157,/MBC,SF,99.314,FDSP,W,0.668,ONF,0.011,CR,0.006,ZFO,0
TMA-ZAIN-G-158,/MBC,ONF,95.995,FDSP,SF,3.66,TSP,0.297,W,0.023,LB,0.015
TMA-ZAIN-G-159,/MBC,SF,99.998,FDSP,W,0.002,ONF,0,CR,0,ZFB,0
TMA-ZAIN-G-160,/MBC,ONF,99.864,FDSP,SF,0.127,ZFBP,0.006,TSP,0.001,CR,0.001
TMA-ZAIN-G-161,/MBC,ONF,80.55,FDSP,SF,19.337,W,0.071,ZFBP,0.041,TSP,0.001
TMA-ZAIN-G-162,/MBC,SF,98.274,FDSP,CF,1.601,CR,0.119,W,0.005,LB,0.001
TMA-ZAIN-G-163,/MBC,SF,99.768,FDSP,W,0.229,ONF,0.002,CR,0.001,ZFB,0
TMA-ZAIN-G-164,/MBC,SF,99.906,FDSP,W,0.07,ONF,0.022,CR,0.002,ZFB,0
TMA-ZAIN-G-165,/MBC,SF,79.455,FDSP,ONF,19.485,W,1.035,ZFBP,0.012,CR,0.011
TMA-ZAIN-G-166,/MBC,ONF,99.638,FDSP,SF,0.219,ZFBP,0.102,TSP,0.037,CR,0.002
TMA-ZAIN-G-167,/MBC,SF,99.463,BP,ONF,0.392,W,0.104,CR,0.028,ZFBP,0.012
TMA-ZAIN-G-168,/MBC,ONF,61.559,BP,SF,32.951,CR,5.35,ZFBP,0.068,TSP,0.037
TMA-ZAIN-G-169,/MBC,SF,94.179,BP,CR,2.586,ONF,1.984,CF,0.534,ZFB,0.396
TMA-ZAIN-G-170,/MBC,SF,99.432,BP,ONF,0.373,W,0.191,ZFBP,0.001,ZFONF,0.001
TMA-ZAIN-G-171,/MBC,SF,61.436,BP,ONF,31.744,CR,4.849,W,1.551,ZFBP,0.236
TMA-ZAIN-G-172,/MBC,ONF,92.319,BP,SF,6.758,ZFBP,0.726,TSP,0.159,W,0.013
TMA-ZAIN-G-173,/MBC,SF,92.752,BP,CR,3.92,ONF,2.333,ZFB,0.354,CF,0.244
TMA-ZAIN-G-174,/MBC,SF,91.811,BP,CF,5.961,CR,2.183,ZFB,0.027,ENP,0.011
TMA-ZAIN-G-175,/MBC,SF,98.989,BP,ENP,0.566,ONF,0.24,CR,0.085,TSP,0.056
TMA-ZAIN-G-176,/MBC,ONF,97.467,BP,ZFBP,1.269,TSP,0.806,SF,0.387,CR,0.046
TMA-ZAIN-G-177,/MBC,ONF,98.474,BP,TSP,0.763,ZFBP,0.672,SF,0.05,CR,0.036
TMA-ZAIN-G-178,/MBC,CR,42.775,BP,ONF,41.35,LB,7.731,SF,4.315,ZFBP,2.622
TMA-ZAIN-G-179,/MBC,CR,96.28,BP,SF,2.886,ZFB,0.794,ONF,0.024,CF,0.011
TMA-ZAIN-G-180,/MBC,LB,38.809,BP,ZFBP,25.127,SF,21.661,CR,9.303,ONF,2.56
TMA-ZAIN-G-181,/MBC,SF,94.661,TS,LB,4.07,ONF,0.815,W,0.313,TSP,0.123
TMA-ZAIN-G-182,/MBC,SF,98.904,TS,ONF,0.314,W,0.243,CR,0.217,TSP,0.136
TMA-ZAIN-G-183,/MBC,SF,99.425,TS,ONF,0.257,LB,0.224,TSP,0.051,CR,0.033
TMA-ZAIN-G-184,/MBC,SF,98.677,TS,W,1.316,TSP,0.002,ZFB,0.002,CR,0.001
TMA-ZAIN-G-185,/MBC,SF,99.233,TS,W,0.556,TSP,0.13,ONF,0.071,ZFBP,0.006
TMA-ZAIN-G-186,/MBC,SF,100,TS,W,0,CR,0,ENP,0,ZFB,0
TMA-ZAIN-G-187,/MBC,SF,100,TS,CR,0,W,0,ZFB,0,CF,0
TMA-ZAIN-G-188,/MBC,SF,99.235,TS,ONF,0.387,CR,0.363,W,0.011,ENP,0.004
TMA-ZAIN-G-189,/MBC,SF,100,TS,W,0,ONF,0,CF,0,ENP,0
TMA-ZAIN-G-190,/MBC,SF,97.071,TS,ZFLTI,1.451,TSP,1.317,ZFBP,0.073,ONF,0.05
TMA-ZAIN-G-191,/MBC,SF,99.438,TS,CR,0.407,CF,0.128,ENP,0.012,W,0.008
TMA-ZAIN-G-192,/MBC,SF,99.941,TS,ZFBP,0.056,ONF,0.002,TSP,0,CR,0
TMA-ZAIN-G-193,/MBC,SF,91.921,TS,ONF,3.043,TSP,2.656,ZFLTI,1.137,CR,0.833
TMA-ZAIN-G-194,/MBC,SF,99.519,CNS,W,0.48,ZFSW1,0,ZFCC,0,ZFB,0
TMA-ZAIN-G-195,/MBC,SF,99.998,CNS,W,0.001,CF,0,ZFSW1,0,CR,0
TMA-ZAIN-G-196,/MBC,SF,96.012,CNS,ZFCC,2.636,CR,0.54,CF,0.447,ZFO,0.216
TMA-ZAIN-G-197,/MBC,SF,92.404,CNS,W,7.578,CR,0.009,ZFI,0.005,ZFB,0.002
TMA-ZAIN-G-198,/MBC,SF,98.662,CNS,W,1.337,ZFSW1,0,ZFB,0,CR,0
TMA-ZAIN-G-199,/MBC,SF,97.279,CNS,W,1.516,ZFB,1.14,CR,0.057,TSP,0.003
TMA-ZAIN-G-200,/MBC,SF,100,CNS,CR,0,ENP,0,W,0,ZFBP,0
TMA-ZAIN-G-201,/MBC,SF,95.307,LB,W,4.056,ZFSW1,0.549,CR,0.083,ZFB,0.004
TMA-ZAIN-G-202,/MBC,SF,99.999,LB,CR,0,W,0,ENP,0,ZFK,0
TMA-ZAIN-G-203,/MBC,LB,91.159,LB,SF,4.94,ZFBP,3.03,ZFK,0.389,W,0.257
TMA-ZAIN-G-204,/MBC,SF,92.474,LB,CR,4.825,W,1.683,ONF,0.929,ZFCC,0.074
TMA-ZAIN-G-205,/MBC,LB,98.89,LB,CR,0.426,SF,0.333,ZFBP,0.191,CF,0.104
TMA-ZAIN-G-206,/MBC,SF,98.732,LB,CR,0.717,LB,0.534,W,0.009,CF,0.006
TMA-ZAIN-G-207,/MBC,SF,34.74,LB,CR,29.47,W,23.15,LB,10.828,ENP,1.617
