Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per,Fifth_Pop,Fifth_Per
TMA-ZAIN-G-1,/MBC,SF,95.885,NWS_North,W,4.114,ZFCR,0,ONF,0,ZFSW1,0
TMA-ZAIN-G-2,/MBC,W,49.875,NWS_North,ZFSW1,25.301,SF,24.066,ZFCR,0.68,ZFB,0.075
TMA-ZAIN-G-3,/MBC,SF,93.355,ONF,W,6.533,ZFB,0.085,ONF,0.026,LB,0.001
TMA-ZAIN-G-4,/MBC,SF,95.312,NWS_South,W,3.831,LB,0.794,ONF,0.033,BP,0.019
TMA-ZAIN-G-5,/MBC,SF,83.342,NWS_North,W,16.541,ZFCR,0.116,ZFSW1,0,ONF,0
TMA-ZAIN-G-6,/MBC,SF,72.821,ONF,W,27.177,LB,0.001,ONF,0,ZFCR,0
TMA-ZAIN-G-7,/MBC,SF,92.324,LTI,W,3.092,ONF,2.929,LB,1.541,BP,0.049
TMA-ZAIN-G-8,/MBC,SF,99.731,LTI,W,0.268,ZFLTI,0,ONF,0,ZFCR,0
TMA-ZAIN-G-9,/MBC,SF,54.527,FDSP,ONF,41.995,W,3.039,ZFENP,0.11,ZFTSP2,0.063
TMA-ZAIN-G-10,/MBC,SF,99.641,FDSP,W,0.179,ZFB,0.154,LB,0.022,BP,0.004
TMA-ZAIN-G-11,/MBC,SF,93.158,FDSP,LB,3.165,ONF,2.982,W,0.624,BP2,0.018
TMA-ZAIN-G-12,/MBC,SF,96.288,FDSP,W,3.563,ZFB,0.112,LB,0.022,ZFCR,0.009
TMA-ZAIN-G-13,/MBC,SF,57.134,FDSP,ONF,27.852,W,11.144,BP2,1.708,ZFTSP2,1.136
TMA-ZAIN-G-14,/MBC,SF,99.036,CNS,W,0.69,ZFB,0.255,LB,0.006,ZFSW1,0.004
TMA-ZAIN-G-15,/MBC,SF,67.616,CNS,W,32.384,ZFSW1,0,LB,0,ZFCR,0
TMA-ZAIN-G-16,/MBC,SF,98.883,FDSP,ONF,0.777,W,0.177,ZFB,0.093,LB,0.051
TMA-ZAIN-G-17,/MBC,SF,99.919,NWS_North,W,0.081,ZFLTI,0,LB,0,ZFK,0
TMA-ZAIN-G-18,/MBC,SF,99.92,ENP,W,0.08,ZFSW1,0,ZFCR,0,LB,0
TMA-ZAIN-G-19,/MBC,SF,99.949,ENP,W,0.048,LB,0.003,ZFTS,0,ZCF,0
TMA-ZAIN-G-20,/MBC,SF,99.815,ENP,W,0.184,ZFSW1,0,ZFCR,0,LB,0
TMA-ZAIN-G-21,/MBC,SF,99.918,PB,W,0.067,ZFK,0.011,LB,0.004,ZFB,0
TMA-ZAIN-G-22,/MBC,SF,99.912,TS,W,0.076,ZFSW1,0.01,ZFCR,0.001,ZFI,0
TMA-ZAIN-G-23,/MBC,SF,99.404,TS,W,0.571,ZFSW1,0.025,ZFI,0,ZFB,0
