Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0001,/BTRL,Magazine,27.122,NA,Porter,24.402,Sugar_Loaf,24.302,Pryor,24.174
QAc-G-0002,/BTRL,Magazine,26.8,NA,Pryor,25.021,Porter,24.694,Sugar_Loaf,23.486
QAc-G-0003,/MBG,Pryor,26.961,NA,Magazine,25.233,Porter,24.632,Sugar_Loaf,23.174
QAc-G-0004,/MBG,Magazine,27.253,NA,Sugar_Loaf,24.737,Porter,24.465,Pryor,23.544
QAc-G-0005,/MBG,Porter,26.092,NA,Pryor,25.492,Magazine,25.341,Sugar_Loaf,23.075
QAc-G-0006,/MBG,Magazine,26.956,NA,Sugar_Loaf,25.54,Porter,24.742,Pryor,22.762
QAc-G-0010,/TMA,Pryor,25.412,NA,Magazine,25.314,Porter,24.855,Sugar_Loaf,24.419
QAc-G-0011,/TMA,Porter,26.258,NA,Pryor,24.942,Magazine,24.83,Sugar_Loaf,23.97
QAc-G-0015,/TMA,Magazine,25.796,NA,Pryor,25.171,Porter,24.738,Sugar_Loaf,24.295
QAc-G-0016,/HBG,Magazine,26.134,NA,Sugar_Loaf,24.944,Pryor,24.529,Porter,24.392
QAc-G-0017,/HBG,Magazine,25.964,Porter,Porter,25.236,Pryor,24.466,Sugar_Loaf,24.334
QAc-G-0018,/HBG,Magazine,25.843,Porter,Pryor,25.385,Porter,24.451,Sugar_Loaf,24.321
QAc-G-0019,/HBG,Porter,26.571,Porter,Pryor,25.56,Magazine,25.216,Sugar_Loaf,22.653
QAc-G-0020,/HBG,Magazine,26.143,Porter,Porter,25.637,Sugar_Loaf,24.325,Pryor,23.894
QAc-G-0021,/HBG,Porter,25.976,Pryor,Magazine,25.59,Pryor,24.248,Sugar_Loaf,24.187
QAc-G-0022,/HBG,Porter,26.104,Pryor,Magazine,25.999,Sugar_Loaf,24.251,Pryor,23.647
QAc-G-0023,/HBG,Pryor,25.727,Pryor,Magazine,25.305,Porter,24.544,Sugar_Loaf,24.424
QAc-G-0024,/HBG,Magazine,26.104,Pryor,Porter,25.293,Pryor,24.93,Sugar_Loaf,23.673
QAc-G-0025,/USNA,Magazine,26.698,Magazine,Pryor,24.65,Porter,24.564,Sugar_Loaf,24.089
QAc-G-0028,/USNA,Magazine,26.09,Porter,Pryor,25.019,Sugar_Loaf,24.479,Porter,24.412
QAc-G-0029,/AP,Magazine,26.833,Pryor,Porter,25.162,Sugar_Loaf,24.093,Pryor,23.912
QAc-G-0030,/AP,Magazine,26.199,Pryor,Pryor,25.212,Porter,24.402,Sugar_Loaf,24.188
QAc-G-0031,/AP,Pryor,25.954,Pryor,Magazine,25.481,Porter,24.812,Sugar_Loaf,23.753
QAc-G-0032,/DBG,Magazine,25.768,Magazine,Pryor,25.141,Sugar_Loaf,24.91,Porter,24.181
QAc-G-0033,/DBG,Magazine,26.025,Porter,Porter,25.257,Pryor,25.245,Sugar_Loaf,23.473
QAc-G-0034,/DBG,Magazine,26.635,Porter,Pryor,24.771,Porter,24.7,Sugar_Loaf,23.894
QAc-G-0035,/DBG,Magazine,25.666,Porter,Pryor,25.438,Porter,24.747,Sugar_Loaf,24.149
QAc-G-0036,/DBG,Pryor,26.137,Porter,Porter,25.522,Magazine,24.481,Sugar_Loaf,23.86
QAc-G-0037,/DBG,Magazine,26.103,Porter,Sugar_Loaf,24.857,Porter,24.618,Pryor,24.422
QAc-G-0038,/DBG,Magazine,25.904,Porter,Sugar_Loaf,24.862,Porter,24.722,Pryor,24.512
QAc-G-0039,/DBG,Porter,26.067,Porter,Sugar_Loaf,25.117,Magazine,25.103,Pryor,23.713
QAc-G-0040,/DBG,Magazine,26.551,Porter,Porter,24.801,Sugar_Loaf,24.397,Pryor,24.25
QAc-G-0041,/DBG,Magazine,25.871,Porter,Pryor,25.38,Porter,24.559,Sugar_Loaf,24.19
QAc-G-0042,/DBG,Magazine,25.71,Porter,Pryor,25.249,Porter,24.878,Sugar_Loaf,24.163
QAc-G-0043,/DBG,Magazine,25.574,Porter,Sugar_Loaf,25.326,Porter,24.635,Pryor,24.465
QAc-G-0044,/DBG,Magazine,25.46,Porter,Pryor,25.408,Porter,25.277,Sugar_Loaf,23.855
QAc-G-0045,/DBG,Magazine,25.971,Porter,Pryor,25.555,Porter,24.733,Sugar_Loaf,23.74
