Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0183,/TMA,Pryor,28.077,Magazine,Magazine,26.94,Porter,22.594,Sugar_Loaf,22.39
QAc-G-0184,/TMA,Magazine,28.516,Magazine,Pryor,27.317,Porter,22.856,Sugar_Loaf,21.311
QAc-G-0185,/TMA,Pryor,29.058,Magazine,Magazine,26.772,Porter,22.841,Sugar_Loaf,21.329
QAc-G-0186,/TMA,Pryor,26.798,Magazine,Magazine,26.542,Porter,23.673,Sugar_Loaf,22.987
QAc-G-0187,/TMA,Pryor,25.676,Magazine,Magazine,25.656,Porter,24.548,Sugar_Loaf,24.12
QAc-G-0188,/TMA,Sugar_Loaf,26.459,Magazine,Pryor,25.193,Magazine,25.041,Porter,23.308
QAc-G-0189,/TMA,Pryor,29.653,Magazine,Magazine,23.985,Porter,23.807,Sugar_Loaf,22.554
QAc-G-0190,/TMA,Pryor,26.652,Magazine,Porter,25.322,Magazine,25.063,Sugar_Loaf,22.963
QAc-G-0191,/TMA,Pryor,26.706,Magazine,Porter,25.17,Magazine,25.114,Sugar_Loaf,23.01
QAc-G-0192,/TMA,Pryor,29.32,Magazine,Magazine,25.486,Porter,23.525,Sugar_Loaf,21.669
QAc-G-0193,/TMA,Pryor,28.15,Magazine,Porter,25.593,Magazine,25.145,Sugar_Loaf,21.112
QAc-G-0194,/TMA,Pryor,29.309,Magazine,Porter,25.634,Magazine,23.094,Sugar_Loaf,21.962
QAc-G-0195,/TMA,Magazine,29.015,Magazine,Pryor,24.849,Sugar_Loaf,23.174,Porter,22.962
QAc-G-0196,/TMA,Magazine,28.592,Magazine,Pryor,26.518,Porter,22.902,Sugar_Loaf,21.989
QAc-G-0197,/TMA,Pryor,28.084,Magazine,Magazine,26.539,Sugar_Loaf,23.357,Porter,22.02
QAc-G-0198,/TMA,Pryor,27.552,Magazine,Magazine,26.835,Porter,24.519,Sugar_Loaf,21.094
QAc-G-0199,/TMA,Pryor,29.997,Magazine,Porter,25.541,Magazine,24.322,Sugar_Loaf,20.14
QAc-G-0200,/TMA,Magazine,27.243,Magazine,Pryor,26.858,Sugar_Loaf,23.324,Porter,22.574
QAc-G-0201,/TMA,Pryor,29.172,Magazine,Magazine,26.436,Porter,23.917,Sugar_Loaf,20.475
QAc-G-0202,/TMA,Pryor,27.721,Magazine,Magazine,26.486,Porter,24.255,Sugar_Loaf,21.538
QAc-G-0203,/TMA,Pryor,27.401,Magazine,Magazine,26.679,Sugar_Loaf,23.697,Porter,22.224
QAc-G-0204,/TMA,Pryor,27.414,Pryor,Magazine,27.108,Sugar_Loaf,23.021,Porter,22.458
QAc-G-0205,/TMA,Magazine,27.436,Pryor,Pryor,26.562,Porter,24.022,Sugar_Loaf,21.98
QAc-G-0206,/TMA,Pryor,27.141,Pryor,Porter,25.163,Magazine,23.997,Sugar_Loaf,23.7
QAc-G-0207,/TMA,Pryor,26.807,Pryor,Porter,25.568,Magazine,25.123,Sugar_Loaf,22.503
QAc-G-0208,/TMA,Magazine,26.196,Pryor,Porter,26.054,Pryor,25.924,Sugar_Loaf,21.826
QAc-G-0209,/TMA,Pryor,27.74,Pryor,Magazine,25.809,Porter,24.926,Sugar_Loaf,21.525
QAc-G-0210,/TMA,Magazine,27.481,Pryor,Pryor,26.575,Porter,24.037,Sugar_Loaf,21.908
QAc-G-0211,/TMA,Pryor,27.969,Pryor,Magazine,25.544,Porter,24.595,Sugar_Loaf,21.892
QAc-G-0212,/TMA,Magazine,27.093,Pryor,Pryor,24.693,Sugar_Loaf,24.339,Porter,23.875
QAc-G-0213,/TMA,Pryor,27.433,Pryor,Magazine,25.644,Porter,24.604,Sugar_Loaf,22.319
QAc-G-0214,/TMA,Pryor,27.015,Pryor,Magazine,26.946,Sugar_Loaf,23.199,Porter,22.84
QAc-G-0215,/TMA,Sugar_Loaf,26.019,Pryor,Magazine,26.005,Pryor,24.573,Porter,23.403
QAc-G-0216,/TMA,Magazine,26.427,Pryor,Pryor,24.975,Porter,24.604,Sugar_Loaf,23.995
QAc-G-0217,/TMA,Porter,27.483,Pryor,Pryor,26.666,Magazine,23.846,Sugar_Loaf,22.005
QAc-G-0218,/TMA,Magazine,26.539,Pryor,Porter,25.828,Pryor,24.075,Sugar_Loaf,23.558
QAc-G-0219,/TMA,Magazine,26.276,Pryor,Pryor,25.788,Porter,24.015,Sugar_Loaf,23.921
QAc-G-0220,/TMA,Porter,26.696,Pryor,Magazine,25.121,Pryor,24.892,Sugar_Loaf,23.291
QAc-G-0221,/TMA,Magazine,27.996,Pryor,Porter,25.588,Pryor,23.646,Sugar_Loaf,22.77
QAc-G-0222,/TMA,Pryor,26.853,Pryor,Magazine,26.706,Porter,25.597,Sugar_Loaf,20.844
QAc-G-0223,/TMA,Porter,27.076,Pryor,Magazine,25.415,Pryor,24.992,Sugar_Loaf,22.517
QAc-G-0224,/TMA,Pryor,25.788,Pryor,Porter,25.508,Sugar_Loaf,24.378,Magazine,24.325
QAc-G-0226,/TMA,Magazine,26.608,Porter,Pryor,26.513,Porter,25.552,Sugar_Loaf,21.327
QAc-G-0227,/TMA,Porter,28.727,Porter,Magazine,24.694,Pryor,24.334,Sugar_Loaf,22.245
QAc-G-0228,/TMA,Magazine,26.721,Porter,Sugar_Loaf,26.552,Pryor,24.141,Porter,22.586
QAc-G-0229,/TMA,Pryor,25.973,Porter,Porter,25.739,Magazine,24.647,Sugar_Loaf,23.64
QAc-G-0230,/TMA,Magazine,27.399,Porter,Pryor,25.452,Porter,23.867,Sugar_Loaf,23.282
QAc-G-0231,/TMA,Magazine,26.201,Porter,Pryor,26.106,Porter,25.039,Sugar_Loaf,22.655
QAc-G-0232,/TMA,Porter,28.384,Porter,Sugar_Loaf,26.242,Pryor,23.311,Magazine,22.063
QAc-G-0233,/TMA,Pryor,28.429,Porter,Porter,25.349,Magazine,25.144,Sugar_Loaf,21.079
QAc-G-0234,/TMA,Pryor,28.934,Porter,Magazine,24.739,Porter,24.198,Sugar_Loaf,22.129
QAc-G-0235,/TMA,Pryor,26.296,Porter,Sugar_Loaf,26.091,Magazine,25.974,Porter,21.64
QAc-G-0236,/TMA,Magazine,28.115,Porter,Pryor,24.766,Porter,23.741,Sugar_Loaf,23.378
QAc-G-0237,/TMA,Porter,27.404,Porter,Pryor,25.925,Magazine,24.935,Sugar_Loaf,21.737
QAc-G-0238,/TMA,Magazine,26.687,Porter,Pryor,25.042,Sugar_Loaf,24.859,Porter,23.411
QAc-G-0239,/TMA,Magazine,26.409,Porter,Sugar_Loaf,24.687,Porter,24.489,Pryor,24.415
QAc-G-0240,/TMA,Porter,26.432,Porter,Magazine,26.275,Sugar_Loaf,25.674,Pryor,21.618
QAc-G-0241,/TMA,Porter,26.799,Porter,Magazine,25.888,Pryor,23.672,Sugar_Loaf,23.641
QAc-G-0242,/TMA,Porter,26.882,Porter,Pryor,26.765,Magazine,25.063,Sugar_Loaf,21.29
QAc-G-0243,/TMA,Porter,28.671,Porter,Magazine,25.671,Pryor,23.741,Sugar_Loaf,21.916
QAc-G-0244,/TMA,Porter,26.912,Porter,Magazine,26.053,Pryor,23.672,Sugar_Loaf,23.363
QAc-G-0245,/TMA,Magazine,26.896,Porter,Pryor,25.112,Porter,24.681,Sugar_Loaf,23.312
QAc-G-0246,/TMA,Magazine,27.472,Porter,Pryor,24.909,Sugar_Loaf,23.923,Porter,23.696
QAc-G-0247,/TMA,Magazine,26.46,Porter,Sugar_Loaf,25.2,Porter,24.873,Pryor,23.467
QAc-G-0248,/TMA,Magazine,27.923,NA,Porter,25.204,Sugar_Loaf,24.647,Pryor,22.226
QAc-G-0249,/TTA,Porter,26.569,NA,Magazine,25.868,Pryor,24.535,Sugar_Loaf,23.029
QAc-G-0250,/MeBG,Pryor,28.493,NA,Magazine,24.519,Sugar_Loaf,23.588,Porter,23.4
QAc-G-0251,/JFG,Pryor,25.956,Porter,Magazine,25.635,Porter,25.017,Sugar_Loaf,23.392
QAc-G-0252,/JFG,Sugar_Loaf,26.569,Porter,Porter,24.881,Pryor,24.346,Magazine,24.203
QAc-G-0253,/JFG,Pryor,26.436,Pryor,Magazine,26.433,Sugar_Loaf,24.287,Porter,22.845
QAc-G-0254,/JFG,Pryor,27.506,Pryor,Magazine,26.755,Porter,25.44,Sugar_Loaf,20.299
