Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per,Fifth_Pop,Fifth_Per
TMA-ZAIN-G-350,/GWL,TS,8.109,NA,SW,6.273,B,5.48,CC,5.314,K,5.263
TMA-ZAIN-G-351,/GWL,TS,6.696,NA,SW,5.403,BP,5.124,B,5.083,K,4.832
TMA-ZAIN-G-352,/GWL,TS,6.807,NA,SW,6.113,SW,5.236,CC,4.919,ZFSF,4.804
TMA-ZAIN-G-353,/GWL,TS,7.659,NA,SW,5.959,B,5.677,CC,5.187,O,4.882
TMA-ZAIN-G-354,/GWL,TS,6.737,NA,B,5.916,SW,5.511,K,5.219,O,4.508
TMA-ZAIN-G-355,/GWL,TS,7.175,NA,CC,5.924,SW,5.318,O,4.846,SW,4.701
TMA-ZAIN-G-356,/GWL,TS,7.691,NA,SW,6.596,K,6.122,O,5.054,CC,4.669
TMA-ZAIN-G-357,/GWL,TS,6.32,NA,B,5.449,SW,5.269,CC,5.113,O,4.855
TMA-ZAIN-G-358,/GWL,TS,7.242,NA,SW,6.286,B,5.323,K,5.304,CF,4.538
TMA-ZAIN-G-359,/GWL,TS,6.238,NA,SW,5.496,B,4.97,CC,4.724,O,4.586
TMA-ZAIN-G-360,/HPLG,BP,5.795,NWS_North,K,5.619,TS,5.371,BP,5.342,SW,4.948
TMA-ZAIN-G-361,/HPLG,ENP,7.858,NWS_North,WB,6.377,TSP,4.806,BP,4.659,BP,4.604
TMA-ZAIN-G-362,/HPLG,LTI,6.719,NWS_North,BP,6.131,WB,5.924,BP,5.739,ZFFDSP,5.64
TMA-ZAIN-G-363,/HPLG,BP,9.285,NWS_North,ENP,6.763,LB,6.539,K,6.469,CF,4.982
TMA-ZAIN-G-364,/HPLG,CF,5.948,NWS_North,K,5.351,BP,5.338,LB,5.315,ONF,5.027
TMA-ZAIN-G-365,/HPLG,LTI,7.221,NWS_North,WB,5.907,ENP,5.668,ONF,5.368,BP,5.151
TMA-ZAIN-G-366,/HPLG,K,7.681,NWS_North,BP,5.621,B,5.536,TS,5.478,LB,5.064
TMA-ZAIN-G-367,/NBG,ENP,8.622,NWS_South,K,5.583,LB,5.35,BP,5.15,TSP,5.059
TMA-ZAIN-G-368,/NBG,K,7.175,NA,ENP,5.637,CF,5.352,SW,5.233,LB,5.126
TMA-ZAIN-G-369,/NBG,BP,6.973,NA,ZFFDSP,6.618,BP,6.472,ONF,6.172,TSP,6.084
TMA-ZAIN-G-370,/NBG,BP,8.525,NWS_South,BP,7.613,ZFFDSP,7.519,ONF,6.136,ONF,5.424
TMA-ZAIN-G-371,/NBG,ENP,6.695,NWS_South,WB,5.602,SW,5.594,CF,5.446,SW,5.292
TMA-ZAIN-G-372,/NBG,BP,7.887,NA,BP,6.828,WB,6.506,ZFFDSP,6.349,ONF,5.407
