Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8
QAc-W-0028,Porter,0.023,0.005,0.751,0.191,0.007,0.014,0.003,0.006
QAc-W-0029,Porter,0.023,0.026,0.855,0.01,0.006,0.07,0.007,0.003
QAc-W-0030,Porter,0.372,0.17,0.344,0.043,0.007,0.019,0.01,0.034
QAc-W-0031,Porter,0.01,0.004,0.925,0.005,0.004,0.01,0.039,0.003
QAc-W-0032,Porter,0.008,0.005,0.96,0.008,0.008,0.004,0.004,0.002
QAc-W-0033,Porter,0.338,0.046,0.491,0.01,0.065,0.027,0.012,0.011
QAc-W-0034,Porter,0.013,0.006,0.92,0.009,0.01,0.031,0.007,0.004
QAc-W-0035,Porter,0.142,0.168,0.603,0.022,0.021,0.007,0.011,0.026
QAc-W-0036,Porter,0.009,0.004,0.951,0.007,0.007,0.013,0.004,0.005
QAc-W-0037,Porter,0.051,0.007,0.874,0.01,0.017,0.015,0.013,0.013
QAc-W-0038,Porter,0.025,0.01,0.164,0.72,0.007,0.005,0.004,0.064
QAc-W-0039,Porter,0.013,0.005,0.866,0.006,0.006,0.026,0.013,0.066
QAc-W-0040,Porter,0.041,0.006,0.714,0.011,0.193,0.003,0.018,0.014
QAc-W-0041,Porter,0.064,0.019,0.663,0.008,0.013,0.048,0.177,0.007
NA,NA,0,0,0,0,0,0,0,0
QAc-W-0042,Magazine,0.005,0.011,0.005,0.004,0.005,0.961,0.004,0.005
QAc-W-0043,Magazine,0.006,0.005,0.005,0.006,0.004,0.961,0.004,0.009
QAc-W-0044,Magazine,0.01,0.009,0.009,0.012,0.019,0.914,0.005,0.022
QAc-W-0045,Magazine,0.008,0.283,0.005,0.009,0.005,0.68,0.005,0.005
QAc-W-0046,Magazine,0.005,0.004,0.005,0.004,0.004,0.968,0.006,0.005
QAc-W-0047,Magazine,0.008,0.005,0.006,0.005,0.008,0.94,0.003,0.027
QAc-W-0048,Magazine,0.008,0.007,0.012,0.005,0.003,0.958,0.004,0.004
QAc-W-0049,Magazine,0.01,0.005,0.004,0.011,0.004,0.958,0.004,0.003
QAc-W-0050,Magazine,0.088,0.785,0.005,0.031,0.021,0.061,0.004,0.005
QAc-W-0051,Magazine,0.021,0.897,0.014,0.005,0.005,0.024,0.012,0.022
QAc-W-0052,Magazine,0.068,0.015,0.323,0.015,0.022,0.536,0.005,0.016
QAc-W-0053,Magazine,0.026,0.027,0.014,0.006,0.01,0.905,0.008,0.004
QAc-W-0054,Magazine,0.052,0.807,0.008,0.008,0.018,0.019,0.009,0.078
QAc-W-0055,Magazine,0.008,0.898,0.004,0.006,0.011,0.006,0.007,0.06
QAc-W-0056,Magazine,0.036,0.852,0.055,0.018,0.011,0.005,0.011,0.011
QAc-W-0057,Magazine,0.025,0.817,0.006,0.021,0.009,0.032,0.009,0.081
QAc-W-0058,Magazine,0.011,0.917,0.004,0.025,0.003,0.019,0.015,0.006
QAc-W-0059,Magazine,0.005,0.005,0.004,0.006,0.004,0.968,0.003,0.005
QAc-W-0060,Magazine,0.008,0.005,0.006,0.005,0.01,0.008,0.004,0.955
QAc-W-0061,Magazine,0.061,0.021,0.05,0.036,0.051,0.018,0.01,0.752
QAc-W-0062,Magazine,0.004,0.003,0.003,0.004,0.006,0.003,0.007,0.969
QAc-W-0063,Magazine,0.065,0.013,0.016,0.01,0.019,0.005,0.104,0.769
QAc-W-0064,Magazine,0.009,0.009,0.008,0.007,0.008,0.004,0.008,0.948
QAc-W-0065,Magazine,0.016,0.125,0.01,0.095,0.02,0.006,0.009,0.719
QAc-W-0066,Magazine,0.004,0.004,0.006,0.004,0.003,0.006,0.014,0.957
QAc-W-0067,Magazine,0.009,0.006,0.004,0.004,0.025,0.005,0.011,0.935
QAc-W-0068,Magazine,0.012,0.005,0.006,0.005,0.003,0.006,0.006,0.957
QAc-W-0069,Magazine,0.004,0.004,0.006,0.003,0.003,0.004,0.009,0.966
