Ind,Pop,C1,C2,C3,C4,C5,C6
QAc-W-0001,Porter,0.005,0.007,0.976,0.004,0.003,0.005
QAc-W-0002,Porter,0.035,0.061,0.682,0.005,0.013,0.204
QAc-W-0003,Porter,0.005,0.009,0.907,0.032,0.03,0.016
QAc-W-0004,Porter,0.006,0.004,0.973,0.008,0.004,0.005
QAc-W-0005,Porter,0.005,0.004,0.977,0.004,0.005,0.005
QAc-W-0006,Porter,0.005,0.005,0.977,0.005,0.004,0.004
QAc-W-0007,Porter,0.006,0.004,0.978,0.004,0.004,0.004
QAc-W-0008,Porter,0.011,0.005,0.96,0.003,0.004,0.016
QAc-W-0009,Porter,0.195,0.141,0.255,0.016,0.024,0.369
QAc-W-0010,Porter,0.034,0.027,0.898,0.005,0.019,0.017
QAc-W-0011,Porter,0.006,0.044,0.872,0.014,0.032,0.032
QAc-W-0012,Porter,0.007,0.007,0.966,0.005,0.006,0.009
QAc-W-0013,Porter,0.008,0.711,0.116,0.119,0.009,0.039
QAc-W-0014,Porter,0.016,0.007,0.96,0.004,0.008,0.006
QAc-W-0015,Porter,0.063,0.122,0.216,0.051,0.468,0.08
QAc-W-0016,Porter,0.039,0.005,0.855,0.03,0.017,0.054
QAc-W-0017,Porter,0.147,0.04,0.17,0.038,0.18,0.424
QAc-W-0018,Porter,0.017,0.035,0.74,0.047,0.005,0.156
QAc-W-0019,Porter,0.012,0.007,0.961,0.007,0.005,0.008
QAc-W-0020,Porter,0.005,0.007,0.951,0.003,0.005,0.029
QAc-W-0021,Porter,0.027,0.021,0.691,0.233,0.005,0.022
QAc-W-0022,Porter,0.121,0.064,0.185,0.064,0.045,0.521
QAc-W-0023,Porter,0.159,0.181,0.388,0.049,0.006,0.217
QAc-W-0024,Porter,0.013,0.008,0.76,0.181,0.016,0.021
QAc-W-0025,Porter,0.02,0.006,0.939,0.014,0.006,0.015
QAc-W-0026,Porter,0.022,0.014,0.906,0.028,0.021,0.009
QAc-W-0027,Porter,0.008,0.007,0.966,0.006,0.005,0.008
QAc-W-0028,Porter,0.007,0.017,0.939,0.004,0.007,0.026
QAc-W-0029,Porter,0.006,0.058,0.911,0.008,0.003,0.015
QAc-W-0030,Porter,0.008,0.023,0.552,0.013,0.055,0.349
QAc-W-0031,Porter,0.004,0.011,0.934,0.041,0.003,0.006
QAc-W-0032,Porter,0.008,0.004,0.976,0.004,0.003,0.006
QAc-W-0033,Porter,0.087,0.033,0.76,0.016,0.01,0.095
QAc-W-0034,Porter,0.011,0.027,0.943,0.007,0.004,0.008
QAc-W-0035,Porter,0.028,0.008,0.801,0.014,0.057,0.092
QAc-W-0036,Porter,0.007,0.013,0.965,0.004,0.005,0.006
QAc-W-0037,Porter,0.018,0.015,0.922,0.015,0.015,0.015
QAc-W-0038,Porter,0.009,0.007,0.782,0.006,0.054,0.143
QAc-W-0039,Porter,0.006,0.023,0.916,0.013,0.038,0.005
QAc-W-0040,Porter,0.199,0.004,0.761,0.019,0.009,0.007
QAc-W-0041,Porter,0.012,0.047,0.778,0.14,0.007,0.016
NA,NA,0,0,0,0,0,0
QAc-W-0042,Magazine,0.005,0.976,0.005,0.004,0.005,0.004
QAc-W-0043,Magazine,0.004,0.973,0.005,0.004,0.009,0.005
QAc-W-0044,Magazine,0.02,0.933,0.011,0.005,0.021,0.01
QAc-W-0045,Magazine,0.005,0.926,0.007,0.006,0.009,0.047
QAc-W-0046,Magazine,0.004,0.98,0.004,0.005,0.004,0.004
QAc-W-0047,Magazine,0.008,0.952,0.006,0.003,0.026,0.005
QAc-W-0048,Magazine,0.004,0.971,0.012,0.004,0.004,0.006
QAc-W-0049,Magazine,0.004,0.974,0.006,0.004,0.003,0.01
QAc-W-0050,Magazine,0.011,0.069,0.005,0.004,0.005,0.906
QAc-W-0051,Magazine,0.005,0.085,0.02,0.011,0.04,0.838
QAc-W-0052,Magazine,0.021,0.599,0.331,0.006,0.019,0.024
QAc-W-0053,Magazine,0.012,0.947,0.015,0.009,0.006,0.013
QAc-W-0054,Magazine,0.024,0.214,0.011,0.009,0.331,0.41
QAc-W-0055,Magazine,0.014,0.077,0.007,0.016,0.428,0.458
QAc-W-0056,Magazine,0.008,0.006,0.031,0.011,0.012,0.933
QAc-W-0057,Magazine,0.007,0.028,0.007,0.011,0.071,0.876
QAc-W-0058,Magazine,0.003,0.05,0.005,0.018,0.012,0.912
QAc-W-0059,Magazine,0.004,0.978,0.004,0.003,0.006,0.006
QAc-W-0060,Magazine,0.009,0.008,0.005,0.003,0.968,0.006
QAc-W-0061,Magazine,0.069,0.023,0.057,0.012,0.76,0.079
QAc-W-0062,Magazine,0.007,0.004,0.004,0.007,0.975,0.004
QAc-W-0063,Magazine,0.021,0.006,0.017,0.125,0.819,0.012
QAc-W-0064,Magazine,0.008,0.004,0.006,0.009,0.966,0.007
QAc-W-0065,Magazine,0.028,0.008,0.014,0.012,0.87,0.068
QAc-W-0066,Magazine,0.003,0.006,0.007,0.016,0.963,0.004
QAc-W-0067,Magazine,0.033,0.007,0.005,0.011,0.94,0.005
QAc-W-0068,Magazine,0.004,0.007,0.006,0.007,0.97,0.006
QAc-W-0069,Magazine,0.004,0.004,0.006,0.009,0.974,0.003
QAc-W-0070,Magazine,0.003,0.003,0.003,0.004,0.983,0.003
QAc-W-0071,Magazine,0.005,0.006,0.005,0.006,0.973,0.005
QAc-W-0072,Magazine,0.062,0.005,0.018,0.007,0.892,0.015
QAc-W-0073,Magazine,0.021,0.018,0.035,0.017,0.868,0.041
QAc-W-0074,Magazine,0.008,0.004,0.008,0.008,0.966,0.005
QAc-W-0075,Magazine,0.004,0.003,0.003,0.005,0.981,0.004
QAc-W-0076,Magazine,0.021,0.004,0.004,0.005,0.96,0.007
QAc-W-0077,Magazine,0.007,0.015,0.013,0.005,0.948,0.013
NA,NA,0,0,0,0,0,0
QAc-W-0078,Pryor,0.049,0.008,0.043,0.858,0.016,0.027
QAc-W-0079,Pryor,0.007,0.006,0.006,0.968,0.008,0.006
QAc-W-0080,Pryor,0.005,0.004,0.037,0.943,0.005,0.006
QAc-W-0081,Pryor,0.004,0.007,0.006,0.975,0.005,0.004
QAc-W-0082,Pryor,0.005,0.007,0.004,0.423,0.006,0.555
QAc-W-0083,Pryor,0.01,0.005,0.008,0.952,0.018,0.007
QAc-W-0084,Pryor,0.003,0.003,0.005,0.981,0.004,0.003
QAc-W-0085,Pryor,0.01,0.005,0.004,0.973,0.004,0.004
QAc-W-0086,Pryor,0.007,0.006,0.005,0.972,0.004,0.006
QAc-W-0087,Pryor,0.006,0.004,0.005,0.978,0.003,0.005
QAc-W-0088,Pryor,0.005,0.007,0.005,0.973,0.003,0.007
QAc-W-0089,Pryor,0.004,0.006,0.007,0.971,0.006,0.007
QAc-W-0090,Pryor,0.004,0.006,0.006,0.975,0.004,0.005
QAc-W-0091,Pryor,0.006,0.004,0.005,0.978,0.003,0.004
QAc-W-0092,Pryor,0.014,0.051,0.108,0.807,0.005,0.015
QAc-W-0093,Pryor,0.026,0.005,0.026,0.427,0.006,0.51
QAc-W-0094,Pryor,0.012,0.01,0.079,0.858,0.011,0.03
QAc-W-0095,Pryor,0.006,0.007,0.015,0.959,0.008,0.006
QAc-W-0096,Pryor,0.014,0.012,0.04,0.871,0.037,0.026
QAc-W-0097,Pryor,0.006,0.025,0.043,0.495,0.006,0.426
QAc-W-0098,Pryor,0.004,0.004,0.006,0.969,0.004,0.013
QAc-W-0099,Pryor,0.059,0.027,0.009,0.89,0.006,0.009
QAc-W-0100,Pryor,0.004,0.003,0.004,0.981,0.003,0.005
QAc-W-0101,Pryor,0.007,0.004,0.006,0.973,0.006,0.005
QAc-W-0104,Pryor,0.013,0.011,0.005,0.955,0.004,0.011
QAc-W-0105,Pryor,0.004,0.004,0.004,0.981,0.004,0.004
QAc-W-0106,Pryor,0.006,0.007,0.009,0.967,0.005,0.007
QAc-W-0107,Pryor,0.007,0.009,0.006,0.936,0.024,0.018
QAc-W-0108,Pryor,0.008,0.008,0.005,0.95,0.019,0.01
QAc-W-0109,Pryor,0.005,0.015,0.008,0.931,0.021,0.019
QAc-W-0110,Pryor,0.008,0.006,0.705,0.269,0.005,0.006
QAc-W-0111,Pryor,0.005,0.007,0.004,0.971,0.007,0.006
QAc-W-0112,Pryor,0.01,0.004,0.009,0.963,0.004,0.01
NA,NA,0,0,0,0,0,0
QAc-W-0113,Sugar_Loaf,0.964,0.006,0.011,0.006,0.005,0.007
QAc-W-0114,Sugar_Loaf,0.942,0.013,0.007,0.023,0.007,0.009
QAc-W-0115,Sugar_Loaf,0.964,0.003,0.011,0.008,0.007,0.007
QAc-W-0116,Sugar_Loaf,0.95,0.014,0.011,0.007,0.003,0.015
QAc-W-0117,Sugar_Loaf,0.974,0.005,0.005,0.003,0.004,0.008
QAc-W-0118,Sugar_Loaf,0.924,0.004,0.007,0.017,0.036,0.011
QAc-W-0119,Sugar_Loaf,0.955,0.007,0.007,0.007,0.008,0.016
QAc-W-0120,Sugar_Loaf,0.953,0.006,0.01,0.009,0.011,0.011
QAc-W-0121,Sugar_Loaf,0.946,0.016,0.005,0.004,0.018,0.012
QAc-W-0122,Sugar_Loaf,0.92,0.009,0.014,0.005,0.005,0.047
QAc-W-0123,Sugar_Loaf,0.922,0.006,0.006,0.013,0.016,0.036
QAc-W-0124,Sugar_Loaf,0.695,0.005,0.052,0.092,0.146,0.011
QAc-W-0125,Sugar_Loaf,0.954,0.005,0.008,0.017,0.007,0.008
QAc-W-0126,Sugar_Loaf,0.899,0.022,0.01,0.034,0.012,0.023
QAc-W-0127,Sugar_Loaf,0.969,0.007,0.008,0.005,0.005,0.005
QAc-W-0128,Sugar_Loaf,0.895,0.008,0.024,0.054,0.006,0.013
QAc-W-0129,Sugar_Loaf,0.885,0.005,0.076,0.006,0.014,0.013
QAc-W-0130,Sugar_Loaf,0.947,0.006,0.029,0.007,0.004,0.006
QAc-W-0131,Sugar_Loaf,0.842,0.005,0.006,0.01,0.006,0.13
QAc-W-0132,Sugar_Loaf,0.889,0.008,0.016,0.012,0.054,0.021
QAc-W-0133,Sugar_Loaf,0.623,0.018,0.009,0.22,0.053,0.076
QAc-W-0134,Sugar_Loaf,0.975,0.006,0.004,0.004,0.005,0.004
QAc-W-0135,Sugar_Loaf,0.904,0.008,0.051,0.005,0.023,0.008
QAc-W-0136,Sugar_Loaf,0.98,0.003,0.004,0.004,0.004,0.005
QAc-W-0137,Sugar_Loaf,0.981,0.004,0.004,0.003,0.005,0.004
QAc-W-0138,Sugar_Loaf,0.98,0.003,0.005,0.003,0.004,0.005
QAc-W-0139,Sugar_Loaf,0.647,0.007,0.078,0.122,0.079,0.067
QAc-W-0140,Sugar_Loaf,0.868,0.074,0.014,0.007,0.005,0.032
QAc-W-0141,Sugar_Loaf,0.589,0.012,0.065,0.012,0.017,0.305
QAc-W-0142,Sugar_Loaf,0.973,0.005,0.004,0.005,0.008,0.005
QAc-W-0143,Sugar_Loaf,0.954,0.015,0.009,0.009,0.006,0.006
QAc-W-0144,Sugar_Loaf,0.883,0.081,0.007,0.006,0.005,0.018
QAc-W-0145,Sugar_Loaf,0.969,0.004,0.005,0.003,0.005,0.014
QAc-W-0146,Sugar_Loaf,0.969,0.006,0.009,0.006,0.005,0.005
QAc-W-0147,Sugar_Loaf,0.978,0.003,0.004,0.004,0.005,0.005
