Ind,Pop,C1,C2,C3,C4,C5
QAc-W-0001,Porter,0.007,0.004,0.981,0.003,0.004
QAc-W-0002,Porter,0.322,0.03,0.629,0.013,0.006
QAc-W-0003,Porter,0.016,0.006,0.912,0.035,0.031
QAc-W-0004,Porter,0.004,0.005,0.978,0.004,0.008
QAc-W-0005,Porter,0.004,0.007,0.98,0.006,0.004
QAc-W-0006,Porter,0.005,0.006,0.98,0.004,0.006
QAc-W-0007,Porter,0.005,0.007,0.979,0.004,0.005
QAc-W-0008,Porter,0.012,0.011,0.969,0.004,0.004
QAc-W-0009,Porter,0.634,0.137,0.191,0.022,0.017
QAc-W-0010,Porter,0.021,0.035,0.919,0.02,0.005
QAc-W-0011,Porter,0.048,0.007,0.899,0.033,0.014
QAc-W-0012,Porter,0.01,0.01,0.97,0.006,0.005
QAc-W-0013,Porter,0.796,0.007,0.112,0.009,0.076
QAc-W-0014,Porter,0.006,0.017,0.964,0.009,0.004
QAc-W-0015,Porter,0.173,0.067,0.215,0.495,0.049
QAc-W-0016,Porter,0.022,0.041,0.877,0.021,0.039
QAc-W-0017,Porter,0.411,0.139,0.2,0.207,0.043
QAc-W-0018,Porter,0.114,0.019,0.808,0.005,0.054
QAc-W-0019,Porter,0.008,0.012,0.968,0.005,0.007
QAc-W-0020,Porter,0.018,0.005,0.968,0.005,0.003
QAc-W-0021,Porter,0.022,0.028,0.712,0.005,0.233
QAc-W-0022,Porter,0.391,0.161,0.329,0.053,0.067
QAc-W-0023,Porter,0.435,0.126,0.39,0.007,0.042
QAc-W-0024,Porter,0.011,0.011,0.776,0.019,0.183
QAc-W-0025,Porter,0.011,0.021,0.943,0.007,0.018
QAc-W-0026,Porter,0.012,0.023,0.914,0.026,0.024
QAc-W-0027,Porter,0.009,0.009,0.969,0.005,0.007
QAc-W-0028,Porter,0.026,0.007,0.954,0.009,0.004
QAc-W-0029,Porter,0.045,0.007,0.937,0.003,0.008
QAc-W-0030,Porter,0.376,0.009,0.536,0.064,0.016
QAc-W-0031,Porter,0.009,0.005,0.942,0.004,0.041
QAc-W-0032,Porter,0.006,0.008,0.978,0.003,0.004
QAc-W-0033,Porter,0.061,0.09,0.82,0.012,0.017
QAc-W-0034,Porter,0.017,0.012,0.96,0.004,0.008
QAc-W-0035,Porter,0.039,0.036,0.847,0.064,0.013
QAc-W-0036,Porter,0.007,0.009,0.976,0.004,0.004
QAc-W-0037,Porter,0.018,0.018,0.933,0.018,0.013
QAc-W-0038,Porter,0.033,0.009,0.89,0.062,0.006
QAc-W-0039,Porter,0.008,0.007,0.939,0.034,0.012
QAc-W-0040,Porter,0.007,0.202,0.761,0.011,0.019
QAc-W-0041,Porter,0.046,0.013,0.799,0.007,0.135
NA,NA,0,0,0,0,0
QAc-W-0042,Magazine,0.968,0.006,0.008,0.008,0.01
QAc-W-0043,Magazine,0.948,0.007,0.007,0.03,0.007
QAc-W-0044,Magazine,0.921,0.018,0.019,0.037,0.004
QAc-W-0045,Magazine,0.976,0.006,0.007,0.006,0.005
QAc-W-0046,Magazine,0.973,0.006,0.005,0.007,0.008
QAc-W-0047,Magazine,0.922,0.014,0.01,0.05,0.003
QAc-W-0048,Magazine,0.975,0.005,0.01,0.004,0.006
QAc-W-0049,Magazine,0.979,0.005,0.007,0.004,0.006
QAc-W-0050,Magazine,0.973,0.012,0.005,0.005,0.006
QAc-W-0051,Magazine,0.942,0.006,0.017,0.021,0.014
QAc-W-0052,Magazine,0.672,0.02,0.281,0.021,0.006
QAc-W-0053,Magazine,0.961,0.014,0.013,0.006,0.006
QAc-W-0054,Magazine,0.685,0.029,0.011,0.266,0.009
QAc-W-0055,Magazine,0.511,0.018,0.007,0.44,0.023
QAc-W-0056,Magazine,0.9,0.013,0.047,0.017,0.023
QAc-W-0057,Magazine,0.92,0.008,0.007,0.051,0.014
QAc-W-0058,Magazine,0.95,0.003,0.005,0.017,0.025
QAc-W-0059,Magazine,0.978,0.005,0.006,0.008,0.003
QAc-W-0060,Magazine,0.007,0.011,0.005,0.973,0.004
QAc-W-0061,Magazine,0.064,0.075,0.066,0.78,0.015
