Ind,Pop,C1,C2,C3,C4,C5,C6,C7
QAc-W-0001,Porter,0.008,0.003,0.97,0.007,0.004,0.005,0.004
QAc-W-0002,Porter,0.472,0.01,0.39,0.048,0.005,0.036,0.039
QAc-W-0003,Porter,0.025,0.034,0.876,0.008,0.035,0.005,0.017
QAc-W-0004,Porter,0.004,0.004,0.973,0.004,0.007,0.004,0.004
QAc-W-0005,Porter,0.007,0.005,0.972,0.005,0.004,0.005,0.003
QAc-W-0006,Porter,0.004,0.003,0.973,0.005,0.006,0.005,0.003
QAc-W-0007,Porter,0.005,0.004,0.971,0.005,0.005,0.006,0.005
QAc-W-0008,Porter,0.018,0.004,0.947,0.005,0.003,0.01,0.013
QAc-W-0009,Porter,0.402,0.019,0.173,0.134,0.015,0.138,0.119
QAc-W-0010,Porter,0.013,0.014,0.883,0.026,0.006,0.029,0.029
QAc-W-0011,Porter,0.028,0.037,0.846,0.043,0.015,0.007,0.025
QAc-W-0012,Porter,0.011,0.006,0.955,0.007,0.005,0.01,0.007
QAc-W-0013,Porter,0.082,0.007,0.111,0.674,0.109,0.007,0.009
QAc-W-0014,Porter,0.007,0.009,0.953,0.006,0.004,0.016,0.005
QAc-W-0015,Porter,0.32,0.373,0.103,0.107,0.039,0.047,0.012
QAc-W-0016,Porter,0.016,0.014,0.79,0.004,0.028,0.038,0.11
QAc-W-0017,Porter,0.701,0.139,0.044,0.025,0.024,0.053,0.015
QAc-W-0018,Porter,0.038,0.004,0.716,0.018,0.038,0.014,0.171
QAc-W-0019,Porter,0.013,0.006,0.951,0.007,0.006,0.012,0.006
QAc-W-0020,Porter,0.046,0.005,0.925,0.007,0.003,0.004,0.009
QAc-W-0021,Porter,0.033,0.006,0.687,0.02,0.218,0.022,0.014
QAc-W-0022,Porter,0.68,0.039,0.103,0.038,0.051,0.068,0.021
QAc-W-0023,Porter,0.454,0.005,0.227,0.151,0.032,0.11,0.022
QAc-W-0024,Porter,0.095,0.018,0.676,0.008,0.184,0.012,0.007
QAc-W-0025,Porter,0.018,0.006,0.92,0.006,0.015,0.02,0.014
QAc-W-0026,Porter,0.01,0.024,0.901,0.012,0.024,0.02,0.009
QAc-W-0027,Porter,0.017,0.005,0.949,0.007,0.006,0.009,0.007
QAc-W-0028,Porter,0.165,0.007,0.796,0.016,0.003,0.006,0.007
QAc-W-0029,Porter,0.017,0.003,0.879,0.063,0.008,0.006,0.025
QAc-W-0030,Porter,0.164,0.049,0.433,0.024,0.012,0.007,0.312
QAc-W-0031,Porter,0.008,0.003,0.926,0.012,0.041,0.004,0.004
QAc-W-0032,Porter,0.008,0.003,0.969,0.004,0.004,0.008,0.005
QAc-W-0033,Porter,0.036,0.013,0.727,0.036,0.015,0.106,0.067
QAc-W-0034,Porter,0.011,0.004,0.935,0.027,0.006,0.01,0.006
QAc-W-0035,Porter,0.044,0.033,0.663,0.007,0.012,0.031,0.211
QAc-W-0036,Porter,0.008,0.004,0.959,0.013,0.003,0.007,0.004
QAc-W-0037,Porter,0.018,0.017,0.914,0.014,0.012,0.015,0.01
QAc-W-0038,Porter,0.487,0.057,0.423,0.006,0.005,0.007,0.014
QAc-W-0039,Porter,0.006,0.049,0.901,0.021,0.013,0.006,0.004
QAc-W-0040,Porter,0.009,0.011,0.746,0.004,0.018,0.206,0.006
QAc-W-0041,Porter,0.014,0.007,0.746,0.053,0.147,0.014,0.018
NA,NA,0,0,0,0,0,0,0
QAc-W-0042,Magazine,0.004,0.005,0.006,0.968,0.004,0.005,0.008
QAc-W-0043,Magazine,0.008,0.01,0.005,0.965,0.004,0.004,0.006
QAc-W-0044,Magazine,0.011,0.021,0.01,0.923,0.005,0.023,0.008
QAc-W-0045,Magazine,0.008,0.006,0.006,0.704,0.005,0.005,0.266
QAc-W-0046,Magazine,0.004,0.004,0.005,0.972,0.006,0.005,0.005
QAc-W-0047,Magazine,0.007,0.029,0.006,0.941,0.003,0.008,0.005
QAc-W-0048,Magazine,0.006,0.004,0.012,0.963,0.004,0.004,0.007
QAc-W-0049,Magazine,0.011,0.003,0.005,0.967,0.004,0.004,0.006
QAc-W-0050,Magazine,0.064,0.005,0.006,0.066,0.004,0.023,0.832
QAc-W-0051,Magazine,0.011,0.021,0.014,0.025,0.012,0.005,0.913
QAc-W-0052,Magazine,0.02,0.02,0.348,0.563,0.006,0.023,0.019
QAc-W-0053,Magazine,0.009,0.005,0.015,0.932,0.008,0.012,0.02
QAc-W-0054,Magazine,0.011,0.069,0.007,0.021,0.007,0.018,0.866
QAc-W-0055,Magazine,0.007,0.055,0.005,0.007,0.007,0.011,0.908
QAc-W-0056,Magazine,0.02,0.011,0.044,0.006,0.012,0.011,0.896
