"","QUAC_wK","QUAC_woK","ZAIN_og","ZAIN_rebinned"
"half_sibs","95.3% (264)","95.3% (264)","99.5% (380)","98.4% (376)"
"full_sibs","74% (205)","74% (205)","99.2% (379)","94.2% (360)"
