"","loiselle","wang","ritland","loiselle","wang","ritland"
"QUAC_wK","71.1% (80)","91.7% (80)","72.6% (80)","34.3% (113)","83.1% (29)","65.7% (59)"
"QUAC_woK","71.5% (80)","91.7% (80)","73.6% (80)","36% (105)","85.4% (24)","68.9% (51)"
"ZAIN_og","99.2% (80)","96.9% (80)","97.9% (80)","90.7% (70)","93.2% (51)","89.9% (76)"
"ZAIN_rebinned","93.5% (80)","94.8% (80)","84.6% (80)","90.8% (69)","93.2% (51)","90% (75)"
