"","QUAC_garden_sample","QUAC_garden_whole","QUAC_wild_sample","QUAC_wild_whole","ZAIN_garden_sample","ZAIN_garden_whole","ZAIN_wild_sample","ZAIN_wild_whole"
"half_sibs","95.3% (264)","96% (266)","68.6% (118)","84.9% (146)","98.4% (376)","98.7% (377)","83.2% (625)","95.7% (719)"
"full_sibs","74% (205)","75.1% (208)","11.6% (20)","35.5% (61)","94% (359)","94.5% (361)","37.7% (283)","89.9% (675)"
