"","QUAC_wK","QUAC_woK","ZAIN_og","ZAIN_rebinned","QUAC_wK","QUAC_woK","ZAIN_og","ZAIN_rebinned"
"Half_Sibs",96.8,96.8,99.5,99,89.5,90.9,95.9,95.9
"Full_Sibs",71.1,71.5,99.2,93.5,34.3,36,90.7,90.8
