"","non_halfsibs"
"gwtog_labpopsep_garden",146
"gwtog_labpopsep_wild",111
"gwtog_labpopgr_garden",80
"gwtog_labpopgr_wild",109
"gwsep_labpopsep_garden",147
"gwsep_labpopsep_wild",113
"gwsep_labpopgr_garden",78
"gwsep_labpopgr_wild",110
