"","QUAC_wK","QUAC_woK","ZAIN_og","ZAIN_rebinned"
"half_sibs","86.6% (149)","87.8% (144)","95.9% (722)","95.9% (720)"
"full_sibs","36.6% (63)","39% (64)","90% (678)","90% (676)"
