Ind,Pop,Garden_Wild,Longitude,Latitude,0C11_1,0C11_2,1G13_1,1G13_2,G07_1,G07_2,1F02_1,1F02_2,QpZAG9_1,QpZAG9_2
QAc-W-0079,Pryor,Wild,-93.871564,34.361124,210,212,175,185,206,206,161,165,262,262
QAc-W-0080,Pryor,Wild,-93.871564,34.361124,210,212,175,185,0,0,0,0,260,262
QAc-W-0081,Pryor,Wild,-93.871778,34.361156,202,216,175,181,206,206,165,165,252,256
QAc-W-0082,Pryor,Wild,-93.871794,34.361166,212,218,171,181,206,206,173,173,242,246
QAc-W-0083,Pryor,Wild,-93.871829,34.361094,202,218,181,181,206,206,161,165,242,262
QAc-W-0084,Pryor,Wild,-93.871887,34.361082,202,226,181,181,206,206,173,173,256,262
QAc-W-0085,Pryor,Wild,-93.871934,34.361107,216,226,175,181,206,206,173,173,252,256
QAc-W-0086,Pryor,Wild,-93.872001,34.361115,200,218,173,181,206,206,173,173,242,256
QAc-W-0087,Pryor,Wild,-93.87206,34.361087,212,216,181,181,206,206,165,173,246,262
QAc-W-0088,Pryor,Wild,-93.872157,34.361127,212,212,181,183,206,206,165,169,246,256
QAc-W-0089,Pryor,Wild,-93.872168,34.361124,200,212,173,181,206,206,165,165,246,262
QAc-W-0090,Pryor,Wild,-93.872334,34.361184,200,212,173,181,206,206,165,173,246,262
QAc-W-0091,Pryor,Wild,-93.872814,34.361256,210,212,171,185,204,206,165,165,256,262
QAc-W-0092,Pryor,Wild,-93.873153,34.361151,212,216,181,181,206,206,161,165,246,252
QAc-W-0093,Pryor,Wild,-93.87357,34.361182,208,210,171,185,206,206,165,167,242,262
QAc-W-0094,Pryor,Wild,-93.872559,34.361176,208,226,191,191,206,206,165,167,242,258
QAc-W-0095,Pryor,Wild,-93.872559,34.361176,202,226,171,191,206,206,165,165,258,262
QAc-W-0096,Pryor,Wild,-93.872573,34.361299,208,212,181,191,206,206,165,165,254,258
QAc-W-0097,Pryor,Wild,-93.872497,34.361187,200,212,171,171,206,206,165,173,246,262
QAc-W-0098,Pryor,Wild,-93.872154,34.361207,210,212,171,181,206,206,165,165,262,262
QAc-W-0099,Pryor,Wild,-93.872048,34.361166,212,216,175,181,206,206,173,177,248,252
QAc-W-0100,Pryor,Wild,-93.87207,34.361154,212,212,181,183,206,206,165,177,246,256
QAc-W-0101,Pryor,Wild,-93.871964,34.361215,218,226,181,181,206,206,165,165,242,256
QAc-W-0104,Pryor,Wild,-93.871938,34.361198,210,210,173,181,206,206,163,165,242,262
QAc-W-0105,Pryor,Wild,-93.871771,34.361256,212,226,181,181,206,206,165,165,252,252
QAc-W-0106,Pryor,Wild,-93.871771,34.361256,212,226,181,181,206,206,167,177,252,252
QAc-W-0107,Pryor,Wild,-93.87157,34.361127,200,202,171,175,206,206,165,165,242,242
QAc-W-0108,Pryor,Wild,-93.871473,34.361223,200,210,175,185,206,206,165,165,242,262
QAc-W-0109,Pryor,Wild,-93.871981,34.36109,200,216,181,181,206,206,165,165,246,262
QAc-W-0110,Pryor,Wild,-93.871842,34.361325,200,218,181,189,0,0,0,0,256,260
QAc-W-0111,Pryor,Wild,-93.871819,34.36134,210,212,181,185,206,206,0,0,252,262
QAc-W-0112,Pryor,Wild,-93.165335,35.232486,210,212,171,183,0,0,0,0,256,262
QAc-W-0113,Sugar_Loaf,Wild,-94.37327,35.073043,200,218,179,185,0,0,0,0,256,258
QAc-W-0114,Sugar_Loaf,Wild,-94.373168,35.072995,218,222,171,179,0,0,0,0,248,258
QAc-W-0115,Sugar_Loaf,Wild,-94.373079,35.072819,212,222,173,179,206,206,161,163,242,254
QAc-W-0116,Sugar_Loaf,Wild,-94.373103,35.072738,200,222,171,185,206,206,163,167,248,258
QAc-W-0117,Sugar_Loaf,Wild,-94.372773,35.072397,218,222,173,183,206,206,163,163,242,258
QAc-W-0118,Sugar_Loaf,Wild,-94.372789,35.072641,200,218,179,185,206,206,161,163,242,254
QAc-W-0119,Sugar_Loaf,Wild,-94.37245,35.072733,210,218,173,185,206,206,163,167,244,258
QAc-W-0120,Sugar_Loaf,Wild,-94.372182,35.073096,218,222,173,177,206,206,163,167,250,252
QAc-W-0121,Sugar_Loaf,Wild,-94.371927,35.073191,200,200,173,185,206,206,161,163,248,250
QAc-W-0122,Sugar_Loaf,Wild,-94.37231,35.072225,200,210,179,185,206,206,161,163,242,242
QAc-W-0123,Sugar_Loaf,Wild,-94.372201,35.072356,210,216,185,185,206,206,163,163,0,0
QAc-W-0124,Sugar_Loaf,Wild,-94.372063,35.072567,212,212,177,179,206,206,161,161,242,252
QAc-W-0125,Sugar_Loaf,Wild,-94.371806,35.072837,210,216,171,185,206,206,161,167,242,256
QAc-W-0126,Sugar_Loaf,Wild,-94.371635,35.073183,210,222,173,173,0,0,0,0,242,256
QAc-W-0127,Sugar_Loaf,Wild,-94.371754,35.073414,200,222,173,179,206,206,0,0,248,248
QAc-W-0128,Sugar_Loaf,Wild,-94.37158,35.073704,200,222,179,185,0,0,0,0,248,256
QAc-W-0129,Sugar_Loaf,Wild,-94.371624,35.073947,210,218,179,185,0,0,0,0,248,260
QAc-W-0130,Sugar_Loaf,Wild,-94.371591,35.074364,200,210,179,183,0,0,0,0,248,258
QAc-W-0131,Sugar_Loaf,Wild,-94.371704,35.074594,200,200,179,183,206,206,163,167,242,258
QAc-W-0132,Sugar_Loaf,Wild,-94.371868,35.074312,200,218,173,179,206,206,161,161,0,0
QAc-W-0133,Sugar_Loaf,Wild,-94.372131,35.074042,200,226,173,181,206,206,159,163,0,0
QAc-W-0134,Sugar_Loaf,Wild,-94.3725,35.073968,210,216,183,185,206,206,161,167,248,248
QAc-W-0135,Sugar_Loaf,Wild,-94.373094,35.074348,212,222,179,189,206,206,161,161,242,248
QAc-W-0136,Sugar_Loaf,Wild,-94.372919,35.073969,216,216,173,179,206,206,159,161,248,248
QAc-W-0137,Sugar_Loaf,Wild,-94.372819,35.073892,216,222,173,179,206,206,161,167,248,248
QAc-W-0138,Sugar_Loaf,Wild,-94.372819,35.073892,216,222,173,179,206,206,163,163,248,258
QAc-W-0139,Sugar_Loaf,Wild,-94.372868,35.073852,200,218,179,179,206,206,163,165,244,258
QAc-W-0140,Sugar_Loaf,Wild,-94.372928,35.07385,200,222,173,183,206,206,161,161,246,246
QAc-W-0141,Sugar_Loaf,Wild,-94.373009,35.073899,200,210,173,183,206,206,161,161,0,0
QAc-W-0142,Sugar_Loaf,Wild,-94.373086,35.073984,210,222,173,179,206,206,161,163,242,256
QAc-W-0143,Sugar_Loaf,Wild,-94.373275,35.073832,206,218,177,185,206,206,161,167,248,256
QAc-W-0144,Sugar_Loaf,Wild,-94.373362,35.073823,214,218,171,185,206,206,161,163,242,258
QAc-W-0145,Sugar_Loaf,Wild,-94.37345,35.073817,210,222,179,185,206,206,161,163,248,254
QAc-W-0146,Sugar_Loaf,Wild,-94.373629,35.073763,212,222,185,185,206,206,161,167,258,258
QAc-W-0147,Sugar_Loaf,Wild,-94.374003,35.073835,200,222,177,185,206,206,161,163,242,248
QAc-W-0148,Sugar_Loaf,Wild,-94.373696,35.07333,210,222,177,179,206,206,161,161,248,258
QAc-W-0149,Sugar_Loaf,Wild,-94.37362,35.073358,200,210,179,183,206,206,161,163,258,258
QAc-W-0150,Sugar_Loaf,Wild,-94.373369,35.073322,210,212,171,185,206,206,167,167,258,258
QAc-W-0151,Sugar_Loaf,Wild,-94.373378,35.073329,212,212,171,179,206,206,159,161,242,258
QAc-W-0152,Sugar_Loaf,Wild,-94.3732,35.073233,200,214,179,179,206,206,161,161,248,248
QAc-W-0153,Sugar_Loaf,Wild,-94.372781,35.073179,210,212,173,183,212,212,165,165,242,246
QAc-W-0154,Sugar_Loaf,Wild,-94.372559,35.0732,206,222,187,189,206,206,159,161,244,252
QAc-W-0155,Sugar_Loaf,Wild,-94.372378,35.073302,214,218,185,185,206,206,161,163,248,258
QAc-W-0156,Sugar_Loaf,Wild,-94.372234,35.073444,200,210,175,185,206,206,161,163,258,258
QAc-W-0157,Sugar_Loaf,Wild,-94.372132,35.073476,216,220,173,179,206,206,167,167,254,256
QAc-W-0158,Sugar_Loaf,Wild,-94.371994,35.07359,200,218,173,179,206,206,161,163,248,258
QAc-W-0159,Sugar_Loaf,Wild,-94.371978,35.073724,200,222,175,183,206,206,161,167,248,256
QAc-W-0160,Sugar_Loaf,Wild,-94.372087,35.073809,210,216,177,185,206,206,161,161,244,256
QAc-W-0161,Sugar_Loaf,Wild,-94.372346,35.073695,202,222,173,173,206,206,161,161,248,258
QAc-W-0162,Sugar_Loaf,Wild,-94.372556,35.073734,218,222,177,185,206,206,161,163,242,258
QAc-W-0163,Sugar_Loaf,Wild,-94.372771,35.073579,210,214,171,173,206,206,161,161,248,258
QAc-W-0164,Sugar_Loaf,Wild,-94.372987,35.073629,200,218,179,179,206,206,161,161,248,256
QAc-W-0165,Sugar_Loaf,Wild,-94.373161,35.073532,210,222,169,183,206,206,163,167,250,254
QAc-W-0166,Sugar_Loaf,Wild,-94.373268,35.073537,212,214,179,189,206,206,161,163,256,258
