Ind,Pop,Long,Lat
ZFWB36,WB,-82.71918462,28.2912548
ZFWB37,WB,-82.71927271,28.29124407
ZFWB38,WB,-82.71930062,28.2909554
ZFWB39,WB,-82.71931697,28.29061341
ZFWB40,WB,-82.71934848,28.29056664
ZFWB41,WB,-82.71926265,28.29052121
ZFWB42,WB,-82.71919384,28.29069153
ZFWB43,WB,-82.7190666,28.29126544
ZFWB44,WB,-82.71902754,28.29122948
ZFWB45,WB,-82.71904321,28.2911983
ZFWB46,WB,-82.7190314,28.29117718
ZFWB47,WB,-82.71898664,28.29125362
ZFWB48,WB,-82.7192826,28.29081626
ZFWB49,WB,-82.71933666,28.29081131
ZFWB50,WB,-82.71881238,28.29132797
ZFWB51,WB,-82.718777,28.29139587
