Ind,Population,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
QAc-G-0029,0,0.008,0.003,0.145,0.008,0.039,0.021,0.1,0.643,0.026,0.007
QAc-G-0030,0,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.979,0.002,0.002
QAc-G-0031,0,0.004,0.002,0.005,0.003,0.002,0.003,0.002,0.973,0.004,0.002
QAc-G-0061,0,0.003,0.002,0.819,0.005,0.003,0.005,0.006,0.15,0.004,0.004
QAc-G-0062,0,0.368,0.007,0.004,0.004,0.08,0.079,0.008,0.005,0.018,0.427
QAc-G-0063,0,0.188,0.008,0.005,0.032,0.092,0.043,0.062,0.006,0.549,0.016
QAc-G-0064,0,0.006,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.005,0.967
QAc-G-0065,0,0.002,0.003,0.002,0.003,0.003,0.002,0.002,0.008,0.002,0.971
QAc-G-0066,0,0.004,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.973,0.002
QAc-G-0067,0,0.003,0.005,0.009,0.003,0.003,0.003,0.002,0.005,0.003,0.964
QAc-G-0068,0,0.004,0.076,0.004,0.003,0.35,0.014,0.003,0.002,0.537,0.006
QAc-G-0070,0,0.094,0.006,0.006,0.009,0.013,0.315,0.01,0.004,0.534,0.009
QAc-G-0071,-13,0.041,0.008,0.011,0.004,0.006,0.007,0.004,0.019,0.899,0.002
QAc-G-0072,0,0.003,0.002,0.003,0.004,0.003,0.004,0.004,0.003,0.97,0.003
QAc-G-0073,0,0.004,0.004,0.007,0.032,0.005,0.004,0.929,0.005,0.006,0.003
QAc-G-0074,0,0.024,0.006,0.004,0.865,0.008,0.015,0.012,0.004,0.059,0.004
QAc-G-0075,0,0.005,0.007,0.005,0.934,0.007,0.004,0.008,0.016,0.007,0.006
QAc-G-0076,0,0.005,0.008,0.009,0.05,0.047,0.012,0.83,0.013,0.016,0.008
QAc-G-0077,0,0.006,0.004,0.838,0.005,0.004,0.003,0.007,0.118,0.009,0.006
QAc-G-0078,0,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.98,0.003,0.002
QAc-G-0079,0,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.975,0.004,0.002
QAc-G-0080,0,0.017,0.012,0.786,0.065,0.04,0.004,0.044,0.003,0.006,0.022
QAc-G-0081,0,0.029,0.015,0.005,0.007,0.397,0.403,0.129,0.005,0.005,0.004
QAc-G-0082,0,0.008,0.023,0.005,0.005,0.783,0.024,0.145,0.002,0.002,0.003
QAc-G-0083,0,0.868,0.006,0.014,0.035,0.008,0.013,0.023,0.01,0.012,0.011
QAc-G-0001,-13,0.003,0.003,0.005,0.003,0.002,0.002,0.003,0.973,0.004,0.002
QAc-G-0002,0,0.002,0.002,0.004,0.002,0.002,0.002,0.002,0.978,0.003,0.002
QAc-G-0285,0,0.942,0.008,0.005,0.004,0.006,0.006,0.006,0.005,0.014,0.004
QAc-G-0286,0,0.005,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.974,0.003
QAc-G-0287,0,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.003,0.977,0.002
QAc-G-0288,-6,0.008,0.007,0.026,0.015,0.016,0.039,0.008,0.023,0.849,0.009
QAc-G-0289,0,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.003,0.974,0.003
QAc-G-0290,0,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.97,0.005
QAc-G-0291,0,0.018,0.003,0.018,0.002,0.004,0.002,0.009,0.037,0.905,0.003
QAc-G-0292,0,0.716,0.007,0.004,0.005,0.008,0.01,0.004,0.003,0.241,0.003
QAc-G-0293,0,0.474,0.003,0.004,0.002,0.003,0.002,0.003,0.012,0.495,0.002
QAc-G-0294,0,0.004,0.022,0.007,0.029,0.018,0.01,0.89,0.008,0.004,0.007
QAc-G-0295,0,0.004,0.004,0.006,0.015,0.005,0.003,0.948,0.005,0.006,0.004
QAc-G-0296,0,0.004,0.003,0.004,0.932,0.004,0.004,0.033,0.002,0.005,0.01
QAc-G-0297,0,0.003,0.02,0.005,0.415,0.511,0.008,0.03,0.002,0.002,0.004
QAc-G-0298,-6,0.013,0.004,0.015,0.677,0.01,0.005,0.255,0.012,0.004,0.006
QAc-G-0299,0,0.006,0.009,0.004,0.933,0.006,0.003,0.019,0.003,0.012,0.004
QAc-G-0300,0,0.003,0.004,0.004,0.872,0.006,0.009,0.075,0.002,0.003,0.022
QAc-G-0301,0,0.007,0.004,0.005,0.856,0.006,0.004,0.021,0.005,0.015,0.076
QAc-G-0302,0,0.006,0.936,0.004,0.02,0.015,0.005,0.004,0.003,0.005,0.003
QAc-G-0303,0,0.011,0.879,0.007,0.004,0.04,0.032,0.015,0.003,0.003,0.006
QAc-G-0304,0,0.006,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.972,0.002
QAc-G-0305,0,0.243,0.078,0.039,0.006,0.047,0.039,0.007,0.037,0.5,0.003
QAc-G-0306,0,0.006,0.002,0.004,0.002,0.003,0.003,0.002,0.003,0.972,0.002
QAc-G-0307,0,0.024,0.011,0.832,0.008,0.02,0.036,0.007,0.051,0.005,0.005
QAc-G-0308,0,0.007,0.006,0.948,0.007,0.004,0.005,0.008,0.004,0.009,0.003
