Ind,Population,C1,C2,C3,C4,C5,C6,C7,C8,C9
QAc-W-0005,Porter,18,0.004,0.006,0.006,0.005,0.004,0.964,0.004,0.005
QAc-W-0006,Porter,18,0.004,0.005,0.003,0.006,0.007,0.959,0.005,0.006
QAc-W-0007,Porter,18,0.003,0.005,0.004,0.006,0.003,0.963,0.004,0.009
QAc-W-0008,Porter,18,0.004,0.003,0.004,0.018,0.005,0.943,0.013,0.008
QAc-W-0009,Porter,18,0.01,0.008,0.004,0.02,0.144,0.041,0.057,0.71
QAc-W-0010,Porter,18,0.005,0.008,0.023,0.038,0.008,0.893,0.014,0.007
QAc-W-0011,Porter,18,0.052,0.015,0.016,0.008,0.019,0.697,0.031,0.155
QAc-W-0012,Porter,18,0.029,0.006,0.007,0.011,0.006,0.861,0.012,0.063
QAc-W-0013,Porter,18,0.007,0.004,0.004,0.005,0.041,0.026,0.014,0.749
QAc-W-0014,Porter,18,0.003,0.005,0.009,0.018,0.003,0.942,0.005,0.011
QAc-W-0015,Porter,18,0.016,0.004,0.113,0.039,0.021,0.043,0.016,0.702
QAc-W-0016,Porter,18,0.006,0.003,0.018,0.02,0.011,0.895,0.031,0.005
QAc-W-0017,Porter,18,0.013,0.012,0.13,0.136,0.066,0.176,0.303,0.137
QAc-W-0018,Porter,18,0.003,0.008,0.004,0.018,0.039,0.777,0.094,0.03
QAc-W-0019,Porter,18,0.004,0.004,0.004,0.011,0.009,0.942,0.006,0.011
QAc-W-0020,Porter,18,0.003,0.046,0.003,0.003,0.007,0.92,0.01,0.005
QAc-W-0021,Porter,18,0.011,0.012,0.004,0.021,0.022,0.691,0.059,0.01
QAc-W-0022,Porter,18,0.007,0.007,0.099,0.184,0.018,0.341,0.141,0.185
QAc-W-0023,Porter,18,0.003,0.074,0.007,0.082,0.135,0.464,0.08,0.123
QAc-W-0024,Porter,18,0.025,0.005,0.005,0.015,0.008,0.795,0.019,0.006
QAc-W-0025,Porter,18,0.005,0.004,0.004,0.007,0.005,0.659,0.01,0.301
QAc-W-0026,Porter,18,0.048,0.026,0.022,0.037,0.009,0.798,0.024,0.01
QAc-W-0027,Porter,18,0.009,0.004,0.004,0.012,0.01,0.675,0.016,0.265
QAc-W-0028,Porter,18,0.008,0.005,0.007,0.005,0.01,0.911,0.008,0.044
QAc-W-0029,Porter,18,0.003,0.008,0.003,0.005,0.012,0.785,0.016,0.161
QAc-W-0030,Porter,18,0.01,0.01,0.008,0.004,0.006,0.199,0.011,0.748
QAc-W-0031,Porter,18,0.004,0.004,0.003,0.004,0.007,0.893,0.008,0.018
QAc-W-0032,Porter,18,0.002,0.012,0.002,0.005,0.002,0.958,0.003,0.011
QAc-W-0033,Porter,18,0.005,0.012,0.007,0.017,0.005,0.873,0.062,0.012
QAc-W-0034,Porter,18,0.005,0.005,0.003,0.008,0.015,0.88,0.007,0.074
QAc-W-0035,Porter,18,0.023,0.005,0.022,0.089,0.007,0.286,0.046,0.5
QAc-W-0036,Porter,18,0.004,0.03,0.005,0.009,0.011,0.904,0.007,0.028
QAc-W-0037,Porter,18,0.042,0.02,0.005,0.008,0.006,0.071,0.012,0.816
QAc-W-0038,Porter,18,0.013,0.011,0.029,0.008,0.01,0.807,0.024,0.093
QAc-W-0039,Porter,18,0.027,0.011,0.012,0.006,0.007,0.898,0.006,0.025
QAc-W-0040,Porter,18,0.006,0.017,0.007,0.191,0.004,0.742,0.019,0.006
QAc-W-0041,Porter,18,0.02,0.004,0.005,0.014,0.032,0.656,0.029,0.184
QAc-W-0042,Magazine,19,0.02,0.194,0.008,0.007,0.69,0.016,0.029,0.022
QAc-W-0043,Magazine,19,0.029,0.008,0.008,0.006,0.897,0.01,0.01,0.025
QAc-W-0044,Magazine,19,0.025,0.269,0.047,0.071,0.379,0.073,0.034,0.095
QAc-W-0045,Magazine,19,0.009,0.014,0.004,0.007,0.924,0.007,0.015,0.013
QAc-W-0046,Magazine,19,0.016,0.011,0.004,0.006,0.912,0.007,0.01,0.02
QAc-W-0047,Magazine,19,0.008,0.027,0.027,0.017,0.846,0.016,0.008,0.046
QAc-W-0048,Magazine,19,0.004,0.041,0.004,0.004,0.902,0.015,0.015,0.008
QAc-W-0049,Magazine,19,0.005,0.06,0.003,0.004,0.897,0.007,0.009,0.006
QAc-W-0050,Magazine,19,0.007,0.007,0.006,0.012,0.413,0.004,0.53,0.006
QAc-W-0051,Magazine,19,0.007,0.022,0.062,0.006,0.326,0.03,0.529,0.01
QAc-W-0052,Magazine,19,0.003,0.973,0.003,0.003,0.003,0.005,0.003,0.004
QAc-W-0053,Magazine,19,0.003,0.009,0.005,0.009,0.943,0.011,0.006,0.011
QAc-W-0054,Magazine,19,0.069,0.042,0.088,0.055,0.055,0.011,0.666,0.009
QAc-W-0055,Magazine,19,0.345,0.007,0.154,0.033,0.108,0.012,0.297,0.006
QAc-W-0056,Magazine,19,0.006,0.007,0.018,0.01,0.015,0.039,0.866,0.024
QAc-W-0057,Magazine,19,0.005,0.008,0.171,0.012,0.298,0.021,0.417,0.01
QAc-W-0058,Magazine,19,0.013,0.007,0.022,0.004,0.526,0.005,0.236,0.005
QAc-W-0059,Magazine,19,0.004,0.004,0.004,0.003,0.973,0.004,0.003,0.003
QAc-W-0060,Magazine,19,0.012,0.049,0.864,0.007,0.008,0.004,0.009,0.044
QAc-W-0061,Magazine,19,0.074,0.004,0.749,0.044,0.043,0.024,0.032,0.015
QAc-W-0062,Magazine,19,0.008,0.016,0.948,0.008,0.003,0.003,0.004,0.004
QAc-W-0063,Magazine,19,0.012,0.015,0.903,0.016,0.006,0.016,0.016,0.007
QAc-W-0064,Magazine,19,0.016,0.005,0.931,0.008,0.004,0.009,0.01,0.01
QAc-W-0065,Magazine,19,0.005,0.005,0.884,0.03,0.014,0.012,0.028,0.015
QAc-W-0066,Magazine,19,0.977,0.002,0.004,0.002,0.002,0.003,0.003,0.003
QAc-W-0067,Magazine,19,0.979,0.003,0.003,0.003,0.002,0.002,0.002,0.002
QAc-W-0068,Magazine,19,0.976,0.002,0.005,0.002,0.002,0.003,0.002,0.003
QAc-W-0069,Magazine,19,0.974,0.002,0.005,0.003,0.002,0.003,0.003,0.004
QAc-W-0070,Magazine,19,0.592,0.002,0.39,0.003,0.002,0.002,0.003,0.003
QAc-W-0071,Magazine,19,0.244,0.004,0.713,0.004,0.004,0.004,0.005,0.006
QAc-W-0072,Magazine,19,0.005,0.004,0.807,0.128,0.004,0.026,0.014,0.005
QAc-W-0073,Magazine,19,0.004,0.007,0.9,0.008,0.048,0.009,0.01,0.009
QAc-W-0074,Magazine,19,0.005,0.003,0.971,0.004,0.003,0.004,0.003,0.003
QAc-W-0075,Magazine,19,0.017,0.002,0.96,0.004,0.003,0.003,0.003,0.003
QAc-W-0076,Magazine,19,0.004,0.003,0.945,0.025,0.004,0.003,0.005,0.003
QAc-W-0077,Magazine,19,0.131,0.004,0.828,0.005,0.008,0.007,0.006,0.006
QAc-W-0078,Pryor,20,0.036,0.016,0.01,0.126,0.007,0.077,0.117,0.033
QAc-W-0079,Pryor,20,0.022,0.005,0.008,0.009,0.007,0.01,0.006,0.01
QAc-W-0080,Pryor,20,0.005,0.002,0.003,0.005,0.008,0.053,0.008,0.005
QAc-W-0081,Pryor,20,0.003,0.008,0.004,0.004,0.003,0.007,0.006,0.005
QAc-W-0082,Pryor,20,0.003,0.002,0.007,0.005,0.126,0.006,0.501,0.005
QAc-W-0083,Pryor,20,0.012,0.013,0.055,0.03,0.01,0.013,0.01,0.013
QAc-W-0084,Pryor,20,0.004,0.006,0.003,0.003,0.003,0.008,0.004,0.004
QAc-W-0085,Pryor,20,0.005,0.004,0.003,0.004,0.003,0.003,0.005,0.003
QAc-W-0086,Pryor,20,0.006,0.003,0.003,0.008,0.004,0.005,0.005,0.004
QAc-W-0087,Pryor,20,0.007,0.003,0.003,0.013,0.009,0.009,0.008,0.005
QAc-W-0088,Pryor,20,0.004,0.004,0.003,0.008,0.04,0.005,0.026,0.006
QAc-W-0089,Pryor,20,0.007,0.003,0.003,0.003,0.004,0.007,0.004,0.006
QAc-W-0090,Pryor,20,0.006,0.003,0.003,0.004,0.004,0.006,0.004,0.006
QAc-W-0091,Pryor,20,0.004,0.012,0.008,0.01,0.012,0.012,0.02,0.004
QAc-W-0092,Pryor,20,0.008,0.229,0.003,0.005,0.007,0.051,0.009,0.026
QAc-W-0093,Pryor,20,0.002,0.007,0.005,0.044,0.035,0.054,0.101,0.07
QAc-W-0094,Pryor,20,0.003,0.202,0.041,0.01,0.018,0.111,0.077,0.012
QAc-W-0095,Pryor,20,0.003,0.044,0.021,0.007,0.01,0.029,0.01,0.011
QAc-W-0096,Pryor,20,0.005,0.095,0.049,0.015,0.025,0.059,0.033,0.01
QAc-W-0097,Pryor,20,0.007,0.007,0.008,0.007,0.098,0.062,0.142,0.048
QAc-W-0098,Pryor,20,0.003,0.005,0.003,0.004,0.011,0.006,0.007,0.005
QAc-W-0099,Pryor,20,0.005,0.011,0.006,0.066,0.018,0.011,0.188,0.024
QAc-W-0100,Pryor,20,0.003,0.004,0.003,0.009,0.006,0.004,0.012,0.006
QAc-W-0101,Pryor,20,0.038,0.003,0.008,0.011,0.004,0.011,0.007,0.004
QAc-W-0104,Pryor,20,0.003,0.004,0.005,0.023,0.017,0.009,0.012,0.007
QAc-W-0105,Pryor,20,0.005,0.013,0.004,0.004,0.003,0.007,0.009,0.012
QAc-W-0106,Pryor,20,0.007,0.06,0.004,0.009,0.004,0.017,0.037,0.022
QAc-W-0107,Pryor,20,0.005,0.004,0.013,0.004,0.004,0.004,0.004,0.003
QAc-W-0108,Pryor,20,0.004,0.002,0.006,0.003,0.003,0.003,0.003,0.003
QAc-W-0109,Pryor,20,0.028,0.006,0.006,0.005,0.016,0.013,0.008,0.009
QAc-W-0110,Pryor,20,0.007,0.004,0.005,0.012,0.006,0.807,0.009,0.005
QAc-W-0111,Pryor,20,0.005,0.006,0.003,0.004,0.005,0.006,0.006,0.015
QAc-W-0112,Pryor,20,0.004,0.008,0.004,0.02,0.01,0.009,0.014,0.017
QAc-W-0113,Sugar_Loaf,21,0.003,0.004,0.005,0.95,0.005,0.009,0.009,0.01
QAc-W-0114,Sugar_Loaf,21,0.004,0.008,0.004,0.931,0.017,0.008,0.009,0.004
QAc-W-0115,Sugar_Loaf,21,0.005,0.005,0.005,0.955,0.003,0.009,0.005,0.008
QAc-W-0116,Sugar_Loaf,21,0.002,0.014,0.004,0.928,0.012,0.009,0.01,0.017
QAc-W-0117,Sugar_Loaf,21,0.004,0.003,0.004,0.961,0.008,0.005,0.006,0.006
QAc-W-0118,Sugar_Loaf,21,0.02,0.004,0.031,0.904,0.006,0.005,0.009,0.005
QAc-W-0119,Sugar_Loaf,21,0.007,0.006,0.003,0.955,0.004,0.005,0.008,0.008
QAc-W-0120,Sugar_Loaf,21,0.01,0.003,0.013,0.914,0.007,0.01,0.025,0.011
QAc-W-0121,Sugar_Loaf,21,0.043,0.002,0.011,0.908,0.008,0.007,0.01,0.007
QAc-W-0122,Sugar_Loaf,21,0.003,0.004,0.006,0.926,0.014,0.019,0.014,0.007
QAc-W-0123,Sugar_Loaf,21,0.012,0.013,0.011,0.886,0.014,0.005,0.03,0.017
QAc-W-0124,Sugar_Loaf,21,0.016,0.009,0.166,0.646,0.003,0.034,0.028,0.054
QAc-W-0125,Sugar_Loaf,21,0.008,0.009,0.005,0.944,0.007,0.006,0.007,0.004
QAc-W-0126,Sugar_Loaf,21,0.006,0.012,0.007,0.901,0.012,0.01,0.024,0.006
QAc-W-0127,Sugar_Loaf,21,0.004,0.005,0.006,0.956,0.005,0.008,0.008,0.005
QAc-W-0128,Sugar_Loaf,21,0.014,0.003,0.006,0.887,0.011,0.018,0.013,0.007
QAc-W-0129,Sugar_Loaf,21,0.006,0.005,0.015,0.857,0.02,0.051,0.029,0.013
QAc-W-0130,Sugar_Loaf,21,0.006,0.003,0.004,0.925,0.008,0.03,0.007,0.011
QAc-W-0131,Sugar_Loaf,21,0.005,0.053,0.011,0.872,0.005,0.007,0.036,0.004
QAc-W-0132,Sugar_Loaf,21,0.048,0.02,0.023,0.834,0.005,0.015,0.012,0.03
QAc-W-0133,Sugar_Loaf,21,0.107,0.006,0.017,0.383,0.007,0.008,0.428,0.005
QAc-W-0134,Sugar_Loaf,21,0.004,0.005,0.005,0.966,0.005,0.004,0.004,0.004
QAc-W-0135,Sugar_Loaf,21,0.012,0.003,0.017,0.878,0.007,0.049,0.006,0.021
QAc-W-0136,Sugar_Loaf,21,0.003,0.01,0.004,0.963,0.003,0.004,0.005,0.005
QAc-W-0137,Sugar_Loaf,21,0.003,0.005,0.004,0.972,0.003,0.003,0.004,0.004
QAc-W-0138,Sugar_Loaf,21,0.003,0.004,0.004,0.968,0.003,0.005,0.004,0.005
QAc-W-0139,Sugar_Loaf,21,0.006,0.008,0.248,0.611,0.004,0.061,0.021,0.014
QAc-W-0140,Sugar_Loaf,21,0.004,0.003,0.004,0.847,0.065,0.027,0.014,0.03
QAc-W-0141,Sugar_Loaf,21,0.017,0.004,0.007,0.81,0.019,0.039,0.039,0.058
QAc-W-0142,Sugar_Loaf,21,0.006,0.003,0.008,0.964,0.004,0.004,0.004,0.004
QAc-W-0143,Sugar_Loaf,21,0.003,0.003,0.005,0.95,0.009,0.006,0.012,0.004
QAc-W-0144,Sugar_Loaf,21,0.003,0.007,0.005,0.83,0.119,0.008,0.018,0.006
QAc-W-0145,Sugar_Loaf,21,0.003,0.004,0.005,0.962,0.004,0.004,0.013,0.004
QAc-W-0146,Sugar_Loaf,21,0.004,0.005,0.003,0.946,0.004,0.007,0.005,0.021
QAc-W-0147,Sugar_Loaf,21,0.002,0.003,0.007,0.969,0.003,0.004,0.004,0.004
QAc-W-0148,Sugar_Loaf,21,0.003,0.006,0.007,0.962,0.003,0.006,0.004,0.007
QAc-W-0149,Sugar_Loaf,21,0.003,0.011,0.005,0.896,0.037,0.019,0.016,0.005
QAc-W-0150,Sugar_Loaf,21,0.007,0.01,0.005,0.863,0.006,0.052,0.01,0.031
QAc-W-0151,Sugar_Loaf,21,0.004,0.006,0.005,0.947,0.005,0.007,0.006,0.014
QAc-W-0152,Sugar_Loaf,21,0.004,0.003,0.008,0.963,0.005,0.004,0.004,0.004
QAc-W-0153,Sugar_Loaf,21,0.005,0.004,0.032,0.035,0.013,0.012,0.781,0.086
QAc-W-0154,Sugar_Loaf,21,0.003,0.003,0.004,0.848,0.005,0.083,0.038,0.011
QAc-W-0155,Sugar_Loaf,21,0.003,0.002,0.005,0.969,0.003,0.005,0.004,0.005
QAc-W-0156,Sugar_Loaf,21,0.004,0.014,0.004,0.804,0.004,0.061,0.011,0.022
QAc-W-0157,Sugar_Loaf,21,0.011,0.033,0.015,0.817,0.012,0.005,0.085,0.019
QAc-W-0158,Sugar_Loaf,21,0.022,0.004,0.007,0.857,0.003,0.044,0.007,0.028
QAc-W-0159,Sugar_Loaf,21,0.007,0.007,0.003,0.948,0.006,0.009,0.009,0.005
QAc-W-0160,Sugar_Loaf,21,0.003,0.005,0.007,0.915,0.003,0.022,0.012,0.027
QAc-W-0161,Sugar_Loaf,21,0.004,0.108,0.003,0.802,0.009,0.017,0.012,0.042
QAc-W-0162,Sugar_Loaf,21,0.005,0.014,0.16,0.787,0.016,0.003,0.008,0.004
QAc-W-0163,Sugar_Loaf,21,0.005,0.005,0.004,0.94,0.018,0.005,0.014,0.006
QAc-W-0164,Sugar_Loaf,21,0.005,0.005,0.013,0.953,0.004,0.005,0.007,0.004
QAc-W-0165,Sugar_Loaf,21,0.028,0.009,0.011,0.889,0.006,0.004,0.044,0.006
QAc-W-0166,Sugar_Loaf,21,0.005,0.006,0.006,0.925,0.005,0.037,0.007,0.006
