Ind,Population,C1,C2,C3,C4,C5,C6,C7,C8,C9
QAc-G-0298,CBG,0.005,0.003,0.003,0.004,0.003,0.004,0.01,0.005,0.963
QAc-G-0299,CBG,0.005,0.01,0.004,0.006,0.004,0.016,0.418,0.012,0.525
QAc-G-0300,CBG,0.003,0.003,0.022,0.004,0.012,0.005,0.042,0.005,0.903
QAc-G-0301,CBG,0.008,0.015,0.168,0.009,0.006,0.005,0.062,0.01,0.716
QAc-G-0302,CBG,0.004,0.005,0.003,0.006,0.005,0.928,0.031,0.014,0.005
QAc-G-0303,CBG,0.005,0.003,0.005,0.009,0.033,0.889,0.006,0.042,0.008
QAc-G-0304,CBG,0.003,0.975,0.002,0.006,0.003,0.002,0.003,0.003,0.004
QAc-G-0305,CBG,0.056,0.542,0.003,0.2,0.051,0.091,0.007,0.043,0.006
QAc-G-0306,CBG,0.004,0.976,0.002,0.005,0.003,0.002,0.003,0.002,0.002
QAc-G-0307,CBG,0.836,0.005,0.005,0.024,0.065,0.011,0.011,0.034,0.01
QAc-G-0308,CBG,0.918,0.015,0.003,0.008,0.009,0.01,0.007,0.009,0.02
QAc-G-0309,CBG,0.951,0.004,0.003,0.007,0.004,0.004,0.006,0.017,0.004
QAc-G-0310,CBG,0.97,0.004,0.003,0.004,0.004,0.003,0.005,0.003,0.004
QAc-G-0311,CBG,0.98,0.003,0.002,0.002,0.003,0.002,0.002,0.003,0.003
QAc-G-0312,CBG,0.326,0.006,0.013,0.005,0.07,0.038,0.033,0.458,0.05
QAc-G-0313,CBG,0.01,0.006,0.007,0.04,0.055,0.005,0.011,0.85,0.016
QAc-G-0314,CBG,0.01,0.004,0.008,0.003,0.139,0.022,0.098,0.632,0.084
QAc-G-0315,CBG,0.004,0.007,0.005,0.005,0.013,0.01,0.017,0.931,0.007
QAc-G-0316,CBG,0.021,0.008,0.009,0.011,0.175,0.006,0.015,0.751,0.005
QAc-G-0032,DBG,0.007,0.007,0.133,0.004,0.008,0.395,0.007,0.423,0.016
QAc-G-0033,DBG,0.006,0.005,0.009,0.004,0.006,0.005,0.443,0.004,0.516
QAc-G-0034,DBG,0.047,0.004,0.007,0.004,0.022,0.009,0.041,0.012,0.853
QAc-G-0035,DBG,0.007,0.009,0.009,0.011,0.004,0.005,0.864,0.009,0.081
QAc-G-0036,DBG,0.007,0.017,0.005,0.019,0.014,0.004,0.012,0.011,0.911
QAc-G-0037,DBG,0.008,0.011,0.004,0.004,0.003,0.003,0.008,0.005,0.955
QAc-G-0038,DBG,0.002,0.003,0.003,0.003,0.012,0.003,0.025,0.005,0.944
QAc-G-0039,DBG,0.031,0.006,0.006,0.004,0.028,0.017,0.322,0.027,0.559
QAc-G-0040,DBG,0.008,0.049,0.004,0.009,0.075,0.008,0.031,0.02,0.797
QAc-G-0041,DBG,0.003,0.002,0.025,0.017,0.019,0.002,0.004,0.004,0.923
QAc-G-0042,DBG,0.003,0.007,0.005,0.005,0.005,0.005,0.008,0.005,0.958
QAc-G-0043,DBG,0.007,0.005,0.002,0.004,0.005,0.005,0.041,0.008,0.922
QAc-G-0044,DBG,0.004,0.011,0.047,0.006,0.007,0.019,0.035,0.011,0.86
QAc-G-0045,DBG,0.025,0.007,0.012,0.004,0.007,0.005,0.243,0.007,0.69
QAc-G-0046,DBG,0.048,0.002,0.006,0.006,0.019,0.005,0.117,0.024,0.773
QAc-G-0047,DBG,0.022,0.005,0.005,0.005,0.007,0.01,0.838,0.013,0.096
QAc-G-0048,DBG,0.002,0.003,0.005,0.004,0.006,0.004,0.009,0.005,0.962
QAc-G-0049,DBG,0.976,0.005,0.003,0.003,0.003,0.002,0.003,0.003,0.002
QAc-G-0050,DBG,0.033,0.014,0.004,0.006,0.013,0.024,0.005,0.898,0.004
QAc-G-0051,DBG,0.976,0.003,0.002,0.006,0.003,0.003,0.002,0.003,0.002
QAc-G-0052,DBG,0.902,0.004,0.027,0.004,0.013,0.006,0.009,0.019,0.016
QAc-G-0053,DBG,0.934,0.009,0.006,0.006,0.003,0.002,0.012,0.008,0.021
QAc-G-0054,DBG,0.091,0.005,0.004,0.003,0.019,0.014,0.004,0.85,0.01
QAc-G-0055,DBG,0.324,0.005,0.003,0.005,0.012,0.04,0.005,0.592,0.014
QAc-G-0056,DBG,0.014,0.013,0.008,0.006,0.039,0.01,0.01,0.895,0.007
QAc-G-0057,DBG,0.973,0.004,0.002,0.004,0.003,0.004,0.004,0.003,0.003
QAc-G-0058,DBG,0.975,0.003,0.003,0.005,0.003,0.004,0.003,0.003,0.003
QAc-G-0059,DBG,0.209,0.002,0.003,0.003,0.007,0.005,0.003,0.752,0.016
QAc-G-0060,DBG,0.835,0.013,0.014,0.008,0.007,0.007,0.017,0.09,0.01
QAc-G-0276,FGT,0.01,0.314,0.003,0.627,0.005,0.004,0.019,0.006,0.012
QAc-G-0279,FGT,0.005,0.974,0.002,0.004,0.003,0.002,0.003,0.003,0.003
QAc-G-0280,FGT,0.003,0.964,0.004,0.004,0.004,0.003,0.006,0.004,0.007
QAc-G-0281,FGT,0.968,0.007,0.004,0.003,0.003,0.003,0.004,0.004,0.004
QAc-G-0018,HBG,0.038,0.006,0.006,0.005,0.01,0.028,0.053,0.03,0.825
QAc-G-0019,HBG,0.004,0.018,0.202,0.031,0.009,0.005,0.072,0.011,0.648
QAc-G-0020,HBG,0.004,0.002,0.003,0.003,0.003,0.003,0.009,0.015,0.957
QAc-G-0021,HBG,0.017,0.004,0.04,0.003,0.002,0.002,0.024,0.006,0.901
QAc-G-0022,HBG,0.025,0.005,0.081,0.015,0.117,0.01,0.223,0.061,0.463
QAc-G-0023,HBG,0.971,0.003,0.002,0.007,0.003,0.003,0.003,0.003,0.003
QAc-G-0024,HBG,0.968,0.003,0.004,0.002,0.003,0.004,0.007,0.003,0.006
QAc-G-0016,HBG,7,0.013,0.004,0.005,0.01,0.127,0.005,0.733,0.019
QAc-G-0017,HBG,7,0.005,0.201,0.007,0.014,0.729,0.006,0.025,0.008
QAc-G-0250,Meis,8,0.109,0.007,0.265,0.014,0.049,0.02,0.515,0.011
QAc-G-0003,MBG,9,0.963,0.003,0.009,0.005,0.003,0.005,0.004,0.004
QAc-G-0004,MBG,9,0.003,0.006,0.007,0.005,0.875,0.046,0.023,0.025
QAc-G-0005,MBG,9,0.003,0.977,0.002,0.002,0.003,0.003,0.003,0.003
QAc-G-0006,MBG,9,0.005,0.003,0.013,0.016,0.872,0.018,0.063,0.007
QAc-G-0283,Moore,10,0.004,0.004,0.133,0.294,0.032,0.006,0.517,0.007
QAc-G-0265,MA,11,0.003,0.006,0.454,0.008,0.028,0.075,0.284,0.007
QAc-G-0266,MA,11,0.005,0.002,0.004,0.002,0.002,0.003,0.003,0.002
QAc-G-0267,MA,11,0.004,0.092,0.585,0.01,0.005,0.037,0.01,0.252
QAc-G-0268,MA,11,0.538,0.01,0.009,0.006,0.016,0.007,0.406,0.004
QAc-G-0269,MA,11,0.975,0.003,0.003,0.003,0.002,0.004,0.003,0.004
QAc-G-0270,MA,11,0.006,0.008,0.004,0.005,0.003,0.008,0.004,0.957
QAc-G-0271,MA,11,0.003,0.064,0.004,0.006,0.009,0.841,0.045,0.025
QAc-G-0272,MA,11,0.016,0.003,0.007,0.006,0.008,0.016,0.006,0.931
QAc-G-0273,MA,11,0.005,0.007,0.004,0.005,0.004,0.004,0.007,0.004
QAc-G-0274,MA,11,0.002,0.98,0.002,0.003,0.002,0.003,0.002,0.003
QAc-G-0251,Peckerwood,12,0.004,0.01,0.004,0.007,0.009,0.006,0.005,0.951
QAc-G-0252,Peckerwood,12,0.004,0.004,0.003,0.008,0.007,0.005,0.005,0.96
QAc-G-0253,Peckerwood,12,0.005,0.003,0.004,0.004,0.003,0.003,0.005,0.005
QAc-G-0254,Peckerwood,12,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.002
QAc-G-0255,Peckerwood,12,0.004,0.008,0.009,0.007,0.9,0.041,0.019,0.007
QAc-G-0256,Peckerwood,12,0.009,0.008,0.006,0.003,0.95,0.008,0.006,0.005
QAc-G-0257,Peckerwood,12,0.003,0.048,0.006,0.05,0.837,0.005,0.025,0.017
QAc-G-0258,Peckerwood,12,0.003,0.005,0.004,0.003,0.962,0.005,0.011,0.005
QAc-G-0259,Peckerwood,12,0.002,0.002,0.002,0.006,0.009,0.006,0.969,0.003
QAc-G-0260,Peckerwood,12,0.03,0.049,0.01,0.04,0.025,0.009,0.816,0.012
QAc-G-0261,Peckerwood,12,0.004,0.417,0.004,0.008,0.051,0.005,0.492,0.014
QAc-G-0262,Peckerwood,12,0.014,0.031,0.017,0.014,0.185,0.004,0.72,0.007
QAc-G-0010,TMA,13,0.034,0.004,0.908,0.008,0.004,0.008,0.009,0.014
QAc-G-0011,TMA,13,0.004,0.005,0.003,0.944,0.004,0.005,0.023,0.008
QAc-G-0015,TMA,13,0.003,0.006,0.017,0.03,0.087,0.007,0.027,0.017
QAc-G-0106,TMA,13,0.002,0.028,0.002,0.006,0.925,0.006,0.015,0.013
QAc-G-0107,TMA,13,0.005,0.004,0.007,0.006,0.951,0.005,0.012,0.003
QAc-G-0108,TMA,13,0.006,0.004,0.003,0.005,0.962,0.005,0.004,0.008
QAc-G-0109,TMA,13,0.005,0.031,0.008,0.025,0.838,0.006,0.065,0.011
QAc-G-0110,TMA,13,0.066,0.002,0.021,0.013,0.811,0.027,0.028,0.025
QAc-G-0111,TMA,13,0.005,0.005,0.02,0.008,0.928,0.009,0.008,0.012
QAc-G-0112,TMA,13,0.026,0.004,0.011,0.003,0.915,0.004,0.024,0.005
QAc-G-0113,TMA,13,0.008,0.026,0.014,0.006,0.857,0.004,0.054,0.006
QAc-G-0114,TMA,13,0.014,0.003,0.012,0.006,0.829,0.082,0.026,0.012
QAc-G-0115,TMA,13,0.007,0.005,0.004,0.004,0.956,0.003,0.01,0.006
QAc-G-0116,TMA,13,0.01,0.005,0.012,0.006,0.945,0.004,0.008,0.004
QAc-G-0117,TMA,13,0.005,0.069,0.05,0.013,0.468,0.129,0.134,0.121
