Ind,Pop,C1,C2,C3,C4
ZFCC09,ZFCC,0.004,0.004,0.008,0.984
ZFCC10,ZFCC,0.006,0.005,0.027,0.963
ZFCC11,ZFCC,0.005,0.004,0.008,0.983
ZFCC12,ZFCC,0.007,0.015,0.095,0.883
ZFCC13,ZFCC,0.012,0.011,0.005,0.971
ZFCC14,ZFCC,0.009,0.009,0.019,0.963
ZFCC15,ZFCC,0.005,0.01,0.007,0.977
ZFCC16,ZFCC,0.004,0.006,0.01,0.979
ZFCC17,ZFCC,0.004,0.008,0.01,0.978
ZFCC18,ZFCC,0.005,0.005,0.008,0.982
ZFCC19,ZFCC,0.004,0.02,0.011,0.966
ZFCC20,ZFCC,0.005,0.005,0.005,0.985
ZFCC21,ZFCC,0.133,0.069,0.023,0.775
ZFCC22,ZFCC,0.54,0.012,0.017,0.431
ZFCC26,ZFCC,0.005,0.005,0.008,0.982
ZFCC27,ZFCC,0.004,0.004,0.004,0.988
ZFCC29,ZFCC,0.005,0.009,0.018,0.969
ZFCC30,ZFCC,0.004,0.004,0.003,0.989
ZFCC32,ZFCC,0.006,0.01,0.012,0.973
ZFCC33,ZFCC,0.004,0.008,0.01,0.978
ZFCC34,ZFCC,0.03,0.008,0.023,0.939
ZFCC35,ZFCC,0.005,0.005,0.004,0.986
ZFCC36,ZFCC,0.014,0.029,0.008,0.949
ZFCC37,ZFCC,0.009,0.033,0.085,0.873
ZFCC40,ZFCC,0.007,0.008,0.014,0.971
ZFCC42,ZFCC,0.006,0.158,0.212,0.624
ZFCC44,ZFCC,0.003,0.005,0.003,0.989
ZFCC45,ZFCC,0.005,0.021,0.037,0.937
ZFCC46,ZFCC,0.014,0.006,0.004,0.976
ZFCC47,ZFCC,0.007,0.009,0.065,0.919
ZFCC48,ZFCC,0.061,0.011,0.011,0.917
ZFCC50,ZFCC,0.004,0.006,0.009,0.981
ZFCC51,ZFCC,0.003,0.003,0.006,0.988
ZFCC52,ZFCC,0.013,0.008,0.005,0.975
ZFCC53,ZFCC,0.003,0.004,0.005,0.988
,,,,,
ZFCNS01,ZFCNS,0.016,0.019,0.004,0.962
ZFCNS02,ZFCNS,0.012,0.003,0.003,0.981
ZFCNS05,ZFCNS,0.017,0.004,0.007,0.972
ZFCNS06,ZFCNS,0.013,0.004,0.005,0.978
ZFCNS07,ZFCNS,0.413,0.005,0.005,0.577
ZFCNS10,ZFCNS,0.09,0.005,0.003,0.902
ZFCNS11,ZFCNS,0.013,0.008,0.004,0.976
ZFCNS15,ZFCNS,0.809,0.006,0.007,0.177
ZFCNS17,ZFCNS,0.011,0.004,0.003,0.982
ZFCNS18,ZFCNS,0.033,0.004,0.004,0.959
ZFCNS19,ZFCNS,0.007,0.004,0.005,0.985
ZFCNS20,ZFCNS,0.136,0.006,0.004,0.853
ZFCNS21,ZFCNS,0.008,0.004,0.004,0.984
ZFCNS22,ZFCNS,0.144,0.006,0.007,0.843
ZFCNS23,ZFCNS,0.013,0.005,0.005,0.976
ZFCNS24,ZFCNS,0.009,0.004,0.003,0.984
ZFCNS25,ZFCNS,0.05,0.005,0.004,0.941
ZFCNS26,ZFCNS,0.304,0.005,0.008,0.683
ZFCNS27,ZFCNS,0.909,0.007,0.005,0.079
ZFCNS28,ZFCNS,0.02,0.005,0.008,0.967
ZFCNS29,ZFCNS,0.013,0.004,0.004,0.978
ZFCNS30,ZFCNS,0.008,0.005,0.005,0.983
ZFCNS31,ZFCNS,0.056,0.005,0.006,0.933
ZFCNS32,ZFCNS,0.036,0.004,0.007,0.954
ZFCNS33,ZFCNS,0.03,0.004,0.005,0.961
ZFCNS34,ZFCNS,0.005,0.004,0.004,0.987
ZFCNS35,ZFCNS,0.021,0.004,0.008,0.967
ZFCNS36,ZFCNS,0.007,0.004,0.003,0.985
ZFCNS37,ZFCNS,0.066,0.007,0.005,0.922
ZFCNS39,ZFCNS,0.011,0.004,0.003,0.982
ZFCNS40,ZFCNS,0.04,0.005,0.003,0.952
ZFCNS41,ZFCNS,0.221,0.013,0.007,0.759
ZFCNS42,ZFCNS,0.054,0.005,0.005,0.937
ZFCNS43,ZFCNS,0.007,0.004,0.004,0.985
ZFCNS44,ZFCNS,0.018,0.004,0.004,0.974
ZFCNS46,ZFCNS,0.022,0.005,0.004,0.968
ZFCNS47,ZFCNS,0.012,0.004,0.004,0.98
ZFCNS48,ZFCNS,0.053,0.005,0.004,0.938
ZFCNS49,ZFCNS,0.795,0.005,0.005,0.195
,,,,,
ZFCR01,ZFCR,0.064,0.379,0.547,0.009
ZFCR02,ZFCR,0.018,0.931,0.038,0.014
ZFCR03,ZFCR,0.052,0.307,0.623,0.018
ZFCR04,ZFCR,0.051,0.194,0.722,0.033
ZFCR05,ZFCR,0.008,0.874,0.104,0.014
ZFCR06,ZFCR,0.188,0.476,0.138,0.198
ZFCR07,ZFCR,0.017,0.812,0.055,0.116
ZFCR08,ZFCR,0.042,0.848,0.079,0.032
ZFCR09,ZFCR,0.111,0.312,0.476,0.101
ZFCR11,ZFCR,0.12,0.537,0.315,0.028
ZFCR12,ZFCR,0.098,0.722,0.016,0.165
ZFCR13,ZFCR,0.09,0.888,0.012,0.01
ZFCR14,ZFCR,0.014,0.935,0.038,0.013
ZFCR15,ZFCR,0.017,0.93,0.044,0.009
ZFCR16,ZFCR,0.044,0.845,0.102,0.009
ZFCR18,ZFCR,0.04,0.093,0.781,0.087
ZFCR19,ZFCR,0.225,0.2,0.535,0.04
ZFCR20,ZFCR,0.044,0.041,0.904,0.011
ZFCR21,ZFCR,0.025,0.932,0.025,0.018
ZFCR22,ZFCR,0.014,0.967,0.014,0.005
ZFCR23,ZFCR,0.101,0.866,0.028,0.005
ZFCR24,ZFCR,0.473,0.308,0.211,0.008
ZFCR25,ZFCR,0.005,0.959,0.031,0.005
ZFCR26,ZFCR,0.104,0.518,0.344,0.034
ZFCR27,ZFCR,0.003,0.9,0.091,0.005
ZFCR28,ZFCR,0.368,0.598,0.01,0.025
ZFCR29,ZFCR,0.02,0.649,0.324,0.008
ZFCR30,ZFCR,0.009,0.971,0.013,0.007
ZFCR31,ZFCR,0.187,0.347,0.378,0.088
ZFCR33,ZFCR,0.011,0.927,0.031,0.031
ZFCR34,ZFCR,0.029,0.91,0.027,0.034
ZFCR35,ZFCR,0.021,0.143,0.8,0.035
ZFCR36,ZFCR,0.01,0.879,0.095,0.016
ZFCR37,ZFCR,0.006,0.947,0.029,0.019
ZFCR38,ZFCR,0.007,0.931,0.042,0.019
ZFCR39,ZFCR,0.026,0.946,0.012,0.016
ZFCR40,ZFCR,0.007,0.968,0.015,0.011
ZFCR41,ZFCR,0.031,0.834,0.013,0.123
ZFCR42,ZFCR,0.044,0.892,0.01,0.054
ZFCR43,ZFCR,0.088,0.829,0.074,0.008
,,,,,
ZFENP25,ZFENP,0.021,0.888,0.071,0.019
ZFENP26,ZFENP,0.003,0.98,0.011,0.005
ZFENP27,ZFENP,0.029,0.25,0.335,0.386
ZFENP28,ZFENP,0.005,0.956,0.027,0.013
ZFENP29,ZFENP,0.004,0.98,0.007,0.008
ZFENP30,ZFENP,0.005,0.945,0.011,0.039
ZFENP31,ZFENP,0.006,0.955,0.017,0.022
ZFENP32,ZFENP,0.019,0.692,0.232,0.057
ZFENP33,ZFENP,0.006,0.921,0.064,0.01
ZFENP34,ZFENP,0.016,0.285,0.634,0.065
ZFENP35,ZFENP,0.007,0.974,0.011,0.008
ZFENP36,ZFENP,0.003,0.975,0.015,0.006
ZFENP37,ZFENP,0.008,0.909,0.067,0.016
ZFENP38,ZFENP,0.008,0.963,0.009,0.02
ZFENP39,ZFENP,0.004,0.951,0.033,0.012
ZFENP40,ZFENP,0.007,0.941,0.043,0.009
ZFENP41,ZFENP,0.007,0.93,0.019,0.045
ZFENP42,ZFENP,0.004,0.988,0.004,0.004
ZFENP43,ZFENP,0.016,0.885,0.016,0.083
ZFENP44,ZFENP,0.006,0.97,0.009,0.015
ZFENP45,ZFENP,0.202,0.772,0.01,0.015
ZFENP46,ZFENP,0.012,0.958,0.024,0.006
ZFENP47,ZFENP,0.022,0.92,0.038,0.02
ZFENP48,ZFENP,0.039,0.23,0.631,0.099
ZFENP49,ZFENP,0.025,0.759,0.183,0.033
ZFENP50,ZFENP,0.021,0.968,0.007,0.005
ZFENP51,ZFENP,0.012,0.921,0.062,0.005
ZFENP52,ZFENP,0.009,0.967,0.005,0.02
ZFENP53,ZFENP,0.018,0.964,0.008,0.01
ZFENP54,ZFENP,0.041,0.92,0.02,0.019
ZFENP55,ZFENP,0.006,0.81,0.179,0.005
ZFENP56,ZFENP,0.006,0.97,0.014,0.01
ZFENP57,ZFENP,0.004,0.963,0.022,0.01
ZFENP58,ZFENP,0.025,0.88,0.014,0.08
ZFENP59,ZFENP,0.005,0.953,0.015,0.027
ZFENP60,ZFENP,0.008,0.92,0.063,0.009
ZFENP61,ZFENP,0.004,0.945,0.041,0.01
,,,,,
ZFFDSP01,ZFFDSP,0.986,0.003,0.004,0.006
ZFFDSP02,ZFFDSP,0.987,0.004,0.004,0.005
ZFFDSP04,ZFFDSP,0.987,0.003,0.005,0.004
ZFFDSP05,ZFFDSP,0.986,0.004,0.004,0.005
ZFFDSP06,ZFFDSP,0.988,0.003,0.003,0.005
ZFFDSP07,ZFFDSP,0.977,0.007,0.004,0.011
ZFFDSP08,ZFFDSP,0.976,0.006,0.004,0.015
ZFFDSP10,ZFFDSP,0.986,0.005,0.004,0.006
ZFFDSP11,ZFFDSP,0.985,0.005,0.005,0.005
ZFFDSP12,ZFFDSP,0.989,0.004,0.003,0.005
ZFFDSP13,ZFFDSP,0.96,0.008,0.005,0.027
ZFFDSP14,ZFFDSP,0.985,0.005,0.005,0.006
ZFFDSP16,ZFFDSP,0.974,0.006,0.007,0.012
ZFFDSP17,ZFFDSP,0.986,0.004,0.004,0.005
ZFFDSP18,ZFFDSP,0.983,0.003,0.007,0.006
ZFFDSP19,ZFFDSP,0.973,0.004,0.006,0.017
ZFFDSP21,ZFFDSP,0.976,0.004,0.003,0.017
ZFFDSP22,ZFFDSP,0.989,0.003,0.003,0.005
ZFFDSP23,ZFFDSP,0.989,0.003,0.003,0.005
ZFFDSP24,ZFFDSP,0.984,0.004,0.005,0.007
ZFFDSP26,ZFFDSP,0.986,0.004,0.004,0.006
ZFFDSP27,ZFFDSP,0.986,0.003,0.006,0.005
ZFFDSP28,ZFFDSP,0.879,0.018,0.085,0.018
ZFFDSP30,ZFFDSP,0.964,0.005,0.014,0.017
ZFFDSP31,ZFFDSP,0.985,0.004,0.005,0.007
ZFFDSP32,ZFFDSP,0.988,0.004,0.004,0.005
ZFFDSP33,ZFFDSP,0.989,0.003,0.004,0.004
ZFFDSP34,ZFFDSP,0.988,0.003,0.004,0.006
ZFFDSP35,ZFFDSP,0.986,0.004,0.005,0.005
ZFFDSP37,ZFFDSP,0.986,0.004,0.005,0.005
ZFFDSP38,ZFFDSP,0.986,0.003,0.005,0.005
ZFFDSP39,ZFFDSP,0.989,0.003,0.004,0.005
ZFFDSP40,ZFFDSP,0.985,0.004,0.005,0.006
ZFFDSP42,ZFFDSP,0.987,0.003,0.003,0.006
ZFFDSP43,ZFFDSP,0.987,0.003,0.004,0.006
ZFFDSP44,ZFFDSP,0.985,0.004,0.006,0.005
ZFFDSP45,ZFFDSP,0.985,0.004,0.005,0.006
ZFFDSP46,ZFFDSP,0.984,0.004,0.005,0.007
ZFFDSP47,ZFFDSP,0.987,0.004,0.004,0.005
ZFFDSP48,ZFFDSP,0.986,0.004,0.004,0.006
,,,,,
ZFI01,ZFI,0.004,0.008,0.977,0.01
ZFI02,ZFI,0.006,0.006,0.981,0.006
ZFI03,ZFI,0.004,0.006,0.982,0.008
ZFI04,ZFI,0.004,0.006,0.984,0.006
ZFI05,ZFI,0.006,0.007,0.973,0.013
ZFI06,ZFI,0.013,0.009,0.963,0.015
ZFI07,ZFI,0.004,0.006,0.984,0.006
ZFI08,ZFI,0.004,0.007,0.984,0.005
ZFI09,ZFI,0.004,0.006,0.984,0.005
ZFI10,ZFI,0.008,0.007,0.969,0.015
ZFI11,ZFI,0.003,0.006,0.985,0.006
ZFI12,ZFI,0.005,0.006,0.976,0.013
ZFI13,ZFI,0.004,0.007,0.981,0.008
ZFI14,ZFI,0.011,0.006,0.975,0.008
ZFI15,ZFI,0.004,0.005,0.985,0.006
ZFI16,ZFI,0.004,0.004,0.985,0.006
ZFI17,ZFI,0.004,0.008,0.982,0.007
ZFI18,ZFI,0.003,0.006,0.985,0.005
ZFI19,ZFI,0.004,0.005,0.986,0.005
ZFI20,ZFI,0.006,0.007,0.981,0.005
ZFI21,ZFI,0.021,0.006,0.963,0.01
ZFI22,ZFI,0.005,0.005,0.984,0.006
ZFI23,ZFI,0.004,0.005,0.983,0.007
ZFI24,ZFI,0.005,0.006,0.977,0.012
ZFI25,ZFI,0.005,0.006,0.982,0.007
ZFI26,ZFI,0.004,0.006,0.983,0.007
ZFI27,ZFI,0.006,0.009,0.963,0.022
ZFK01,ZFI,0.012,0.022,0.009,0.957
,,,,,
ZFK02,ZFK,0.01,0.017,0.013,0.96
ZFK03,ZFK,0.01,0.032,0.017,0.941
ZFK04,ZFK,0.01,0.062,0.129,0.799
ZFK05,ZFK,0.006,0.088,0.071,0.836
ZFK06,ZFK,0.008,0.134,0.074,0.784
ZFK07,ZFK,0.01,0.046,0.007,0.937
ZFK08,ZFK,0.014,0.591,0.15,0.245
ZFK10,ZFK,0.009,0.031,0.086,0.874
ZFK11,ZFK,0.007,0.283,0.019,0.691
ZFK12,ZFK,0.026,0.163,0.007,0.805
ZFK13,ZFK,0.068,0.281,0.006,0.644
ZFK14,ZFK,0.017,0.017,0.005,0.961
ZFK15,ZFK,0.035,0.451,0.014,0.5
ZFK16,ZFK,0.034,0.081,0.004,0.881
,,,,,
ZFLB01,ZFLB,0.009,0.979,0.008,0.005
ZFLB02,ZFLB,0.004,0.977,0.014,0.004
ZFLB03,ZFLB,0.006,0.972,0.005,0.016
ZFLB04,ZFLB,0.035,0.88,0.017,0.067
ZFLB05,ZFLB,0.006,0.973,0.015,0.006
ZFLB06,ZFLB,0.006,0.98,0.006,0.008
ZFLB07,ZFLB,0.013,0.961,0.006,0.02
ZFLB08,ZFLB,0.004,0.977,0.014,0.005
ZFLB09,ZFLB,0.005,0.973,0.016,0.007
ZFLB10,ZFLB,0.005,0.972,0.016,0.007
ZFLB11,ZFLB,0.005,0.985,0.005,0.006
ZFLB12,ZFLB,0.004,0.982,0.01,0.005
ZFLB13,ZFLB,0.005,0.981,0.007,0.007
,,,,,
ZFLTI01,ZFLTI,0.895,0.004,0.004,0.097
ZFLTI02,ZFLTI,0.477,0.005,0.005,0.513
ZFLTI03,ZFLTI,0.947,0.005,0.004,0.045
ZFLTI04,ZFLTI,0.867,0.007,0.007,0.119
ZFLTI05,ZFLTI,0.945,0.005,0.004,0.046
ZFLTI06,ZFLTI,0.985,0.003,0.004,0.007
ZFLTI07,ZFLTI,0.971,0.005,0.006,0.018
ZFLTI08,ZFLTI,0.932,0.007,0.009,0.053
ZFLTI09,ZFLTI,0.972,0.005,0.008,0.016
ZFLTI10,ZFLTI,0.966,0.004,0.005,0.024
ZFLTI11,ZFLTI,0.983,0.003,0.004,0.01
ZFLTI12,ZFLTI,0.96,0.004,0.004,0.032
ZFLTI13,ZFLTI,0.601,0.006,0.005,0.388
ZFLTI14,ZFLTI,0.068,0.005,0.007,0.92
,,,,,
ZFONF101,ZFONF1,0.991,0.003,0.003,0.003
ZFONF102,ZFONF1,0.986,0.006,0.005,0.003
ZFONF103,ZFONF1,0.971,0.005,0.005,0.019
ZFONF104,ZFONF1,0.991,0.003,0.002,0.004
ZFONF105,ZFONF1,0.989,0.003,0.003,0.005
ZFONF106,ZFONF1,0.988,0.003,0.005,0.004
ZFONF107,ZFONF1,0.893,0.052,0.029,0.026
ZFONF108,ZFONF1,0.956,0.012,0.006,0.026
ZFONF109,ZFONF1,0.973,0.006,0.005,0.016
ZFONF110,ZFONF1,0.989,0.003,0.003,0.005
ZFONF111,ZFONF1,0.961,0.019,0.012,0.008
ZFONF112,ZFONF1,0.988,0.003,0.003,0.006
ZFONF113,ZFONF1,0.986,0.005,0.003,0.006
ZFONF115,ZFONF1,0.983,0.004,0.005,0.009
ZFONF116,ZFONF1,0.983,0.004,0.005,0.007
ZFONF117,ZFONF1,0.978,0.005,0.004,0.013
ZFONF118,ZFONF1,0.98,0.004,0.006,0.01
ZFONF119,ZFONF1,0.98,0.006,0.004,0.01
ZFONF120,ZFONF1,0.977,0.006,0.004,0.013
ZFONF121,ZFONF1,0.986,0.005,0.004,0.006
ZFONF122,ZFONF1,0.955,0.006,0.007,0.032
ZFONF123,ZFONF1,0.965,0.021,0.007,0.006
ZFONF124,ZFONF1,0.983,0.006,0.003,0.008
ZFONF125,ZFONF1,0.929,0.047,0.007,0.018
ZFONF126,ZFONF1,0.979,0.004,0.005,0.012
,,,,,
ZFONF201,ZFONF2,0.779,0.066,0.091,0.064
ZFONF202,ZFONF2,0.986,0.003,0.003,0.008
ZFONF203,ZFONF2,0.972,0.014,0.005,0.009
ZFONF204,ZFONF2,0.762,0.072,0.02,0.146
ZFONF206,ZFONF2,0.66,0.305,0.022,0.013
ZFONF207,ZFONF2,0.97,0.016,0.005,0.009
ZFONF208,ZFONF2,0.969,0.011,0.005,0.015
ZFONF209,ZFONF2,0.777,0.023,0.016,0.185
ZFONF210,ZFONF2,0.983,0.003,0.002,0.012
ZFONF211,ZFONF2,0.976,0.006,0.003,0.015
ZFONF212,ZFONF2,0.99,0.003,0.002,0.004
ZFONF214,ZFONF2,0.983,0.005,0.003,0.009
ZFONF215,ZFONF2,0.989,0.003,0.003,0.006
ZFONF216,ZFONF2,0.985,0.005,0.002,0.008
ZFONF217,ZFONF2,0.985,0.004,0.003,0.008
ZFONF218,ZFONF2,0.962,0.027,0.006,0.005
ZFONF219,ZFONF2,0.99,0.004,0.002,0.004
ZFONF220,ZFONF2,0.985,0.004,0.003,0.008
ZFONF222,ZFONF2,0.97,0.016,0.005,0.009
ZFONF223,ZFONF2,0.974,0.015,0.006,0.005
ZFONF224,ZFONF2,0.985,0.005,0.003,0.006
ZFONF225,ZFONF2,0.988,0.003,0.002,0.006
ZFONF226,ZFONF2,0.984,0.005,0.003,0.008
ZFONF227,ZFONF2,0.99,0.003,0.002,0.005
ZFONF228,ZFONF2,0.99,0.003,0.003,0.004
ZFONF230,ZFONF2,0.989,0.003,0.002,0.006
ZFONF231,ZFONF2,0.977,0.004,0.003,0.016
ZFONF232,ZFONF2,0.989,0.004,0.003,0.004
ZFONF233,ZFONF2,0.98,0.006,0.003,0.011
ZFONF234,ZFONF2,0.967,0.021,0.003,0.009
ZFONF235,ZFONF2,0.983,0.005,0.002,0.01
ZFONF236,ZFONF2,0.876,0.034,0.024,0.066
ZFONF238,ZFONF2,0.984,0.007,0.004,0.005
ZFONF239,ZFONF2,0.878,0.035,0.028,0.06
ZFONF240,ZFONF2,0.981,0.003,0.002,0.014
ZFONF241,ZFONF2,0.977,0.011,0.005,0.006
ZFONF242,ZFONF2,0.981,0.006,0.003,0.01
ZFONF243,ZFONF2,0.981,0.005,0.003,0.011
ZFONF244,ZFONF2,0.986,0.004,0.003,0.008
ZFONF245,ZFONF2,0.983,0.005,0.002,0.011
,,,,,
ZFOS01,ZFO,0.033,0.006,0.005,0.956
ZFOS02,ZFO,0.031,0.012,0.039,0.918
ZFOS03,ZFO,0.014,0.062,0.022,0.902
ZFOS04,ZFO,0.05,0.007,0.017,0.926
ZFOS05,ZFO,0.025,0.006,0.008,0.962
ZFOS06,ZFO,0.014,0.009,0.006,0.972
ZFOS07,ZFO,0.007,0.006,0.041,0.946
ZFOS08,ZFO,0.012,0.006,0.026,0.956
ZFOS09,ZFO,0.108,0.043,0.04,0.809
ZFOS10,ZFO,0.003,0.02,0.068,0.909
ZFOS11,ZFO,0.018,0.048,0.014,0.919
ZFOS12,ZFO,0.027,0.371,0.064,0.538
ZFOS13,ZFO,0.014,0.009,0.023,0.954
ZFOS14,ZFO,0.014,0.045,0.162,0.779
ZFOS15,ZFO,0.004,0.006,0.008,0.982
ZFOS16,ZFO,0.026,0.011,0.019,0.944
ZFOS17,ZFO,0.005,0.011,0.016,0.967
ZFOS18,ZFO,0.004,0.012,0.011,0.973
ZFOS19,ZFO,0.005,0.009,0.008,0.978
ZFOS20,ZFO,0.007,0.009,0.013,0.971
ZFOS21,ZFO,0.016,0.006,0.012,0.966
ZFOS22,ZFO,0.008,0.01,0.004,0.977
ZFOS23,ZFO,0.003,0.037,0.378,0.583
ZFOS24,ZFO,0.004,0.005,0.005,0.986
ZFOS25,ZFO,0.032,0.005,0.008,0.954
ZFOS26,ZFO,0.13,0.008,0.009,0.853
ZFOS27,ZFO,0.02,0.008,0.007,0.964
ZFOS28,ZFO,0.009,0.019,0.034,0.938
ZFOS29,ZFO,0.01,0.012,0.017,0.962
ZFOS30,ZFO,0.016,0.007,0.012,0.965
ZFOS31,ZFO,0.155,0.064,0.109,0.672
ZFOS32,ZFO,0.014,0.008,0.014,0.964
,,,,,
ZFPB01,ZFBP,0.003,0.983,0.01,0.005
ZFPB02,ZFBP,0.006,0.986,0.004,0.004
ZFPB03,ZFBP,0.008,0.968,0.008,0.016
ZFPB05,ZFBP,0.005,0.988,0.004,0.003
