Ind,Pop,C1,C2,C3,C4
ZFPB06,ZFBP,0.003,0.981,0.01,0.006
ZFPB07,ZFBP,0.007,0.986,0.004,0.003
ZFPB08,ZFBP,0.006,0.981,0.006,0.006
ZFPB10,ZFBP,0.004,0.986,0.005,0.005
ZFPB11,ZFBP,0.003,0.989,0.004,0.004
ZFPB12,ZFBP,0.003,0.988,0.005,0.004
ZFPB13,ZFBP,0.007,0.981,0.007,0.004
ZFPB14,ZFBP,0.007,0.985,0.004,0.004
ZFPB15,ZFBP,0.009,0.981,0.005,0.005
ZFPB17,ZFBP,0.003,0.988,0.005,0.004
ZFPB18,ZFBP,0.004,0.989,0.004,0.003
ZFPB19,ZFBP,0.006,0.973,0.014,0.008
ZFPB20,ZFBP,0.004,0.989,0.004,0.003
ZFPB21,ZFBP,0.008,0.982,0.005,0.005
ZFPB22,ZFBP,0.003,0.989,0.005,0.003
ZFPB23,ZFBP,0.005,0.986,0.006,0.004
,,,,,
ZFSF01,ZFSF,0.004,0.088,0.902,0.006
ZFSF02,ZFSF,0.034,0.442,0.497,0.026
ZFSF03,ZFSF,0.005,0.097,0.893,0.005
ZFSF04,ZFSF,0.006,0.006,0.981,0.007
,,,,,
ZFSW101,ZFSW1,0.047,0.005,0.94,0.008
ZFSW102,ZFSW1,0.007,0.007,0.979,0.007
ZFSW103,ZFSW1,0.027,0.007,0.952,0.014
ZFSW104,ZFSW1,0.026,0.019,0.936,0.019
ZFSW105,ZFSW1,0.021,0.005,0.966,0.008
ZFSW106,ZFSW1,0.03,0.039,0.923,0.009
ZFSW107,ZFSW1,0.007,0.006,0.982,0.005
ZFSW108,ZFSW1,0.003,0.007,0.985,0.005
ZFSW109,ZFSW1,0.006,0.004,0.981,0.008
ZFSW110,ZFSW1,0.023,0.007,0.96,0.011
ZFSW111,ZFSW1,0.076,0.008,0.902,0.014
ZFSW112,ZFSW1,0.016,0.007,0.953,0.024
ZFSW113,ZFSW1,0.034,0.015,0.941,0.01
ZFSW114,ZFSW1,0.008,0.006,0.98,0.007
ZFSW115,ZFSW1,0.01,0.027,0.956,0.007
ZFSW116,ZFSW1,0.021,0.013,0.958,0.008
ZFSW117,ZFSW1,0.039,0.011,0.937,0.013
ZFSW119,ZFSW1,0.004,0.01,0.98,0.006
ZFSW120,ZFSW1,0.002,0.012,0.982,0.004
ZFSW121,ZFSW1,0.029,0.033,0.924,0.014
ZFSW122,ZFSW1,0.01,0.004,0.978,0.008
ZFSW123,ZFSW1,0.004,0.004,0.988,0.004
ZFSW124,ZFSW1,0.004,0.005,0.984,0.006
,,,,,
ZFSW201,ZFSW2,0.003,0.008,0.982,0.006
ZFSW202,ZFSW2,0.004,0.006,0.984,0.006
ZFSW203,ZFSW2,0.004,0.007,0.982,0.007
ZFSW204,ZFSW2,0.004,0.008,0.979,0.009
ZFSW205,ZFSW2,0.005,0.006,0.983,0.006
ZFSW206,ZFSW2,0.005,0.012,0.977,0.006
ZFSW207,ZFSW2,0.008,0.005,0.979,0.007
ZFSW208,ZFSW2,0.005,0.01,0.979,0.006
ZFSW209,ZFSW2,0.006,0.039,0.948,0.006
ZFSW210,ZFSW2,0.018,0.007,0.958,0.017
ZFSW211,ZFSW2,0.009,0.02,0.962,0.009
ZFSW212,ZFSW2,0.006,0.007,0.979,0.008
ZFSW213,ZFSW2,0.004,0.005,0.984,0.007
ZFSW214,ZFSW2,0.006,0.006,0.979,0.009
ZFSW215,ZFSW2,0.004,0.005,0.986,0.006
ZFSW216,ZFSW2,0.008,0.008,0.974,0.009
ZFSW217,ZFSW2,0.004,0.005,0.984,0.007
ZFSW218,ZFSW2,0.005,0.005,0.983,0.007
ZFSW219,ZFSW2,0.009,0.025,0.949,0.016
ZFSW220,ZFSW2,0.005,0.013,0.974,0.008
ZFSW221,ZFSW2,0.006,0.012,0.973,0.008
ZFSW222,ZFSW2,0.003,0.006,0.987,0.004
ZFSW223,ZFSW2,0.004,0.013,0.977,0.006
ZFSW224,ZFSW2,0.006,0.012,0.973,0.009
ZFSW225,ZFSW2,0.005,0.008,0.979,0.008
ZFSW226,ZFSW2,0.005,0.005,0.984,0.005
ZFSW227,ZFSW2,0.005,0.006,0.983,0.007
ZFSW229,ZFSW2,0.005,0.009,0.98,0.006
ZFSW230,ZFSW2,0.01,0.006,0.977,0.007
ZFSW231,ZFSW2,0.005,0.013,0.975,0.007
ZFSW232,ZFSW2,0.004,0.008,0.982,0.005
ZFSW233,ZFSW2,0.005,0.014,0.975,0.006
ZFSW234,ZFSW2,0.004,0.004,0.987,0.005
ZFSW235,ZFSW2,0.005,0.009,0.974,0.011
ZFSW236,ZFSW2,0.005,0.004,0.986,0.006
ZFSW237,ZFSW2,0.005,0.008,0.977,0.01
ZFSW238,ZFSW2,0.039,0.095,0.823,0.043
ZFSW239,ZFSW2,0.007,0.005,0.984,0.004
ZFSW240,ZFSW2,0.004,0.007,0.984,0.005
,,,,,
ZFTS01,ZFTS,0.004,0.017,0.975,0.003
ZFTS02,ZFTS,0.007,0.008,0.979,0.005
ZFTS03,ZFTS,0.005,0.006,0.984,0.005
ZFTS04,ZFTS,0.004,0.016,0.975,0.004
ZFTS05,ZFTS,0.006,0.225,0.762,0.008
ZFTS07,ZFTS,0.004,0.067,0.925,0.004
ZFTS08,ZFTS,0.003,0.01,0.983,0.004
ZFTS09,ZFTS,0.003,0.021,0.973,0.004
ZFTS10,ZFTS,0.004,0.007,0.985,0.004
ZFTS11,ZFTS,0.004,0.011,0.981,0.004
ZFTS12,ZFTS,0.004,0.02,0.97,0.006
ZFTS14,ZFTS,0.005,0.047,0.943,0.004
ZFTS15,ZFTS,0.006,0.055,0.935,0.004
ZFTS16,ZFTS,0.006,0.008,0.981,0.005
ZFTS17,ZFTS,0.005,0.03,0.959,0.007
ZFTS18,ZFTS,0.003,0.006,0.987,0.004
ZFTS19,ZFTS,0.003,0.007,0.986,0.004
ZFTS20,ZFTS,0.003,0.014,0.977,0.006
ZFTS21,ZFTS,0.003,0.022,0.971,0.004
ZFTS22,ZFTS,0.003,0.019,0.974,0.004
ZFTS23,ZFTS,0.006,0.018,0.97,0.006
ZFTS24,ZFTS,0.003,0.007,0.984,0.005
ZFTS25,ZFTS,0.007,0.025,0.964,0.003
ZFTS26,ZFTS,0.002,0.005,0.989,0.003
ZFTS27,ZFTS,0.006,0.047,0.941,0.006
ZFTS28,ZFTS,0.01,0.273,0.704,0.013
ZFTS29,ZFTS,0.003,0.035,0.958,0.005
ZFTS30,ZFTS,0.004,0.054,0.938,0.005
ZFTS31,ZFTS,0.005,0.029,0.958,0.007
ZFTS32,ZFTS,0.005,0.027,0.964,0.005
ZFTS33,ZFTS,0.007,0.027,0.96,0.006
ZFTS34,ZFTS,0.005,0.009,0.983,0.004
ZFTS35,ZFTS,0.005,0.006,0.985,0.004
ZFTS36,ZFTS,0.004,0.018,0.973,0.004
ZFTS37,ZFTS,0.005,0.01,0.98,0.005
ZFTS38,ZFTS,0.005,0.019,0.971,0.006
ZFTS39,ZFTS,0.004,0.013,0.978,0.005
ZFTS40,ZFTS,0.014,0.046,0.932,0.007
,,,,,
ZFTSP101,ZFTSP1,0.927,0.005,0.004,0.063
ZFTSP102,ZFTSP1,0.042,0.007,0.007,0.945
ZFTSP103,ZFTSP1,0.032,0.005,0.004,0.959
ZFTSP104,ZFTSP1,0.987,0.005,0.003,0.005
ZFTSP105,ZFTSP1,0.24,0.006,0.006,0.748
ZFTSP106,ZFTSP1,0.979,0.008,0.004,0.009
ZFTSP107,ZFTSP1,0.894,0.01,0.004,0.093
ZFTSP108,ZFTSP1,0.956,0.009,0.003,0.031
ZFTSP109,ZFTSP1,0.969,0.014,0.004,0.013
ZFTSP110,ZFTSP1,0.975,0.007,0.004,0.013
ZFTSP111,ZFTSP1,0.973,0.004,0.004,0.019
ZFTSP112,ZFTSP1,0.92,0.005,0.005,0.069
ZFTSP113,ZFTSP1,0.973,0.009,0.005,0.013
ZFTSP114,ZFTSP1,0.955,0.006,0.003,0.036
ZFTSP115,ZFTSP1,0.964,0.006,0.003,0.027
ZFTSP116,ZFTSP1,0.914,0.008,0.004,0.074
ZFTSP117,ZFTSP1,0.984,0.004,0.004,0.009
ZFTSP118,ZFTSP1,0.872,0.005,0.005,0.117
ZFTSP119,ZFTSP1,0.909,0.041,0.038,0.012
ZFTSP120,ZFTSP1,0.958,0.003,0.005,0.034
ZFTSP121,ZFTSP1,0.608,0.061,0.02,0.311
ZFTSP122,ZFTSP1,0.811,0.005,0.003,0.181
ZFTSP123,ZFTSP1,0.986,0.005,0.003,0.007
ZFTSP124,ZFTSP1,0.981,0.005,0.002,0.012
ZFTSP125,ZFTSP1,0.985,0.005,0.003,0.007
ZFTSP126,ZFTSP1,0.973,0.008,0.004,0.015
ZFTSP127,ZFTSP1,0.981,0.005,0.003,0.011
ZFTSP128,ZFTSP1,0.942,0.005,0.003,0.049
ZFTSP129,ZFTSP1,0.967,0.004,0.003,0.025
ZFTSP130,ZFTSP1,0.976,0.005,0.002,0.016
ZFTSP131,ZFTSP1,0.978,0.004,0.003,0.016
ZFTSP132,ZFTSP1,0.949,0.007,0.006,0.038
ZFTSP133,ZFTSP1,0.956,0.003,0.003,0.038
ZFTSP134,ZFTSP1,0.95,0.005,0.003,0.041
ZFTSP135,ZFTSP1,0.947,0.004,0.004,0.045
ZFTSP136,ZFTSP1,0.968,0.004,0.005,0.023
ZFTSP137,ZFTSP1,0.896,0.031,0.011,0.061
ZFTSP138,ZFTSP1,0.974,0.006,0.003,0.017
ZFTSP139,ZFTSP1,0.986,0.003,0.003,0.008
ZFTSP140,ZFTSP1,0.896,0.012,0.005,0.087
ZFTSP141,ZFTSP1,0.794,0.009,0.007,0.19
ZFTSP142,ZFTSP1,0.44,0.01,0.005,0.545
ZFTSP143,ZFTSP1,0.963,0.004,0.005,0.028
ZFTSP144,ZFTSP1,0.799,0.006,0.008,0.187
ZFTSP145,ZFTSP1,0.521,0.004,0.004,0.472
,,,,,
ZFTSP201,ZFTSP2,0.975,0.007,0.004,0.013
ZFTSP202,ZFTSP2,0.788,0.019,0.005,0.189
ZFTSP203,ZFTSP2,0.98,0.005,0.005,0.01
ZFTSP204,ZFTSP2,0.962,0.004,0.006,0.028
ZFTSP205,ZFTSP2,0.903,0.011,0.007,0.08
ZFTSP206,ZFTSP2,0.972,0.006,0.006,0.016
ZFTSP207,ZFTSP2,0.984,0.004,0.006,0.005
ZFTSP208,ZFTSP2,0.973,0.005,0.009,0.013
ZFTSP209,ZFTSP2,0.971,0.004,0.004,0.022
ZFTSP210,ZFTSP2,0.986,0.004,0.004,0.006
ZFTSP211,ZFTSP2,0.942,0.009,0.006,0.044
ZFTSP212,ZFTSP2,0.988,0.003,0.003,0.007
ZFTSP213,ZFTSP2,0.978,0.008,0.003,0.011
ZFTSP214,ZFTSP2,0.102,0.005,0.004,0.889
ZFTSP215,ZFTSP2,0.838,0.005,0.004,0.153
ZFTSP216,ZFTSP2,0.721,0.059,0.018,0.203
ZFTSP217,ZFTSP2,0.983,0.007,0.003,0.006
ZFTSP218,ZFTSP2,0.977,0.007,0.005,0.011
ZFTSP219,ZFTSP2,0.909,0.007,0.007,0.077
ZFTSP220,ZFTSP2,0.917,0.023,0.008,0.051
ZFTSP221,ZFTSP2,0.971,0.008,0.005,0.017
ZFTSP222,ZFTSP2,0.818,0.163,0.008,0.01
ZFTSP223,ZFTSP2,0.977,0.004,0.003,0.016
ZFTSP224,ZFTSP2,0.688,0.006,0.003,0.304
ZFTSP225,ZFTSP2,0.977,0.006,0.005,0.013
ZFTSP226,ZFTSP2,0.836,0.007,0.004,0.154
ZFTSP227,ZFTSP2,0.965,0.018,0.005,0.012
ZFTSP228,ZFTSP2,0.714,0.018,0.007,0.261
,,,,,
ZFW01,ZFW,0.006,0.005,0.985,0.005
ZFW02,ZFW,0.005,0.007,0.984,0.004
ZFW03,ZFW,0.005,0.005,0.986,0.004
ZFW04,ZFW,0.003,0.005,0.987,0.004
ZFW05,ZFW,0.018,0.135,0.792,0.056
ZFW06,ZFW,0.004,0.018,0.973,0.005
ZFWB01,ZFWB,0.071,0.855,0.039,0.035
ZFWB02,ZFWB,0.018,0.668,0.282,0.032
ZFWB03,ZFWB,0.024,0.925,0.021,0.03
ZFWB05,ZFWB,0.088,0.758,0.139,0.015
ZFWB06,ZFWB,0.069,0.752,0.144,0.034
ZFWB07,ZFWB,0.017,0.958,0.009,0.016
ZFWB10,ZFWB,0.134,0.666,0.174,0.026
ZFWB11,ZFWB,0.013,0.966,0.008,0.013
ZFWB12,ZFWB,0.037,0.835,0.033,0.095
ZFWB13,ZFWB,0.08,0.652,0.014,0.254
ZFWB14,ZFWB,0.059,0.903,0.02,0.018
ZFWB15,ZFWB,0.051,0.806,0.123,0.021
ZFWB18,ZFWB,0.028,0.949,0.005,0.017
ZFWB19,ZFWB,0.006,0.967,0.019,0.007
ZFWB20,ZFWB,0.011,0.969,0.013,0.007
ZFWB21,ZFWB,0.017,0.953,0.01,0.02
ZFWB22,ZFWB,0.045,0.833,0.087,0.035
ZFWB23,ZFWB,0.382,0.346,0.034,0.239
ZFWB24,ZFWB,0.046,0.912,0.025,0.017
ZFWB25,ZFWB,0.038,0.842,0.108,0.012
ZFWB26,ZFWB,0.01,0.965,0.018,0.007
ZFWB27,ZFWB,0.014,0.959,0.015,0.012
ZFWB29,ZFWB,0.014,0.852,0.119,0.016
ZFWB30,ZFWB,0.015,0.954,0.009,0.023
ZFWB31,ZFWB,0.027,0.947,0.006,0.02
ZFWB32,ZFWB,0.014,0.936,0.034,0.015
ZFWB35,ZFWB,0.012,0.968,0.005,0.015
ZFWB36,ZFWB,0.016,0.95,0.016,0.018
ZFWB37,ZFWB,0.015,0.958,0.01,0.016
ZFWB38,ZFWB,0.016,0.953,0.023,0.008
ZFWB39,ZFWB,0.034,0.914,0.009,0.044
ZFWB40,ZFWB,0.025,0.931,0.008,0.035
ZFWB41,ZFWB,0.041,0.896,0.023,0.04
ZFWB42,ZFWB,0.027,0.949,0.008,0.016
ZFWB43,ZFWB,0.009,0.977,0.006,0.008
ZFWB44,ZFWB,0.007,0.891,0.092,0.009
ZFWB46,ZFWB,0.01,0.964,0.014,0.012
ZFWB47,ZFWB,0.025,0.892,0.063,0.021
ZFWB48,ZFWB,0.034,0.933,0.007,0.025
ZFWB49,ZFWB,0.263,0.706,0.011,0.02
,,,,,
ZCF01,ZCF,0.005,0.969,0.015,0.011
ZCF02,ZCF,0.004,0.873,0.118,0.005
ZCF03,ZCF,0.005,0.979,0.01,0.006
ZCF04,ZCF,0.005,0.986,0.005,0.004
ZCF05,ZCF,0.003,0.833,0.158,0.005
ZCF06,ZCF,0.013,0.927,0.005,0.055
ZCF07,ZCF,0.004,0.974,0.015,0.007
ZCF08,ZCF,0.006,0.981,0.005,0.007
ZCF09,ZCF,0.197,0.707,0.006,0.09
ZCF10,ZCF,0.016,0.958,0.013,0.013
ZCF11,ZCF,0.009,0.973,0.012,0.007
ZCF12,ZCF,0.003,0.982,0.011,0.004
ZCF13,ZCF,0.007,0.978,0.01,0.005
ZCF14,ZCF,0.024,0.903,0.055,0.017
ZCF15,ZCF,0.003,0.983,0.007,0.007
ZCF16,ZCF,0.004,0.98,0.007,0.009
ZCF17,ZCF,0.004,0.983,0.007,0.006
ZCF18,ZCF,0.006,0.977,0.011,0.005
ZCF19,ZCF,0.004,0.965,0.025,0.006
ZCF20,ZCF,0.013,0.964,0.015,0.008
ZCF21,ZCF,0.005,0.976,0.012,0.008
ZCF22,ZCF,0.008,0.944,0.033,0.014
ZCF23,ZCF,0.007,0.976,0.013,0.005
ZCF24,ZCF,0.024,0.93,0.004,0.042
ZCF25,ZCF,0.009,0.977,0.005,0.009
ZCF26,ZCF,0.008,0.947,0.007,0.038
ZCF27,ZCF,0.004,0.98,0.01,0.006
ZCF28,ZCF,0.004,0.973,0.015,0.008
ZCF29,ZCF,0.021,0.953,0.009,0.017
ZCF30,ZCF,0.004,0.983,0.006,0.008
ZCF31,ZCF,0.005,0.98,0.011,0.004
ZCF32,ZCF,0.006,0.894,0.093,0.007
ZCF33,ZCF,0.004,0.88,0.111,0.004
ZCF34,ZCF,0.108,0.869,0.013,0.009
ZCF35,ZCF,0.008,0.982,0.005,0.005
ZCF36,ZCF,0.017,0.697,0.278,0.008
ZCF37,ZCF,0.008,0.966,0.02,0.006
ZCF38,ZCF,0.008,0.98,0.005,0.007
ZCF39,ZCF,0.631,0.352,0.011,0.006
ZCF40,ZCF,0.012,0.964,0.006,0.018
ZCF41,ZCF,0.004,0.96,0.023,0.013
ZCF42,ZCF,0.009,0.947,0.006,0.039
