Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFFDSP11,Faver-Dykes,0.008,0.004,0.004,0.003,0.004,0.004,0.01,0.287,0.003,0.011,0.005,0.003,0.058,0.12,0.008,0.003,0.003,0.135,0.003,0.007,0.007,0.195,0.1,0.007,0.007
ZFFDSP12,Faver-Dykes,0.003,0.003,0.003,0.005,0.003,0.002,0.006,0.182,0.002,0.075,0.004,0.003,0.209,0.009,0.011,0.003,0.002,0.108,0.003,0.004,0.003,0.317,0.017,0.021,0.003
ZFFDSP13,Faver-Dykes,0.013,0.009,0.004,0.008,0.005,0.003,0.08,0.194,0.004,0.008,0.025,0.021,0.107,0.066,0.253,0.006,0.003,0.016,0.005,0.01,0.005,0.123,0.022,0.005,0.005
ZFFDSP14,Faver-Dykes,0.005,0.006,0.005,0.008,0.004,0.002,0.006,0.055,0.004,0.008,0.004,0.004,0.162,0.007,0.005,0.004,0.004,0.365,0.003,0.007,0.006,0.055,0.245,0.024,0.002
ZFFDSP16,Faver-Dykes,0.007,0.005,0.006,0.004,0.006,0.004,0.006,0.126,0.003,0.007,0.009,0.012,0.006,0.027,0.008,0.006,0.003,0.627,0.005,0.005,0.008,0.089,0.013,0.004,0.006
ZFFDSP17,Faver-Dykes,0.007,0.005,0.006,0.004,0.004,0.005,0.02,0.163,0.002,0.008,0.006,0.005,0.039,0.069,0.013,0.004,0.002,0.409,0.003,0.007,0.005,0.162,0.037,0.007,0.006
ZFFDSP18,Faver-Dykes,0.004,0.005,0.006,0.003,0.003,0.003,0.007,0.02,0.002,0.012,0.005,0.003,0.038,0.006,0.003,0.002,0.003,0.045,0.002,0.004,0.016,0.014,0.775,0.015,0.005
ZFFDSP19,Faver-Dykes,0.004,0.012,0.005,0.004,0.003,0.003,0.015,0.026,0.002,0.02,0.018,0.082,0.047,0.044,0.02,0.003,0.003,0.583,0.003,0.004,0.007,0.023,0.043,0.024,0.004
ZFFDSP21,Faver-Dykes,0.004,0.01,0.004,0.004,0.004,0.003,0.025,0.133,0.003,0.005,0.022,0.048,0.034,0.107,0.113,0.003,0.002,0.249,0.003,0.004,0.005,0.177,0.03,0.005,0.003
ZFFDSP22,Faver-Dykes,0.005,0.005,0.003,0.004,0.004,0.002,0.009,0.08,0.002,0.03,0.006,0.004,0.232,0.009,0.009,0.003,0.002,0.334,0.003,0.005,0.004,0.103,0.05,0.09,0.002
ZFFDSP23,Faver-Dykes,0.004,0.005,0.003,0.003,0.003,0.002,0.009,0.035,0.002,0.008,0.003,0.006,0.022,0.035,0.056,0.002,0.002,0.033,0.002,0.005,0.004,0.021,0.671,0.061,0.002
ZFFDSP24,Faver-Dykes,0.004,0.004,0.004,0.004,0.003,0.003,0.01,0.018,0.002,0.004,0.004,0.005,0.012,0.013,0.007,0.003,0.003,0.008,0.003,0.004,0.004,0.012,0.859,0.005,0.004
ZFFDSP26,Faver-Dykes,0.005,0.004,0.003,0.004,0.004,0.003,0.009,0.058,0.003,0.01,0.005,0.005,0.05,0.025,0.018,0.003,0.003,0.014,0.003,0.005,0.006,0.048,0.698,0.013,0.004
ZFFDSP27,Faver-Dykes,0.003,0.004,0.005,0.003,0.003,0.003,0.007,0.052,0.002,0.006,0.003,0.005,0.013,0.018,0.008,0.003,0.003,0.016,0.002,0.004,0.01,0.024,0.794,0.006,0.004
ZFFDSP28,Faver-Dykes,0.005,0.006,0.013,0.014,0.006,0.013,0.011,0.046,0.004,0.009,0.006,0.004,0.1,0.038,0.008,0.004,0.012,0.016,0.006,0.013,0.009,0.04,0.594,0.009,0.016
ZFFDSP30,Faver-Dykes,0.005,0.004,0.004,0.006,0.004,0.004,0.008,0.031,0.005,0.005,0.003,0.01,0.092,0.64,0.009,0.003,0.004,0.038,0.003,0.005,0.008,0.018,0.025,0.004,0.061
ZFFDSP31,Faver-Dykes,0.005,0.006,0.015,0.006,0.004,0.003,0.127,0.057,0.002,0.265,0.005,0.006,0.103,0.012,0.01,0.004,0.002,0.011,0.004,0.005,0.003,0.068,0.264,0.009,0.004
ZFFDSP32,Faver-Dykes,0.005,0.003,0.004,0.004,0.003,0.002,0.006,0.167,0.002,0.004,0.003,0.005,0.034,0.013,0.012,0.003,0.002,0.392,0.003,0.004,0.004,0.273,0.043,0.005,0.002
ZFFDSP33,Faver-Dykes,0.003,0.002,0.004,0.003,0.003,0.003,0.007,0.292,0.003,0.012,0.002,0.005,0.029,0.084,0.026,0.003,0.002,0.11,0.003,0.004,0.004,0.313,0.073,0.006,0.003
ZFFDSP34,Faver-Dykes,0.005,0.011,0.009,0.004,0.003,0.003,0.085,0.092,0.002,0.114,0.007,0.004,0.077,0.013,0.008,0.003,0.002,0.015,0.003,0.005,0.003,0.144,0.376,0.011,0.003
ZFFDSP35,Faver-Dykes,0.004,0.003,0.003,0.003,0.003,0.003,0.015,0.031,0.002,0.004,0.004,0.004,0.036,0.022,0.008,0.003,0.003,0.011,0.003,0.005,0.005,0.024,0.789,0.006,0.004
ZFFDSP37,Faver-Dykes,0.004,0.003,0.005,0.004,0.003,0.003,0.011,0.16,0.002,0.006,0.004,0.005,0.022,0.018,0.009,0.003,0.002,0.122,0.003,0.004,0.005,0.208,0.385,0.004,0.003
ZFFDSP38,Faver-Dykes,0.004,0.003,0.003,0.004,0.003,0.003,0.007,0.031,0.002,0.008,0.003,0.004,0.009,0.007,0.004,0.003,0.003,0.008,0.003,0.004,0.003,0.083,0.789,0.004,0.004
ZFFDSP39,Faver-Dykes,0.003,0.003,0.002,0.003,0.003,0.002,0.007,0.033,0.002,0.006,0.003,0.004,0.009,0.026,0.023,0.003,0.002,0.005,0.002,0.003,0.003,0.014,0.83,0.005,0.003
ZFFDSP40,Faver-Dykes,0.003,0.002,0.003,0.003,0.003,0.003,0.007,0.022,0.002,0.004,0.003,0.004,0.007,0.009,0.007,0.003,0.002,0.005,0.003,0.003,0.004,0.013,0.878,0.003,0.004
ZFFDSP42,Faver-Dykes,0.004,0.004,0.002,0.003,0.003,0.002,0.007,0.006,0.002,0.009,0.004,0.004,0.012,0.009,0.006,0.002,0.002,0.008,0.002,0.004,0.003,0.006,0.87,0.022,0.003
ZFFDSP43,Faver-Dykes,0.003,0.003,0.003,0.002,0.003,0.003,0.004,0.008,0.002,0.007,0.003,0.004,0.005,0.006,0.006,0.002,0.002,0.005,0.003,0.002,0.003,0.01,0.905,0.005,0.003
ZFFDSP44,Faver-Dykes,0.005,0.003,0.005,0.004,0.003,0.004,0.02,0.221,0.003,0.009,0.003,0.008,0.04,0.083,0.012,0.003,0.003,0.04,0.003,0.005,0.003,0.188,0.32,0.006,0.006
ZFFDSP45,Faver-Dykes,0.003,0.003,0.003,0.003,0.003,0.003,0.008,0.022,0.002,0.004,0.004,0.003,0.005,0.005,0.005,0.003,0.002,0.005,0.002,0.003,0.003,0.039,0.862,0.003,0.003
ZFFDSP46,Faver-Dykes,0.003,0.003,0.003,0.003,0.003,0.002,0.006,0.008,0.002,0.006,0.004,0.004,0.007,0.005,0.004,0.003,0.002,0.007,0.002,0.003,0.003,0.007,0.901,0.006,0.003
ZFFDSP47,Faver-Dykes,0.006,0.004,0.003,0.005,0.003,0.003,0.013,0.045,0.003,0.007,0.003,0.009,0.018,0.077,0.032,0.003,0.003,0.01,0.003,0.006,0.003,0.016,0.715,0.01,0.003
ZFFDSP48,Faver-Dykes,0.003,0.002,0.003,0.003,0.003,0.003,0.009,0.016,0.002,0.004,0.003,0.005,0.005,0.01,0.01,0.003,0.002,0.005,0.002,0.003,0.003,0.013,0.881,0.004,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFLTI01,Little Talbot,0.004,0.012,0.004,0.004,0.004,0.003,0.817,0.011,0.002,0.004,0.024,0.006,0.011,0.007,0.021,0.003,0.002,0.009,0.003,0.005,0.004,0.009,0.018,0.006,0.003
ZFLTI02,Little Talbot,0.005,0.016,0.004,0.005,0.003,0.002,0.869,0.005,0.002,0.006,0.017,0.011,0.006,0.004,0.006,0.003,0.002,0.004,0.003,0.004,0.003,0.005,0.005,0.007,0.003
ZFLTI03,Little Talbot,0.005,0.005,0.003,0.004,0.003,0.002,0.89,0.005,0.002,0.004,0.005,0.006,0.007,0.01,0.011,0.003,0.002,0.005,0.003,0.005,0.002,0.004,0.006,0.006,0.003
ZFLTI04,Little Talbot,0.007,0.006,0.005,0.009,0.003,0.003,0.806,0.015,0.002,0.007,0.01,0.014,0.02,0.019,0.015,0.004,0.003,0.005,0.004,0.007,0.005,0.01,0.007,0.005,0.007
ZFLTI05,Little Talbot,0.004,0.004,0.004,0.004,0.003,0.002,0.895,0.006,0.002,0.003,0.005,0.008,0.006,0.007,0.009,0.003,0.002,0.004,0.003,0.003,0.002,0.005,0.007,0.003,0.003
ZFLTI06,Little Talbot,0.003,0.004,0.003,0.003,0.003,0.003,0.85,0.011,0.002,0.003,0.005,0.004,0.013,0.012,0.011,0.003,0.002,0.008,0.003,0.004,0.004,0.009,0.027,0.006,0.004
ZFLTI07,Little Talbot,0.005,0.004,0.004,0.004,0.003,0.003,0.846,0.011,0.002,0.003,0.006,0.005,0.01,0.014,0.016,0.003,0.002,0.006,0.003,0.005,0.004,0.01,0.024,0.003,0.005
ZFLTI08,Little Talbot,0.007,0.004,0.005,0.005,0.004,0.003,0.781,0.006,0.003,0.004,0.004,0.049,0.005,0.042,0.022,0.004,0.002,0.007,0.004,0.006,0.003,0.005,0.005,0.003,0.015
ZFLTI09,Little Talbot,0.004,0.004,0.005,0.004,0.003,0.003,0.875,0.008,0.002,0.004,0.004,0.005,0.009,0.013,0.008,0.003,0.002,0.006,0.003,0.004,0.004,0.007,0.011,0.004,0.006
ZFLTI10,Little Talbot,0.003,0.005,0.004,0.004,0.003,0.002,0.877,0.009,0.002,0.005,0.01,0.005,0.01,0.007,0.007,0.003,0.002,0.005,0.003,0.003,0.004,0.009,0.011,0.004,0.003
ZFLTI11,Little Talbot,0.004,0.005,0.004,0.004,0.003,0.002,0.876,0.007,0.003,0.005,0.004,0.006,0.01,0.009,0.007,0.003,0.003,0.007,0.002,0.005,0.003,0.007,0.012,0.008,0.003
ZFLTI12,Little Talbot,0.004,0.009,0.003,0.004,0.003,0.002,0.887,0.006,0.002,0.005,0.008,0.006,0.007,0.005,0.007,0.003,0.002,0.005,0.003,0.004,0.003,0.006,0.007,0.007,0.003
ZFLTI13,Little Talbot,0.006,0.009,0.004,0.005,0.003,0.003,0.874,0.005,0.002,0.003,0.01,0.013,0.005,0.007,0.008,0.003,0.002,0.005,0.003,0.005,0.004,0.005,0.008,0.005,0.004
ZFLTI14,Little Talbot,0.004,0.01,0.005,0.007,0.003,0.003,0.843,0.006,0.002,0.006,0.025,0.03,0.005,0.006,0.008,0.004,0.002,0.004,0.003,0.003,0.003,0.005,0.007,0.003,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFONF101,Ocala 1,0.009,0.002,0.004,0.003,0.004,0.004,0.008,0.021,0.004,0.816,0.003,0.003,0.009,0.015,0.009,0.004,0.004,0.007,0.005,0.007,0.004,0.021,0.024,0.004,0.007
ZFONF102,Ocala 1,0.004,0.003,0.003,0.003,0.005,0.003,0.004,0.042,0.009,0.755,0.003,0.003,0.016,0.006,0.006,0.004,0.005,0.01,0.01,0.004,0.002,0.061,0.028,0.01,0.003
ZFONF103,Ocala 1,0.008,0.007,0.005,0.011,0.003,0.003,0.008,0.011,0.002,0.831,0.006,0.013,0.011,0.008,0.008,0.004,0.003,0.008,0.004,0.007,0.004,0.013,0.007,0.008,0.004
ZFONF104,Ocala 1,0.003,0.005,0.002,0.002,0.004,0.003,0.006,0.029,0.003,0.745,0.006,0.002,0.031,0.011,0.013,0.002,0.002,0.044,0.002,0.003,0.003,0.029,0.027,0.021,0.002
ZFONF105,Ocala 1,0.004,0.003,0.002,0.004,0.003,0.002,0.004,0.007,0.003,0.889,0.003,0.004,0.009,0.007,0.007,0.003,0.003,0.007,0.003,0.004,0.002,0.007,0.004,0.015,0.003
ZFONF106,Ocala 1,0.003,0.003,0.004,0.003,0.003,0.003,0.006,0.023,0.003,0.84,0.003,0.003,0.016,0.007,0.004,0.002,0.002,0.009,0.003,0.003,0.005,0.027,0.018,0.004,0.004
ZFONF107,Ocala 1,0.004,0.004,0.005,0.009,0.005,0.005,0.005,0.009,0.016,0.846,0.004,0.006,0.008,0.005,0.004,0.007,0.007,0.004,0.014,0.003,0.005,0.008,0.004,0.004,0.009
ZFONF108,Ocala 1,0.003,0.003,0.004,0.01,0.002,0.003,0.004,0.008,0.005,0.9,0.004,0.006,0.004,0.004,0.004,0.003,0.003,0.004,0.005,0.003,0.003,0.006,0.003,0.004,0.003
ZFONF109,Ocala 1,0.003,0.005,0.003,0.007,0.003,0.002,0.006,0.005,0.003,0.9,0.005,0.005,0.006,0.005,0.005,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.006,0.007,0.003
ZFONF110,Ocala 1,0.003,0.006,0.002,0.003,0.004,0.003,0.007,0.071,0.002,0.599,0.01,0.004,0.02,0.009,0.015,0.002,0.002,0.022,0.002,0.003,0.005,0.065,0.128,0.011,0.002
ZFONF111,Ocala 1,0.018,0.01,0.003,0.003,0.017,0.004,0.007,0.017,0.011,0.765,0.01,0.003,0.009,0.009,0.009,0.009,0.006,0.013,0.011,0.018,0.008,0.012,0.008,0.015,0.005
ZFONF112,Ocala 1,0.003,0.004,0.003,0.004,0.003,0.002,0.005,0.005,0.002,0.895,0.003,0.007,0.007,0.005,0.005,0.003,0.003,0.004,0.003,0.003,0.003,0.006,0.007,0.011,0.003
ZFONF113,Ocala 1,0.012,0.008,0.003,0.012,0.005,0.003,0.006,0.012,0.019,0.771,0.003,0.005,0.018,0.012,0.02,0.008,0.006,0.021,0.006,0.016,0.003,0.012,0.008,0.009,0.002
ZFONF115,Ocala 1,0.004,0.004,0.005,0.005,0.003,0.003,0.005,0.01,0.002,0.881,0.004,0.004,0.007,0.005,0.004,0.003,0.003,0.009,0.003,0.004,0.004,0.012,0.005,0.005,0.004
ZFONF116,Ocala 1,0.004,0.006,0.017,0.006,0.003,0.003,0.005,0.035,0.003,0.65,0.003,0.006,0.022,0.009,0.005,0.004,0.003,0.108,0.003,0.005,0.014,0.051,0.013,0.017,0.005
ZFONF117,Ocala 1,0.007,0.007,0.005,0.01,0.004,0.003,0.065,0.214,0.003,0.226,0.006,0.031,0.054,0.023,0.075,0.005,0.003,0.017,0.004,0.007,0.005,0.175,0.012,0.035,0.005
ZFONF118,Ocala 1,0.011,0.007,0.01,0.007,0.004,0.004,0.064,0.012,0.002,0.694,0.007,0.013,0.022,0.021,0.01,0.003,0.003,0.008,0.003,0.009,0.004,0.01,0.054,0.01,0.007
ZFONF119,Ocala 1,0.003,0.006,0.003,0.007,0.003,0.002,0.004,0.017,0.004,0.052,0.003,0.006,0.774,0.016,0.011,0.003,0.003,0.021,0.003,0.005,0.006,0.012,0.01,0.024,0.003
ZFONF120,Ocala 1,0.005,0.007,0.002,0.008,0.003,0.002,0.008,0.007,0.003,0.006,0.004,0.003,0.873,0.01,0.005,0.003,0.003,0.011,0.002,0.006,0.003,0.006,0.005,0.01,0.003
ZFONF121,Ocala 1,0.006,0.005,0.005,0.009,0.004,0.004,0.01,0.067,0.005,0.304,0.003,0.006,0.155,0.076,0.013,0.004,0.004,0.126,0.004,0.008,0.004,0.049,0.033,0.093,0.005
ZFONF122,Ocala 1,0.014,0.013,0.014,0.016,0.005,0.003,0.104,0.074,0.003,0.26,0.015,0.014,0.281,0.018,0.019,0.006,0.003,0.012,0.005,0.01,0.006,0.068,0.023,0.007,0.007
ZFONF123,Ocala 1,0.004,0.005,0.004,0.007,0.006,0.006,0.004,0.123,0.044,0.231,0.005,0.004,0.037,0.018,0.01,0.004,0.007,0.235,0.016,0.004,0.006,0.155,0.027,0.035,0.003
ZFONF124,Ocala 1,0.003,0.004,0.002,0.005,0.003,0.002,0.004,0.005,0.004,0.908,0.003,0.003,0.006,0.004,0.005,0.002,0.002,0.005,0.003,0.003,0.002,0.005,0.003,0.009,0.002
ZFONF125,Ocala 1,0.011,0.015,0.003,0.021,0.012,0.006,0.013,0.114,0.037,0.188,0.025,0.005,0.167,0.018,0.016,0.007,0.007,0.056,0.028,0.011,0.004,0.133,0.018,0.08,0.004
ZFONF126,Ocala 1,0.01,0.022,0.012,0.008,0.004,0.003,0.01,0.03,0.002,0.574,0.012,0.006,0.03,0.008,0.012,0.004,0.003,0.146,0.003,0.007,0.017,0.039,0.022,0.012,0.004
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFONF201,Ocala 2,0.011,0.029,0.018,0.004,0.011,0.022,0.007,0.07,0.034,0.012,0.015,0.003,0.035,0.101,0.015,0.017,0.012,0.036,0.008,0.008,0.026,0.044,0.018,0.415,0.028
ZFONF202,Ocala 2,0.005,0.007,0.004,0.004,0.004,0.003,0.009,0.033,0.002,0.006,0.009,0.003,0.062,0.009,0.006,0.002,0.002,0.098,0.003,0.005,0.007,0.031,0.068,0.616,0.002
ZFONF203,Ocala 2,0.01,0.005,0.004,0.009,0.004,0.003,0.006,0.008,0.003,0.004,0.006,0.003,0.014,0.006,0.005,0.005,0.003,0.014,0.003,0.014,0.005,0.007,0.007,0.848,0.003
ZFONF204,Ocala 2,0.007,0.035,0.01,0.007,0.007,0.007,0.013,0.008,0.009,0.003,0.018,0.003,0.014,0.007,0.01,0.012,0.006,0.011,0.005,0.006,0.006,0.007,0.007,0.776,0.005
ZFONF206,Ocala 2,0.007,0.009,0.011,0.003,0.021,0.014,0.005,0.008,0.018,0.004,0.01,0.002,0.009,0.007,0.006,0.017,0.008,0.009,0.015,0.007,0.007,0.009,0.011,0.779,0.006
ZFONF207,Ocala 2,0.005,0.005,0.004,0.006,0.004,0.003,0.007,0.005,0.003,0.005,0.003,0.005,0.009,0.008,0.005,0.004,0.003,0.009,0.004,0.006,0.003,0.004,0.008,0.879,0.004
ZFONF208,Ocala 2,0.013,0.017,0.006,0.008,0.007,0.004,0.032,0.028,0.004,0.005,0.008,0.007,0.147,0.041,0.014,0.006,0.003,0.038,0.004,0.011,0.004,0.03,0.067,0.495,0.003
ZFONF209,Ocala 2,0.009,0.03,0.015,0.013,0.006,0.01,0.013,0.008,0.007,0.005,0.013,0.01,0.016,0.018,0.007,0.008,0.007,0.008,0.005,0.008,0.006,0.007,0.011,0.751,0.011
ZFONF210,Ocala 2,0.003,0.004,0.003,0.003,0.002,0.004,0.013,0.01,0.003,0.006,0.003,0.007,0.015,0.016,0.008,0.002,0.002,0.006,0.002,0.003,0.002,0.008,0.019,0.85,0.004
ZFONF211,Ocala 2,0.012,0.011,0.003,0.01,0.005,0.003,0.008,0.023,0.019,0.016,0.006,0.01,0.022,0.014,0.023,0.008,0.007,0.026,0.007,0.013,0.004,0.025,0.014,0.709,0.003
ZFONF212,Ocala 2,0.003,0.003,0.003,0.003,0.003,0.003,0.008,0.011,0.003,0.009,0.003,0.005,0.013,0.02,0.012,0.002,0.002,0.006,0.002,0.003,0.002,0.01,0.027,0.843,0.003
ZFONF214,Ocala 2,0.011,0.007,0.002,0.005,0.005,0.002,0.004,0.03,0.006,0.019,0.005,0.003,0.027,0.012,0.008,0.004,0.005,0.127,0.004,0.013,0.003,0.034,0.004,0.656,0.002
ZFONF215,Ocala 2,0.004,0.004,0.003,0.004,0.003,0.002,0.004,0.016,0.002,0.033,0.005,0.003,0.012,0.007,0.007,0.003,0.002,0.013,0.002,0.005,0.003,0.017,0.007,0.836,0.002
ZFONF216,Ocala 2,0.004,0.004,0.002,0.005,0.003,0.002,0.003,0.004,0.003,0.006,0.003,0.005,0.006,0.005,0.007,0.003,0.003,0.004,0.003,0.005,0.002,0.004,0.004,0.909,0.002
ZFONF217,Ocala 2,0.003,0.006,0.003,0.005,0.003,0.002,0.005,0.017,0.004,0.013,0.003,0.006,0.048,0.01,0.01,0.003,0.003,0.207,0.002,0.004,0.004,0.016,0.01,0.61,0.002
ZFONF218,Ocala 2,0.007,0.003,0.003,0.004,0.005,0.003,0.005,0.005,0.009,0.011,0.003,0.004,0.006,0.004,0.006,0.008,0.006,0.004,0.009,0.005,0.002,0.005,0.003,0.877,0.004
ZFONF219,Ocala 2,0.002,0.003,0.002,0.002,0.003,0.002,0.003,0.004,0.002,0.012,0.003,0.003,0.004,0.003,0.004,0.002,0.002,0.004,0.003,0.003,0.002,0.004,0.003,0.924,0.002
ZFONF220,Ocala 2,0.004,0.008,0.004,0.007,0.003,0.002,0.005,0.009,0.003,0.008,0.004,0.005,0.09,0.007,0.004,0.003,0.003,0.213,0.003,0.005,0.004,0.008,0.007,0.588,0.002
ZFONF222,Ocala 2,0.005,0.004,0.002,0.004,0.005,0.003,0.003,0.003,0.009,0.004,0.002,0.004,0.004,0.004,0.004,0.006,0.006,0.004,0.007,0.007,0.002,0.003,0.003,0.896,0.003
ZFONF223,Ocala 2,0.006,0.004,0.005,0.005,0.006,0.004,0.003,0.006,0.009,0.006,0.003,0.003,0.01,0.006,0.005,0.006,0.008,0.028,0.009,0.009,0.004,0.007,0.004,0.841,0.004
ZFONF224,Ocala 2,0.003,0.003,0.002,0.003,0.002,0.002,0.003,0.004,0.002,0.007,0.002,0.004,0.004,0.003,0.004,0.002,0.002,0.003,0.002,0.003,0.002,0.004,0.004,0.926,0.002
ZFONF225,Ocala 2,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.007,0.002,0.017,0.003,0.004,0.007,0.004,0.005,0.002,0.002,0.006,0.003,0.003,0.002,0.006,0.004,0.902,0.002
ZFONF226,Ocala 2,0.008,0.006,0.003,0.009,0.003,0.002,0.006,0.008,0.003,0.006,0.004,0.004,0.017,0.007,0.006,0.003,0.003,0.012,0.003,0.012,0.004,0.007,0.007,0.856,0.003
ZFONF227,Ocala 2,0.002,0.003,0.002,0.002,0.003,0.002,0.003,0.003,0.002,0.007,0.003,0.003,0.004,0.003,0.005,0.002,0.002,0.003,0.002,0.003,0.002,0.003,0.005,0.929,0.002
ZFONF228,Ocala 2,0.004,0.004,0.005,0.005,0.003,0.003,0.008,0.007,0.003,0.008,0.004,0.01,0.006,0.005,0.009,0.004,0.003,0.009,0.004,0.005,0.007,0.008,0.011,0.861,0.004
ZFONF230,Ocala 2,0.003,0.004,0.002,0.003,0.003,0.002,0.01,0.015,0.002,0.01,0.005,0.003,0.019,0.007,0.009,0.002,0.002,0.017,0.002,0.003,0.003,0.016,0.009,0.845,0.002
ZFONF231,Ocala 2,0.012,0.01,0.003,0.003,0.005,0.002,0.004,0.009,0.005,0.004,0.005,0.004,0.006,0.006,0.009,0.005,0.004,0.018,0.005,0.011,0.004,0.011,0.006,0.847,0.002
ZFONF232,Ocala 2,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.007,0.002,0.013,0.003,0.003,0.006,0.005,0.005,0.002,0.002,0.012,0.003,0.003,0.003,0.008,0.005,0.899,0.002
ZFONF233,Ocala 2,0.003,0.006,0.003,0.004,0.003,0.002,0.004,0.004,0.002,0.005,0.003,0.004,0.006,0.004,0.004,0.003,0.002,0.006,0.003,0.003,0.003,0.004,0.004,0.914,0.002
ZFONF234,Ocala 2,0.006,0.006,0.004,0.009,0.008,0.004,0.019,0.014,0.003,0.009,0.011,0.007,0.01,0.007,0.014,0.039,0.003,0.009,0.006,0.007,0.007,0.017,0.015,0.762,0.004
ZFONF235,Ocala 2,0.002,0.004,0.002,0.003,0.003,0.002,0.003,0.004,0.002,0.005,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.005,0.003,0.003,0.002,0.004,0.004,0.93,0.002
ZFONF236,Ocala 2,0.006,0.016,0.018,0.007,0.009,0.012,0.008,0.013,0.008,0.026,0.013,0.017,0.006,0.007,0.01,0.015,0.008,0.01,0.014,0.004,0.012,0.013,0.007,0.727,0.012
ZFONF238,Ocala 2,0.007,0.005,0.004,0.004,0.004,0.002,0.011,0.008,0.002,0.005,0.007,0.003,0.01,0.005,0.006,0.004,0.002,0.01,0.003,0.007,0.006,0.008,0.009,0.865,0.003
ZFONF239,Ocala 2,0.004,0.017,0.012,0.003,0.006,0.005,0.003,0.004,0.005,0.005,0.01,0.003,0.004,0.003,0.004,0.007,0.004,0.006,0.004,0.004,0.009,0.004,0.005,0.868,0.004
ZFONF240,Ocala 2,0.003,0.006,0.002,0.003,0.003,0.002,0.007,0.004,0.002,0.008,0.006,0.003,0.005,0.003,0.004,0.002,0.002,0.003,0.002,0.003,0.003,0.004,0.005,0.915,0.002
ZFONF241,Ocala 2,0.006,0.004,0.013,0.005,0.005,0.005,0.01,0.011,0.003,0.006,0.003,0.015,0.008,0.011,0.006,0.006,0.003,0.009,0.007,0.004,0.006,0.012,0.027,0.809,0.007
ZFONF242,Ocala 2,0.003,0.005,0.002,0.002,0.003,0.002,0.005,0.008,0.002,0.008,0.007,0.003,0.012,0.005,0.005,0.002,0.002,0.007,0.002,0.003,0.003,0.008,0.013,0.884,0.002
ZFONF243,Ocala 2,0.005,0.004,0.003,0.006,0.003,0.003,0.009,0.005,0.003,0.004,0.003,0.01,0.008,0.012,0.009,0.003,0.003,0.004,0.003,0.005,0.003,0.004,0.011,0.874,0.004
ZFONF244,Ocala 2,0.003,0.004,0.002,0.004,0.003,0.002,0.003,0.008,0.003,0.018,0.003,0.004,0.007,0.005,0.005,0.002,0.002,0.009,0.002,0.004,0.003,0.008,0.004,0.89,0.002
ZFONF245,Ocala 2,0.003,0.005,0.002,0.003,0.003,0.002,0.021,0.006,0.002,0.005,0.005,0.004,0.007,0.005,0.01,0.002,0.002,0.005,0.003,0.003,0.002,0.006,0.006,0.887,0.002
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFTSP101,Tomoka 1,0.004,0.006,0.004,0.008,0.006,0.003,0.015,0.117,0.003,0.021,0.016,0.199,0.05,0.072,0.202,0.005,0.002,0.015,0.004,0.004,0.006,0.111,0.115,0.008,0.004
ZFTSP102,Tomoka 1,0.013,0.006,0.009,0.017,0.004,0.003,0.063,0.015,0.002,0.006,0.009,0.624,0.015,0.059,0.051,0.006,0.004,0.014,0.004,0.019,0.006,0.018,0.018,0.006,0.01
ZFTSP103,Tomoka 1,0.01,0.017,0.004,0.005,0.007,0.003,0.06,0.012,0.002,0.005,0.049,0.505,0.01,0.109,0.123,0.005,0.002,0.01,0.004,0.008,0.006,0.01,0.02,0.008,0.004
ZFTSP104,Tomoka 1,0.005,0.003,0.003,0.004,0.003,0.002,0.021,0.015,0.002,0.006,0.003,0.004,0.007,0.025,0.836,0.003,0.002,0.011,0.003,0.006,0.002,0.016,0.008,0.006,0.004
ZFTSP105,Tomoka 1,0.009,0.005,0.004,0.004,0.003,0.002,0.045,0.006,0.003,0.003,0.008,0.058,0.009,0.677,0.119,0.003,0.002,0.007,0.003,0.007,0.003,0.005,0.007,0.004,0.006
ZFTSP106,Tomoka 1,0.011,0.006,0.004,0.005,0.008,0.003,0.009,0.104,0.005,0.013,0.005,0.013,0.019,0.206,0.063,0.006,0.003,0.226,0.006,0.012,0.004,0.061,0.016,0.186,0.006
ZFTSP107,Tomoka 1,0.013,0.011,0.004,0.004,0.004,0.002,0.019,0.006,0.002,0.008,0.013,0.02,0.005,0.015,0.817,0.004,0.003,0.007,0.004,0.012,0.004,0.005,0.005,0.009,0.004
ZFTSP108,Tomoka 1,0.015,0.014,0.003,0.008,0.009,0.002,0.017,0.015,0.006,0.013,0.006,0.038,0.011,0.037,0.287,0.01,0.003,0.044,0.007,0.02,0.003,0.012,0.005,0.414,0.004
