Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFBP117,Bulow 1,0.004,0.009,0.004,0.005,0.007,0.003,0.01,0.283,0.002,0.054,0.02,0.008,0.024,0.011,0.03,0.004,0.002,0.02,0.004,0.004,0.007,0.373,0.099,0.011,0.003
ZFBP118,Bulow 1,0.004,0.003,0.003,0.012,0.003,0.004,0.032,0.295,0.01,0.015,0.004,0.003,0.016,0.011,0.011,0.004,0.003,0.009,0.008,0.004,0.003,0.494,0.039,0.006,0.004
ZFBP119,Bulow 1,0.02,0.019,0.004,0.013,0.007,0.003,0.056,0.063,0.002,0.282,0.05,0.011,0.091,0.03,0.171,0.005,0.003,0.022,0.004,0.017,0.005,0.054,0.044,0.019,0.004
ZFBP120,Bulow 1,0.008,0.003,0.005,0.005,0.004,0.004,0.01,0.362,0.004,0.029,0.003,0.012,0.019,0.144,0.019,0.004,0.004,0.019,0.005,0.007,0.006,0.253,0.059,0.005,0.008
ZFBP121,Bulow 1,0.005,0.009,0.005,0.007,0.005,0.004,0.016,0.31,0.003,0.059,0.016,0.008,0.106,0.016,0.009,0.004,0.003,0.027,0.003,0.005,0.013,0.323,0.033,0.005,0.008
ZFBP122,Bulow 1,0.006,0.004,0.004,0.006,0.004,0.003,0.009,0.207,0.003,0.01,0.004,0.006,0.171,0.028,0.014,0.003,0.003,0.195,0.004,0.007,0.003,0.234,0.056,0.012,0.003
ZFBP123,Bulow 1,0.005,0.009,0.004,0.022,0.004,0.002,0.011,0.047,0.005,0.008,0.005,0.006,0.252,0.014,0.012,0.004,0.003,0.49,0.004,0.01,0.004,0.059,0.009,0.009,0.003
ZFBP124,Bulow 1,0.004,0.006,0.016,0.009,0.004,0.004,0.045,0.1,0.004,0.055,0.003,0.005,0.514,0.03,0.007,0.004,0.003,0.044,0.004,0.004,0.006,0.084,0.037,0.005,0.006
ZFBP125,Bulow 1,0.004,0.006,0.002,0.006,0.004,0.002,0.01,0.224,0.002,0.045,0.009,0.01,0.063,0.013,0.053,0.003,0.002,0.009,0.003,0.004,0.003,0.263,0.233,0.024,0.002
ZFBP126,Bulow 1,0.01,0.007,0.003,0.013,0.016,0.006,0.01,0.213,0.003,0.005,0.022,0.003,0.064,0.015,0.019,0.011,0.008,0.203,0.007,0.009,0.012,0.215,0.114,0.006,0.005
ZFBP127,Bulow 1,0.004,0.006,0.003,0.005,0.003,0.003,0.029,0.137,0.003,0.008,0.017,0.035,0.503,0.028,0.048,0.003,0.002,0.01,0.005,0.003,0.003,0.121,0.013,0.004,0.003
ZFBP128,Bulow 1,0.004,0.021,0.004,0.007,0.003,0.003,0.028,0.072,0.002,0.008,0.013,0.015,0.059,0.013,0.009,0.003,0.002,0.033,0.002,0.004,0.007,0.119,0.532,0.033,0.004
ZFBP129,Bulow 1,0.006,0.011,0.008,0.007,0.005,0.003,0.01,0.214,0.002,0.06,0.01,0.007,0.019,0.007,0.007,0.005,0.003,0.094,0.004,0.005,0.012,0.319,0.052,0.123,0.005
ZFBP130,Bulow 1,0.009,0.023,0.002,0.008,0.004,0.002,0.019,0.27,0.004,0.015,0.018,0.009,0.042,0.011,0.037,0.003,0.002,0.014,0.003,0.008,0.003,0.335,0.101,0.054,0.002
ZFBP131,Bulow 1,0.005,0.003,0.004,0.003,0.004,0.003,0.003,0.209,0.003,0.02,0.003,0.003,0.012,0.006,0.005,0.003,0.003,0.294,0.003,0.005,0.006,0.362,0.032,0.004,0.003
ZFBP132,Bulow 1,0.003,0.003,0.003,0.003,0.004,0.003,0.005,0.318,0.003,0.019,0.005,0.016,0.014,0.023,0.013,0.003,0.002,0.053,0.003,0.003,0.004,0.473,0.013,0.004,0.007
ZFBP133,Bulow 1,0.004,0.006,0.003,0.003,0.003,0.002,0.006,0.056,0.002,0.005,0.006,0.003,0.041,0.012,0.006,0.002,0.002,0.731,0.002,0.005,0.004,0.034,0.044,0.016,0.002
ZFBP134,Bulow 1,0.011,0.011,0.003,0.003,0.004,0.003,0.135,0.106,0.003,0.007,0.035,0.008,0.059,0.302,0.07,0.003,0.003,0.119,0.003,0.012,0.006,0.064,0.019,0.007,0.004
ZFBP135,Bulow 1,0.005,0.047,0.004,0.034,0.008,0.006,0.042,0.094,0.002,0.015,0.226,0.013,0.103,0.012,0.009,0.007,0.005,0.019,0.004,0.004,0.026,0.069,0.226,0.012,0.008
ZFBP136,Bulow 1,0.005,0.028,0.003,0.048,0.003,0.002,0.035,0.036,0.005,0.006,0.009,0.013,0.676,0.018,0.014,0.004,0.003,0.018,0.004,0.006,0.004,0.028,0.012,0.016,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFBP201,Bulow 2,0.005,0.003,0.003,0.004,0.004,0.003,0.004,0.04,0.005,0.004,0.003,0.007,0.011,0.022,0.008,0.004,0.003,0.805,0.004,0.005,0.005,0.034,0.008,0.003,0.005
ZFBP202,Bulow 2,0.005,0.004,0.009,0.005,0.004,0.003,0.011,0.267,0.003,0.033,0.004,0.011,0.071,0.114,0.021,0.004,0.003,0.079,0.005,0.006,0.01,0.214,0.098,0.009,0.007
ZFBP203,Bulow 2,0.015,0.004,0.004,0.006,0.01,0.005,0.007,0.051,0.03,0.007,0.003,0.005,0.061,0.014,0.014,0.012,0.013,0.609,0.016,0.015,0.003,0.065,0.014,0.009,0.004
ZFBP204,Bulow 2,0.009,0.011,0.004,0.026,0.005,0.003,0.021,0.08,0.004,0.068,0.008,0.024,0.461,0.052,0.057,0.006,0.004,0.021,0.005,0.011,0.007,0.058,0.029,0.022,0.005
ZFBP205,Bulow 2,0.004,0.007,0.003,0.007,0.004,0.002,0.006,0.021,0.003,0.097,0.005,0.003,0.1,0.015,0.03,0.003,0.003,0.643,0.003,0.004,0.004,0.02,0.006,0.007,0.002
ZFBP206,Bulow 2,0.006,0.006,0.004,0.009,0.003,0.002,0.005,0.008,0.003,0.004,0.003,0.004,0.125,0.012,0.005,0.003,0.003,0.753,0.003,0.007,0.004,0.009,0.007,0.007,0.003
ZFBP207,Bulow 2,0.005,0.017,0.004,0.007,0.009,0.003,0.009,0.017,0.004,0.455,0.009,0.047,0.024,0.169,0.105,0.005,0.003,0.06,0.003,0.006,0.004,0.012,0.011,0.007,0.005
ZFBP208,Bulow 2,0.006,0.003,0.003,0.007,0.003,0.002,0.004,0.016,0.005,0.003,0.003,0.003,0.033,0.021,0.006,0.004,0.004,0.823,0.004,0.007,0.003,0.023,0.005,0.004,0.003
ZFBP209,Bulow 2,0.003,0.008,0.003,0.003,0.004,0.003,0.007,0.07,0.002,0.01,0.007,0.003,0.471,0.007,0.006,0.002,0.002,0.255,0.002,0.004,0.006,0.053,0.027,0.039,0.002
ZFBP210,Bulow 2,0.006,0.003,0.003,0.004,0.003,0.003,0.003,0.035,0.005,0.004,0.003,0.007,0.019,0.029,0.007,0.003,0.004,0.808,0.004,0.007,0.003,0.022,0.004,0.004,0.005
ZFBP211,Bulow 2,0.006,0.004,0.008,0.008,0.004,0.006,0.012,0.29,0.003,0.086,0.004,0.011,0.018,0.022,0.007,0.004,0.003,0.022,0.004,0.005,0.004,0.429,0.026,0.005,0.01
ZFBP212,Bulow 2,0.004,0.003,0.004,0.003,0.003,0.004,0.006,0.256,0.003,0.022,0.003,0.024,0.014,0.29,0.024,0.003,0.003,0.059,0.003,0.003,0.003,0.173,0.079,0.005,0.008
ZFBP213,Bulow 2,0.009,0.009,0.009,0.021,0.004,0.003,0.01,0.027,0.004,0.009,0.006,0.012,0.033,0.011,0.006,0.007,0.004,0.742,0.004,0.01,0.008,0.029,0.012,0.007,0.006
ZFBP214,Bulow 2,0.021,0.028,0.007,0.013,0.007,0.003,0.01,0.013,0.003,0.008,0.011,0.023,0.036,0.035,0.011,0.005,0.003,0.696,0.005,0.018,0.006,0.011,0.006,0.013,0.008
ZFBP215,Bulow 2,0.004,0.006,0.004,0.006,0.004,0.003,0.009,0.18,0.003,0.012,0.007,0.006,0.105,0.011,0.007,0.003,0.003,0.281,0.004,0.004,0.007,0.263,0.057,0.009,0.003
ZFBP216,Bulow 2,0.017,0.004,0.005,0.005,0.005,0.003,0.007,0.325,0.005,0.012,0.004,0.005,0.057,0.096,0.014,0.005,0.004,0.1,0.007,0.013,0.006,0.281,0.011,0.005,0.006
ZFBP217,Bulow 2,0.006,0.005,0.004,0.004,0.004,0.003,0.005,0.078,0.004,0.008,0.005,0.024,0.015,0.042,0.036,0.004,0.002,0.603,0.007,0.024,0.004,0.047,0.006,0.053,0.005
ZFBP218,Bulow 2,0.005,0.004,0.011,0.002,0.003,0.002,0.012,0.207,0.003,0.127,0.002,0.003,0.04,0.045,0.022,0.003,0.002,0.252,0.003,0.005,0.003,0.218,0.012,0.011,0.002
ZFBP219,Bulow 2,0.005,0.003,0.003,0.003,0.003,0.002,0.004,0.301,0.003,0.004,0.003,0.003,0.014,0.007,0.007,0.003,0.003,0.113,0.003,0.005,0.004,0.487,0.013,0.004,0.002
ZFBP220,Bulow 2,0.008,0.021,0.003,0.007,0.004,0.003,0.022,0.263,0.003,0.01,0.021,0.015,0.087,0.019,0.033,0.003,0.003,0.107,0.003,0.007,0.004,0.294,0.026,0.032,0.002
ZFBP221,Bulow 2,0.006,0.004,0.01,0.002,0.004,0.003,0.027,0.193,0.003,0.085,0.003,0.007,0.053,0.311,0.073,0.003,0.002,0.033,0.003,0.005,0.003,0.13,0.024,0.007,0.005
ZFBP222,Bulow 2,0.004,0.005,0.003,0.004,0.004,0.003,0.004,0.022,0.003,0.005,0.004,0.003,0.012,0.004,0.004,0.003,0.003,0.843,0.003,0.004,0.006,0.035,0.01,0.004,0.003
ZFBP223,Bulow 2,0.005,0.011,0.006,0.009,0.006,0.005,0.008,0.128,0.005,0.04,0.008,0.15,0.034,0.246,0.033,0.006,0.003,0.179,0.005,0.005,0.006,0.069,0.017,0.009,0.009
ZFBP224,Bulow 2,0.007,0.005,0.006,0.011,0.004,0.003,0.008,0.083,0.004,0.005,0.004,0.006,0.031,0.012,0.009,0.006,0.003,0.667,0.005,0.006,0.005,0.095,0.008,0.004,0.004
ZFBP225,Bulow 2,0.007,0.016,0.003,0.009,0.006,0.003,0.012,0.088,0.008,0.01,0.007,0.022,0.047,0.037,0.241,0.005,0.004,0.151,0.005,0.016,0.004,0.068,0.031,0.196,0.003
ZFBP226,Bulow 2,0.005,0.003,0.003,0.004,0.003,0.003,0.005,0.358,0.003,0.009,0.003,0.004,0.022,0.011,0.007,0.004,0.003,0.065,0.003,0.005,0.003,0.455,0.009,0.004,0.003
ZFBP227,Bulow 2,0.081,0.005,0.013,0.008,0.011,0.004,0.014,0.254,0.004,0.011,0.006,0.008,0.044,0.019,0.056,0.017,0.006,0.036,0.013,0.057,0.007,0.299,0.013,0.005,0.009
ZFBP228,Bulow 2,0.004,0.011,0.005,0.005,0.004,0.004,0.054,0.2,0.003,0.082,0.025,0.076,0.022,0.111,0.07,0.004,0.003,0.05,0.003,0.005,0.006,0.194,0.047,0.008,0.005
ZFBP229,Bulow 2,0.006,0.006,0.003,0.004,0.006,0.002,0.008,0.238,0.003,0.039,0.01,0.006,0.073,0.026,0.058,0.004,0.003,0.127,0.004,0.007,0.005,0.203,0.123,0.034,0.002
ZFBP230,Bulow 2,0.01,0.03,0.003,0.007,0.006,0.002,0.025,0.262,0.003,0.02,0.031,0.01,0.144,0.055,0.039,0.004,0.003,0.06,0.004,0.009,0.005,0.222,0.014,0.028,0.004
ZFBP231,Bulow 2,0.011,0.005,0.008,0.023,0.005,0.005,0.027,0.07,0.005,0.488,0.004,0.007,0.094,0.046,0.011,0.009,0.005,0.023,0.006,0.011,0.008,0.069,0.047,0.005,0.01
ZFBP232,Bulow 2,0.003,0.003,0.003,0.004,0.003,0.003,0.007,0.303,0.003,0.058,0.004,0.003,0.087,0.013,0.006,0.003,0.003,0.017,0.003,0.004,0.006,0.433,0.018,0.007,0.004
ZFBP233,Bulow 2,0.008,0.005,0.006,0.007,0.005,0.004,0.028,0.064,0.003,0.045,0.004,0.007,0.519,0.103,0.012,0.004,0.003,0.047,0.004,0.008,0.004,0.034,0.038,0.028,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFCNS01,Canaveral,0.043,0.005,0.003,0.003,0.005,0.002,0.005,0.009,0.015,0.003,0.005,0.738,0.003,0.011,0.067,0.017,0.006,0.006,0.015,0.021,0.003,0.007,0.003,0.003,0.003
ZFCNS02,Canaveral,0.003,0.005,0.003,0.003,0.002,0.002,0.003,0.003,0.002,0.006,0.004,0.922,0.003,0.004,0.005,0.003,0.002,0.003,0.003,0.003,0.002,0.003,0.003,0.004,0.003
ZFCNS05,Canaveral,0.006,0.007,0.006,0.006,0.003,0.004,0.009,0.008,0.002,0.006,0.008,0.85,0.008,0.014,0.006,0.003,0.003,0.006,0.003,0.005,0.004,0.008,0.009,0.005,0.009
ZFCNS06,Canaveral,0.003,0.006,0.003,0.004,0.002,0.003,0.004,0.004,0.002,0.004,0.004,0.915,0.004,0.005,0.004,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.004
ZFCNS07,Canaveral,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.006,0.002,0.017,0.003,0.888,0.005,0.008,0.009,0.003,0.003,0.004,0.003,0.003,0.003,0.006,0.005,0.01,0.003
ZFCNS10,Canaveral,0.003,0.003,0.003,0.003,0.003,0.003,0.007,0.01,0.006,0.006,0.005,0.821,0.009,0.029,0.042,0.003,0.002,0.008,0.003,0.003,0.002,0.01,0.01,0.005,0.003
ZFCNS11,Canaveral,0.017,0.005,0.003,0.003,0.005,0.002,0.004,0.006,0.008,0.003,0.005,0.849,0.003,0.007,0.021,0.009,0.005,0.005,0.008,0.014,0.003,0.006,0.003,0.003,0.003
