"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",24.3888888888889,63.4,63.4,7.47142857142857,1.26,NA,NA,NA,NA
"3",29.3166666666667,74.3833333333333,74.3833333333333,10.2857142857143,1.88,NA,NA,NA,NA
"4",33.0777777777778,81.5666666666667,81.5666666666667,13.2857142857143,2.6,NA,NA,NA,NA
"5",36.7944444444444,86.85,86.85,17.6285714285714,3.56,NA,NA,NA,NA
"6",38.9388888888889,89.7666666666667,89.7666666666667,20.3,4.04,NA,NA,NA,NA
"7",40.6833333333333,91.6166666666667,91.6166666666667,22.7142857142857,4.72,NA,NA,NA,NA
"8",42.3722222222222,93.15,93.15,25.3714285714286,5.24,NA,NA,NA,NA
"9",44.3,94.5,94.5,28.6714285714286,5.94,NA,NA,NA,NA
"10",46.1055555555556,95.85,95.85,31.7857142857143,6.46,NA,NA,NA,NA
"11",47.3611111111111,97.1,97.1,33.0714285714286,7.68,NA,NA,NA,NA
"12",48.6388888888889,97.7,97.7,35.7,7.88,NA,NA,NA,NA
"13",49.4777777777778,97.9333333333333,97.9333333333333,37.5428571428571,8.04,NA,NA,NA,NA
"14",51.45,98.2833333333333,98.2833333333333,40.9428571428571,9.96,NA,NA,NA,NA
"15",51.9055555555556,98.6666666666667,98.6666666666667,41.9285714285714,9.76,NA,NA,NA,NA
"16",53.2944444444444,98.8333333333333,98.8333333333333,45.1285714285714,10.08,NA,NA,NA,NA
"17",54.2777777777778,99.2,99.2,46.2714285714286,11.58,NA,NA,NA,NA
"18",54.7777777777778,99.4166666666667,99.4166666666667,47.2857142857143,11.7,NA,NA,NA,NA
"19",55.9333333333333,99.6333333333333,99.6333333333333,50.1,11.66,NA,NA,NA,NA
"20",56.6111111111111,99.5666666666667,99.5666666666667,50.7285714285714,13.3,NA,NA,NA,NA
"21",58.0722222222222,99.5833333333333,99.5833333333333,54.0285714285714,13.92,NA,NA,NA,NA
"22",58.0444444444444,99.6,99.6,54.6571428571429,12.92,NA,NA,NA,NA
"23",59.0388888888889,99.7333333333333,99.7333333333333,55.7285714285714,14.84,NA,NA,NA,NA
"24",59.9777777777778,99.7166666666667,99.7166666666667,57.9571428571428,15.12,NA,NA,NA,NA
"25",60.9222222222222,99.9333333333333,99.9333333333333,59.4142857142857,16.22,NA,NA,NA,NA
"26",61.4833333333333,99.8333333333333,99.8333333333333,60.8714285714286,16.32,NA,NA,NA,NA
"27",61.5833333333333,99.85,99.85,60.8,16.76,NA,NA,NA,NA
"28",62.2388888888889,99.9166666666667,99.9166666666667,62.6571428571429,16.44,NA,NA,NA,NA
"29",63.4666666666667,99.9666666666667,99.9666666666667,63.9285714285714,19.02,NA,NA,NA,NA
"30",63.7666666666667,99.9333333333333,99.9333333333333,65.4,18.08,NA,NA,NA,NA
"31",64.5333333333333,99.9666666666667,99.9666666666667,66.6857142857143,19,NA,NA,NA,NA
"32",65.5,99.9666666666667,99.9666666666667,68.7,19.66,NA,NA,NA,NA
"33",65.6722222222222,99.9333333333333,99.9333333333333,68.6571428571429,20.38,NA,NA,NA,NA
"34",66.4555555555556,100,100,70.4428571428571,20.62,NA,NA,NA,NA
"35",66.7388888888889,100,100,70.9428571428571,20.94,NA,NA,NA,NA
"36",67.1833333333333,100,100,71.4,21.9,NA,NA,NA,NA
"37",67.1277777777778,99.9666666666667,99.9666666666667,71.8428571428571,21.12,NA,NA,NA,NA
"38",67.9222222222222,99.9666666666667,99.9666666666667,73.0714285714286,22.26,NA,NA,NA,NA
"39",68.5388888888889,100,100,73.7857142857143,23.44,NA,NA,NA,NA
"40",69.35,100,100,75.5285714285714,23.92,NA,NA,NA,NA
"41",69.1833333333333,100,100,74.9571428571429,24.12,NA,NA,NA,NA
"42",70.0555555555556,100,100,76.3857142857143,25.26,NA,NA,NA,NA
"43",70.2,100,100,76.3857142857143,25.78,NA,NA,NA,NA
"44",70.2555555555556,100,100,76.3428571428571,26.04,NA,NA,NA,NA
"45",70.9666666666667,100,100,78.2714285714286,25.9,NA,NA,NA,NA
"46",71.7166666666667,100,100,79.1142857142857,27.42,NA,NA,NA,NA
"47",72.0666666666667,100,100,79.9714285714286,27.48,NA,NA,NA,NA
"48",72.3666666666667,100,100,80.3714285714286,28,NA,NA,NA,NA
"49",72.6111111111111,100,100,80.8428571428571,28.22,NA,NA,NA,NA
"50",72.95,100,100,81.9428571428571,27.9,NA,NA,NA,NA
"51",73.0111111111111,100,100,81.2857142857143,29.04,NA,NA,NA,NA
"52",73.8555555555556,100,100,82.7428571428571,30.04,NA,NA,NA,NA
"53",73.8277777777778,100,100,82.7714285714286,29.9,NA,NA,NA,NA
"54",74.3666666666667,100,100,84.3,29.7,NA,NA,NA,NA
"55",74.5166666666667,100,100,84.5,29.96,NA,NA,NA,NA
"56",74.7888888888889,100,100,84.2571428571429,31.28,NA,NA,NA,NA
"57",75.2555555555556,100,100,85.5,31.22,NA,NA,NA,NA
"58",75.7722222222222,100,100,85.0571428571428,33.7,NA,NA,NA,NA
"59",75.8166666666667,100,100,86.2142857142857,32.24,NA,NA,NA,NA
"60",76.1611111111111,100,100,86.4428571428572,33.16,NA,NA,NA,NA
"61",76.9666666666667,100,100,86.9571428571429,35.34,NA,NA,NA,NA
"62",76.6888888888889,100,100,87.2571428571429,33.92,NA,NA,NA,NA
"63",76.8444444444444,100,100,87.6857142857143,33.88,NA,NA,NA,NA
