Sample.Name,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
TMA-ZAIN-G-26,MBC,0.066,0.022,0.429,0.007,0.058,0.005,0.011,0.007,0.019,0.25,0.004,0.007,0.07,0.008,0.022,0.015
TMA-ZAIN-G-27,MBC,0.021,0.009,0.016,0.055,0.005,0.076,0.024,0.008,0.009,0.009,0.65,0.014,0.021,0.003,0.012,0.069
TMA-ZAIN-G-28,MBC,0.005,0.009,0.004,0.012,0.004,0.009,0.006,0.004,0.006,0.008,0.91,0.004,0.003,0.005,0.004,0.008
TMA-ZAIN-G-29,MBC,0.005,0.004,0.015,0.223,0.005,0.003,0.003,0.708,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.005
TMA-ZAIN-G-30,MBC,0.175,0.013,0.005,0.029,0.077,0.004,0.007,0.031,0.071,0.025,0.432,0.005,0.004,0.039,0.031,0.051
TMA-ZAIN-G-31,MBC,0.004,0.007,0.064,0.012,0.008,0.824,0.021,0.006,0.006,0.004,0.006,0.013,0.009,0.004,0.007,0.006
TMA-ZAIN-G-32,MBC,0.018,0.007,0.006,0.05,0.005,0.247,0.006,0.003,0.008,0.442,0.007,0.137,0.011,0.029,0.013,0.009
TMA-ZAIN-G-33,MBC,0.029,0.019,0.003,0.004,0.005,0.004,0.004,0.007,0.021,0.839,0.006,0.003,0.002,0.036,0.013,0.005
TMA-ZAIN-G-34,MBC,0.005,0.005,0.005,0.008,0.007,0.033,0.005,0.004,0.011,0.823,0.006,0.017,0.015,0.033,0.017,0.004
TMA-ZAIN-G-35,MBC,0.01,0.006,0.005,0.004,0.007,0.005,0.005,0.009,0.006,0.909,0.006,0.003,0.002,0.009,0.008,0.006
TMA-ZAIN-G-36,MBC,0.159,0.053,0.014,0.004,0.26,0.004,0.007,0.013,0.054,0.287,0.006,0.003,0.002,0.01,0.018,0.106
TMA-ZAIN-G-37,MBC,0.009,0.009,0.005,0.004,0.008,0.004,0.01,0.007,0.009,0.906,0.006,0.003,0.005,0.006,0.006,0.003
TMA-ZAIN-G-38,MBC,0.019,0.005,0.009,0.079,0.007,0.338,0.015,0.005,0.007,0.42,0.005,0.047,0.008,0.008,0.009,0.017
TMA-ZAIN-G-39,MBC,0.067,0.017,0.008,0.004,0.603,0.003,0.008,0.013,0.069,0.05,0.008,0.003,0.008,0.069,0.065,0.004
TMA-ZAIN-G-40,MBC,0.521,0.011,0.005,0.004,0.106,0.003,0.017,0.006,0.047,0.169,0.004,0.003,0.011,0.071,0.019,0.004
TMA-ZAIN-G-41,MBC,0.669,0.024,0.005,0.003,0.162,0.003,0.003,0.005,0.008,0.063,0.004,0.003,0.003,0.014,0.013,0.018
TMA-ZAIN-G-42,MBC,0.792,0.05,0.016,0.003,0.009,0.003,0.005,0.008,0.007,0.008,0.003,0.002,0.002,0.008,0.005,0.079
TMA-ZAIN-G-43,MBC,0.011,0.019,0.005,0.004,0.005,0.003,0.004,0.012,0.005,0.005,0.003,0.002,0.002,0.003,0.005,0.913
TMA-ZAIN-G-44,MBC,0.01,0.009,0.003,0.01,0.036,0.005,0.007,0.009,0.057,0.016,0.003,0.006,0.767,0.009,0.049,0.004
TMA-ZAIN-G-45,MBC,0.09,0.016,0.007,0.005,0.01,0.005,0.011,0.005,0.104,0.031,0.009,0.004,0.008,0.046,0.638,0.012
TMA-ZAIN-G-46,MBC,0.002,0.002,0.004,0.004,0.003,0.004,0.006,0.002,0.003,0.002,0.003,0.006,0.949,0.002,0.003,0.003
TMA-ZAIN-G-47,MBC,0.004,0.005,0.93,0.004,0.003,0.004,0.013,0.004,0.003,0.006,0.004,0.003,0.005,0.005,0.004,0.003
