Sample.Name,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
TMA-ZAIN-G-164,MBC,0.005,0.006,0.003,0.002,0.005,0.003,0.003,0.004,0.009,0.01,0.003,0.002,0.002,0.929,0.013,0.003
TMA-ZAIN-G-165,MBC,0.007,0.013,0.009,0.004,0.007,0.005,0.014,0.009,0.032,0.132,0.006,0.004,0.005,0.633,0.116,0.004
TMA-ZAIN-G-166,MBC,0.008,0.01,0.003,0.003,0.01,0.004,0.003,0.006,0.047,0.11,0.004,0.003,0.003,0.707,0.077,0.003
TMA-ZAIN-G-167,MBC,0.025,0.053,0.01,0.003,0.028,0.003,0.006,0.013,0.094,0.025,0.004,0.002,0.003,0.42,0.306,0.005
TMA-ZAIN-G-168,MBC,0.016,0.013,0.005,0.006,0.063,0.005,0.007,0.005,0.357,0.02,0.008,0.005,0.004,0.02,0.459,0.007
TMA-ZAIN-G-169,MBC,0.007,0.006,0.006,0.004,0.044,0.005,0.006,0.011,0.028,0.017,0.005,0.003,0.003,0.006,0.828,0.02
TMA-ZAIN-G-170,MBC,0.005,0.006,0.004,0.003,0.024,0.003,0.004,0.039,0.017,0.011,0.003,0.002,0.002,0.011,0.861,0.005
TMA-ZAIN-G-171,MBC,0.093,0.048,0.004,0.04,0.029,0.023,0.006,0.018,0.104,0.052,0.008,0.011,0.017,0.049,0.434,0.063
TMA-ZAIN-G-172,MBC,0.004,0.004,0.003,0.003,0.041,0.003,0.004,0.012,0.028,0.013,0.003,0.003,0.002,0.007,0.867,0.003
TMA-ZAIN-G-173,MBC,0.319,0.033,0.003,0.005,0.011,0.003,0.005,0.005,0.106,0.008,0.005,0.003,0.004,0.015,0.458,0.016
TMA-ZAIN-G-174,MBC,0.519,0.041,0.005,0.006,0.016,0.003,0.008,0.006,0.109,0.011,0.008,0.003,0.004,0.012,0.231,0.019
TMA-ZAIN-G-175,MBC,0.096,0.456,0.006,0.003,0.019,0.003,0.005,0.034,0.126,0.049,0.005,0.002,0.003,0.044,0.145,0.004
TMA-ZAIN-G-176,MBC,0.005,0.005,0.004,0.003,0.106,0.003,0.004,0.006,0.09,0.009,0.003,0.003,0.003,0.009,0.745,0.004
TMA-ZAIN-G-177,MBC,0.005,0.005,0.003,0.003,0.019,0.003,0.004,0.005,0.099,0.006,0.003,0.003,0.003,0.009,0.827,0.004
TMA-ZAIN-G-178,MBC,0.012,0.005,0.003,0.003,0.008,0.003,0.004,0.003,0.047,0.005,0.003,0.002,0.003,0.007,0.883,0.009
TMA-ZAIN-G-179,MBC,0.241,0.009,0.004,0.005,0.016,0.005,0.005,0.004,0.163,0.024,0.007,0.003,0.005,0.013,0.461,0.034
TMA-ZAIN-G-180,MBC,0.033,0.01,0.004,0.003,0.009,0.002,0.005,0.006,0.086,0.014,0.004,0.002,0.003,0.014,0.79,0.015
TMA-ZAIN-G-181,MBC,0.239,0.363,0.01,0.006,0.005,0.003,0.026,0.092,0.085,0.066,0.014,0.004,0.011,0.019,0.025,0.03
TMA-ZAIN-G-182,MBC,0.706,0.018,0.005,0.004,0.009,0.005,0.004,0.005,0.016,0.014,0.004,0.003,0.003,0.064,0.009,0.131
TMA-ZAIN-G-183,MBC,0.278,0.404,0.005,0.004,0.004,0.007,0.006,0.003,0.044,0.019,0.005,0.003,0.003,0.028,0.02,0.167
TMA-ZAIN-G-184,MBC,0.841,0.008,0.004,0.004,0.007,0.004,0.005,0.004,0.01,0.027,0.004,0.003,0.003,0.012,0.009,0.057
TMA-ZAIN-G-185,MBC,0.694,0.019,0.018,0.01,0.01,0.025,0.018,0.008,0.043,0.033,0.013,0.016,0.005,0.043,0.013,0.031
TMA-ZAIN-G-186,MBC,0.799,0.028,0.019,0.008,0.007,0.01,0.011,0.006,0.022,0.009,0.035,0.018,0.006,0.01,0.007,0.004
TMA-ZAIN-G-187,MBC,0.834,0.045,0.005,0.007,0.01,0.004,0.005,0.006,0.028,0.007,0.011,0.004,0.004,0.012,0.014,0.005
TMA-ZAIN-G-188,MBC,0.801,0.015,0.003,0.005,0.035,0.004,0.005,0.016,0.032,0.007,0.005,0.003,0.003,0.044,0.008,0.014
TMA-ZAIN-G-189,MBC,0.822,0.017,0.004,0.003,0.042,0.003,0.003,0.023,0.012,0.03,0.004,0.003,0.002,0.02,0.005,0.005
TMA-ZAIN-G-190,MBC,0.929,0.011,0.002,0.003,0.004,0.002,0.003,0.007,0.007,0.005,0.003,0.002,0.003,0.006,0.006,0.005
TMA-ZAIN-G-191,MBC,0.802,0.009,0.006,0.005,0.026,0.003,0.003,0.017,0.018,0.036,0.005,0.003,0.003,0.005,0.042,0.018
TMA-ZAIN-G-192,MBC,0.874,0.006,0.008,0.007,0.008,0.01,0.014,0.004,0.012,0.008,0.008,0.015,0.007,0.006,0.008,0.004
TMA-ZAIN-G-193,MBC,0.854,0.015,0.005,0.007,0.013,0.003,0.016,0.004,0.019,0.005,0.003,0.004,0.024,0.008,0.006,0.014
TMA-ZAIN-G-194,MBC,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.952
TMA-ZAIN-G-195,MBC,0.098,0.033,0.015,0.011,0.006,0.002,0.005,0.012,0.012,0.006,0.019,0.005,0.008,0.004,0.008,0.755
TMA-ZAIN-G-196,MBC,0.093,0.036,0.006,0.008,0.026,0.003,0.004,0.039,0.023,0.011,0.005,0.002,0.003,0.004,0.025,0.71
TMA-ZAIN-G-197,MBC,0.02,0.01,0.007,0.004,0.005,0.003,0.004,0.017,0.01,0.012,0.008,0.002,0.003,0.007,0.006,0.881
TMA-ZAIN-G-198,MBC,0.01,0.011,0.005,0.003,0.009,0.003,0.008,0.012,0.011,0.008,0.005,0.003,0.002,0.007,0.009,0.893
TMA-ZAIN-G-199,MBC,0.021,0.008,0.005,0.003,0.008,0.002,0.004,0.006,0.012,0.009,0.003,0.002,0.005,0.01,0.014,0.888
TMA-ZAIN-G-200,MBC,0.852,0.044,0.006,0.005,0.009,0.003,0.005,0.005,0.02,0.009,0.008,0.003,0.004,0.012,0.009,0.006
TMA-ZAIN-G-201,MBC,0.005,0.004,0.01,0.039,0.005,0.023,0.007,0.006,0.004,0.007,0.019,0.038,0.773,0.003,0.005,0.052
TMA-ZAIN-G-202,MBC,0.006,0.011,0.006,0.015,0.014,0.008,0.011,0.016,0.013,0.014,0.025,0.036,0.796,0.008,0.014,0.006
TMA-ZAIN-G-203,MBC,0.006,0.005,0.002,0.007,0.002,0.008,0.003,0.002,0.005,0.004,0.004,0.004,0.925,0.004,0.004,0.015
TMA-ZAIN-G-204,MBC,0.03,0.05,0.005,0.004,0.008,0.019,0.005,0.003,0.033,0.037,0.005,0.003,0.002,0.023,0.014,0.76
TMA-ZAIN-G-205,MBC,0.004,0.004,0.024,0.048,0.007,0.013,0.101,0.004,0.006,0.005,0.007,0.024,0.741,0.003,0.005,0.005
TMA-ZAIN-G-206,MBC,0.006,0.01,0.008,0.022,0.007,0.006,0.009,0.004,0.022,0.025,0.005,0.005,0.782,0.075,0.007,0.008
TMA-ZAIN-G-207,MBC,0.014,0.011,0.017,0.016,0.007,0.027,0.18,0.007,0.014,0.019,0.012,0.01,0.609,0.008,0.031,0.017
TMA-ZAIN-G-208,MBC,0.021,0.014,0.052,0.022,0.019,0.01,0.05,0.054,0.092,0.413,0.061,0.011,0.004,0.145,0.025,0.007
TMA-ZAIN-G-209,MBC,0.033,0.007,0.004,0.004,0.018,0.003,0.002,0.053,0.458,0.141,0.01,0.003,0.004,0.064,0.192,0.004
TMA-ZAIN-G-210,MBC,0.042,0.17,0.054,0.004,0.05,0.003,0.009,0.012,0.254,0.009,0.003,0.003,0.003,0.048,0.131,0.206
TMA-ZAIN-G-211,MBC,0.096,0.061,0.015,0.005,0.054,0.004,0.011,0.085,0.161,0.021,0.009,0.003,0.003,0.066,0.057,0.349
TMA-ZAIN-G-212,MBC,0.103,0.392,0.01,0.02,0.041,0.009,0.008,0.02,0.175,0.043,0.015,0.015,0.021,0.021,0.044,0.063
TMA-ZAIN-G-213,MBC,0.332,0.047,0.006,0.004,0.005,0.003,0.015,0.015,0.209,0.078,0.011,0.003,0.007,0.037,0.204,0.024
TMA-ZAIN-G-214,MBC,0.128,0.026,0.006,0.004,0.015,0.003,0.004,0.005,0.641,0.005,0.004,0.003,0.004,0.081,0.049,0.02
TMA-ZAIN-G-215,MBC,0.092,0.132,0.007,0.005,0.05,0.003,0.004,0.039,0.473,0.005,0.004,0.003,0.004,0.114,0.046,0.019
TMA-ZAIN-G-216,MBC,0.27,0.009,0.002,0.229,0.031,0.003,0.003,0.005,0.134,0.028,0.004,0.006,0.011,0.021,0.241,0.003
TMA-ZAIN-G-217,MBC,0.504,0.118,0.013,0.006,0.011,0.003,0.006,0.006,0.183,0.007,0.006,0.004,0.005,0.022,0.093,0.014
TMA-ZAIN-G-218,MBC,0.037,0.12,0.006,0.003,0.065,0.003,0.006,0.085,0.516,0.007,0.003,0.003,0.003,0.034,0.071,0.038
TMA-ZAIN-G-219,MBC,0.006,0.011,0.006,0.905,0.004,0.006,0.004,0.009,0.004,0.005,0.01,0.003,0.003,0.005,0.013,0.003
TMA-ZAIN-G-220,MBC,0.004,0.007,0.008,0.916,0.004,0.005,0.013,0.004,0.004,0.004,0.006,0.004,0.01,0.005,0.004,0.003
TMA-ZAIN-G-221,MBC,0.006,0.006,0.005,0.589,0.006,0.023,0.01,0.009,0.007,0.184,0.114,0.007,0.003,0.012,0.014,0.004
TMA-ZAIN-G-222,MBC,0.02,0.014,0.004,0.854,0.006,0.004,0.01,0.005,0.01,0.007,0.01,0.005,0.026,0.008,0.012,0.005
TMA-ZAIN-G-223,MBC,0.006,0.013,0.008,0.855,0.006,0.013,0.018,0.011,0.008,0.015,0.006,0.005,0.005,0.012,0.015,0.004
TMA-ZAIN-G-224,MBC,0.005,0.005,0.005,0.904,0.004,0.006,0.013,0.005,0.005,0.006,0.018,0.007,0.006,0.004,0.005,0.003
TMA-ZAIN-G-225,MBC,0.011,0.029,0.006,0.779,0.005,0.01,0.091,0.005,0.007,0.005,0.012,0.013,0.005,0.006,0.007,0.007
TMA-ZAIN-G-226,MBC,0.006,0.004,0.003,0.922,0.003,0.008,0.005,0.002,0.004,0.004,0.009,0.006,0.007,0.003,0.005,0.01
TMA-ZAIN-G-227,MBC,0.012,0.004,0.004,0.866,0.007,0.011,0.008,0.005,0.007,0.01,0.011,0.006,0.006,0.007,0.011,0.024
TMA-ZAIN-G-228,MBC,0.011,0.004,0.004,0.866,0.007,0.01,0.005,0.004,0.01,0.007,0.007,0.005,0.021,0.008,0.013,0.018
TMA-ZAIN-G-229,MBC,0.01,0.007,0.005,0.798,0.028,0.013,0.017,0.008,0.014,0.013,0.015,0.02,0.005,0.013,0.028,0.007
TMA-ZAIN-G-230,MBC,0.003,0.003,0.006,0.905,0.003,0.014,0.007,0.009,0.003,0.003,0.008,0.015,0.011,0.002,0.006,0.002
TMA-ZAIN-G-231,MBC,0.018,0.053,0.011,0.462,0.026,0.026,0.279,0.011,0.021,0.008,0.012,0.01,0.003,0.005,0.043,0.011
TMA-ZAIN-G-232,MBC,0.008,0.01,0.017,0.207,0.019,0.054,0.059,0.012,0.021,0.017,0.011,0.461,0.02,0.025,0.049,0.01
TMA-ZAIN-G-233,MBC,0.019,0.039,0.012,0.116,0.009,0.133,0.014,0.038,0.009,0.01,0.004,0.543,0.013,0.011,0.022,0.008
TMA-ZAIN-G-234,MBC,0.01,0.023,0.009,0.762,0.027,0.005,0.021,0.045,0.012,0.007,0.017,0.007,0.016,0.013,0.017,0.007
TMA-ZAIN-G-235,MBC,0.005,0.004,0.03,0.644,0.005,0.189,0.005,0.007,0.004,0.01,0.009,0.031,0.03,0.008,0.009,0.011
TMA-ZAIN-G-236,MBC,0.079,0.004,0.009,0.528,0.06,0.159,0.039,0.005,0.006,0.012,0.021,0.019,0.013,0.01,0.012,0.023
TMA-ZAIN-G-237,MBC,0.013,0.008,0.003,0.766,0.012,0.02,0.048,0.006,0.015,0.016,0.008,0.01,0.025,0.013,0.012,0.025
TMA-ZAIN-G-238,MBC,0.013,0.027,0.005,0.381,0.129,0.119,0.1,0.011,0.075,0.022,0.014,0.011,0.005,0.013,0.065,0.008
TMA-ZAIN-G-239,MBC,0.015,0.016,0.003,0.755,0.022,0.027,0.006,0.004,0.034,0.031,0.006,0.013,0.023,0.029,0.012,0.005
TMA-ZAIN-G-240,MBC,0.023,0.005,0.07,0.019,0.002,0.009,0.111,0.008,0.004,0.037,0.003,0.013,0.66,0.002,0.003,0.03
TMA-ZAIN-G-241,MBC,0.002,0.003,0.004,0.004,0.003,0.003,0.005,0.002,0.003,0.002,0.002,0.004,0.954,0.002,0.003,0.003
TMA-ZAIN-G-242,MBC,0.003,0.002,0.003,0.003,0.005,0.003,0.003,0.003,0.004,0.003,0.002,0.004,0.951,0.004,0.005,0.003
TMA-ZAIN-G-243,MBC,0.003,0.002,0.003,0.003,0.004,0.003,0.002,0.003,0.004,0.003,0.002,0.003,0.956,0.003,0.004,0.002
TMA-ZAIN-G-244,MBC,0.003,0.002,0.003,0.003,0.005,0.003,0.003,0.003,0.004,0.003,0.002,0.003,0.953,0.003,0.005,0.003
TMA-ZAIN-G-245,MBC,0.003,0.002,0.002,0.004,0.006,0.003,0.002,0.004,0.005,0.005,0.002,0.003,0.945,0.005,0.005,0.002
TMA-ZAIN-G-246,MBC,0.003,0.002,0.003,0.004,0.002,0.003,0.003,0.002,0.003,0.002,0.002,0.004,0.959,0.003,0.003,0.002
TMA-ZAIN-G-248,MBC,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.003,0.003,0.961,0.002,0.002,0.002
TMA-ZAIN-G-249,MBC,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.963,0.002,0.003,0.002
TMA-ZAIN-G-250,MBC,0.004,0.002,0.003,0.004,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.004,0.95,0.003,0.004,0.004
TMA-ZAIN-G-251,MBC,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.003,0.003,0.003,0.958,0.002,0.003,0.004
TMA-ZAIN-G-252,MBC,0.003,0.002,0.003,0.004,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.959,0.002,0.002,0.003
TMA-ZAIN-G-253,MBC,0.004,0.006,0.932,0.004,0.003,0.005,0.01,0.004,0.003,0.005,0.005,0.004,0.002,0.004,0.004,0.005
TMA-ZAIN-G-254,MBC,0.006,0.005,0.842,0.006,0.024,0.003,0.004,0.016,0.016,0.017,0.003,0.002,0.003,0.006,0.042,0.005
TMA-ZAIN-G-255,MBC,0.004,0.005,0.929,0.003,0.004,0.004,0.004,0.005,0.004,0.008,0.003,0.003,0.005,0.011,0.005,0.004
TMA-ZAIN-G-256,MBC,0.007,0.013,0.859,0.004,0.006,0.006,0.006,0.009,0.008,0.027,0.006,0.003,0.004,0.021,0.018,0.005
TMA-ZAIN-G-257,MBC,0.004,0.005,0.904,0.003,0.004,0.009,0.005,0.006,0.005,0.007,0.003,0.025,0.004,0.007,0.007,0.004
TMA-ZAIN-G-258,MBC,0.008,0.007,0.849,0.005,0.006,0.006,0.022,0.005,0.011,0.007,0.004,0.006,0.017,0.007,0.012,0.029
TMA-ZAIN-G-259,MBC,0.004,0.005,0.926,0.004,0.004,0.004,0.012,0.003,0.004,0.003,0.003,0.004,0.005,0.003,0.003,0.014
TMA-ZAIN-G-260,MBC,0.003,0.003,0.949,0.003,0.003,0.003,0.006,0.004,0.002,0.004,0.003,0.002,0.004,0.003,0.003,0.004
TMA-ZAIN-G-261,MBC,0.004,0.005,0.922,0.004,0.004,0.003,0.019,0.005,0.004,0.004,0.005,0.005,0.005,0.003,0.003,0.005
TMA-ZAIN-G-262,MBC,0.004,0.005,0.922,0.004,0.004,0.003,0.015,0.008,0.005,0.005,0.005,0.004,0.005,0.003,0.004,0.006
TMA-ZAIN-G-263,MBC,0.006,0.011,0.887,0.006,0.004,0.005,0.019,0.009,0.006,0.008,0.014,0.005,0.003,0.005,0.005,0.008
TMA-ZAIN-G-264,MBC,0.003,0.004,0.944,0.004,0.003,0.004,0.008,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.006
TMA-ZAIN-G-265,MBC,0.003,0.004,0.941,0.004,0.003,0.005,0.007,0.003,0.003,0.005,0.003,0.004,0.003,0.004,0.003,0.004
TMA-ZAIN-G-266,MBC,0.003,0.005,0.935,0.004,0.003,0.007,0.007,0.003,0.003,0.006,0.004,0.004,0.003,0.005,0.005,0.005
TMA-ZAIN-G-267,MBC,0.018,0.022,0.113,0.24,0.009,0.009,0.389,0.018,0.058,0.01,0.021,0.007,0.017,0.021,0.04,0.009
TMA-ZAIN-G-268,MBC,0.029,0.118,0.569,0.01,0.008,0.009,0.022,0.016,0.034,0.045,0.055,0.011,0.008,0.019,0.012,0.035
TMA-ZAIN-G-269,MBC,0.008,0.017,0.14,0.018,0.014,0.018,0.21,0.017,0.022,0.022,0.085,0.364,0.028,0.005,0.025,0.007
TMA-ZAIN-G-270,MBC,0.003,0.003,0.003,0.004,0.003,0.007,0.004,0.003,0.003,0.003,0.004,0.948,0.003,0.003,0.003,0.003
TMA-ZAIN-G-271,MBC,0.003,0.004,0.003,0.007,0.004,0.015,0.014,0.003,0.004,0.004,0.006,0.918,0.003,0.003,0.004,0.003
TMA-ZAIN-G-272,MBC,0.003,0.005,0.004,0.006,0.004,0.013,0.036,0.003,0.004,0.004,0.006,0.896,0.004,0.003,0.004,0.003
TMA-ZAIN-G-273,MBC,0.003,0.003,0.004,0.004,0.003,0.009,0.009,0.003,0.004,0.004,0.005,0.936,0.004,0.003,0.004,0.002
TMA-ZAIN-G-274,MBC,0.003,0.004,0.003,0.012,0.004,0.009,0.011,0.002,0.004,0.004,0.007,0.922,0.005,0.003,0.004,0.003
TMA-ZAIN-G-275,MBC,0.003,0.003,0.003,0.016,0.003,0.009,0.005,0.002,0.003,0.002,0.005,0.933,0.006,0.002,0.003,0.003
TMA-ZAIN-G-276,MBC,0.022,0.004,0.007,0.012,0.012,0.01,0.007,0.007,0.007,0.003,0.009,0.859,0.005,0.007,0.005,0.023
TMA-ZAIN-G-277,MBC,0.003,0.003,0.002,0.006,0.002,0.004,0.003,0.002,0.003,0.002,0.004,0.952,0.004,0.003,0.003,0.003
TMA-ZAIN-G-278,MBC,0.004,0.002,0.002,0.005,0.006,0.007,0.004,0.004,0.005,0.005,0.003,0.934,0.006,0.005,0.006,0.003
TMA-ZAIN-G-279,MBC,0.004,0.003,0.005,0.006,0.008,0.008,0.004,0.005,0.006,0.007,0.004,0.904,0.021,0.005,0.006,0.005
TMA-ZAIN-G-280,MBC,0.003,0.003,0.004,0.006,0.003,0.004,0.008,0.002,0.003,0.003,0.004,0.939,0.011,0.002,0.003,0.003
TMA-ZAIN-G-281,MBC,0.004,0.004,0.003,0.008,0.003,0.006,0.003,0.002,0.004,0.003,0.006,0.938,0.005,0.003,0.003,0.004
TMA-ZAIN-G-282,MBC,0.005,0.008,0.003,0.029,0.003,0.024,0.005,0.002,0.005,0.003,0.006,0.885,0.007,0.004,0.003,0.007
TMA-ZAIN-G-283,MBC,0.004,0.005,0.004,0.01,0.003,0.016,0.006,0.003,0.004,0.004,0.005,0.916,0.008,0.004,0.003,0.005
TMA-ZAIN-G-284,MBC,0.003,0.002,0.004,0.006,0.003,0.007,0.005,0.002,0.003,0.003,0.004,0.942,0.008,0.003,0.003,0.002
TMA-ZAIN-G-285,MBC,0.006,0.012,0.102,0.037,0.011,0.033,0.036,0.005,0.009,0.012,0.029,0.674,0.01,0.012,0.009,0.004
TMA-ZAIN-G-286,MBC,0.009,0.017,0.112,0.059,0.008,0.053,0.056,0.004,0.011,0.012,0.032,0.582,0.008,0.019,0.013,0.005
TMA-ZAIN-G-287,MBC,0.016,0.006,0.03,0.019,0.037,0.015,0.008,0.015,0.006,0.006,0.014,0.783,0.016,0.015,0.005,0.008
TMA-ZAIN-G-288,MBC,0.003,0.003,0.006,0.006,0.003,0.009,0.007,0.002,0.003,0.003,0.006,0.935,0.006,0.002,0.003,0.003
TMA-ZAIN-G-289,MBC,0.011,0.003,0.005,0.006,0.013,0.006,0.006,0.007,0.004,0.003,0.006,0.909,0.006,0.004,0.003,0.009
TMA-ZAIN-G-290,MBC,0.04,0.008,0.009,0.022,0.019,0.02,0.008,0.008,0.014,0.006,0.033,0.757,0.004,0.01,0.008,0.035
TMA-ZAIN-G-291,MBC,0.014,0.004,0.007,0.007,0.016,0.008,0.008,0.01,0.007,0.004,0.01,0.875,0.005,0.005,0.005,0.016
TMA-ZAIN-G-292,MBC,0.009,0.016,0.007,0.019,0.004,0.092,0.006,0.003,0.01,0.008,0.022,0.776,0.004,0.008,0.006,0.01
TMA-ZAIN-G-293,MBC,0.006,0.004,0.008,0.876,0.004,0.011,0.01,0.003,0.004,0.005,0.036,0.013,0.007,0.005,0.004,0.005
TMA-ZAIN-G-294,MBC,0.044,0.044,0.004,0.027,0.077,0.011,0.008,0.007,0.422,0.02,0.01,0.014,0.018,0.073,0.195,0.027
TMA-ZAIN-G-295,MBC,0.048,0.029,0.018,0.011,0.011,0.003,0.041,0.025,0.551,0.148,0.013,0.004,0.021,0.023,0.035,0.02
TMA-ZAIN-G-296,MBC,0.006,0.006,0.004,0.003,0.011,0.003,0.008,0.007,0.229,0.008,0.004,0.003,0.004,0.007,0.695,0.003
TMA-ZAIN-G-297,MBC,0.008,0.007,0.005,0.005,0.018,0.003,0.009,0.009,0.189,0.014,0.01,0.006,0.005,0.007,0.7,0.004
TMA-ZAIN-G-298,MBC,0.011,0.041,0.007,0.007,0.009,0.006,0.025,0.004,0.68,0.093,0.008,0.005,0.004,0.012,0.056,0.032
TMA-ZAIN-G-299,MBC,0.025,0.042,0.017,0.009,0.036,0.005,0.016,0.02,0.335,0.139,0.013,0.008,0.006,0.173,0.061,0.095
TMA-ZAIN-G-301,MBC,0.007,0.008,0.014,0.009,0.237,0.007,0.142,0.008,0.268,0.027,0.007,0.009,0.006,0.014,0.231,0.004
TMA-ZAIN-G-302,MBC,0.013,0.009,0.003,0.006,0.832,0.003,0.003,0.005,0.026,0.007,0.004,0.004,0.005,0.037,0.036,0.007
TMA-ZAIN-G-303,MBC,0.101,0.007,0.006,0.007,0.236,0.003,0.009,0.046,0.385,0.023,0.013,0.005,0.009,0.009,0.134,0.008
TMA-ZAIN-G-304,MBC,0.054,0.008,0.004,0.007,0.564,0.004,0.013,0.024,0.174,0.051,0.006,0.003,0.01,0.015,0.038,0.024
TMA-ZAIN-G-305,MBC,0.014,0.011,0.004,0.004,0.016,0.003,0.01,0.006,0.184,0.009,0.004,0.003,0.003,0.02,0.697,0.012
TMA-ZAIN-G-306,MBC,0.029,0.016,0.021,0.815,0.003,0.01,0.008,0.002,0.006,0.017,0.011,0.007,0.003,0.004,0.003,0.044
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-307,MSBG,0.036,0.022,0.464,0.006,0.008,0.011,0.012,0.07,0.044,0.237,0.012,0.007,0.007,0.028,0.015,0.021
TMA-ZAIN-G-308,MSBG,0.017,0.028,0.006,0.004,0.006,0.003,0.012,0.012,0.639,0.086,0.006,0.003,0.004,0.019,0.144,0.011
TMA-ZAIN-G-309,MSBG,0.012,0.044,0.327,0.008,0.01,0.07,0.008,0.012,0.317,0.059,0.01,0.031,0.014,0.016,0.051,0.013
TMA-ZAIN-G-310,MSBG,0.066,0.019,0.339,0.004,0.006,0.007,0.013,0.153,0.089,0.221,0.01,0.009,0.014,0.022,0.018,0.011
TMA-ZAIN-G-311,MSBG,0.006,0.007,0.692,0.102,0.005,0.027,0.013,0.01,0.006,0.005,0.08,0.014,0.014,0.003,0.005,0.012
TMA-ZAIN-G-312,MSBG,0.688,0.067,0.003,0.004,0.027,0.004,0.006,0.009,0.106,0.013,0.005,0.003,0.002,0.017,0.011,0.034
TMA-ZAIN-G-313,MSBG,0.072,0.005,0.007,0.011,0.133,0.005,0.043,0.012,0.448,0.013,0.012,0.012,0.011,0.054,0.159,0.004
TMA-ZAIN-G-314,MSBG,0.019,0.069,0.025,0.019,0.04,0.028,0.079,0.007,0.192,0.193,0.02,0.012,0.002,0.172,0.106,0.017
TMA-ZAIN-G-315,MSBG,0.427,0.074,0.011,0.013,0.035,0.005,0.006,0.01,0.109,0.044,0.05,0.005,0.005,0.016,0.164,0.024
TMA-ZAIN-G-316,MSBG,0.016,0.156,0.373,0.005,0.094,0.012,0.023,0.024,0.107,0.08,0.01,0.008,0.003,0.024,0.041,0.022
TMA-ZAIN-G-317,MSBG,0.022,0.013,0.011,0.018,0.006,0.179,0.012,0.005,0.018,0.028,0.243,0.419,0.003,0.006,0.006,0.01
TMA-ZAIN-G-318,MSBG,0.031,0.016,0.017,0.017,0.114,0.005,0.035,0.017,0.167,0.023,0.017,0.326,0.013,0.021,0.174,0.006
TMA-ZAIN-G-319,MSBG,0.023,0.014,0.016,0.029,0.125,0.007,0.023,0.02,0.131,0.03,0.021,0.361,0.011,0.021,0.161,0.005
TMA-ZAIN-G-320,MSBG,0.005,0.007,0.016,0.681,0.036,0.049,0.011,0.004,0.005,0.041,0.063,0.05,0.008,0.006,0.007,0.01
TMA-ZAIN-G-321,MSBG,0.006,0.006,0.031,0.082,0.014,0.286,0.047,0.011,0.011,0.005,0.042,0.362,0.067,0.003,0.013,0.013
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-322,AA,0.015,0.006,0.006,0.348,0.004,0.015,0.024,0.003,0.005,0.004,0.016,0.101,0.011,0.004,0.006,0.431
TMA-ZAIN-G-323,AA,0.016,0.014,0.003,0.402,0.157,0.005,0.009,0.014,0.234,0.024,0.006,0.004,0.01,0.034,0.057,0.009
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-324,HBG,0.207,0.029,0.006,0.013,0.016,0.022,0.014,0.013,0.208,0.048,0.297,0.06,0.006,0.036,0.02,0.006
TMA-ZAIN-G-325,HBG,0.069,0.078,0.05,0.18,0.013,0.061,0.023,0.025,0.076,0.042,0.164,0.009,0.006,0.082,0.116,0.006
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-326,FTBG,0.014,0.058,0.01,0.748,0.006,0.006,0.007,0.022,0.018,0.011,0.008,0.007,0.011,0.008,0.006,0.059
TMA-ZAIN-G-327,FTBG,0.022,0.017,0.013,0.006,0.005,0.005,0.013,0.01,0.016,0.603,0.014,0.004,0.004,0.088,0.154,0.026
TMA-ZAIN-G-328,FTBG,0.019,0.01,0.006,0.814,0.006,0.003,0.01,0.006,0.012,0.008,0.02,0.005,0.056,0.009,0.011,0.005
TMA-ZAIN-G-329,FTBG,0.033,0.018,0.019,0.563,0.004,0.002,0.005,0.006,0.015,0.006,0.01,0.003,0.004,0.012,0.005,0.294
TMA-ZAIN-G-330,FTBG,0.021,0.227,0.011,0.004,0.006,0.003,0.008,0.033,0.012,0.01,0.007,0.003,0.003,0.005,0.007,0.64
TMA-ZAIN-G-331,FTBG,0.091,0.018,0.015,0.16,0.01,0.189,0.016,0.19,0.008,0.047,0.041,0.113,0.012,0.02,0.012,0.057
TMA-ZAIN-G-332,FTBG,0.099,0.077,0.016,0.007,0.232,0.004,0.064,0.116,0.188,0.091,0.015,0.004,0.008,0.029,0.013,0.036
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
