Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
TMA-ZAIN-G-175,MBC,0.117,0.017,0.316,0.002,0.007,0.005,0.004,0.222,0.049,0.046,0.071,0.004,0.043,0.059,0.003,0.028,0.003,0.003
TMA-ZAIN-G-176,MBC,0.868,0.019,0.004,0.003,0.003,0.003,0.004,0.011,0.039,0.009,0.004,0.004,0.006,0.007,0.003,0.006,0.003,0.003
TMA-ZAIN-G-177,MBC,0.906,0.011,0.004,0.002,0.003,0.003,0.004,0.011,0.015,0.008,0.004,0.004,0.007,0.005,0.003,0.004,0.003,0.003
TMA-ZAIN-G-178,MBC,0.864,0.007,0.004,0.002,0.002,0.003,0.004,0.019,0.045,0.008,0.009,0.009,0.006,0.004,0.003,0.003,0.004,0.003
TMA-ZAIN-G-179,MBC,0.24,0.016,0.009,0.004,0.004,0.006,0.005,0.068,0.255,0.135,0.182,0.032,0.013,0.014,0.004,0.004,0.006,0.005
TMA-ZAIN-G-180,MBC,0.724,0.007,0.009,0.002,0.004,0.005,0.005,0.076,0.076,0.016,0.026,0.013,0.014,0.008,0.003,0.006,0.003,0.003
TMA-ZAIN-G-181,MBC,0.02,0.004,0.356,0.007,0.009,0.013,0.024,0.078,0.033,0.107,0.174,0.03,0.021,0.026,0.004,0.084,0.005,0.004
TMA-ZAIN-G-182,MBC,0.008,0.009,0.015,0.003,0.005,0.003,0.004,0.007,0.01,0.027,0.708,0.108,0.058,0.015,0.004,0.005,0.004,0.005
TMA-ZAIN-G-183,MBC,0.02,0.004,0.342,0.003,0.005,0.005,0.006,0.031,0.014,0.137,0.193,0.177,0.028,0.014,0.006,0.003,0.004,0.007
TMA-ZAIN-G-184,MBC,0.011,0.006,0.007,0.003,0.004,0.004,0.005,0.016,0.009,0.013,0.8,0.065,0.011,0.029,0.004,0.004,0.004,0.004
TMA-ZAIN-G-185,MBC,0.013,0.01,0.017,0.01,0.016,0.012,0.02,0.011,0.016,0.081,0.621,0.027,0.043,0.044,0.023,0.008,0.008,0.021
TMA-ZAIN-G-186,MBC,0.005,0.007,0.031,0.012,0.018,0.038,0.012,0.009,0.013,0.04,0.755,0.004,0.011,0.01,0.011,0.006,0.008,0.01
TMA-ZAIN-G-187,MBC,0.011,0.01,0.05,0.004,0.005,0.012,0.006,0.007,0.026,0.029,0.794,0.005,0.013,0.008,0.004,0.005,0.007,0.003
TMA-ZAIN-G-188,MBC,0.009,0.042,0.017,0.003,0.003,0.005,0.005,0.009,0.008,0.071,0.725,0.014,0.049,0.013,0.004,0.014,0.005,0.004
TMA-ZAIN-G-189,MBC,0.004,0.052,0.019,0.002,0.004,0.005,0.003,0.027,0.005,0.026,0.748,0.006,0.02,0.04,0.004,0.027,0.003,0.003
TMA-ZAIN-G-190,MBC,0.007,0.004,0.012,0.003,0.003,0.003,0.003,0.007,0.006,0.007,0.916,0.005,0.006,0.005,0.002,0.006,0.003,0.002
TMA-ZAIN-G-191,MBC,0.038,0.026,0.01,0.003,0.006,0.007,0.004,0.09,0.037,0.011,0.694,0.02,0.005,0.02,0.003,0.018,0.005,0.003
TMA-ZAIN-G-192,MBC,0.01,0.008,0.007,0.014,0.008,0.008,0.014,0.015,0.006,0.009,0.854,0.004,0.007,0.007,0.011,0.005,0.006,0.009
TMA-ZAIN-G-193,MBC,0.01,0.015,0.018,0.013,0.005,0.003,0.024,0.008,0.005,0.031,0.814,0.016,0.01,0.005,0.003,0.004,0.01,0.006
TMA-ZAIN-G-194,MBC,0.004,0.003,0.004,0.002,0.004,0.003,0.004,0.003,0.003,0.003,0.005,0.944,0.003,0.003,0.003,0.003,0.003,0.002
TMA-ZAIN-G-195,MBC,0.008,0.006,0.04,0.006,0.018,0.022,0.005,0.007,0.009,0.014,0.11,0.718,0.004,0.005,0.003,0.013,0.011,0.002
TMA-ZAIN-G-196,MBC,0.024,0.023,0.05,0.002,0.007,0.005,0.004,0.025,0.02,0.013,0.079,0.688,0.004,0.006,0.003,0.034,0.009,0.003
TMA-ZAIN-G-197,MBC,0.005,0.006,0.011,0.003,0.007,0.008,0.004,0.01,0.007,0.012,0.02,0.864,0.008,0.009,0.003,0.017,0.004,0.003
TMA-ZAIN-G-198,MBC,0.013,0.01,0.011,0.003,0.005,0.005,0.008,0.008,0.008,0.012,0.01,0.867,0.008,0.01,0.003,0.013,0.003,0.003
TMA-ZAIN-G-199,MBC,0.017,0.008,0.007,0.003,0.004,0.003,0.004,0.011,0.009,0.011,0.02,0.87,0.011,0.008,0.003,0.006,0.003,0.003
TMA-ZAIN-G-200,MBC,0.008,0.009,0.034,0.004,0.007,0.009,0.005,0.008,0.015,0.026,0.831,0.006,0.013,0.01,0.004,0.004,0.005,0.004
TMA-ZAIN-G-201,MBC,0.003,0.003,0.003,0.708,0.004,0.014,0.007,0.005,0.005,0.003,0.006,0.056,0.002,0.003,0.013,0.004,0.148,0.014
TMA-ZAIN-G-202,MBC,0.005,0.005,0.003,0.877,0.004,0.011,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.004,0.014,0.006,0.039,0.005
TMA-ZAIN-G-203,MBC,0.007,0.003,0.004,0.78,0.002,0.007,0.004,0.012,0.007,0.007,0.015,0.04,0.005,0.005,0.011,0.004,0.062,0.024
TMA-ZAIN-G-204,MBC,0.009,0.007,0.033,0.002,0.005,0.005,0.005,0.027,0.011,0.037,0.017,0.753,0.023,0.031,0.009,0.004,0.004,0.018
TMA-ZAIN-G-205,MBC,0.018,0.018,0.007,0.737,0.024,0.006,0.064,0.034,0.007,0.009,0.007,0.006,0.004,0.007,0.004,0.01,0.033,0.006
TMA-ZAIN-G-206,MBC,0.01,0.009,0.01,0.658,0.013,0.005,0.02,0.025,0.014,0.035,0.007,0.007,0.058,0.024,0.007,0.007,0.085,0.007
TMA-ZAIN-G-207,MBC,0.024,0.006,0.007,0.533,0.011,0.009,0.163,0.021,0.012,0.009,0.019,0.055,0.005,0.012,0.01,0.008,0.08,0.015
TMA-ZAIN-G-208,MBC,0.011,0.014,0.011,0.008,0.044,0.041,0.056,0.014,0.161,0.09,0.013,0.006,0.07,0.389,0.006,0.041,0.016,0.008
TMA-ZAIN-G-209,MBC,0.075,0.012,0.006,0.003,0.004,0.009,0.002,0.033,0.319,0.349,0.018,0.003,0.031,0.095,0.003,0.031,0.003,0.003
TMA-ZAIN-G-210,MBC,0.169,0.031,0.126,0.002,0.069,0.004,0.008,0.011,0.042,0.281,0.022,0.163,0.038,0.012,0.003,0.012,0.004,0.003
TMA-ZAIN-G-211,MBC,0.079,0.042,0.046,0.003,0.013,0.009,0.012,0.055,0.022,0.143,0.064,0.326,0.048,0.044,0.004,0.083,0.004,0.003
TMA-ZAIN-G-212,MBC,0.092,0.038,0.267,0.017,0.012,0.015,0.008,0.082,0.019,0.214,0.073,0.055,0.022,0.026,0.009,0.022,0.018,0.011
TMA-ZAIN-G-213,MBC,0.043,0.004,0.026,0.003,0.005,0.007,0.009,0.597,0.057,0.045,0.112,0.019,0.027,0.028,0.003,0.008,0.004,0.003
TMA-ZAIN-G-214,MBC,0.028,0.008,0.013,0.003,0.004,0.005,0.004,0.006,0.018,0.849,0.016,0.011,0.017,0.004,0.004,0.004,0.004,0.003
TMA-ZAIN-G-215,MBC,0.028,0.019,0.071,0.003,0.005,0.004,0.004,0.004,0.028,0.723,0.029,0.011,0.033,0.005,0.003,0.023,0.004,0.003
TMA-ZAIN-G-216,MBC,0.327,0.022,0.009,0.008,0.002,0.005,0.003,0.022,0.091,0.096,0.146,0.004,0.012,0.016,0.003,0.004,0.228,0.003
TMA-ZAIN-G-217,MBC,0.061,0.012,0.129,0.004,0.012,0.007,0.005,0.006,0.085,0.318,0.302,0.016,0.018,0.007,0.003,0.006,0.005,0.003
TMA-ZAIN-G-218,MBC,0.115,0.042,0.082,0.003,0.007,0.003,0.005,0.009,0.014,0.579,0.016,0.031,0.018,0.005,0.003,0.061,0.004,0.003
TMA-ZAIN-G-219,MBC,0.013,0.004,0.014,0.003,0.006,0.015,0.005,0.003,0.007,0.005,0.007,0.003,0.007,0.007,0.007,0.009,0.88,0.005
TMA-ZAIN-G-220,MBC,0.004,0.004,0.009,0.007,0.007,0.007,0.013,0.004,0.005,0.004,0.005,0.003,0.005,0.005,0.005,0.003,0.905,0.005
TMA-ZAIN-G-221,MBC,0.006,0.005,0.006,0.005,0.005,0.165,0.01,0.043,0.022,0.006,0.007,0.004,0.01,0.148,0.094,0.01,0.448,0.007
TMA-ZAIN-G-222,MBC,0.011,0.005,0.014,0.011,0.004,0.009,0.01,0.01,0.01,0.008,0.018,0.005,0.007,0.005,0.003,0.005,0.86,0.004
TMA-ZAIN-G-223,MBC,0.01,0.007,0.015,0.006,0.008,0.006,0.02,0.006,0.019,0.005,0.006,0.004,0.012,0.02,0.039,0.011,0.798,0.005
TMA-ZAIN-G-224,MBC,0.004,0.004,0.005,0.008,0.005,0.017,0.014,0.006,0.006,0.005,0.004,0.003,0.004,0.005,0.005,0.005,0.891,0.007
TMA-ZAIN-G-225,MBC,0.01,0.006,0.031,0.01,0.006,0.012,0.121,0.005,0.005,0.009,0.014,0.007,0.006,0.006,0.02,0.005,0.717,0.009
TMA-ZAIN-G-226,MBC,0.005,0.003,0.004,0.008,0.003,0.009,0.005,0.004,0.005,0.004,0.006,0.01,0.003,0.003,0.01,0.002,0.907,0.007
TMA-ZAIN-G-227,MBC,0.011,0.008,0.004,0.006,0.004,0.012,0.009,0.007,0.01,0.008,0.01,0.022,0.007,0.009,0.006,0.005,0.847,0.012
TMA-ZAIN-G-228,MBC,0.014,0.007,0.004,0.011,0.004,0.008,0.006,0.007,0.012,0.01,0.011,0.018,0.008,0.008,0.007,0.004,0.852,0.011
TMA-ZAIN-G-229,MBC,0.029,0.025,0.007,0.009,0.005,0.014,0.017,0.011,0.024,0.012,0.008,0.006,0.011,0.013,0.006,0.008,0.776,0.018
TMA-ZAIN-G-230,MBC,0.006,0.003,0.003,0.028,0.006,0.01,0.008,0.003,0.003,0.003,0.003,0.002,0.003,0.004,0.014,0.009,0.878,0.014
TMA-ZAIN-G-231,MBC,0.11,0.026,0.054,0.008,0.01,0.011,0.28,0.018,0.012,0.009,0.019,0.012,0.004,0.006,0.035,0.011,0.337,0.035
TMA-ZAIN-G-232,MBC,0.021,0.023,0.012,0.343,0.008,0.012,0.072,0.01,0.022,0.015,0.008,0.009,0.02,0.019,0.275,0.007,0.113,0.01
TMA-ZAIN-G-233,MBC,0.015,0.007,0.037,0.459,0.009,0.005,0.023,0.005,0.014,0.006,0.015,0.006,0.01,0.011,0.148,0.026,0.152,0.054
TMA-ZAIN-G-234,MBC,0.023,0.028,0.021,0.014,0.009,0.014,0.019,0.01,0.009,0.013,0.009,0.007,0.013,0.01,0.006,0.048,0.743,0.004
TMA-ZAIN-G-235,MBC,0.005,0.005,0.004,0.03,0.032,0.007,0.005,0.005,0.012,0.003,0.005,0.014,0.007,0.012,0.227,0.007,0.597,0.022
TMA-ZAIN-G-236,MBC,0.007,0.06,0.004,0.018,0.007,0.026,0.037,0.008,0.016,0.008,0.076,0.018,0.008,0.015,0.014,0.004,0.432,0.242
TMA-ZAIN-G-237,MBC,0.013,0.012,0.006,0.018,0.004,0.007,0.05,0.016,0.012,0.02,0.011,0.023,0.013,0.012,0.008,0.007,0.743,0.026
TMA-ZAIN-G-238,MBC,0.081,0.105,0.016,0.01,0.005,0.015,0.115,0.058,0.016,0.034,0.01,0.007,0.013,0.031,0.047,0.009,0.353,0.077
TMA-ZAIN-G-239,MBC,0.011,0.019,0.012,0.018,0.003,0.006,0.006,0.022,0.01,0.04,0.01,0.006,0.027,0.027,0.011,0.004,0.742,0.027
TMA-ZAIN-G-240,MBC,0.004,0.003,0.008,0.717,0.041,0.003,0.022,0.024,0.003,0.012,0.038,0.063,0.003,0.023,0.003,0.022,0.008,0.004
TMA-ZAIN-G-241,MBC,0.006,0.005,0.003,0.928,0.006,0.003,0.009,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.007,0.003
TMA-ZAIN-G-242,MBC,0.019,0.011,0.003,0.898,0.005,0.002,0.005,0.008,0.007,0.006,0.004,0.004,0.006,0.005,0.003,0.005,0.005,0.004
TMA-ZAIN-G-243,MBC,0.007,0.006,0.003,0.918,0.003,0.003,0.003,0.007,0.007,0.007,0.005,0.003,0.007,0.005,0.003,0.005,0.005,0.004
TMA-ZAIN-G-244,MBC,0.017,0.012,0.004,0.883,0.005,0.003,0.005,0.015,0.009,0.008,0.006,0.003,0.007,0.006,0.003,0.008,0.005,0.003
TMA-ZAIN-G-245,MBC,0.016,0.012,0.003,0.87,0.003,0.003,0.003,0.01,0.015,0.012,0.006,0.003,0.014,0.01,0.003,0.008,0.005,0.004
TMA-ZAIN-G-246,MBC,0.004,0.003,0.002,0.945,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.004,0.002,0.005,0.004
TMA-ZAIN-G-248,MBC,0.003,0.003,0.003,0.946,0.003,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.005,0.002
TMA-ZAIN-G-249,MBC,0.003,0.003,0.003,0.933,0.004,0.005,0.004,0.007,0.006,0.005,0.005,0.002,0.004,0.004,0.002,0.005,0.004,0.002
TMA-ZAIN-G-250,MBC,0.007,0.006,0.003,0.896,0.003,0.004,0.004,0.008,0.01,0.006,0.01,0.01,0.005,0.006,0.003,0.004,0.008,0.006
TMA-ZAIN-G-251,MBC,0.004,0.003,0.003,0.926,0.003,0.005,0.004,0.006,0.006,0.004,0.007,0.008,0.003,0.003,0.003,0.003,0.006,0.004
TMA-ZAIN-G-252,MBC,0.003,0.003,0.003,0.934,0.003,0.005,0.004,0.004,0.003,0.004,0.006,0.004,0.003,0.005,0.002,0.006,0.006,0.002
TMA-ZAIN-G-253,MBC,0.004,0.003,0.006,0.003,0.921,0.005,0.009,0.004,0.004,0.004,0.004,0.005,0.004,0.006,0.005,0.004,0.004,0.006
TMA-ZAIN-G-254,MBC,0.021,0.018,0.004,0.003,0.826,0.003,0.003,0.019,0.045,0.006,0.005,0.005,0.006,0.011,0.004,0.015,0.005,0.003
TMA-ZAIN-G-255,MBC,0.004,0.004,0.005,0.004,0.91,0.003,0.004,0.004,0.01,0.005,0.004,0.004,0.01,0.011,0.007,0.005,0.003,0.003
TMA-ZAIN-G-256,MBC,0.012,0.006,0.013,0.003,0.8,0.006,0.006,0.012,0.026,0.007,0.006,0.004,0.023,0.046,0.012,0.008,0.004,0.005
TMA-ZAIN-G-257,MBC,0.005,0.004,0.004,0.022,0.884,0.003,0.005,0.006,0.008,0.005,0.004,0.004,0.007,0.008,0.015,0.006,0.003,0.006
TMA-ZAIN-G-258,MBC,0.013,0.007,0.008,0.01,0.831,0.004,0.02,0.007,0.01,0.011,0.008,0.028,0.007,0.007,0.012,0.005,0.006,0.005
TMA-ZAIN-G-259,MBC,0.004,0.004,0.005,0.005,0.918,0.003,0.011,0.003,0.003,0.004,0.004,0.015,0.003,0.003,0.004,0.003,0.004,0.004
TMA-ZAIN-G-260,MBC,0.002,0.003,0.004,0.003,0.942,0.003,0.005,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.004,0.004,0.003,0.002
TMA-ZAIN-G-261,MBC,0.003,0.003,0.005,0.005,0.916,0.005,0.018,0.004,0.003,0.004,0.004,0.006,0.003,0.003,0.004,0.005,0.005,0.003
TMA-ZAIN-G-262,MBC,0.004,0.004,0.005,0.005,0.914,0.005,0.012,0.006,0.004,0.004,0.004,0.006,0.003,0.004,0.004,0.008,0.004,0.003
TMA-ZAIN-G-263,MBC,0.005,0.004,0.009,0.004,0.87,0.014,0.022,0.008,0.006,0.006,0.006,0.008,0.005,0.009,0.005,0.009,0.005,0.005
TMA-ZAIN-G-264,MBC,0.003,0.003,0.004,0.004,0.936,0.003,0.008,0.003,0.003,0.003,0.003,0.006,0.003,0.003,0.005,0.003,0.004,0.004
TMA-ZAIN-G-265,MBC,0.003,0.003,0.004,0.004,0.927,0.004,0.008,0.003,0.005,0.003,0.003,0.004,0.004,0.006,0.007,0.003,0.004,0.004
TMA-ZAIN-G-266,MBC,0.004,0.004,0.004,0.003,0.919,0.003,0.007,0.003,0.005,0.003,0.003,0.006,0.005,0.007,0.012,0.004,0.004,0.004
TMA-ZAIN-G-267,MBC,0.034,0.008,0.021,0.012,0.119,0.019,0.319,0.077,0.026,0.029,0.016,0.01,0.018,0.013,0.024,0.025,0.226,0.005
TMA-ZAIN-G-268,MBC,0.008,0.008,0.112,0.011,0.566,0.052,0.02,0.028,0.018,0.047,0.023,0.031,0.016,0.022,0.009,0.014,0.011,0.006
TMA-ZAIN-G-269,MBC,0.019,0.013,0.015,0.286,0.137,0.1,0.201,0.04,0.027,0.014,0.007,0.006,0.005,0.018,0.059,0.015,0.02,0.018
TMA-ZAIN-G-270,MBC,0.006,0.004,0.004,0.797,0.005,0.009,0.01,0.004,0.005,0.004,0.003,0.003,0.004,0.005,0.081,0.004,0.006,0.047
TMA-ZAIN-G-271,MBC,0.008,0.008,0.009,0.454,0.004,0.024,0.102,0.006,0.006,0.008,0.005,0.004,0.005,0.009,0.112,0.005,0.025,0.207
TMA-ZAIN-G-272,MBC,0.006,0.005,0.005,0.552,0.006,0.014,0.2,0.006,0.006,0.006,0.003,0.004,0.004,0.008,0.045,0.004,0.017,0.109
TMA-ZAIN-G-273,MBC,0.008,0.004,0.005,0.828,0.005,0.012,0.028,0.006,0.007,0.004,0.003,0.003,0.005,0.007,0.035,0.003,0.007,0.03
TMA-ZAIN-G-274,MBC,0.006,0.005,0.006,0.746,0.004,0.034,0.042,0.004,0.005,0.006,0.004,0.004,0.004,0.005,0.027,0.003,0.067,0.027
TMA-ZAIN-G-275,MBC,0.003,0.003,0.003,0.886,0.003,0.007,0.01,0.002,0.003,0.003,0.003,0.003,0.002,0.003,0.014,0.002,0.031,0.018
TMA-ZAIN-G-276,MBC,0.005,0.014,0.005,0.698,0.008,0.014,0.01,0.007,0.006,0.011,0.03,0.04,0.009,0.004,0.106,0.008,0.016,0.01
TMA-ZAIN-G-277,MBC,0.004,0.003,0.004,0.924,0.002,0.006,0.004,0.003,0.004,0.004,0.005,0.003,0.004,0.003,0.009,0.002,0.009,0.005
TMA-ZAIN-G-278,MBC,0.004,0.004,0.002,0.927,0.002,0.003,0.006,0.003,0.004,0.004,0.003,0.002,0.004,0.004,0.004,0.003,0.005,0.013
TMA-ZAIN-G-279,MBC,0.005,0.007,0.003,0.91,0.007,0.005,0.004,0.004,0.004,0.004,0.003,0.005,0.004,0.007,0.009,0.005,0.006,0.008
TMA-ZAIN-G-280,MBC,0.003,0.003,0.003,0.93,0.004,0.005,0.009,0.003,0.003,0.003,0.003,0.004,0.002,0.003,0.006,0.003,0.006,0.005
TMA-ZAIN-G-281,MBC,0.005,0.003,0.006,0.874,0.004,0.015,0.004,0.004,0.005,0.006,0.006,0.006,0.004,0.004,0.029,0.003,0.016,0.006
TMA-ZAIN-G-282,MBC,0.005,0.004,0.011,0.597,0.003,0.013,0.007,0.004,0.005,0.009,0.008,0.008,0.008,0.004,0.138,0.003,0.131,0.043
TMA-ZAIN-G-283,MBC,0.004,0.004,0.008,0.827,0.005,0.008,0.01,0.005,0.003,0.007,0.004,0.007,0.004,0.005,0.04,0.003,0.017,0.039
TMA-ZAIN-G-284,MBC,0.004,0.003,0.003,0.912,0.005,0.007,0.006,0.004,0.004,0.004,0.003,0.003,0.003,0.004,0.015,0.003,0.006,0.013
TMA-ZAIN-G-285,MBC,0.005,0.007,0.011,0.576,0.085,0.049,0.025,0.006,0.014,0.008,0.006,0.004,0.01,0.016,0.113,0.004,0.03,0.03
TMA-ZAIN-G-286,MBC,0.007,0.005,0.012,0.39,0.062,0.037,0.055,0.005,0.014,0.009,0.008,0.005,0.014,0.012,0.28,0.003,0.055,0.028
TMA-ZAIN-G-287,MBC,0.003,0.04,0.005,0.751,0.022,0.014,0.006,0.005,0.007,0.008,0.023,0.011,0.015,0.007,0.04,0.016,0.013,0.013
TMA-ZAIN-G-288,MBC,0.004,0.003,0.004,0.806,0.008,0.015,0.011,0.004,0.004,0.004,0.003,0.003,0.003,0.005,0.092,0.002,0.007,0.022
TMA-ZAIN-G-289,MBC,0.003,0.016,0.003,0.797,0.006,0.012,0.006,0.006,0.004,0.007,0.013,0.013,0.006,0.003,0.079,0.008,0.006,0.011
TMA-ZAIN-G-290,MBC,0.006,0.014,0.005,0.342,0.008,0.067,0.006,0.007,0.009,0.012,0.033,0.026,0.008,0.005,0.402,0.007,0.03,0.011
TMA-ZAIN-G-291,MBC,0.005,0.025,0.004,0.725,0.009,0.02,0.01,0.01,0.007,0.009,0.019,0.02,0.007,0.006,0.091,0.012,0.011,0.01
TMA-ZAIN-G-292,MBC,0.005,0.004,0.006,0.247,0.005,0.023,0.005,0.004,0.005,0.006,0.006,0.005,0.004,0.004,0.642,0.003,0.011,0.015
TMA-ZAIN-G-293,MBC,0.004,0.004,0.005,0.011,0.01,0.039,0.01,0.003,0.005,0.005,0.006,0.005,0.005,0.007,0.018,0.004,0.849,0.011
TMA-ZAIN-G-294,MBC,0.503,0.04,0.024,0.014,0.004,0.01,0.008,0.02,0.024,0.213,0.019,0.017,0.038,0.011,0.01,0.005,0.026,0.013
TMA-ZAIN-G-295,MBC,0.051,0.008,0.02,0.008,0.014,0.012,0.035,0.102,0.017,0.571,0.039,0.014,0.022,0.045,0.004,0.023,0.009,0.004
TMA-ZAIN-G-296,MBC,0.534,0.014,0.006,0.005,0.006,0.007,0.013,0.143,0.198,0.027,0.006,0.004,0.007,0.008,0.003,0.011,0.004,0.003
TMA-ZAIN-G-297,MBC,0.242,0.028,0.007,0.007,0.006,0.014,0.014,0.08,0.501,0.042,0.01,0.005,0.008,0.009,0.004,0.013,0.006,0.003
TMA-ZAIN-G-298,MBC,0.144,0.01,0.037,0.005,0.008,0.01,0.033,0.096,0.027,0.534,0.009,0.025,0.011,0.019,0.01,0.006,0.01,0.006
TMA-ZAIN-G-299,MBC,0.041,0.024,0.039,0.006,0.016,0.013,0.014,0.024,0.092,0.377,0.019,0.067,0.133,0.101,0.006,0.016,0.008,0.005
TMA-ZAIN-G-301,MBC,0.329,0.152,0.008,0.01,0.014,0.008,0.157,0.021,0.082,0.15,0.006,0.004,0.008,0.021,0.005,0.009,0.008,0.008
TMA-ZAIN-G-302,MBC,0.056,0.793,0.008,0.004,0.003,0.004,0.003,0.008,0.02,0.022,0.01,0.006,0.035,0.007,0.004,0.005,0.007,0.003
TMA-ZAIN-G-303,MBC,0.039,0.264,0.008,0.006,0.006,0.015,0.01,0.162,0.221,0.099,0.082,0.009,0.008,0.007,0.003,0.051,0.007,0.002
TMA-ZAIN-G-304,MBC,0.054,0.468,0.007,0.006,0.004,0.006,0.013,0.022,0.022,0.233,0.035,0.021,0.01,0.059,0.004,0.023,0.006,0.005
TMA-ZAIN-G-305,MBC,0.869,0.01,0.008,0.003,0.004,0.004,0.007,0.011,0.015,0.02,0.008,0.007,0.013,0.008,0.003,0.006,0.003,0.003
TMA-ZAIN-G-306,MBC,0.004,0.003,0.018,0.006,0.024,0.023,0.009,0.014,0.003,0.01,0.035,0.05,0.004,0.017,0.01,0.002,0.755,0.013
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-307,MSBG,0.017,0.007,0.023,0.007,0.468,0.014,0.012,0.047,0.025,0.072,0.033,0.019,0.033,0.113,0.011,0.081,0.005,0.013
TMA-ZAIN-G-308,MSBG,0.234,0.006,0.026,0.004,0.006,0.008,0.014,0.377,0.039,0.209,0.012,0.009,0.02,0.014,0.004,0.013,0.004,0.003
TMA-ZAIN-G-309,MSBG,0.099,0.009,0.034,0.02,0.301,0.01,0.007,0.091,0.016,0.205,0.014,0.013,0.016,0.033,0.059,0.009,0.008,0.057
TMA-ZAIN-G-310,MSBG,0.019,0.005,0.017,0.011,0.329,0.011,0.011,0.164,0.029,0.11,0.048,0.014,0.02,0.079,0.008,0.111,0.004,0.01
TMA-ZAIN-G-311,MSBG,0.006,0.004,0.006,0.015,0.686,0.066,0.014,0.006,0.006,0.008,0.006,0.011,0.003,0.004,0.06,0.009,0.082,0.009
TMA-ZAIN-G-312,MSBG,0.018,0.038,0.088,0.003,0.004,0.005,0.006,0.014,0.016,0.229,0.498,0.028,0.024,0.008,0.004,0.008,0.004,0.003
TMA-ZAIN-G-313,MSBG,0.06,0.069,0.005,0.016,0.007,0.009,0.037,0.03,0.153,0.523,0.031,0.004,0.022,0.008,0.003,0.01,0.009,0.006
TMA-ZAIN-G-314,MSBG,0.11,0.025,0.048,0.006,0.022,0.019,0.074,0.015,0.118,0.218,0.013,0.016,0.111,0.143,0.02,0.007,0.013,0.024
TMA-ZAIN-G-315,MSBG,0.076,0.028,0.069,0.005,0.011,0.04,0.007,0.013,0.233,0.103,0.314,0.025,0.013,0.032,0.006,0.009,0.012,0.004
TMA-ZAIN-G-316,MSBG,0.033,0.068,0.088,0.005,0.376,0.01,0.026,0.075,0.019,0.071,0.013,0.024,0.022,0.122,0.01,0.022,0.005,0.011
TMA-ZAIN-G-317,MSBG,0.007,0.005,0.011,0.267,0.011,0.228,0.01,0.049,0.007,0.022,0.012,0.01,0.006,0.023,0.19,0.006,0.016,0.12
TMA-ZAIN-G-318,MSBG,0.191,0.045,0.014,0.356,0.012,0.025,0.022,0.038,0.086,0.104,0.015,0.006,0.015,0.022,0.01,0.019,0.014,0.005
TMA-ZAIN-G-319,MSBG,0.16,0.045,0.013,0.38,0.012,0.031,0.016,0.043,0.072,0.095,0.014,0.005,0.014,0.029,0.007,0.02,0.033,0.009
TMA-ZAIN-G-320,MSBG,0.008,0.034,0.007,0.028,0.019,0.079,0.01,0.032,0.004,0.008,0.005,0.01,0.008,0.02,0.056,0.004,0.618,0.048
TMA-ZAIN-G-321,MSBG,0.017,0.015,0.005,0.356,0.032,0.048,0.023,0.013,0.008,0.008,0.006,0.01,0.004,0.005,0.037,0.01,0.075,0.329
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-322,AA,0.007,0.004,0.006,0.098,0.006,0.018,0.026,0.006,0.005,0.005,0.013,0.437,0.004,0.004,0.013,0.004,0.327,0.018
TMA-ZAIN-G-323,AA,0.112,0.098,0.014,0.006,0.004,0.007,0.01,0.02,0.026,0.26,0.012,0.008,0.021,0.012,0.006,0.014,0.367,0.004
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-324,HBG,0.009,0.012,0.018,0.028,0.006,0.271,0.013,0.24,0.039,0.118,0.112,0.007,0.028,0.017,0.043,0.012,0.014,0.014
TMA-ZAIN-G-325,HBG,0.056,0.012,0.047,0.007,0.048,0.129,0.024,0.096,0.083,0.044,0.046,0.006,0.081,0.047,0.1,0.023,0.126,0.025
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-326,FTBG,0.007,0.006,0.074,0.011,0.009,0.009,0.007,0.011,0.005,0.035,0.012,0.057,0.009,0.008,0.008,0.023,0.704,0.006
TMA-ZAIN-G-327,FTBG,0.013,0.005,0.015,0.004,0.014,0.015,0.016,0.03,0.525,0.013,0.023,0.031,0.047,0.223,0.007,0.01,0.006,0.004
TMA-ZAIN-G-328,FTBG,0.011,0.005,0.009,0.017,0.005,0.017,0.008,0.012,0.011,0.013,0.018,0.005,0.01,0.006,0.004,0.005,0.839,0.004
