Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
TMA-ZAIN-G-66,MBC,0.042,0.012,0.007,0.003,0.004,0.004,0.005,0.018,0.024,0.025,0.007,0.005,0.01,0.011,0.003,0.816,0.003,0.002
TMA-ZAIN-G-67,MBC,0.04,0.082,0.006,0.014,0.005,0.015,0.004,0.019,0.095,0.031,0.01,0.003,0.014,0.022,0.003,0.621,0.009,0.004
TMA-ZAIN-G-68,MBC,0.004,0.004,0.009,0.002,0.004,0.003,0.004,0.005,0.005,0.005,0.005,0.006,0.004,0.005,0.003,0.925,0.003,0.002
TMA-ZAIN-G-69,MBC,0.025,0.029,0.006,0.021,0.007,0.006,0.018,0.01,0.079,0.013,0.005,0.015,0.021,0.032,0.026,0.657,0.018,0.01
TMA-ZAIN-G-70,MBC,0.039,0.844,0.004,0.004,0.003,0.004,0.004,0.011,0.021,0.019,0.007,0.005,0.008,0.006,0.003,0.011,0.004,0.003
TMA-ZAIN-G-71,MBC,0.048,0.848,0.005,0.003,0.003,0.004,0.004,0.011,0.022,0.008,0.007,0.003,0.013,0.007,0.003,0.004,0.003,0.003
TMA-ZAIN-G-72,MBC,0.008,0.878,0.005,0.003,0.006,0.008,0.004,0.007,0.013,0.016,0.008,0.006,0.006,0.01,0.003,0.011,0.004,0.003
TMA-ZAIN-G-73,MBC,0.006,0.824,0.006,0.022,0.014,0.017,0.004,0.007,0.01,0.007,0.005,0.003,0.008,0.014,0.015,0.005,0.016,0.018
TMA-ZAIN-G-74,MBC,0.008,0.898,0.005,0.005,0.004,0.004,0.003,0.006,0.009,0.006,0.006,0.003,0.01,0.014,0.003,0.004,0.005,0.005
TMA-ZAIN-G-75,MBC,0.01,0.893,0.006,0.003,0.008,0.005,0.004,0.005,0.013,0.006,0.005,0.004,0.008,0.014,0.004,0.004,0.005,0.004
TMA-ZAIN-G-76,MBC,0.042,0.855,0.004,0.012,0.003,0.004,0.003,0.008,0.016,0.007,0.005,0.003,0.009,0.006,0.003,0.005,0.009,0.005
TMA-ZAIN-G-77,MBC,0.007,0.904,0.004,0.005,0.004,0.005,0.008,0.006,0.007,0.012,0.008,0.005,0.004,0.005,0.003,0.006,0.005,0.002
TMA-ZAIN-G-78,MBC,0.03,0.84,0.005,0.009,0.006,0.007,0.009,0.005,0.014,0.025,0.004,0.005,0.006,0.01,0.006,0.004,0.01,0.006
TMA-ZAIN-G-79,MBC,0.032,0.79,0.005,0.007,0.004,0.006,0.027,0.005,0.011,0.073,0.006,0.006,0.005,0.005,0.004,0.004,0.007,0.003
TMA-ZAIN-G-80,MBC,0.039,0.542,0.01,0.005,0.012,0.006,0.008,0.019,0.09,0.103,0.017,0.004,0.08,0.037,0.003,0.018,0.004,0.003
TMA-ZAIN-G-81,MBC,0.248,0.564,0.01,0.007,0.006,0.009,0.031,0.018,0.021,0.021,0.011,0.007,0.012,0.015,0.004,0.005,0.009,0.003
TMA-ZAIN-G-82,MBC,0.205,0.036,0.011,0.002,0.013,0.006,0.007,0.024,0.195,0.01,0.006,0.006,0.029,0.291,0.007,0.145,0.005,0.003
TMA-ZAIN-G-83,MBC,0.01,0.01,0.018,0.019,0.01,0.023,0.005,0.045,0.114,0.029,0.009,0.005,0.088,0.53,0.034,0.019,0.009,0.024
TMA-ZAIN-G-84,MBC,0.244,0.571,0.006,0.02,0.004,0.006,0.012,0.016,0.025,0.033,0.008,0.005,0.014,0.009,0.003,0.006,0.012,0.004
TMA-ZAIN-G-85,MBC,0.004,0.003,0.004,0.004,0.004,0.004,0.94,0.003,0.004,0.004,0.003,0.003,0.003,0.004,0.004,0.003,0.004,0.004
TMA-ZAIN-G-86,MBC,0.011,0.005,0.009,0.006,0.005,0.005,0.875,0.017,0.013,0.009,0.008,0.003,0.01,0.008,0.003,0.005,0.003,0.004
TMA-ZAIN-G-87,MBC,0.004,0.003,0.003,0.005,0.004,0.004,0.94,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.002,0.004,0.005
TMA-ZAIN-G-88,MBC,0.03,0.016,0.009,0.01,0.077,0.011,0.321,0.014,0.07,0.045,0.006,0.015,0.064,0.101,0.021,0.023,0.008,0.161
TMA-ZAIN-G-89,MBC,0.056,0.026,0.006,0.026,0.352,0.004,0.28,0.015,0.025,0.037,0.009,0.039,0.025,0.022,0.011,0.021,0.008,0.039
TMA-ZAIN-G-90,MBC,0.004,0.003,0.006,0.004,0.03,0.006,0.809,0.006,0.024,0.005,0.004,0.004,0.016,0.029,0.029,0.011,0.006,0.004
TMA-ZAIN-G-91,MBC,0.016,0.007,0.015,0.006,0.035,0.016,0.717,0.021,0.012,0.009,0.007,0.013,0.008,0.01,0.006,0.01,0.006,0.087
TMA-ZAIN-G-92,MBC,0.011,0.011,0.007,0.036,0.281,0.027,0.501,0.008,0.013,0.011,0.008,0.012,0.004,0.007,0.017,0.006,0.033,0.007
TMA-ZAIN-G-93,MBC,0.008,0.006,0.007,0.014,0.505,0.116,0.186,0.009,0.009,0.008,0.006,0.026,0.004,0.005,0.01,0.007,0.023,0.05
TMA-ZAIN-G-94,MBC,0.005,0.005,0.005,0.009,0.044,0.016,0.723,0.006,0.004,0.004,0.003,0.006,0.003,0.005,0.019,0.004,0.008,0.13
TMA-ZAIN-G-95,MBC,0.004,0.012,0.004,0.005,0.004,0.848,0.005,0.006,0.005,0.007,0.018,0.015,0.006,0.004,0.017,0.007,0.029,0.004
TMA-ZAIN-G-96,MBC,0.004,0.003,0.006,0.007,0.005,0.726,0.008,0.009,0.005,0.006,0.11,0.014,0.007,0.014,0.006,0.004,0.058,0.006
TMA-ZAIN-G-97,MBC,0.01,0.028,0.01,0.006,0.016,0.005,0.007,0.008,0.004,0.005,0.004,0.007,0.004,0.005,0.206,0.006,0.026,0.644
TMA-ZAIN-G-98,MBC,0.008,0.042,0.013,0.004,0.011,0.003,0.006,0.007,0.003,0.004,0.003,0.004,0.003,0.005,0.2,0.004,0.004,0.677
TMA-ZAIN-G-99,MBC,0.056,0.013,0.024,0.008,0.005,0.006,0.004,0.068,0.02,0.106,0.016,0.005,0.011,0.021,0.04,0.008,0.006,0.584
TMA-ZAIN-G-101,MBC,0.005,0.005,0.004,0.011,0.018,0.007,0.025,0.006,0.004,0.003,0.003,0.005,0.003,0.004,0.01,0.005,0.034,0.848
TMA-ZAIN-G-102,MBC,0.049,0.006,0.006,0.005,0.01,0.008,0.003,0.019,0.007,0.025,0.005,0.006,0.006,0.006,0.059,0.005,0.019,0.757
TMA-ZAIN-G-103,MBC,0.008,0.012,0.007,0.09,0.005,0.013,0.044,0.01,0.015,0.014,0.028,0.013,0.019,0.006,0.662,0.009,0.033,0.01
TMA-ZAIN-G-104,MBC,0.01,0.007,0.009,0.013,0.004,0.012,0.029,0.007,0.011,0.009,0.008,0.005,0.01,0.01,0.822,0.005,0.02,0.009
TMA-ZAIN-G-105,MBC,0.003,0.003,0.003,0.006,0.004,0.004,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.941,0.002,0.005,0.006
TMA-ZAIN-G-106,MBC,0.011,0.006,0.011,0.007,0.004,0.012,0.043,0.007,0.013,0.01,0.008,0.005,0.011,0.011,0.82,0.005,0.01,0.008
TMA-ZAIN-G-107,MBC,0.04,0.079,0.03,0.003,0.005,0.006,0.008,0.132,0.02,0.151,0.29,0.081,0.076,0.022,0.004,0.045,0.004,0.004
TMA-ZAIN-G-108,MBC,0.042,0.09,0.017,0.003,0.007,0.005,0.007,0.111,0.088,0.27,0.017,0.011,0.252,0.052,0.005,0.016,0.004,0.004
TMA-ZAIN-G-109,MBC,0.021,0.009,0.008,0.03,0.009,0.007,0.032,0.407,0.012,0.009,0.011,0.017,0.007,0.178,0.027,0.005,0.032,0.179
TMA-ZAIN-G-110,MBC,0.015,0.006,0.045,0.005,0.052,0.032,0.013,0.015,0.029,0.099,0.064,0.024,0.136,0.083,0.021,0.092,0.007,0.264
TMA-ZAIN-G-111,MBC,0.045,0.014,0.039,0.11,0.014,0.023,0.02,0.121,0.081,0.169,0.047,0.014,0.065,0.042,0.041,0.006,0.097,0.052
TMA-ZAIN-G-112,MBC,0.012,0.024,0.006,0.133,0.017,0.016,0.007,0.008,0.111,0.015,0.008,0.004,0.081,0.167,0.138,0.007,0.108,0.14
TMA-ZAIN-G-113,MBC,0.096,0.012,0.031,0.033,0.019,0.026,0.012,0.024,0.037,0.038,0.127,0.029,0.061,0.077,0.222,0.017,0.054,0.086
TMA-ZAIN-G-114,MBC,0.015,0.014,0.006,0.008,0.018,0.003,0.006,0.01,0.007,0.007,0.004,0.005,0.009,0.014,0.01,0.008,0.004,0.852
TMA-ZAIN-G-115,MBC,0.003,0.003,0.002,0.009,0.004,0.004,0.006,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.005,0.002,0.004,0.938
TMA-ZAIN-G-116,MBC,0.003,0.003,0.003,0.005,0.004,0.004,0.003,0.003,0.004,0.003,0.003,0.004,0.005,0.005,0.007,0.003,0.004,0.935
TMA-ZAIN-G-117,MBC,0.006,0.005,0.009,0.002,0.006,0.004,0.004,0.008,0.088,0.007,0.005,0.004,0.06,0.774,0.004,0.007,0.003,0.003
TMA-ZAIN-G-118,MBC,0.028,0.028,0.042,0.003,0.02,0.017,0.018,0.027,0.035,0.026,0.02,0.033,0.013,0.606,0.005,0.071,0.005,0.004
TMA-ZAIN-G-119,MBC,0.007,0.007,0.007,0.002,0.005,0.005,0.005,0.006,0.084,0.006,0.006,0.008,0.09,0.741,0.004,0.008,0.004,0.004
TMA-ZAIN-G-120,MBC,0.007,0.022,0.007,0.013,0.005,0.01,0.004,0.008,0.063,0.008,0.005,0.004,0.09,0.704,0.011,0.013,0.014,0.012
TMA-ZAIN-G-121,MBC,0.009,0.008,0.009,0.003,0.006,0.007,0.009,0.006,0.083,0.009,0.007,0.017,0.048,0.755,0.008,0.008,0.005,0.004
TMA-ZAIN-G-122,MBC,0.006,0.006,0.011,0.003,0.005,0.01,0.005,0.011,0.054,0.009,0.01,0.007,0.013,0.817,0.004,0.022,0.003,0.003
TMA-ZAIN-G-123,MBC,0.007,0.006,0.033,0.004,0.006,0.012,0.022,0.69,0.009,0.017,0.008,0.008,0.009,0.149,0.004,0.009,0.004,0.003
TMA-ZAIN-G-124,MBC,0.006,0.006,0.005,0.008,0.007,0.007,0.011,0.005,0.005,0.006,0.005,0.012,0.005,0.006,0.023,0.004,0.012,0.867
TMA-ZAIN-G-125,MBC,0.007,0.004,0.885,0.003,0.003,0.005,0.006,0.008,0.006,0.012,0.028,0.006,0.006,0.007,0.004,0.003,0.004,0.003
TMA-ZAIN-G-126,MBC,0.005,0.005,0.886,0.002,0.023,0.004,0.005,0.005,0.004,0.006,0.015,0.008,0.005,0.005,0.002,0.013,0.003,0.002
TMA-ZAIN-G-127,MBC,0.007,0.004,0.885,0.003,0.006,0.004,0.005,0.005,0.006,0.015,0.016,0.015,0.012,0.005,0.004,0.003,0.003,0.003
TMA-ZAIN-G-128,MBC,0.011,0.003,0.864,0.003,0.003,0.004,0.005,0.009,0.008,0.016,0.038,0.007,0.012,0.005,0.003,0.005,0.003,0.003
TMA-ZAIN-G-129,MBC,0.008,0.004,0.873,0.003,0.004,0.008,0.004,0.022,0.009,0.01,0.01,0.005,0.008,0.011,0.004,0.01,0.003,0.003
TMA-ZAIN-G-130,MBC,0.005,0.005,0.896,0.003,0.004,0.004,0.006,0.009,0.006,0.015,0.01,0.007,0.006,0.009,0.005,0.004,0.004,0.004
TMA-ZAIN-G-131,MBC,0.004,0.004,0.898,0.002,0.013,0.004,0.005,0.004,0.005,0.008,0.006,0.013,0.009,0.008,0.005,0.004,0.003,0.004
TMA-ZAIN-G-132,MBC,0.007,0.003,0.905,0.003,0.003,0.006,0.007,0.006,0.005,0.009,0.013,0.007,0.006,0.005,0.004,0.003,0.004,0.003
TMA-ZAIN-G-133,MBC,0.009,0.006,0.853,0.002,0.011,0.007,0.005,0.02,0.009,0.012,0.014,0.007,0.008,0.013,0.003,0.016,0.003,0.003
