Ind,Population,C1,C2,C3,C4,,
QAc-G-0029,AP,0.011,0.004,0.012,0.973,,
QAc-G-0030,AP,0.003,0.003,0.004,0.99,,
QAc-G-0031,AP,0.003,0.003,0.005,0.989,,
NA,NA,0,0,0,0,,
QAc-G-0061,Arnold,0.006,0.004,0.004,0.986,,
QAc-G-0062,Arnold,0.103,0.71,0.18,0.007,,
QAc-G-0063,Arnold,0.094,0.012,0.887,0.007,,
QAc-G-0064,Arnold,0.012,0.979,0.006,0.004,,
QAc-G-0065,Arnold,0.005,0.986,0.003,0.005,,
QAc-G-0066,Arnold,0.004,0.003,0.988,0.005,,
QAc-G-0067,Arnold,0.006,0.972,0.005,0.017,,
QAc-G-0068,Arnold,0.006,0.421,0.568,0.005,,
QAc-G-0070,Arnold,0.135,0.023,0.834,0.008,,
QAc-G-0071,Arnold,0.004,0.003,0.987,0.006,,
QAc-G-0072,Arnold,0.005,0.003,0.987,0.005,,
QAc-G-0073,Arnold,0.985,0.004,0.004,0.006,,
QAc-G-0074,Arnold,0.792,0.012,0.19,0.006,,
QAc-G-0075,Arnold,0.961,0.015,0.013,0.012,,
QAc-G-0076,Arnold,0.969,0.008,0.011,0.012,,
QAc-G-0077,Arnold,0.005,0.005,0.008,0.982,,
QAc-G-0078,Arnold,0.003,0.003,0.003,0.991,,
QAc-G-0079,Arnold,0.004,0.004,0.005,0.987,,
QAc-G-0080,Arnold,0.142,0.069,0.018,0.77,,
QAc-G-0081,Arnold,0.954,0.027,0.009,0.009,,
QAc-G-0082,Arnold,0.944,0.033,0.006,0.016,,
QAc-G-0083,Arnold,0.372,0.091,0.463,0.074,,
NA,NA,0,0,0,0,,
QAc-G-0001,Bartlett,0.003,0.003,0.005,0.988,,
QAc-G-0002,Bartlett,0.003,0.003,0.003,0.991,,
NA,NA,0,0,0,0,,
QAc-G-0285,CBG,0.015,0.014,0.96,0.011,,
QAc-G-0286,CBG,0.003,0.003,0.99,0.004,,
QAc-G-0287,CBG,0.003,0.003,0.99,0.004,,
QAc-G-0288,CBG,0.01,0.005,0.971,0.014,,
QAc-G-0289,CBG,0.004,0.003,0.988,0.004,,
QAc-G-0290,CBG,0.005,0.005,0.987,0.004,,
QAc-G-0291,CBG,0.003,0.003,0.989,0.006,,
QAc-G-0292,CBG,0.043,0.037,0.916,0.004,,
QAc-G-0293,CBG,0.003,0.003,0.988,0.007,,
QAc-G-0294,CBG,0.962,0.02,0.005,0.013,,
QAc-G-0295,CBG,0.951,0.007,0.023,0.019,,
QAc-G-0296,CBG,0.978,0.009,0.01,0.004,,
QAc-G-0297,CBG,0.93,0.06,0.003,0.007,,
QAc-G-0298,CBG,0.979,0.007,0.005,0.009,,
QAc-G-0299,CBG,0.969,0.01,0.013,0.007,,
QAc-G-0300,CBG,0.982,0.01,0.004,0.004,,
QAc-G-0301,CBG,0.931,0.041,0.017,0.011,,
QAc-G-0302,CBG,0.024,0.962,0.007,0.006,,
QAc-G-0303,CBG,0.035,0.951,0.006,0.008,,
QAc-G-0304,CBG,0.004,0.003,0.99,0.004,,
