Ind,Pop,C1,C2,C3,C4
QAc-W-0001,Porter,0.005,0.004,0.985,0.005
QAc-W-0002,Porter,0.034,0.007,0.872,0.086
QAc-W-0003,Porter,0.006,0.037,0.926,0.031
QAc-W-0004,Porter,0.006,0.009,0.98,0.005
QAc-W-0005,Porter,0.007,0.004,0.983,0.005
QAc-W-0006,Porter,0.007,0.007,0.982,0.005
QAc-W-0007,Porter,0.007,0.006,0.982,0.005
QAc-W-0008,Porter,0.012,0.004,0.977,0.007
QAc-W-0009,Porter,0.222,0.022,0.369,0.387
QAc-W-0010,Porter,0.036,0.006,0.924,0.034
QAc-W-0011,Porter,0.007,0.015,0.923,0.054
QAc-W-0012,Porter,0.008,0.005,0.979,0.008
QAc-W-0013,Porter,0.01,0.127,0.32,0.543
QAc-W-0014,Porter,0.02,0.004,0.968,0.008
QAc-W-0015,Porter,0.044,0.031,0.163,0.762
QAc-W-0016,Porter,0.039,0.037,0.906,0.018
QAc-W-0017,Porter,0.112,0.049,0.113,0.725
QAc-W-0018,Porter,0.019,0.061,0.872,0.049
QAc-W-0019,Porter,0.014,0.007,0.973,0.007
QAc-W-0020,Porter,0.006,0.003,0.976,0.015
QAc-W-0021,Porter,0.028,0.216,0.741,0.015
QAc-W-0022,Porter,0.189,0.073,0.372,0.365
QAc-W-0023,Porter,0.177,0.046,0.717,0.06
QAc-W-0024,Porter,0.013,0.197,0.768,0.022
QAc-W-0025,Porter,0.021,0.014,0.957,0.008
QAc-W-0026,Porter,0.025,0.031,0.926,0.019
QAc-W-0027,Porter,0.009,0.007,0.976,0.008
QAc-W-0028,Porter,0.007,0.004,0.975,0.014
QAc-W-0029,Porter,0.007,0.008,0.969,0.015
QAc-W-0030,Porter,0.01,0.017,0.744,0.23
QAc-W-0031,Porter,0.005,0.039,0.951,0.005
QAc-W-0032,Porter,0.009,0.004,0.983,0.004
QAc-W-0033,Porter,0.088,0.017,0.864,0.031
QAc-W-0034,Porter,0.012,0.008,0.97,0.01
QAc-W-0035,Porter,0.042,0.018,0.877,0.063
QAc-W-0036,Porter,0.008,0.004,0.981,0.007
QAc-W-0037,Porter,0.021,0.017,0.941,0.021
QAc-W-0038,Porter,0.011,0.007,0.859,0.123
QAc-W-0039,Porter,0.007,0.016,0.953,0.025
QAc-W-0040,Porter,0.183,0.021,0.789,0.008
QAc-W-0041,Porter,0.014,0.131,0.83,0.024
NA,NA,0,0,0,0
QAc-W-0042,Magazine,0.009,0.01,0.011,0.971
QAc-W-0043,Magazine,0.009,0.007,0.007,0.977
QAc-W-0044,Magazine,0.021,0.006,0.022,0.951
QAc-W-0045,Magazine,0.01,0.005,0.01,0.974
QAc-W-0046,Magazine,0.008,0.008,0.007,0.977
QAc-W-0047,Magazine,0.014,0.004,0.014,0.968
QAc-W-0048,Magazine,0.009,0.008,0.018,0.965
QAc-W-0049,Magazine,0.01,0.01,0.013,0.968
QAc-W-0050,Magazine,0.024,0.01,0.006,0.961
QAc-W-0051,Magazine,0.008,0.024,0.041,0.927
QAc-W-0052,Magazine,0.016,0.008,0.42,0.556
QAc-W-0053,Magazine,0.028,0.011,0.017,0.945
QAc-W-0054,Magazine,0.016,0.008,0.008,0.968
QAc-W-0055,Magazine,0.015,0.015,0.006,0.964
QAc-W-0056,Magazine,0.016,0.031,0.11,0.843
QAc-W-0057,Magazine,0.009,0.019,0.011,0.961
QAc-W-0058,Magazine,0.004,0.035,0.008,0.953
QAc-W-0059,Magazine,0.009,0.004,0.011,0.976
QAc-W-0060,Magazine,0.009,0.005,0.006,0.98
QAc-W-0061,Magazine,0.018,0.005,0.019,0.958
QAc-W-0062,Magazine,0.019,0.022,0.005,0.954
QAc-W-0063,Magazine,0.037,0.176,0.039,0.749
QAc-W-0064,Magazine,0.013,0.028,0.008,0.951
QAc-W-0065,Magazine,0.017,0.01,0.006,0.967
QAc-W-0066,Magazine,0.004,0.038,0.01,0.947
QAc-W-0067,Magazine,0.034,0.054,0.008,0.905
QAc-W-0068,Magazine,0.006,0.016,0.009,0.97
QAc-W-0069,Magazine,0.006,0.032,0.015,0.947
QAc-W-0070,Magazine,0.005,0.006,0.005,0.983
QAc-W-0071,Magazine,0.008,0.011,0.005,0.976
QAc-W-0072,Magazine,0.113,0.008,0.02,0.859
QAc-W-0073,Magazine,0.013,0.013,0.014,0.961
QAc-W-0074,Magazine,0.016,0.011,0.009,0.964
QAc-W-0075,Magazine,0.005,0.013,0.004,0.977
QAc-W-0076,Magazine,0.033,0.007,0.005,0.954
QAc-W-0077,Magazine,0.007,0.005,0.01,0.978
NA,NA,0,0,0,0
QAc-W-0078,Pryor,0.053,0.872,0.059,0.017
QAc-W-0079,Pryor,0.008,0.979,0.007,0.007
QAc-W-0080,Pryor,0.006,0.952,0.036,0.006
QAc-W-0081,Pryor,0.005,0.982,0.008,0.006
QAc-W-0082,Pryor,0.006,0.701,0.012,0.28
QAc-W-0083,Pryor,0.011,0.97,0.009,0.01
QAc-W-0084,Pryor,0.004,0.985,0.007,0.004
QAc-W-0085,Pryor,0.012,0.978,0.004,0.005
QAc-W-0086,Pryor,0.008,0.981,0.006,0.005
QAc-W-0087,Pryor,0.007,0.983,0.005,0.004
QAc-W-0088,Pryor,0.005,0.982,0.006,0.007
QAc-W-0089,Pryor,0.005,0.98,0.008,0.007
QAc-W-0090,Pryor,0.005,0.982,0.007,0.006
QAc-W-0091,Pryor,0.007,0.983,0.006,0.004
QAc-W-0092,Pryor,0.016,0.81,0.149,0.025
QAc-W-0093,Pryor,0.053,0.82,0.095,0.032
QAc-W-0094,Pryor,0.014,0.901,0.068,0.018
QAc-W-0095,Pryor,0.007,0.968,0.018,0.008
QAc-W-0096,Pryor,0.016,0.904,0.036,0.044
QAc-W-0097,Pryor,0.01,0.715,0.197,0.078
QAc-W-0098,Pryor,0.005,0.979,0.007,0.008
QAc-W-0099,Pryor,0.077,0.9,0.011,0.013
QAc-W-0100,Pryor,0.004,0.987,0.005,0.004
QAc-W-0101,Pryor,0.007,0.981,0.007,0.005
QAc-W-0104,Pryor,0.016,0.967,0.007,0.011
QAc-W-0105,Pryor,0.004,0.987,0.005,0.004
QAc-W-0106,Pryor,0.006,0.98,0.008,0.006
QAc-W-0107,Pryor,0.009,0.961,0.008,0.022
QAc-W-0108,Pryor,0.009,0.967,0.006,0.018
QAc-W-0109,Pryor,0.007,0.946,0.012,0.036
QAc-W-0110,Pryor,0.01,0.295,0.689,0.006
QAc-W-0111,Pryor,0.005,0.982,0.005,0.007
QAc-W-0112,Pryor,0.01,0.975,0.009,0.005
NA,NA,0,0,0,0
QAc-W-0113,Sugar_Loaf,0.972,0.007,0.013,0.008
QAc-W-0114,Sugar_Loaf,0.957,0.023,0.01,0.01
QAc-W-0115,Sugar_Loaf,0.971,0.009,0.013,0.006
QAc-W-0116,Sugar_Loaf,0.97,0.008,0.014,0.008
QAc-W-0117,Sugar_Loaf,0.984,0.003,0.007,0.005
QAc-W-0118,Sugar_Loaf,0.955,0.019,0.008,0.018
QAc-W-0119,Sugar_Loaf,0.97,0.007,0.008,0.015
QAc-W-0120,Sugar_Loaf,0.967,0.01,0.012,0.012
QAc-W-0121,Sugar_Loaf,0.967,0.004,0.007,0.022
QAc-W-0122,Sugar_Loaf,0.961,0.006,0.018,0.014
QAc-W-0123,Sugar_Loaf,0.946,0.014,0.01,0.03
QAc-W-0124,Sugar_Loaf,0.816,0.1,0.058,0.026
QAc-W-0125,Sugar_Loaf,0.961,0.02,0.01,0.009
QAc-W-0126,Sugar_Loaf,0.922,0.036,0.012,0.03
QAc-W-0127,Sugar_Loaf,0.979,0.006,0.009,0.006
QAc-W-0128,Sugar_Loaf,0.91,0.056,0.024,0.011
QAc-W-0129,Sugar_Loaf,0.907,0.007,0.073,0.013
QAc-W-0130,Sugar_Loaf,0.957,0.008,0.03,0.006
QAc-W-0131,Sugar_Loaf,0.967,0.011,0.011,0.01
QAc-W-0132,Sugar_Loaf,0.935,0.014,0.02,0.031
QAc-W-0133,Sugar_Loaf,0.683,0.246,0.012,0.059
QAc-W-0134,Sugar_Loaf,0.984,0.005,0.005,0.006
QAc-W-0135,Sugar_Loaf,0.927,0.006,0.055,0.013
QAc-W-0136,Sugar_Loaf,0.985,0.005,0.006,0.004
QAc-W-0137,Sugar_Loaf,0.987,0.003,0.004,0.005
QAc-W-0138,Sugar_Loaf,0.985,0.004,0.007,0.005
QAc-W-0139,Sugar_Loaf,0.725,0.149,0.083,0.043
QAc-W-0140,Sugar_Loaf,0.933,0.01,0.03,0.027
QAc-W-0141,Sugar_Loaf,0.772,0.014,0.092,0.122
QAc-W-0142,Sugar_Loaf,0.983,0.005,0.005,0.007
QAc-W-0143,Sugar_Loaf,0.97,0.009,0.012,0.009
QAc-W-0144,Sugar_Loaf,0.955,0.007,0.01,0.028
QAc-W-0145,Sugar_Loaf,0.984,0.003,0.005,0.007
QAc-W-0146,Sugar_Loaf,0.976,0.007,0.011,0.006
QAc-W-0147,Sugar_Loaf,0.985,0.005,0.005,0.005
QAc-W-0148,Sugar_Loaf,0.98,0.004,0.008,0.007
QAc-W-0149,Sugar_Loaf,0.944,0.014,0.019,0.024
QAc-W-0150,Sugar_Loaf,0.909,0.014,0.067,0.01
QAc-W-0151,Sugar_Loaf,0.97,0.009,0.014,0.008
QAc-W-0152,Sugar_Loaf,0.98,0.004,0.006,0.01
QAc-W-0153,Sugar_Loaf,0.162,0.09,0.032,0.715
QAc-W-0154,Sugar_Loaf,0.889,0.007,0.095,0.009
QAc-W-0155,Sugar_Loaf,0.982,0.004,0.007,0.007
QAc-W-0156,Sugar_Loaf,0.849,0.061,0.084,0.006
QAc-W-0157,Sugar_Loaf,0.944,0.005,0.012,0.04
QAc-W-0158,Sugar_Loaf,0.887,0.058,0.045,0.009
QAc-W-0159,Sugar_Loaf,0.976,0.006,0.013,0.006
QAc-W-0160,Sugar_Loaf,0.965,0.007,0.022,0.006
QAc-W-0161,Sugar_Loaf,0.932,0.007,0.054,0.007
QAc-W-0162,Sugar_Loaf,0.855,0.007,0.005,0.133
QAc-W-0163,Sugar_Loaf,0.971,0.005,0.006,0.018
QAc-W-0164,Sugar_Loaf,0.966,0.006,0.007,0.02
QAc-W-0165,Sugar_Loaf,0.969,0.004,0.007,0.019
QAc-W-0166,Sugar_Loaf,0.939,0.006,0.043,0.012
NA,NA,0,0,0,0
QAc-W-0167,Kessler,0.01,0.025,0.012,0.953
QAc-W-0168,Kessler,0.224,0.01,0.045,0.721
QAc-W-0169,Kessler,0.019,0.006,0.212,0.763
QAc-W-0170,Kessler,0.025,0.018,0.196,0.761
QAc-W-0171,Kessler,0.008,0.021,0.014,0.956
QAc-W-0172,Kessler,0.467,0.063,0.358,0.113
QAc-W-0173,Kessler,0.051,0.009,0.099,0.84
QAc-W-0174,Kessler,0.055,0.006,0.02,0.92
