Ind,Pop,C1,C2,C3
QAc-W-0001,Porter,0.959,0.011,0.03
QAc-W-0002,Porter,0.705,0.01,0.285
QAc-W-0003,Porter,0.807,0.104,0.088
QAc-W-0004,Porter,0.977,0.017,0.007
QAc-W-0005,Porter,0.984,0.007,0.009
QAc-W-0006,Porter,0.98,0.013,0.007
QAc-W-0007,Porter,0.986,0.007,0.007
QAc-W-0008,Porter,0.976,0.005,0.019
QAc-W-0009,Porter,0.672,0.017,0.31
QAc-W-0010,Porter,0.965,0.009,0.026
QAc-W-0011,Porter,0.852,0.036,0.112
QAc-W-0012,Porter,0.98,0.01,0.01
QAc-W-0013,Porter,0.039,0.166,0.795
QAc-W-0014,Porter,0.988,0.005,0.007
QAc-W-0015,Porter,0.108,0.033,0.859
QAc-W-0016,Porter,0.955,0.027,0.018
QAc-W-0017,Porter,0.181,0.048,0.77
QAc-W-0018,Porter,0.84,0.1,0.06
QAc-W-0019,Porter,0.981,0.011,0.008
QAc-W-0020,Porter,0.882,0.006,0.112
QAc-W-0021,Porter,0.812,0.176,0.012
QAc-W-0022,Porter,0.617,0.085,0.299
QAc-W-0023,Porter,0.92,0.029,0.051
QAc-W-0024,Porter,0.581,0.227,0.192
QAc-W-0025,Porter,0.965,0.018,0.016
QAc-W-0026,Porter,0.803,0.151,0.045
QAc-W-0027,Porter,0.971,0.011,0.017
QAc-W-0028,Porter,0.872,0.007,0.121
QAc-W-0029,Porter,0.933,0.02,0.047
QAc-W-0030,Porter,0.104,0.019,0.877
QAc-W-0031,Porter,0.816,0.168,0.016
QAc-W-0032,Porter,0.985,0.008,0.006
QAc-W-0033,Porter,0.883,0.015,0.102
QAc-W-0034,Porter,0.967,0.017,0.017
QAc-W-0035,Porter,0.929,0.017,0.054
QAc-W-0036,Porter,0.973,0.01,0.017
QAc-W-0037,Porter,0.86,0.058,0.082
QAc-W-0038,Porter,0.191,0.011,0.798
QAc-W-0039,Porter,0.586,0.158,0.256
QAc-W-0040,Porter,0.975,0.013,0.013
QAc-W-0041,Porter,0.414,0.418,0.168
NA,NA,0,0,0
QAc-W-0042,Magazine,0.009,0.013,0.978
QAc-W-0043,Magazine,0.009,0.007,0.984
QAc-W-0044,Magazine,0.022,0.005,0.972
QAc-W-0045,Magazine,0.011,0.007,0.982
QAc-W-0046,Magazine,0.007,0.009,0.984
QAc-W-0047,Magazine,0.017,0.004,0.98
QAc-W-0048,Magazine,0.013,0.008,0.979
QAc-W-0049,Magazine,0.013,0.01,0.978
QAc-W-0050,Magazine,0.015,0.013,0.972
QAc-W-0051,Magazine,0.016,0.024,0.96
QAc-W-0052,Magazine,0.172,0.013,0.815
QAc-W-0053,Magazine,0.028,0.011,0.961
QAc-W-0054,Magazine,0.015,0.01,0.975
QAc-W-0055,Magazine,0.011,0.014,0.975
QAc-W-0056,Magazine,0.057,0.033,0.91
QAc-W-0057,Magazine,0.009,0.022,0.969
QAc-W-0058,Magazine,0.006,0.042,0.952
QAc-W-0059,Magazine,0.009,0.005,0.986
QAc-W-0060,Magazine,0.008,0.006,0.986
QAc-W-0061,Magazine,0.025,0.006,0.969
QAc-W-0062,Magazine,0.013,0.027,0.96
QAc-W-0063,Magazine,0.062,0.182,0.757
QAc-W-0064,Magazine,0.013,0.028,0.959
QAc-W-0065,Magazine,0.013,0.01,0.976
QAc-W-0066,Magazine,0.006,0.054,0.939
QAc-W-0067,Magazine,0.026,0.049,0.926
QAc-W-0068,Magazine,0.007,0.019,0.974
QAc-W-0069,Magazine,0.009,0.041,0.951
QAc-W-0070,Magazine,0.006,0.007,0.987
QAc-W-0071,Magazine,0.007,0.013,0.98
QAc-W-0072,Magazine,0.119,0.01,0.871
QAc-W-0073,Magazine,0.018,0.013,0.97
QAc-W-0074,Magazine,0.016,0.011,0.973
QAc-W-0075,Magazine,0.006,0.015,0.979
QAc-W-0076,Magazine,0.013,0.008,0.979
QAc-W-0077,Magazine,0.009,0.005,0.986
NA,NA,0,0,0
QAc-W-0078,Pryor,0.069,0.914,0.017
QAc-W-0079,Pryor,0.008,0.985,0.008
QAc-W-0080,Pryor,0.02,0.973,0.007
QAc-W-0081,Pryor,0.007,0.987,0.006
QAc-W-0082,Pryor,0.008,0.749,0.243
QAc-W-0083,Pryor,0.011,0.979,0.01
QAc-W-0084,Pryor,0.005,0.991,0.004
QAc-W-0085,Pryor,0.009,0.986,0.005
QAc-W-0086,Pryor,0.009,0.985,0.006
QAc-W-0087,Pryor,0.007,0.988,0.005
QAc-W-0088,Pryor,0.006,0.987,0.007
QAc-W-0089,Pryor,0.006,0.986,0.008
QAc-W-0090,Pryor,0.006,0.988,0.006
QAc-W-0091,Pryor,0.008,0.988,0.005
QAc-W-0092,Pryor,0.054,0.907,0.039
QAc-W-0093,Pryor,0.125,0.835,0.04
QAc-W-0094,Pryor,0.036,0.938,0.027
QAc-W-0095,Pryor,0.01,0.981,0.009
QAc-W-0096,Pryor,0.028,0.919,0.053
QAc-W-0097,Pryor,0.049,0.799,0.152
QAc-W-0098,Pryor,0.007,0.984,0.009
QAc-W-0099,Pryor,0.055,0.93,0.015
QAc-W-0100,Pryor,0.005,0.99,0.005
QAc-W-0101,Pryor,0.008,0.986,0.006
QAc-W-0104,Pryor,0.013,0.975,0.012
QAc-W-0105,Pryor,0.005,0.99,0.005
QAc-W-0106,Pryor,0.008,0.985,0.007
QAc-W-0107,Pryor,0.009,0.963,0.028
QAc-W-0108,Pryor,0.009,0.971,0.02
QAc-W-0109,Pryor,0.009,0.954,0.037
QAc-W-0110,Pryor,0.534,0.457,0.008
QAc-W-0111,Pryor,0.006,0.986,0.008
QAc-W-0112,Pryor,0.011,0.982,0.007
NA,NA,0,0,0
QAc-W-0113,Sugar_Loaf,0.984,0.007,0.009
QAc-W-0114,Sugar_Loaf,0.959,0.029,0.012
QAc-W-0115,Sugar_Loaf,0.984,0.009,0.007
QAc-W-0116,Sugar_Loaf,0.982,0.007,0.011
QAc-W-0117,Sugar_Loaf,0.988,0.004,0.008
QAc-W-0118,Sugar_Loaf,0.948,0.023,0.029
QAc-W-0119,Sugar_Loaf,0.971,0.008,0.02
QAc-W-0120,Sugar_Loaf,0.974,0.008,0.018
QAc-W-0121,Sugar_Loaf,0.949,0.005,0.046
QAc-W-0122,Sugar_Loaf,0.968,0.007,0.025
QAc-W-0123,Sugar_Loaf,0.939,0.019,0.042
QAc-W-0124,Sugar_Loaf,0.94,0.04,0.019
QAc-W-0125,Sugar_Loaf,0.972,0.018,0.01
QAc-W-0126,Sugar_Loaf,0.916,0.037,0.047
QAc-W-0127,Sugar_Loaf,0.983,0.007,0.009
QAc-W-0128,Sugar_Loaf,0.963,0.028,0.009
QAc-W-0129,Sugar_Loaf,0.982,0.006,0.012
QAc-W-0130,Sugar_Loaf,0.987,0.007,0.006
QAc-W-0131,Sugar_Loaf,0.97,0.014,0.016
QAc-W-0132,Sugar_Loaf,0.934,0.02,0.045
QAc-W-0133,Sugar_Loaf,0.662,0.252,0.086
QAc-W-0134,Sugar_Loaf,0.983,0.007,0.01
QAc-W-0135,Sugar_Loaf,0.979,0.007,0.014
QAc-W-0136,Sugar_Loaf,0.987,0.006,0.006
QAc-W-0137,Sugar_Loaf,0.988,0.004,0.008
QAc-W-0138,Sugar_Loaf,0.99,0.004,0.006
QAc-W-0139,Sugar_Loaf,0.891,0.079,0.03
QAc-W-0140,Sugar_Loaf,0.981,0.006,0.013
QAc-W-0141,Sugar_Loaf,0.862,0.013,0.125
QAc-W-0142,Sugar_Loaf,0.982,0.006,0.012
QAc-W-0143,Sugar_Loaf,0.977,0.011,0.011
QAc-W-0144,Sugar_Loaf,0.954,0.01,0.036
QAc-W-0145,Sugar_Loaf,0.983,0.004,0.013
QAc-W-0146,Sugar_Loaf,0.986,0.008,0.006
QAc-W-0147,Sugar_Loaf,0.986,0.007,0.007
QAc-W-0148,Sugar_Loaf,0.986,0.005,0.01
QAc-W-0149,Sugar_Loaf,0.961,0.016,0.024
QAc-W-0150,Sugar_Loaf,0.978,0.012,0.011
QAc-W-0151,Sugar_Loaf,0.984,0.008,0.008
QAc-W-0152,Sugar_Loaf,0.978,0.006,0.016
QAc-W-0153,Sugar_Loaf,0.154,0.082,0.764
QAc-W-0154,Sugar_Loaf,0.989,0.006,0.006
QAc-W-0155,Sugar_Loaf,0.984,0.005,0.011
QAc-W-0156,Sugar_Loaf,0.969,0.025,0.006
QAc-W-0157,Sugar_Loaf,0.936,0.005,0.059
QAc-W-0158,Sugar_Loaf,0.964,0.028,0.008
QAc-W-0159,Sugar_Loaf,0.989,0.005,0.006
QAc-W-0160,Sugar_Loaf,0.987,0.006,0.007
QAc-W-0161,Sugar_Loaf,0.987,0.005,0.008
QAc-W-0162,Sugar_Loaf,0.828,0.011,0.16
QAc-W-0163,Sugar_Loaf,0.953,0.005,0.041
QAc-W-0164,Sugar_Loaf,0.934,0.009,0.057
QAc-W-0165,Sugar_Loaf,0.965,0.005,0.03
QAc-W-0166,Sugar_Loaf,0.977,0.008,0.015
NA,NA,0,0,0
QAc-W-0167,Kessler,0.011,0.029,0.96
QAc-W-0168,Kessler,0.244,0.01,0.746
QAc-W-0169,Kessler,0.109,0.008,0.883
QAc-W-0170,Kessler,0.115,0.021,0.864
QAc-W-0171,Kessler,0.012,0.023,0.965
QAc-W-0172,Kessler,0.86,0.048,0.092
QAc-W-0173,Kessler,0.135,0.009,0.856
QAc-W-0174,Kessler,0.052,0.006,0.942
