"","X0C11","X1G13","G07","X1F02","FIR031","GOT009","POR016","FIR013","FIR043","GOTO40","PIE039","FIR53","FIR048","PIE125","QpZAG9"
"Observed frequency",-0.00181,0.0374,0.00149,0.132,0.0939,0.0525,0.0299,0.0531,0.0984,0.0494,-0.00203,0.041,0.0301,-0.0117,0.0706
"Median frequency",-0.0025,0.036,0.0013,0.132,0.0931,0.0518,0.0294,0.0527,0.097,0.0487,-0.00283,0.041,0.0297,-0.012,0.0697
"2.5th percentile",-0.0175,0.0168,-0.00376,0.101,0.0695,0.0288,0.00898,0.0265,0.0702,0.0246,-0.0183,0.0146,0.0129,-0.0316,0.0469
"97.5th percentile",0.0144,0.0609,0.00982,0.165,0.12,0.0766,0.0561,0.0816,0.128,0.0756,0.0147,0.0691,0.0494,0.0108,0.0941
