"","Zam05","Zam17","Zam34","Zam39","Zam55","Zam60","Zam62","Zfg02","Zfg25","Zfg31","Zfg38"
"Observed frequency",0.0845,0.118,0.101,0.102,0.174,0.099,0.106,0.0967,0.213,0.0522,0.28
"Median frequency",0.0841,0.118,0.101,0.1,0.173,0.0973,0.105,0.096,0.213,0.0516,0.281
"2.5th percentile",0.0555,0.082,0.0724,0.0727,0.141,0.0637,0.0784,0.07,0.177,0.0247,0.241
"97.5th percentile",0.114,0.155,0.133,0.135,0.209,0.134,0.133,0.125,0.252,0.0789,0.322
