"","locus1","locus2","locus3","locus4","locus5","locus6","locus7","locus8","locus9","locus10","locus11"
"Observed frequency",0.108,0.11,0.134,0.107,0.174,0.0542,0.151,0.0982,0.186,0.13,0.236
"Median frequency",0.108,0.109,0.134,0.107,0.174,0.0535,0.15,0.0984,0.187,0.13,0.236
"2.5th percentile",0.0873,0.0863,0.112,0.0874,0.151,0.0371,0.13,0.0803,0.163,0.109,0.211
"97.5th percentile",0.128,0.131,0.155,0.127,0.197,0.0724,0.171,0.118,0.209,0.153,0.262
