"","Ind","MLG","NAll","All_Rich","Hexp"
"Porter",41,41,94,5.85,0.548
"Magazine",36,36,95,6.12,0.573
"Pryor",33,33,83,5.41,0.528
"Sugar_Loaf",54,54,99,5.97,0.557
