"","Ind","MLG","NAll","All_Rich","Hexp"
"Porter",41,41,94,4.14,0.548
"Magazine",36,36,95,4.57,0.573
"Pryor",33,33,83,3.96,0.528
"Sugar_Loaf",54,54,99,4.28,0.557
"Kessler",8,8,74,4.93,0.628
