"","Zam05","Zam17","Zam34","Zam39","Zam55","Zam60","Zam62","Zfg02","Zfg25","Zfg31","Zfg38"
"Observed frequency",0.108,0.111,0.134,0.108,0.174,0.403,0.195,0.0984,0.187,0.311,0.334
"Median frequency",0.108,0.11,0.133,0.107,0.173,0.404,0.196,0.0982,0.188,0.31,0.334
"2.5th percentile",0.0883,0.0907,0.111,0.0863,0.151,0.382,0.174,0.0806,0.166,0.285,0.307
"97.5th percentile",0.126,0.133,0.158,0.127,0.197,0.423,0.217,0.117,0.211,0.336,0.361
