"","R2","p-value"
"QUAC_wK",-0.120684521883356,0.865035062871647
"QUAC_woK",-0.228531666321619,0.804547158261713
"ZAIN_og",0.0762007037666292,7.14006555082418e-07
"ZAIN_rebinned",0.0772072671629057,6.034204317374e-07
