"","Ia","p.Ia","rbarD","p.rD"
"locus1:locus2",0.01,0.24,0.01,0.24
"locus1:locus3",-0.02,0.97,-0.02,0.97
"locus1:locus4",-0.02,0.96,-0.02,0.96
"locus1:locus5",0.01,0.3,0.01,0.3
"locus1:locus6",0,0.47,0,0.47
"locus1:locus7",-0.05,1,-0.05,1
"locus1:locus8",0.05,0,0.05,0
"locus1:locus9",0.01,0.05,0.01,0.05
"locus1:locus10",-0.01,0.9,-0.01,0.9
"locus1:locus11",-0.02,0.96,-0.02,0.96
"locus2:locus3",0.04,0,0.04,0
"locus2:locus4",0,0.33,0,0.33
"locus2:locus5",0.08,0,0.08,0
"locus2:locus6",0,0.6,0,0.61
"locus2:locus7",0.03,0,0.03,0
"locus2:locus8",0.02,0.02,0.02,0.02
"locus2:locus9",0.02,0,0.02,0
"locus2:locus10",0.02,0.02,0.02,0.02
"locus2:locus11",0.04,0,0.04,0
"locus3:locus4",0.09,0,0.09,0
"locus3:locus5",0.03,0.01,0.03,0.01
"locus3:locus6",0,0.4,0,0.39
"locus3:locus7",0.07,0,0.07,0
"locus3:locus8",0.05,0,0.05,0
"locus3:locus9",0.1,0,0.1,0
"locus3:locus10",0.07,0,0.07,0
"locus3:locus11",0.07,0,0.07,0
"locus4:locus5",0.02,0.03,0.02,0.03
"locus4:locus6",0.02,0.01,0.02,0
"locus4:locus7",0.08,0,0.08,0
"locus4:locus8",0.03,0,0.03,0
"locus4:locus9",0.05,0,0.05,0
"locus4:locus10",0.05,0,0.06,0
"locus4:locus11",0.03,0,0.03,0
"locus5:locus6",-0.03,0.99,-0.03,0.99
"locus5:locus7",0.05,0,0.05,0
"locus5:locus8",0.03,0,0.04,0
"locus5:locus9",0.06,0,0.06,0
"locus5:locus10",-0.01,0.83,-0.01,0.83
"locus5:locus11",0.02,0,0.02,0
"locus6:locus7",0.2,0,0.22,0
"locus6:locus8",0,0.57,0,0.58
"locus6:locus9",0,0.66,0,0.66
"locus6:locus10",0.56,0,0.56,0
"locus6:locus11",0.35,0,0.36,0
"locus7:locus8",0.05,0,0.05,0
"locus7:locus9",0.09,0,0.09,0
"locus7:locus10",0.23,0,0.24,0
"locus7:locus11",0.19,0,0.19,0
"locus8:locus9",0.08,0,0.08,0
"locus8:locus10",0.01,0.06,0.01,0.04
"locus8:locus11",0.02,0,0.02,0
"locus9:locus10",0.01,0.09,0.01,0.09
"locus9:locus11",0.1,0,0.1,0
"locus10:locus11",0.33,0,0.34,0
