"","Ia","p.Ia","rbarD","p.rD"
"locus1:locus2",0.13,0,0.13,0
"locus1:locus3",0.03,0.1,0.03,0.1
"locus1:locus4",0.05,0,0.06,0
"locus1:locus5",0.06,0,0.06,0
"locus1:locus6",0.01,0.27,0.01,0.27
"locus1:locus7",0.06,0,0.06,0
"locus1:locus8",0.01,0.25,0.01,0.25
"locus1:locus9",0.02,0.05,0.02,0.05
"locus1:locus10",0.06,0,0.06,0
"locus1:locus11",-0.01,0.67,-0.01,0.67
"locus1:locus12",0.01,0.36,0.01,0.36
"locus1:locus13",0.06,0,0.06,0
"locus1:locus14",0.03,0.03,0.03,0.03
"locus1:locus15",0.04,0,0.04,0
"locus2:locus3",0,0.51,0,0.51
"locus2:locus4",0.04,0,0.04,0
"locus2:locus5",0.06,0,0.06,0
"locus2:locus6",0.03,0.02,0.03,0.02
"locus2:locus7",0.01,0.33,0.01,0.33
"locus2:locus8",0.02,0.34,0.02,0.34
"locus2:locus9",0.01,0.25,0.01,0.25
"locus2:locus10",0,0.49,0,0.5
"locus2:locus11",-0.04,0.97,-0.04,0.97
"locus2:locus12",0,0.43,0,0.43
"locus2:locus13",0.06,0,0.06,0
"locus2:locus14",0,0.34,0,0.34
"locus2:locus15",0.09,0,0.09,0
"locus3:locus4",0.06,0.13,0.07,0.11
"locus3:locus5",0.03,0.05,0.03,0.05
"locus3:locus6",0,0.43,0,0.43
"locus3:locus7",-0.06,0.97,-0.07,0.97
"locus3:locus8",-0.03,0.84,-0.04,0.87
"locus3:locus9",-0.01,0.68,-0.01,0.68
"locus3:locus10",0.01,0.43,0.01,0.43
"locus3:locus11",0.04,0.12,0.04,0.12
"locus3:locus12",-0.03,0.94,-0.03,0.94
"locus3:locus13",0.02,0.1,0.03,0.1
"locus3:locus14",0.01,0.39,0.01,0.39
"locus3:locus15",0.02,0.08,0.02,0.08
"locus4:locus5",0.06,0,0.06,0
"locus4:locus6",0.06,0,0.06,0
"locus4:locus7",0.02,0.17,0.03,0.17
"locus4:locus8",0.06,0.01,0.06,0.01
"locus4:locus9",0.04,0,0.04,0
"locus4:locus10",0.01,0.39,0.01,0.4
"locus4:locus11",0.01,0.3,0.01,0.3
"locus4:locus12",0.03,0.02,0.03,0.02
"locus4:locus13",0.04,0,0.04,0
"locus4:locus14",0.08,0,0.08,0
"locus4:locus15",0.12,0,0.12,0
"locus5:locus6",0.08,0,0.08,0
"locus5:locus7",0.03,0.03,0.03,0.03
"locus5:locus8",0.04,0,0.04,0
"locus5:locus9",0.06,0,0.06,0
"locus5:locus10",0.03,0.02,0.03,0.02
"locus5:locus11",0,0.46,0,0.46
"locus5:locus12",0.02,0.03,0.02,0.03
"locus5:locus13",0.07,0,0.07,0
"locus5:locus14",0.03,0,0.04,0
"locus5:locus15",0.06,0,0.06,0
"locus6:locus7",0.01,0.33,0.01,0.33
"locus6:locus8",0,0.45,0,0.45
"locus6:locus9",0.06,0,0.06,0
"locus6:locus10",0.06,0,0.06,0
"locus6:locus11",0,0.42,0,0.42
"locus6:locus12",0,0.38,0,0.38
"locus6:locus13",0.06,0,0.06,0
"locus6:locus14",0,0.6,0,0.6
"locus6:locus15",0.09,0,0.09,0
"locus7:locus8",0.06,0.04,0.06,0.04
"locus7:locus9",0.06,0.01,0.06,0.01
"locus7:locus10",0.04,0.12,0.04,0.12
"locus7:locus11",0.01,0.4,0.01,0.4
"locus7:locus12",-0.03,0.88,-0.03,0.88
"locus7:locus13",0.02,0.15,0.02,0.15
"locus7:locus14",-0.03,0.88,-0.03,0.87
"locus7:locus15",0,0.58,0,0.58
"locus8:locus9",0.01,0.28,0.01,0.28
"locus8:locus10",0.1,0,0.1,0
"locus8:locus11",0.02,0.28,0.02,0.28
"locus8:locus12",0,0.5,0,0.5
"locus8:locus13",0.04,0.01,0.04,0
"locus8:locus14",0.06,0.01,0.06,0.01
"locus8:locus15",0.02,0.24,0.02,0.24
"locus9:locus10",-0.03,0.89,-0.03,0.88
"locus9:locus11",0.05,0,0.05,0
"locus9:locus12",0,0.48,0,0.48
"locus9:locus13",0.04,0,0.05,0
"locus9:locus14",0.01,0.33,0.01,0.33
"locus9:locus15",0.05,0,0.05,0
"locus10:locus11",0.05,0.06,0.05,0.06
"locus10:locus12",-0.02,0.83,-0.02,0.83
"locus10:locus13",0.07,0,0.07,0
"locus10:locus14",0.07,0,0.07,0
"locus10:locus15",-0.02,0.82,-0.02,0.82
"locus11:locus12",-0.02,0.87,-0.02,0.87
"locus11:locus13",0.03,0.02,0.03,0.02
"locus11:locus14",0.06,0.01,0.06,0.01
"locus11:locus15",-0.01,0.81,-0.01,0.81
"locus12:locus13",0.01,0.19,0.01,0.19
"locus12:locus14",0.01,0.24,0.01,0.24
"locus12:locus15",0.05,0,0.05,0
"locus13:locus14",0.08,0,0.09,0
"locus13:locus15",0.07,0,0.07,0
"locus14:locus15",0.05,0,0.05,0
