"","before_datacleaning","after_datacleaning"
"AP",3,3
"AA",23,22
"BTRL",2,2
"CBG",33,32
"DBG",29,29
"FGT",7,4
"HBG",9,9
"MeBG",1,1
"MBG",7,4
"MFBG",1,1
"MA",10,10
"JFG",12,12
"TMA",146,143
"TTA",1,1
"USNA",2,2
"UWBG",1,1
"ZBGP",2,1
"Porter",41,41
"Magazine",36,36
"Pryor",35,33
"Sugar_Loaf",54,54
