"","Porter","Magazine","Pryor","Sugar_Loaf","Kessler"
"Porter",NA,0.0793,0.1078,0.0732,0.0787
"Magazine",0.0793,NA,0.1123,0.0714,0.0831
"Pryor",0.1078,0.1123,NA,0.1172,0.1201
"Sugar_Loaf",0.0732,0.0714,0.1172,NA,0.088
"Kessler",0.0787,0.0831,0.1201,0.088,NA
