"","Ia","p.Ia","rbarD","p.rD"
"Zam05:Zam17",0.01,0.24,0.01,0.24
"Zam05:Zam34",-0.02,0.97,-0.02,0.97
"Zam05:Zam39",-0.02,0.96,-0.02,0.96
"Zam05:Zam55",0.01,0.3,0.01,0.3
"Zam05:Zam60",0,0.49,0,0.49
"Zam05:Zam62",-0.05,1,-0.05,1
"Zam05:Zfg02",0.05,0,0.05,0
"Zam05:Zfg25",0.01,0.06,0.01,0.06
"Zam05:Zfg31",-0.01,0.88,-0.01,0.88
"Zam05:Zfg38",-0.02,0.96,-0.02,0.96
"Zam17:Zam34",0.04,0,0.04,0
"Zam17:Zam39",0,0.37,0,0.36
"Zam17:Zam55",0.08,0,0.08,0
"Zam17:Zam60",0,0.6,0,0.61
"Zam17:Zam62",0.03,0,0.03,0
"Zam17:Zfg02",0.02,0.01,0.02,0.01
"Zam17:Zfg25",0.02,0.01,0.02,0.01
"Zam17:Zfg31",0.02,0.03,0.02,0.03
"Zam17:Zfg38",0.04,0,0.04,0
"Zam34:Zam39",0.09,0,0.09,0
"Zam34:Zam55",0.03,0.01,0.03,0.01
"Zam34:Zam60",0,0.36,0,0.36
"Zam34:Zam62",0.07,0,0.07,0
"Zam34:Zfg02",0.05,0,0.05,0
"Zam34:Zfg25",0.1,0,0.1,0
"Zam34:Zfg31",0.07,0,0.07,0
"Zam34:Zfg38",0.07,0,0.07,0
"Zam39:Zam55",0.02,0.05,0.02,0.05
"Zam39:Zam60",0.02,0.01,0.02,0.01
"Zam39:Zam62",0.08,0,0.08,0
"Zam39:Zfg02",0.03,0,0.03,0
"Zam39:Zfg25",0.05,0,0.05,0
"Zam39:Zfg31",0.05,0,0.06,0
"Zam39:Zfg38",0.03,0,0.03,0
"Zam55:Zam60",-0.03,0.99,-0.03,0.99
"Zam55:Zam62",0.05,0,0.05,0
"Zam55:Zfg02",0.03,0,0.04,0
"Zam55:Zfg25",0.06,0,0.06,0
"Zam55:Zfg31",-0.01,0.82,-0.01,0.82
"Zam55:Zfg38",0.02,0.01,0.02,0.01
"Zam60:Zam62",0.2,0,0.22,0
"Zam60:Zfg02",0,0.58,0,0.59
"Zam60:Zfg25",0,0.65,0,0.66
"Zam60:Zfg31",0.56,0,0.56,0
"Zam60:Zfg38",0.35,0,0.36,0
"Zam62:Zfg02",0.05,0,0.05,0
"Zam62:Zfg25",0.09,0,0.09,0
"Zam62:Zfg31",0.23,0,0.24,0
"Zam62:Zfg38",0.19,0,0.19,0
"Zfg02:Zfg25",0.08,0,0.08,0
"Zfg02:Zfg31",0.01,0.05,0.01,0.04
"Zfg02:Zfg38",0.02,0,0.02,0
"Zfg25:Zfg31",0.01,0.07,0.01,0.06
"Zfg25:Zfg38",0.1,0,0.1,0
"Zfg31:Zfg38",0.33,0,0.34,0
