"","Ia","p.Ia","rbarD","p.rD"
"0C11:1G13",0.07,0,0.07,0
"0C11:G07",0.02,0.25,0.02,0.25
"0C11:1F02",0.08,0,0.08,0
"0C11:FIR031",0.05,0,0.05,0
"0C11:GOT009",0.01,0.27,0.01,0.27
"0C11:POR016",0.02,0.23,0.02,0.25
"0C11:FIR013",0.01,0.35,0.01,0.35
"0C11:FIR043",0.01,0.32,0.01,0.31
"0C11:GOTO40",0.01,0.35,0.01,0.35
"0C11:PIE039",0.02,0.26,0.02,0.26
"0C11:FIR53",0,0.54,0,0.54
"0C11:FIR048",0.08,0,0.08,0
"0C11:PIE125",0,0.47,0,0.47
"0C11:QpZAG9",0.05,0.01,0.05,0.01
"1G13:G07",-0.03,0.91,-0.03,0.9
"1G13:1F02",0.01,0.36,0.01,0.36
"1G13:FIR031",0.02,0.04,0.02,0.04
"1G13:GOT009",0.02,0.17,0.02,0.17
"1G13:POR016",-0.04,0.99,-0.05,0.97
"1G13:FIR013",0,0.56,0,0.56
"1G13:FIR043",0.02,0.08,0.02,0.08
"1G13:GOTO40",-0.05,0.99,-0.05,0.99
"1G13:PIE039",0,0.53,0,0.53
"1G13:FIR53",0.03,0.07,0.03,0.07
"1G13:FIR048",0.06,0,0.06,0
"1G13:PIE125",0,0.57,0,0.57
"1G13:QpZAG9",0.06,0,0.07,0
"G07:1F02",0.1,0.36,0.12,0.32
"G07:FIR031",0.03,0.1,0.03,0.1
"G07:GOT009",-0.05,0.91,-0.05,0.92
"G07:POR016",0,0.5,0,0.51
"G07:FIR013",-0.09,0.99,-0.1,0.99
"G07:FIR043",-0.03,0.8,-0.03,0.81
"G07:GOTO40",-0.1,0.99,-0.11,0.99
"G07:PIE039",0,0.44,0,0.44
"G07:FIR53",0.05,0.13,0.05,0.12
"G07:FIR048",0.05,0.06,0.05,0.06
"G07:PIE125",-0.05,0.91,-0.06,0.9
"G07:QpZAG9",0.04,0.14,0.04,0.15
"1F02:FIR031",0.07,0,0.07,0
"1F02:GOT009",-0.05,0.92,-0.05,0.92
"1F02:POR016",0.07,0.03,0.09,0.04
"1F02:FIR013",0.01,0.34,0.01,0.34
"1F02:FIR043",0.01,0.38,0.01,0.38
"1F02:GOTO40",-0.1,0.98,-0.11,0.98
"1F02:PIE039",0.06,0.08,0.06,0.08
"1F02:FIR53",-0.01,0.58,-0.01,0.58
"1F02:FIR048",-0.02,0.78,-0.02,0.79
"1F02:PIE125",-0.02,0.69,-0.02,0.7
"1F02:QpZAG9",0.04,0.01,0.04,0.01
"FIR031:GOT009",0.07,0,0.07,0
"FIR031:POR016",0.05,0.01,0.05,0.03
"FIR031:FIR013",0.03,0.09,0.03,0.09
"FIR031:FIR043",0.08,0,0.09,0
"FIR031:GOTO40",0,0.43,0,0.43
"FIR031:PIE039",0.05,0.01,0.05,0.01
"FIR031:FIR53",0.01,0.23,0.01,0.22
"FIR031:FIR048",0.03,0.03,0.03,0.03
"FIR031:PIE125",0.03,0.07,0.03,0.08
"FIR031:QpZAG9",0.06,0,0.06,0
"GOT009:POR016",0.04,0.09,0.05,0.12
"GOT009:FIR013",-0.01,0.66,-0.01,0.66
"GOT009:FIR043",0.06,0,0.06,0
"GOT009:GOTO40",0.1,0.01,0.1,0.01
"GOT009:PIE039",-0.02,0.68,-0.02,0.68
"GOT009:FIR53",0.01,0.33,0.01,0.33
"GOT009:FIR048",0.04,0.03,0.04,0.03
"GOT009:PIE125",-0.02,0.71,-0.02,0.71
"GOT009:QpZAG9",0.06,0.01,0.06,0.01
"POR016:FIR013",0.08,0.05,0.1,0.06
"POR016:FIR043",0.01,0.36,0.01,0.37
"POR016:GOTO40",-0.05,0.78,-0.06,0.78
"POR016:PIE039",0.07,0.1,0.08,0.11
"POR016:FIR53",0.01,0.34,0.01,0.36
"POR016:FIR048",-0.01,0.7,-0.01,0.68
"POR016:PIE125",0.03,0.23,0.03,0.26
"POR016:QpZAG9",0.01,0.53,0.01,0.54
"FIR013:FIR043",-0.02,0.78,-0.02,0.78
"FIR013:GOTO40",0.07,0.09,0.07,0.09
"FIR013:PIE039",-0.07,0.93,-0.07,0.93
"FIR013:FIR53",-0.04,0.91,-0.04,0.91
"FIR013:FIR048",0.01,0.4,0.01,0.4
"FIR013:PIE125",0.02,0.26,0.02,0.26
"FIR013:QpZAG9",-0.02,0.76,-0.02,0.76
"FIR043:GOTO40",0.02,0.25,0.02,0.26
"FIR043:PIE039",0.05,0.07,0.05,0.07
"FIR043:FIR53",0,0.44,0,0.44
"FIR043:FIR048",0.03,0.05,0.03,0.05
"FIR043:PIE125",0.02,0.21,0.02,0.21
"FIR043:QpZAG9",0.02,0.22,0.02,0.22
"GOTO40:PIE039",0,0.45,0,0.45
"GOTO40:FIR53",-0.04,0.88,-0.04,0.88
"GOTO40:FIR048",0.03,0.12,0.03,0.12
"GOTO40:PIE125",0.03,0.22,0.03,0.22
"GOTO40:QpZAG9",-0.04,0.88,-0.04,0.87
"PIE039:FIR53",-0.01,0.52,-0.01,0.52
"PIE039:FIR048",0.02,0.22,0.02,0.22
"PIE039:PIE125",0.02,0.3,0.02,0.3
"PIE039:QpZAG9",-0.05,0.9,-0.05,0.9
"FIR53:FIR048",-0.01,0.69,-0.01,0.69
"FIR53:PIE125",-0.08,1,-0.08,1
"FIR53:QpZAG9",0.06,0,0.06,0
"FIR048:PIE125",0.08,0,0.08,0
"FIR048:QpZAG9",0.01,0.35,0.01,0.35
"PIE125:QpZAG9",-0.04,0.92,-0.04,0.92
