"","Zam05","Zam17","Zam34","Zam39","Zam55","Zam60","Zam62","Zfg02","Zfg25","Zfg31","Zfg38"
"Observed frequency",0.0842,0.118,0.101,0.103,0.174,0.0992,0.107,0.0971,0.212,0.0522,0.279
"Median frequency",0.0846,0.117,0.1,0.103,0.172,0.0992,0.106,0.0957,0.212,0.052,0.278
"2.5th percentile",0.0535,0.0812,0.0657,0.0689,0.137,0.0685,0.0788,0.0691,0.177,0.0263,0.24
"97.5th percentile",0.116,0.155,0.136,0.136,0.21,0.137,0.136,0.127,0.25,0.0805,0.32
