"","Ind","MLG","NAll","All_Rich","Hexp"
"AP",3,3,34,1.44,0.444
"Arnold",22,22,102,1.61,0.61
"Bartlett",2,2,25,1.4,0.4
"CBG",32,32,113,1.6,0.596
"DBG",29,29,102,1.62,0.618
"FGT",4,4,45,1.52,0.523
"HBG",9,9,77,1.63,0.626
"Meis",1,1,23,1.53,0.533
"MBG",4,4,53,1.59,0.587
"Moore",1,1,24,1.6,0.6
"MA",10,10,80,1.62,0.625
"Peckerwood",12,12,98,1.68,0.68
"TMA",143,143,148,1.61,0.607
"TTA",1,1,26,1.73,0.733
"USNA",2,2,36,1.58,0.578
"UWBG",1,1,23,1.53,0.533
"ZBGP",1,1,27,1.8,0.8
"Porter",41,41,94,1.55,0.548
"Magazine",36,36,95,1.57,0.573
"Pryor",33,33,83,1.53,0.528
"Sugar_Loaf",54,54,99,1.56,0.557
"Kessler",8,8,74,1.63,0.628
