"","Ind","MLG","NAll","All_Rich","Hexp"
"ZFB",35,35,32,2.83,0.442
"ZFBP1",36,36,40,3.35,0.384
"ZFBP2",33,33,35,3,0.416
"ZFCC",40,40,31,2.68,0.39
"ZFCNS",40,40,24,2.08,0.239
"ZFCR",40,40,53,4.39,0.63
"ZFENP",37,37,53,4.29,0.511
"ZFFDSP",40,40,30,2.65,0.349
"ZFI",28,28,32,2.78,0.385
"ZFONF1",25,25,32,2.86,0.393
"ZFONF2",40,40,33,2.88,0.373
"ZFO",32,32,32,2.77,0.435
"ZFBP",21,21,19,1.73,0.204
"ZFSW1",23,23,34,3.08,0.467
"ZFSW2",39,39,30,2.49,0.292
"ZFTS",38,38,24,2.18,0.384
"ZFTSP1",45,45,33,2.82,0.435
"ZFTSP2",28,28,35,3.1,0.458
"ZFWB",40,40,36,2.95,0.406
"ZCF",42,42,50,4.24,0.552
