"","Ia","p.Ia","rbarD","p.rD"
"Zam05:Zam17",0.01,0.22,0.01,0.22
"Zam05:Zam34",-0.02,0.96,-0.02,0.96
"Zam05:Zam39",-0.02,0.97,-0.02,0.97
"Zam05:Zam55",0.01,0.28,0.01,0.28
"Zam05:Zam60",0.04,0.01,0.04,0.01
"Zam05:Zam62",-0.03,1,-0.04,1
"Zam05:Zfg02",0.05,0,0.05,0
"Zam05:Zfg25",0.01,0.06,0.02,0.06
"Zam05:Zfg31",0,0.33,0,0.33
"Zam05:Zfg38",0,0.41,0,0.41
"Zam17:Zam34",0.04,0,0.04,0
"Zam17:Zam39",0,0.38,0,0.38
"Zam17:Zam55",0.08,0,0.08,0
"Zam17:Zam60",-0.04,1,-0.05,1
"Zam17:Zam62",0.04,0,0.04,0
"Zam17:Zfg02",0.02,0.01,0.02,0.01
"Zam17:Zfg25",0.02,0,0.02,0
"Zam17:Zfg31",0.02,0.06,0.02,0.06
"Zam17:Zfg38",0.02,0.01,0.02,0.01
"Zam34:Zam39",0.08,0,0.08,0
"Zam34:Zam55",0.03,0,0.03,0
"Zam34:Zam60",-0.07,1,-0.07,1
"Zam34:Zam62",0.1,0,0.1,0
"Zam34:Zfg02",0.05,0,0.05,0
"Zam34:Zfg25",0.1,0,0.1,0
"Zam34:Zfg31",0.15,0,0.15,0
"Zam34:Zfg38",0.09,0,0.1,0
"Zam39:Zam55",0.02,0.06,0.02,0.06
"Zam39:Zam60",0.04,0.01,0.04,0.01
"Zam39:Zam62",0.1,0,0.1,0
"Zam39:Zfg02",0.03,0,0.03,0
"Zam39:Zfg25",0.05,0,0.05,0
"Zam39:Zfg31",0.13,0,0.13,0
"Zam39:Zfg38",0.06,0,0.06,0
"Zam55:Zam60",0.01,0.21,0.01,0.21
"Zam55:Zam62",0.09,0,0.09,0
"Zam55:Zfg02",0.04,0,0.04,0
"Zam55:Zfg25",0.06,0,0.06,0
"Zam55:Zfg31",0.04,0,0.04,0
"Zam55:Zfg38",0.02,0.02,0.02,0.02
"Zam60:Zam62",0.01,0.24,0.01,0.25
"Zam60:Zfg02",0.01,0.21,0.01,0.22
"Zam60:Zfg25",-0.02,0.95,-0.02,0.94
"Zam60:Zfg31",0.12,0,0.13,0
"Zam60:Zfg38",0.04,0.01,0.04,0.01
"Zam62:Zfg02",0.06,0,0.06,0
"Zam62:Zfg25",0.13,0,0.13,0
"Zam62:Zfg31",0.21,0,0.21,0
"Zam62:Zfg38",0.14,0,0.14,0
"Zfg02:Zfg25",0.08,0,0.08,0
"Zfg02:Zfg31",0.06,0,0.06,0
"Zfg02:Zfg38",0.03,0,0.03,0
"Zfg25:Zfg31",0.07,0,0.07,0
"Zfg25:Zfg38",0.18,0,0.18,0
"Zfg31:Zfg38",0.15,0,0.15,0
