"","Zam05","Zam17","Zam34","Zam39","Zam55","Zam60","Zam62","Zfg02","Zfg25","Zfg31","Zfg38"
"Observed frequency",0.0941,0.0969,0.161,0.138,0.148,0.0498,0.0914,0.102,0.176,0.0195,0.201
"Median frequency",0.0908,0.0926,0.158,0.138,0.148,0.0485,0.0891,0.0996,0.172,0.017,0.198
"2.5th percentile",0.0323,0.028,0.0903,0.0716,0.0835,-0.000674,0.037,0.0488,0.106,-0.0238,0.13
"97.5th percentile",0.159,0.168,0.231,0.211,0.223,0.104,0.153,0.159,0.253,0.0707,0.274
